Time (BJD_TBD - 2450000), F_star + F_e (mJy)
9.880040144994953152e+03,2.593278913803374497e+00
9.880040163554680475e+03,2.593278911386886598e+00
9.880040182114405980e+03,2.593278908970473751e+00
9.880040200674133303e+03,2.593278906554134178e+00
9.880040219233858807e+03,2.593278904137870100e+00
9.880040237793586130e+03,2.593278901721679297e+00
9.880040256353311634e+03,2.593278899305563545e+00
9.880040274913038957e+03,2.593278896889521512e+00
9.880040293472764461e+03,2.593278894473554086e+00
9.880040312032491784e+03,2.593278892057660379e+00
9.880040330592217288e+03,2.593278889641841722e+00
9.880040349151944611e+03,2.593278887226096785e+00
9.880040367711670115e+03,2.593278884810426899e+00
9.880040386271395619e+03,2.593278882394830287e+00
9.880040404831122942e+03,2.593278879979308726e+00
9.880040423390848446e+03,2.593278877563860885e+00
9.880040441950575769e+03,2.593278875148487650e+00
9.880040460510301273e+03,2.593278872733188578e+00
9.880040479070028596e+03,2.593278870317964113e+00
9.880040497629754100e+03,2.593278867902813367e+00
9.880040516189481423e+03,2.593278865487737228e+00
9.880040534749206927e+03,2.593278863072735252e+00
9.880040553308934250e+03,2.593278860657807883e+00
9.880040571868659754e+03,2.593278858242954676e+00
9.880040590428387077e+03,2.593278855828175633e+00
9.880040608988112581e+03,2.593278853413471197e+00
9.880040627547838085e+03,2.593278850998840923e+00
9.880040646107565408e+03,2.593278848584284368e+00
9.880040664667290912e+03,2.593278846169802421e+00
9.880040683227018235e+03,2.593278843755395080e+00
9.880040701786743739e+03,2.593278841341062346e+00
9.880040720346471062e+03,2.593278838926802887e+00
9.880040738906196566e+03,2.593278836512618035e+00
9.880040757465923889e+03,2.593278834098507790e+00
9.880040776025649393e+03,2.593278831684472152e+00
9.880040794585376716e+03,2.593278829270510233e+00
9.880040813145102220e+03,2.593278826856622921e+00
9.880040831704829543e+03,2.593278824442809327e+00
9.880040850264555047e+03,2.593278822029070785e+00
9.880040868824280551e+03,2.593278819615406405e+00
9.880040887384007874e+03,2.593278817201816189e+00
9.880040905943733378e+03,2.593278814788300135e+00
9.880040924503460701e+03,2.593278812374858244e+00
9.880040943063186205e+03,2.593278809961491405e+00
9.880040961622913528e+03,2.593278807548198284e+00
9.880040980182639032e+03,2.593278805134979326e+00
9.880040998742366355e+03,2.593278802721835419e+00
9.880041017302091859e+03,2.593278800308765231e+00
9.880041035861819182e+03,2.593278797895769650e+00
9.880041054421544686e+03,2.593278795482847787e+00
9.880041072981270190e+03,2.593278793070000976e+00
9.880041091540997513e+03,2.593278790657228328e+00
9.880041110100723017e+03,2.593278788244529842e+00
9.880041128660450340e+03,2.593278785831905076e+00
9.880041147220175844e+03,2.593278783419355360e+00
9.880041165779903167e+03,2.593278781006879807e+00
9.880041184339628671e+03,2.593278778594478862e+00
9.880041202899355994e+03,2.593278776182151635e+00
