Time (BJD_TBD - 2450000), F_d/F_star (ppm)
1.013184578968212918e+04,1.739500652214891474e+01
1.013184581045388222e+04,1.739324400528039760e+01
1.013184583122563527e+04,1.739148156867653583e+01
1.013184585199738831e+04,1.738971921233915907e+01
1.013184587276914135e+04,1.738795693627010408e+01
1.013184589354089439e+04,1.738619474047118274e+01
1.013184591431264744e+04,1.738443262494426733e+01
1.013184593508440048e+04,1.738267058969115908e+01
1.013184595585615352e+04,1.738090863471369119e+01
1.013184597662790657e+04,1.737914676001365777e+01
1.013184599739965961e+04,1.737738496559296664e+01
1.013184601817141265e+04,1.737562325145340481e+01
1.013184603894316569e+04,1.737386161759679482e+01
1.013184605971491874e+04,1.737210006402495921e+01
1.013184608048667178e+04,1.737033859073975961e+01
1.013184610125842482e+04,1.736857719774301145e+01
1.013184612203017787e+04,1.736681588503654439e+01
1.013184614280193091e+04,1.736505465262219161e+01
1.013184616357368395e+04,1.736329350050173304e+01
1.013184618434543700e+04,1.736153242867707647e+01
1.013184620511719004e+04,1.735977143715001603e+01
1.013184622588894308e+04,1.735801052592238136e+01
1.013184624666069612e+04,1.735624969499599146e+01
1.013184626743244917e+04,1.735448894437265821e+01
1.013184628820420221e+04,1.735272827405426455e+01
1.013184630897595525e+04,1.735096768404260814e+01
1.013184632974770830e+04,1.734920717433949733e+01
1.013184635051946316e+04,1.734744674479264148e+01
1.013184637129121620e+04,1.734568639571218185e+01
1.013184639206296924e+04,1.734392612694577096e+01
1.013184641283472229e+04,1.734216593849524557e+01
1.013184643360647533e+04,1.734040583036242467e+01
1.013184645437822837e+04,1.733864580254912013e+01
1.013184647514998142e+04,1.733688585505719715e+01
1.013184649592173446e+04,1.733512598788847825e+01
1.013184651669348750e+04,1.733336620104476822e+01
1.013184653746524054e+04,1.733160649452790736e+01
1.013184655823699359e+04,1.732984686833970756e+01
1.013184657900874663e+04,1.732808732248202332e+01
1.013184659978049967e+04,1.732632785695667721e+01
1.013184662055225272e+04,1.732456847176546333e+01
1.013184664132400576e+04,1.732280916691027883e+01
1.013184666209575880e+04,1.732104994239286455e+01
1.013184668286751184e+04,1.731929079821511053e+01
1.013184670363926489e+04,1.731753173437883220e+01
1.013184672441101793e+04,1.731577275088580592e+01
1.013184674518277097e+04,1.731401384773793239e+01
1.013184676595452402e+04,1.731225502493701995e+01
1.013184678672627706e+04,1.731049628248485917e+01
1.013184680749803010e+04,1.730873762038331165e+01
1.013184682826978315e+04,1.730697903863416087e+01
1.013184684904153619e+04,1.730522053723928977e+01
1.013184686981328923e+04,1.730346211620050312e+01
1.013184689058504227e+04,1.730170377551961636e+01
1.013184691135679532e+04,1.729994551519846624e+01
1.013184693212854836e+04,1.729818733523884333e+01
1.013184695290030140e+04,1.729642923564264123e+01
1.013184697367205445e+04,1.729467121641163985e+01
1.013184699444380749e+04,1.729291327754767593e+01
1.013184701521556235e+04,1.729115541889861518e+01
1.013184703598731539e+04,1.728939764077422581e+01
1.013184705675906844e+04,1.728763994302231666e+01
1.013184707753082148e+04,1.728588232564475646e+01
1.013184709830257452e+04,1.728412478864336066e+01
1.013184711907432757e+04,1.728236733201994468e+01
1.013184713984608061e+04,1.728060995577635595e+01
1.013184716061783365e+04,1.727885265991440633e+01
1.013184718138958669e+04,1.727709544443592549e+01
1.013184720216133974e+04,1.727533830934273240e+01
1.013184722293309278e+04,1.727358125463663896e+01
1.013184724370484582e+04,1.727182428031949613e+01
1.013184726447659887e+04,1.727006738639312289e+01
1.013184728524835191e+04,1.726831057285934534e+01
1.013184730602010495e+04,1.726655383971997537e+01
1.013184732679185799e+04,1.726479718697682486e+01
1.013184734756361104e+04,1.726304061463175898e+01
1.013184736833536408e+04,1.726128412268657542e+01
1.013184738910711712e+04,1.725952771114311091e+01
1.013184740987887017e+04,1.725777138000317734e+01
1.013184743065062321e+04,1.725601512926857950e+01
1.013184745142237625e+04,1.725425895894120032e+01
1.013184747219412930e+04,1.725250286902281260e+01
1.013184749296588234e+04,1.725074685951523890e+01
1.013184751373763538e+04,1.724899093042035148e+01
1.013184753450938842e+04,1.724723508173993380e+01
1.013184755528114147e+04,1.724547931347582264e+01
1.013184757605289451e+04,1.724372362562983341e+01
1.013184759682464755e+04,1.724196801820377800e+01
1.013184761759640060e+04,1.724021249119951094e+01
1.013184763836815364e+04,1.723845704461884765e+01
1.013184765913990850e+04,1.723670167830988476e+01
1.013184767991166154e+04,1.723494639258188599e+01
