Time (BJD_TBD - 2450000), L_total/L_star (ppm)
9.917311169478009106e+03,5.261387906843451390e+01
9.917311191123693789e+03,5.261253203859894256e+01
9.917311212769376652e+03,5.261118515841450005e+01
9.917311234415059516e+03,5.260983842776992248e+01
9.917311256060742380e+03,5.260849184666697909e+01
9.917311277706425244e+03,5.260714541510743203e+01
9.917311299352108108e+03,5.260579913309315714e+01
9.917311320997790972e+03,5.260445300062597340e+01
9.917311342643473836e+03,5.260310701770767849e+01
9.917311364289158519e+03,5.260176118422698721e+01
9.917311385934841383e+03,5.260041550041190561e+01
9.917311407580524246e+03,5.259906996615117691e+01
9.917311429226207110e+03,5.259772458144661300e+01
9.917311450871889974e+03,5.259637934630000444e+01
9.917311472517572838e+03,5.259503426071317023e+01
9.917311494163255702e+03,5.259368932468794355e+01
9.917311515808938566e+03,5.259234453822615762e+01
9.917311537454623249e+03,5.259099990121659829e+01
9.917311559100306113e+03,5.258965541388705844e+01
9.917311580745988977e+03,5.258831107612638789e+01
9.917311602391671840e+03,5.258696688793640561e+01
9.917311624037354704e+03,5.258562284931891639e+01
9.917311645683037568e+03,5.258427896027571080e+01
9.917311667328720432e+03,5.258293522080863625e+01
9.917311688974403296e+03,5.258159163091949750e+01
9.917311710620087979e+03,5.258024819049719412e+01
9.917311732265770843e+03,5.257890489976936976e+01
9.917311753911453707e+03,5.257756175862489556e+01
9.917311775557136571e+03,5.257621876706563313e+01
9.917311797202819434e+03,5.257487592509335173e+01
9.917311818848502298e+03,5.257353323270987033e+01
9.917311840494185162e+03,5.257219068991705058e+01
9.917311862139868026e+03,5.257084829671666171e+01
9.917311883785550890e+03,5.256950605311050140e+01
9.917311905431235573e+03,5.256816395898765393e+01
9.917311927076918437e+03,5.256682201457544323e+01
9.917311948722601301e+03,5.256548021976293228e+01
9.917311970368284165e+03,5.256413857455192584e+01
9.917311992013967028e+03,5.256279707894424291e+01
9.917312013659649892e+03,5.256145573294164564e+01
9.917312035305332756e+03,5.256011453654600984e+01
9.917312056951015620e+03,5.255877348975912611e+01
9.917312078596700303e+03,5.255743259247012134e+01
9.917312100242383167e+03,5.255609184490614894e+01
9.917312121888066031e+03,5.255475124695639266e+01
9.917312143533748895e+03,5.255341079862261466e+01
9.917312165179431759e+03,5.255207049990664814e+01
9.917312186825114622e+03,5.255073035081027655e+01
9.917312208470797486e+03,5.254939035133535441e+01
9.917312230116480350e+03,5.254805050148365808e+01
9.917312251762165033e+03,5.254671080114442816e+01
9.917312273407847897e+03,5.254537125054464752e+01
9.917312295053530761e+03,5.254403184957351414e+01
9.917312316699213625e+03,5.254269259823288252e+01
9.917312338344896489e+03,5.254135349652452192e+01
9.917312359990579353e+03,5.254001454445024422e+01
9.917312381636262216e+03,5.253867574201188262e+01
9.917312403281945080e+03,5.253733708921123480e+01
9.917312424927629763e+03,5.253599858593765504e+01
9.917312446573312627e+03,5.253466023241783489e+01
9.917312468218995491e+03,5.253332202854122102e+01
9.917312489864678355e+03,5.253198397430952582e+01
