Time (BJD_TBD - 2450000), L_c/L_star (ppm)
9.882460428240709007e+03,4.210048787277466431e+02
9.882460446256400246e+03,4.210088940259034871e+02
9.882460464272089666e+03,4.210129088829159514e+02
9.882460482287780906e+03,4.210169232995862671e+02
9.882460500303470326e+03,4.210209372750948660e+02
9.882460518319161565e+03,4.210249508102435811e+02
9.882460536334850985e+03,4.210289639042131284e+02
9.882460554350542225e+03,4.210329765578051706e+02
9.882460572366233464e+03,4.210369887706057170e+02
9.882460590381922884e+03,4.210410005422008908e+02
9.882460608397614124e+03,4.210450118733922409e+02
9.882460626413303544e+03,4.210490227633607105e+02
9.882460644428994783e+03,4.210530332129076214e+02
9.882460662444684203e+03,4.210570432212144283e+02
9.882460680460375443e+03,4.210610527890820549e+02
9.882460698476066682e+03,4.210650619160967949e+02
9.882460716491756102e+03,4.210690706018452261e+02
9.882460734507447341e+03,4.210730788471281585e+02
9.882460752523136762e+03,4.210770866511271038e+02
9.882460770538828001e+03,4.210810940146430426e+02
9.882460788554517421e+03,4.210851009368578275e+02
9.882460806570208661e+03,4.210891074185717571e+02
9.882460824585899900e+03,4.210931134593715797e+02
9.882460842601589320e+03,4.210971190588441004e+02
9.882460860617280559e+03,4.211011242177893905e+02
9.882460878632969980e+03,4.211051289353900415e+02
9.882460896648661219e+03,4.211091332124458972e+02
9.882460914664350639e+03,4.211131370481396061e+02
9.882460932680041878e+03,4.211171404432710688e+02
9.882460950695733118e+03,4.211211433974270903e+02
9.882460968711422538e+03,4.211251459101948740e+02
9.882460986727113777e+03,4.211291479823739792e+02
9.882461004742803198e+03,4.211331496131473955e+02
9.882461022758494437e+03,4.211371508033146256e+02
9.882461040774183857e+03,4.211411515520587159e+02
9.882461058789875096e+03,4.211451518601789985e+02
9.882461076805566336e+03,4.211491517272627334e+02
9.882461094821255756e+03,4.211531511528974079e+02
9.882461112836946995e+03,4.211571501378817857e+02
9.882461130852636416e+03,4.211611486813997089e+02
9.882461148868327655e+03,4.211651467842498278e+02
9.882461166884017075e+03,4.211691444456160980e+02
9.882461184899708314e+03,4.211731416662970560e+02
9.882461202915399554e+03,4.211771384458804164e+02
9.882461220931088974e+03,4.211811347839536097e+02
9.882461238946780213e+03,4.211851306813152860e+02
9.882461256962469633e+03,4.211891261371495716e+02
9.882461274978160873e+03,4.211931211522547756e+02
9.882461292993850293e+03,4.211971157258151948e+02
9.882461311009541532e+03,4.212011098586289108e+02
9.882461329025232772e+03,4.212051035502838658e+02
9.882461347040922192e+03,4.212090968003680018e+02
9.882461365056613431e+03,4.212130896096791162e+02
9.882461383072302851e+03,4.212170819774022448e+02
9.882461401087994091e+03,4.212210739043347303e+02
9.882461419103683511e+03,4.212250653896616654e+02
9.882461437119374750e+03,4.212290564341806203e+02
9.882461455135065989e+03,4.212330470374796505e+02
9.882461473150755410e+03,4.212370371991472666e+02
9.882461491166446649e+03,4.212410269199805271e+02
9.882461509182136069e+03,4.212450161991648088e+02
9.882461527197827309e+03,4.212490050374973407e+02
9.882461545213516729e+03,4.212529934341636704e+02
9.882461563229207968e+03,4.212569813899605151e+02
9.882461581244899207e+03,4.212609689044764991e+02
9.882461599260588628e+03,4.212649559773003034e+02
9.882461617276279867e+03,4.212689426092284748e+02
9.882461635291969287e+03,4.212729287994471292e+02
9.882461653307660526e+03,4.212769145487525293e+02
9.882461671323349947e+03,4.212808998563312457e+02
9.882461689339041186e+03,4.212848847229792000e+02
9.882461707354732425e+03,4.212888691482852437e+02
9.882461725370421846e+03,4.212928531318385126e+02
9.882461743386113085e+03,4.212968366744349282e+02
9.882461761401802505e+03,4.213008197752611181e+02
9.882461779417493744e+03,4.213048024351128902e+02
9.882461797433183165e+03,4.213087846531772129e+02
9.882461815448874404e+03,4.213127664302496100e+02
9.882461833464563824e+03,4.213167477655172775e+02
9.882461851480255064e+03,4.213207286597755683e+02
9.882461869495946303e+03,4.213247091126135615e+02
9.882461887511635723e+03,4.213286891236210181e+02
9.882461905527326962e+03,4.213326686935927796e+02
9.882461923543016383e+03,4.213366478217165536e+02
9.882461941558707622e+03,4.213406265087871247e+02
9.882461959574397042e+03,4.213446047539924848e+02
9.882461977590088281e+03,4.213485825581272479e+02
