Time (BJD_TBD - 2450000), F_star + F_g (mJy)
1.063802708333311602e+04,3.604300100691534059e+00
1.063802710516863226e+04,3.604300099606159602e+00
1.063802712700415032e+04,3.604300098520774487e+00
1.063802714883966655e+04,3.604300097435378269e+00
1.063802717067518279e+04,3.604300096349971838e+00
1.063802719251070084e+04,3.604300095264553860e+00
1.063802721434621708e+04,3.604300094179125669e+00
1.063802723618173331e+04,3.604300093093686819e+00
1.063802725801725137e+04,3.604300092008235978e+00
1.063802727985276761e+04,3.604300090922775812e+00
1.063802730168828566e+04,3.604300089837303656e+00
1.063802732352380190e+04,3.604300088751821729e+00
1.063802734535931813e+04,3.604300087666328700e+00
1.063802736719483619e+04,3.604300086580824569e+00
1.063802738903035242e+04,3.604300085495309780e+00
1.063802741086586866e+04,3.604300084409783889e+00
1.063802743270138672e+04,3.604300083324247339e+00
1.063802745453690295e+04,3.604300082238700131e+00
1.063802747637241919e+04,3.604300081153142266e+00
1.063802749820793724e+04,3.604300080067572853e+00
1.063802752004345348e+04,3.604300078981993671e+00
1.063802754187896971e+04,3.604300077896402943e+00
1.063802756371448777e+04,3.604300076810801556e+00
1.063802758555000401e+04,3.604300075725189512e+00
1.063802760738552206e+04,3.604300074639566809e+00
1.063802762922103830e+04,3.604300073553932560e+00
1.063802765105655453e+04,3.604300072468288541e+00
1.063802767289207259e+04,3.604300071382633419e+00
1.063802769472758882e+04,3.604300070296966751e+00
1.063802771656310506e+04,3.604300069211290314e+00
1.063802773839862311e+04,3.604300068125602330e+00
1.063802776023413935e+04,3.604300067039904132e+00
1.063802778206965559e+04,3.604300065954194832e+00
1.063802780390517364e+04,3.604300064868474873e+00
1.063802782574068988e+04,3.604300063782743813e+00
1.063802784757620611e+04,3.604300062697002094e+00
1.063802786941172417e+04,3.604300061611249717e+00
1.063802789124724040e+04,3.604300060525485794e+00
1.063802791308275846e+04,3.604300059439712101e+00
1.063802793491827470e+04,3.604300058353926861e+00
1.063802795675379093e+04,3.604300057268131408e+00
1.063802797858930899e+04,3.604300056182325296e+00
1.063802800042482522e+04,3.604300055096507194e+00
1.063802802226034146e+04,3.604300054010679766e+00
1.063802804409585951e+04,3.604300052924840791e+00
1.063802806593137575e+04,3.604300051838990715e+00
1.063802808776689199e+04,3.604300050753130424e+00
1.063802810960241004e+04,3.604300049667259032e+00
1.063802813143792628e+04,3.604300048581376981e+00
1.063802815327344251e+04,3.604300047495483827e+00
1.063802817510896057e+04,3.604300046409580016e+00
1.063802819694447680e+04,3.604300045323665991e+00
1.063802821877999486e+04,3.604300044237740863e+00
1.063802824061551109e+04,3.604300043151804189e+00
1.063802826245102733e+04,3.604300042065857301e+00
1.063802828428654539e+04,3.604300040979899311e+00
1.063802830612206162e+04,3.604300039893931107e+00
1.063802832795757786e+04,3.604300038807952244e+00
1.063802834979309591e+04,3.604300037721962280e+00
1.063802837162861215e+04,3.604300036635960769e+00
1.063802839346412838e+04,3.604300035549949044e+00
1.063802841529964644e+04,3.604300034463926217e+00
1.063802843713516268e+04,3.604300033377893175e+00
1.063802845897067891e+04,3.604300032291849476e+00
1.063802848080619697e+04,3.604300031205794674e+00
1.063802850264171320e+04,3.604300030119728326e+00
1.063802852447723126e+04,3.604300029033652208e+00
1.063802854631274749e+04,3.604300027947564988e+00
1.063802856814826373e+04,3.604300026861467110e+00
1.063802858998378179e+04,3.604300025775357685e+00
1.063802861181929802e+04,3.604300024689238047e+00
1.063802863365481426e+04,3.604300023603107750e+00
1.063802865549033231e+04,3.604300022516966795e+00
1.063802867732584855e+04,3.604300021430814294e+00
1.063802869916136478e+04,3.604300020344651134e+00
1.063802872099688284e+04,3.604300019258477761e+00
1.063802874283239908e+04,3.604300018172293285e+00
1.063802876466791531e+04,3.604300017086098595e+00
1.063802878650343337e+04,3.604300015999892359e+00
1.063802880833894960e+04,3.604300014913675021e+00
1.063802883017446766e+04,3.604300013827447469e+00
1.063802885200998389e+04,3.604300012741209258e+00
1.063802887384550013e+04,3.604300011654959945e+00
1.063802889568101818e+04,3.604300010568699975e+00
1.063802891751653442e+04,3.604300009482429346e+00
1.063802893935205066e+04,3.604300008396147614e+00
1.063802896118756871e+04,3.604300007309855225e+00
1.063802898302308495e+04,3.604300006223552177e+00
1.063802900485860118e+04,3.604300005137238028e+00
1.063802902669411924e+04,3.604300004050912776e+00
1.063802904852963547e+04,3.604300002964577754e+00
1.063802907036515171e+04,3.604300001878231630e+00
1.063802909220066977e+04,3.604300000791874403e+00
1.063802911403618600e+04,3.604299999705505630e+00
1.063802913587170406e+04,3.604299998619127532e+00
1.063802915770722029e+04,3.604299997532738331e+00
1.063802917954273653e+04,3.604299996446337584e+00
1.063802920137825458e+04,3.604299995359926623e+00
1.063802922321377082e+04,3.604299994273504559e+00
1.063802924504928706e+04,3.604299993187071838e+00
1.063802926688480511e+04,3.604299992100628014e+00
1.063802928872032135e+04,3.604299991014173976e+00
1.063802931055583758e+04,3.604299989927708392e+00
1.063802933239135564e+04,3.604299988841232594e+00
1.063802935422687187e+04,3.604299987754746137e+00
1.063802937606238811e+04,3.604299986668249023e+00
1.063802939789790616e+04,3.604299985581740362e+00
1.063802941973342240e+04,3.604299984495221487e+00
1.063802944156894046e+04,3.604299983408691066e+00
1.063802946340445669e+04,3.604299982322151319e+00
1.063802948523997293e+04,3.604299981235599581e+00
1.063802950707549098e+04,3.604299980149037186e+00
1.063802952891100722e+04,3.604299979062464576e+00
1.063802955074652346e+04,3.604299977975880864e+00
1.063802957258204151e+04,3.604299976889285606e+00
1.063802959441755775e+04,3.604299975802680134e+00
1.063802961625307398e+04,3.604299974716064447e+00
1.063802963808859204e+04,3.604299973629437215e+00
1.063802965992410827e+04,3.604299972542799768e+00
1.063802968175962451e+04,3.604299971456151219e+00
1.063802970359514256e+04,3.604299970369491124e+00
1.063802972543065880e+04,3.604299969282821703e+00
1.063802974726617686e+04,3.604299968196140291e+00
1.063802976910169309e+04,3.604299967109448222e+00
1.063802979093720933e+04,3.604299966022745938e+00
1.063802981277272738e+04,3.604299964936032552e+00
1.063802983460824362e+04,3.604299963849308508e+00
1.063802985644375985e+04,3.604299962762574250e+00
1.063802987827927791e+04,3.604299961675828001e+00
1.063802990011479415e+04,3.604299960589071983e+00
1.063802992195031038e+04,3.604299959502305306e+00
1.063802994378582844e+04,3.604299958415526639e+00
1.063802996562134467e+04,3.604299957328738202e+00
1.063802998745686091e+04,3.604299956241938219e+00
1.063803000929237896e+04,3.604299955155128021e+00
1.063803003112789520e+04,3.604299954068306278e+00
1.063803005296341325e+04,3.604299952981474320e+00
1.063803007479892949e+04,3.604299951894632148e+00
1.063803009663444573e+04,3.604299950807778430e+00
1.063803011846996378e+04,3.604299949720913609e+00
1.063803014030548002e+04,3.604299948634038575e+00
1.063803016214099625e+04,3.604299947547152883e+00
1.063803018397651431e+04,3.604299946460256088e+00
1.063803020581203054e+04,3.604299945373349079e+00
1.063803022764754678e+04,3.604299944286430968e+00
1.063803024948306484e+04,3.604299943199501310e+00
1.063803027131858107e+04,3.604299942112561883e+00
1.063803029315409731e+04,3.604299941025610909e+00
1.063803031498961536e+04,3.604299939938649278e+00
1.063803033682513160e+04,3.604299938851677432e+00
1.063803035866064965e+04,3.604299937764694040e+00
1.063803038049616589e+04,3.604299936677700433e+00
1.063803040233168213e+04,3.604299935590696613e+00
1.063803042416720018e+04,3.604299934503680802e+00
1.063803044600271642e+04,3.604299933416655222e+00
1.063803046783823265e+04,3.604299932329618095e+00
1.063803048967375071e+04,3.604299931242570310e+00
1.063803051150926694e+04,3.604299930155511866e+00
1.063803053334478318e+04,3.604299929068442321e+00
1.063803055518030123e+04,3.604299927981362117e+00
1.063803057701581747e+04,3.604299926894271699e+00
1.063803059885133371e+04,3.604299925807170180e+00
1.063803062068685176e+04,3.604299924720057113e+00
1.063803064252236800e+04,3.604299923632934277e+00
1.063803066435788605e+04,3.604299922545800339e+00
1.063803068619340229e+04,3.604299921458655742e+00
1.063803070802891853e+04,3.604299920371500487e+00
1.063803072986443658e+04,3.604299919284334131e+00
1.063803075169995282e+04,3.604299918197156227e+00
1.063803077353546905e+04,3.604299917109968998e+00
1.063803079537098711e+04,3.604299916022769779e+00
1.063803081720650334e+04,3.604299914935560789e+00
1.063803083904201958e+04,3.604299913848340253e+00
1.063803086087753763e+04,3.604299912761109503e+00
1.063803088271305387e+04,3.604299911673867207e+00
1.063803090454857011e+04,3.604299910586615141e+00
1.063803092638408816e+04,3.604299909499351973e+00
1.063803094821960440e+04,3.604299908412077258e+00
1.063803097005512245e+04,3.604299907324792329e+00
1.063803099189063869e+04,3.604299906237496298e+00
1.063803101372615492e+04,3.604299905150190053e+00
1.063803103556167298e+04,3.604299904062873150e+00
1.063803105739718922e+04,3.604299902975544700e+00
1.063803107923270545e+04,3.604299901888206481e+00
1.063803110106822351e+04,3.604299900800856715e+00
1.063803112290373974e+04,3.604299899713495847e+00
1.063803114473925598e+04,3.604299898626124321e+00
1.063803116657477403e+04,3.604299897538742581e+00
1.063803118841029027e+04,3.604299896451349738e+00
1.063803121024580651e+04,3.604299895363946682e+00
1.063803123208132456e+04,3.604299894276532079e+00
1.063803125391684080e+04,3.604299893189107262e+00
1.063803127575235885e+04,3.604299892101670899e+00
1.063803129758787509e+04,3.604299891014224322e+00
1.063803131942339132e+04,3.604299889926767531e+00
1.063803134125890938e+04,3.604299888839299193e+00
1.063803136309442561e+04,3.604299887751819753e+00
1.063803138492994185e+04,3.604299886664330099e+00
1.063803140676545991e+04,3.604299885576829343e+00
1.063803142860097614e+04,3.604299884489318817e+00
1.063803145043649238e+04,3.604299883401796301e+00
1.063803147227201043e+04,3.604299882314263126e+00
1.063803149410752667e+04,3.604299881226719737e+00
1.063803151594304290e+04,3.604299880139165246e+00
1.063803153777856096e+04,3.604299879051600097e+00
1.063803155961407720e+04,3.604299877964024290e+00
1.063803158144959525e+04,3.604299876876437381e+00
1.063803160328511149e+04,3.604299875788839813e+00
1.063803162512062772e+04,3.604299874701231587e+00
1.063803164695614578e+04,3.604299873613612260e+00
1.063803166879166201e+04,3.604299872525982273e+00
1.063803169062717825e+04,3.604299871438341185e+00
1.063803171246269631e+04,3.604299870350689883e+00
1.063803173429821254e+04,3.604299869263027922e+00
1.063803175613372878e+04,3.604299868175355304e+00
1.063803177796924683e+04,3.604299867087670695e+00
1.063803179980476307e+04,3.604299865999976316e+00
1.063803182164027930e+04,3.604299864912271278e+00
1.063803184347579736e+04,3.604299863824555139e+00
1.063803186531131360e+04,3.604299862736828342e+00
1.063803188714683165e+04,3.604299861649090442e+00
1.063803190898234789e+04,3.604299860561342328e+00
1.063803193081786412e+04,3.604299859473583112e+00
1.063803195265338218e+04,3.604299858385813238e+00
1.063803197448889841e+04,3.604299857298031817e+00
1.063803199632441465e+04,3.604299856210240627e+00
1.063803201815993270e+04,3.604299855122437890e+00
1.063803203999544894e+04,3.604299854034624939e+00
1.063803206183096518e+04,3.604299852946801330e+00
1.063803208366648323e+04,3.604299851858966619e+00
1.063803210550199947e+04,3.604299850771120806e+00
1.063803212733751570e+04,3.604299849683264778e+00
1.063803214917303376e+04,3.604299848595398092e+00
1.063803217100854999e+04,3.604299847507519861e+00
1.063803219284406623e+04,3.604299846419631859e+00
1.063803221467958429e+04,3.604299845331732310e+00
1.063803223651510052e+04,3.604299844243822548e+00
1.063803225835061858e+04,3.604299843155901240e+00
1.063803228018613481e+04,3.604299842067969717e+00
1.063803230202165105e+04,3.604299840980027092e+00
1.063803232385716910e+04,3.604299839892073809e+00
1.063803234569268534e+04,3.604299838804110312e+00
1.063803236752820158e+04,3.604299837716135713e+00
1.063803238936371963e+04,3.604299836628150011e+00
1.063803241119923587e+04,3.604299835540153651e+00
1.063803243303475210e+04,3.604299834452146634e+00
1.063803245487027016e+04,3.604299833364128958e+00
1.063803247670578639e+04,3.604299832276100624e+00
1.063803249854130263e+04,3.604299831188061187e+00
1.063803252037682068e+04,3.604299830100011093e+00
1.063803254221233692e+04,3.604299829011949896e+00
1.063803256404785498e+04,3.604299827923878485e+00
1.063803258588337121e+04,3.604299826835795528e+00
1.063803260771888745e+04,3.604299825747702357e+00
1.063803262955440550e+04,3.604299824659598084e+00
1.063803265138992174e+04,3.604299823571484040e+00
1.063803267322543797e+04,3.604299822483358451e+00
1.063803269506095603e+04,3.604299821395221759e+00
1.063803271689647227e+04,3.604299820307075297e+00
1.063803273873198850e+04,3.604299819218917289e+00
1.063803276056750656e+04,3.604299818130748623e+00
1.063803278240302279e+04,3.604299817042569298e+00
1.063803280423853903e+04,3.604299815954379316e+00
1.063803282607405708e+04,3.604299814866177787e+00
1.063803284790957332e+04,3.604299813777966488e+00
1.063803286974509138e+04,3.604299812689743643e+00
1.063803289158060761e+04,3.604299811601510584e+00
1.063803291341612385e+04,3.604299810513266866e+00
1.063803293525164190e+04,3.604299809425012047e+00
1.063803295708715814e+04,3.604299808336746125e+00
1.063803297892267437e+04,3.604299807248469545e+00
1.063803300075819243e+04,3.604299806160182751e+00
1.063803302259370867e+04,3.604299805071884855e+00
1.063803304442922490e+04,3.604299803983576300e+00
1.063803306626474296e+04,3.604299802895256644e+00
1.063803308810025919e+04,3.604299801806926773e+00
1.063803310993577543e+04,3.604299800718585356e+00
1.063803313177129348e+04,3.604299799630233725e+00
1.063803315360680972e+04,3.604299798541871880e+00
1.063803317544232777e+04,3.604299797453497600e+00
1.063803319727784401e+04,3.604299796365113995e+00
1.063803321911336025e+04,3.604299795276719287e+00
1.063803324094887830e+04,3.604299794188313921e+00
1.063803326278439454e+04,3.604299793099897453e+00
1.063803328461991077e+04,3.604299792011470771e+00
1.063803330645542883e+04,3.604299790923032543e+00
1.063803332829094506e+04,3.604299789834584100e+00
1.063803335012646130e+04,3.604299788746124555e+00
1.063803337196197936e+04,3.604299787657654353e+00
1.063803339379749559e+04,3.604299786569173047e+00
1.063803341563301183e+04,3.604299785480681528e+00
1.063803343746852988e+04,3.604299784392179351e+00
1.063803345930404612e+04,3.604299783303666072e+00
1.063803348113956417e+04,3.604299782215141690e+00
1.063803350297508041e+04,3.604299781126607538e+00
1.063803352481059665e+04,3.604299780038061396e+00
1.063803354664611470e+04,3.604299778949505484e+00
1.063803356848163094e+04,3.604299777860938025e+00
1.063803359031714717e+04,3.604299776772360797e+00
1.063803361215266523e+04,3.604299775683772022e+00
1.063803363398818146e+04,3.604299774595172590e+00
1.063803365582369770e+04,3.604299773506562055e+00
1.063803367765921575e+04,3.604299772417941750e+00
1.063803369949473199e+04,3.604299771329309898e+00
1.063803372133024823e+04,3.604299770240666945e+00
1.063803374316576628e+04,3.604299769152014665e+00
1.063803376500128252e+04,3.604299768063349951e+00
1.063803378683680057e+04,3.604299766974675912e+00
1.063803380867231681e+04,3.604299765885989881e+00
1.063803383050783304e+04,3.604299764797294081e+00
1.063803385234335110e+04,3.604299763708587179e+00
1.063803387417886734e+04,3.604299762619868730e+00
1.063803389601438357e+04,3.604299761531140067e+00
1.063803391784990163e+04,3.604299760442401190e+00
1.063803393968541786e+04,3.604299759353651211e+00
1.063803396152093410e+04,3.604299758264890574e+00
1.063803398335645215e+04,3.604299757176118835e+00
1.063803400519196839e+04,3.604299756087336437e+00
1.063803402702748463e+04,3.604299754998543381e+00
1.063803404886300268e+04,3.604299753909739223e+00
1.063803407069851892e+04,3.604299752820924407e+00
1.063803409253403697e+04,3.604299751732098933e+00
1.063803411436955321e+04,3.604299750643263245e+00
1.063803413620506944e+04,3.604299749554416010e+00
1.063803415804058750e+04,3.604299748465558118e+00
1.063803417987610374e+04,3.604299747376689567e+00
1.063803420171161997e+04,3.604299746287810358e+00
1.063803422354713803e+04,3.604299745198920046e+00
1.063803424538265426e+04,3.604299744110019521e+00
1.063803426721817050e+04,3.604299743021108338e+00
1.063803428905368855e+04,3.604299741932186496e+00
1.063803431088920479e+04,3.604299740843252664e+00
1.063803433272472103e+04,3.604299739754309062e+00
1.063803435456023908e+04,3.604299738665354802e+00
1.063803437639575532e+04,3.604299737576389440e+00
1.063803439823127337e+04,3.604299736487413419e+00
1.063803442006678961e+04,3.604299735398426296e+00
1.063803444190230584e+04,3.604299734309428960e+00
1.063803446373782390e+04,3.604299733220420521e+00
1.063803448557334013e+04,3.604299732131401424e+00
1.063803450740885637e+04,3.604299731042371224e+00
1.063803452924437443e+04,3.604299729953330367e+00
1.063803455107989066e+04,3.604299728864279295e+00
1.063803457291540690e+04,3.604299727775217121e+00
1.063803459475092495e+04,3.604299726686144290e+00
1.063803461658644119e+04,3.604299725597060355e+00
1.063803463842195742e+04,3.604299724507966207e+00
1.063803466025747548e+04,3.604299723418860513e+00
1.063803468209299172e+04,3.604299722329744604e+00
1.063803470392850977e+04,3.604299721240617593e+00
1.063803472576402601e+04,3.604299720151480368e+00
1.063803474759954224e+04,3.604299719062332485e+00
1.063803476943506030e+04,3.604299717973173056e+00
1.063803479127057653e+04,3.604299716884003857e+00
1.063803481310609277e+04,3.604299715794823111e+00
1.063803483494161082e+04,3.604299714705631708e+00
1.063803485677712706e+04,3.604299713616429646e+00
1.063803487861264330e+04,3.604299712527216926e+00
1.063803490044816135e+04,3.604299711437993547e+00
1.063803492228367759e+04,3.604299710348759511e+00
1.063803494411919382e+04,3.604299709259513929e+00
1.063803496595471188e+04,3.604299708170257688e+00
1.063803498779022812e+04,3.604299707080991677e+00
1.063803500962574617e+04,3.604299705991714120e+00
1.063803503146126241e+04,3.604299704902425905e+00
1.063803505329677864e+04,3.604299703813127032e+00
1.063803507513229670e+04,3.604299702723817500e+00
1.063803509696781293e+04,3.604299701634497310e+00
1.063803511880332917e+04,3.604299700545166019e+00
1.063803514063884722e+04,3.604299699455824069e+00
1.063803516247436346e+04,3.604299698366471905e+00
1.063803518430987970e+04,3.604299697277107750e+00
1.063803520614539775e+04,3.604299696187734270e+00
1.063803522798091399e+04,3.604299695098348799e+00
1.063803524981643022e+04,3.604299694008953558e+00
1.063803527165194828e+04,3.604299692919547216e+00
1.063803529348746451e+04,3.604299691830129770e+00
1.063803531532298257e+04,3.604299690740701667e+00
1.063803533715849881e+04,3.604299689651263350e+00
1.063803535899401504e+04,3.604299688561813486e+00
1.063803538082953310e+04,3.604299687472353408e+00
1.063803540266504933e+04,3.604299686382882228e+00
1.063803542450056557e+04,3.604299685293400834e+00
1.063803544633608362e+04,3.604299684203908782e+00
1.063803546817159986e+04,3.604299683114405628e+00
1.063803549000711610e+04,3.604299682024890927e+00
1.063803551184263415e+04,3.604299680935366457e+00
1.063803553367815039e+04,3.604299679845830884e+00
1.063803555551366662e+04,3.604299678756284653e+00
1.063803557734918468e+04,3.604299677666727764e+00
1.063803559918470091e+04,3.604299676577159772e+00
1.063803562102021897e+04,3.604299675487581123e+00
1.063803564285573520e+04,3.604299674397992259e+00
1.063803566469125144e+04,3.604299673308392293e+00
1.063803568652676950e+04,3.604299672218781225e+00
1.063803570836228573e+04,3.604299671129160387e+00
1.063803573019780197e+04,3.604299670039527559e+00
1.063803575203332002e+04,3.604299668949884961e+00
1.063803577386883626e+04,3.604299667860231260e+00
1.063803579570435249e+04,3.604299666770566457e+00
1.063803581753987055e+04,3.604299665680890996e+00
1.063803583937538679e+04,3.604299664591205321e+00
1.063803586121090302e+04,3.604299663501508544e+00
1.063803588304642108e+04,3.604299662411800664e+00
1.063803590488193731e+04,3.604299661322082571e+00
1.063803592671745537e+04,3.604299660232352931e+00
1.063803594855297160e+04,3.604299659142613965e+00
1.063803597038848784e+04,3.604299658052863453e+00
1.063803599222400589e+04,3.604299656963101395e+00
1.063803601405952213e+04,3.604299655873329566e+00
1.063803603589503837e+04,3.604299654783547080e+00
1.063803605773055642e+04,3.604299653693753047e+00
1.063803607956607266e+04,3.604299652603949244e+00
1.063803610140158889e+04,3.604299651514134339e+00
1.063803612323710695e+04,3.604299650424307888e+00
1.063803614507262319e+04,3.604299649334472111e+00
1.063803616690813942e+04,3.604299648244624343e+00
1.063803618874365748e+04,3.604299647154765918e+00
1.063803621057917371e+04,3.604299646064897722e+00
1.063803623241469177e+04,3.604299644975017536e+00
1.063803625425020800e+04,3.604299643885128024e+00
1.063803627608572424e+04,3.604299642795226966e+00
1.063803629792124229e+04,3.604299641705314805e+00
1.063803631975675853e+04,3.604299640615392430e+00
1.063803634159227477e+04,3.604299639525459398e+00
1.063803636342779282e+04,3.604299638435515263e+00
1.063803638526330906e+04,3.604299637345560470e+00
1.063803640709882529e+04,3.604299636255595018e+00
1.063803642893434335e+04,3.604299635165618465e+00
1.063803645076985958e+04,3.604299634075631253e+00
1.063803647260537582e+04,3.604299632985633384e+00
1.063803649444089388e+04,3.604299631895625300e+00
1.063803651627641011e+04,3.604299630805606114e+00
1.063803653811192817e+04,3.604299629715575382e+00
1.063803655994744440e+04,3.604299628625535323e+00
1.063803658178296064e+04,3.604299627535483719e+00
1.063803660361847869e+04,3.604299626445421012e+00
1.063803662545399493e+04,3.604299625355348091e+00
1.063803664728951117e+04,3.604299624265264512e+00
1.063803666912502922e+04,3.604299623175170275e+00
1.063803669096054546e+04,3.604299622085064048e+00
1.063803671279606169e+04,3.604299620994948938e+00
1.063803673463157975e+04,3.604299619904821395e+00
1.063803675646709598e+04,3.604299618814684525e+00
1.063803677830261222e+04,3.604299617724536109e+00
1.063803680013813027e+04,3.604299616634376591e+00
1.063803682197364651e+04,3.604299615544207747e+00
1.063803684380916457e+04,3.604299614454026468e+00
1.063803686564468080e+04,3.604299613363835864e+00
1.063803688748019704e+04,3.604299612273633269e+00
1.063803690931571509e+04,3.604299611183420904e+00
1.063803693115123133e+04,3.604299610093197437e+00
1.063803695298674756e+04,3.604299609002962868e+00
1.063803697482226562e+04,3.604299607912717640e+00
1.063803699665778186e+04,3.604299606822462199e+00
1.063803701849329809e+04,3.604299605732195655e+00
1.063803704032881615e+04,3.604299604641918453e+00
1.063803706216433238e+04,3.604299603551631037e+00
1.063803708399984862e+04,3.604299602461332519e+00
1.063803710583536667e+04,3.604299601371022455e+00
1.063803712767088291e+04,3.604299600280702176e+00
1.063803714950640097e+04,3.604299599190371683e+00
1.063803717134191720e+04,3.604299598100029645e+00
1.063803719317743344e+04,3.604299597009677392e+00
1.063803721501295149e+04,3.604299595919314481e+00
1.063803723684846773e+04,3.604299594828940911e+00
1.063803725868398396e+04,3.604299593738555796e+00
1.063803728051950202e+04,3.604299592648160022e+00
1.063803730235501826e+04,3.604299591557754034e+00
1.063803732419053449e+04,3.604299590467337833e+00
1.063803734602605255e+04,3.604299589376909640e+00
1.063803736786156878e+04,3.604299588286471678e+00
1.063803738969708502e+04,3.604299587196022614e+00
1.063803741153260307e+04,3.604299586105562891e+00
1.063803743336811931e+04,3.604299585015092067e+00
1.063803745520363555e+04,3.604299583924611028e+00
1.063803747703915360e+04,3.604299582834118887e+00
1.063803749887466984e+04,3.604299581743616088e+00
1.063803752071018789e+04,3.604299580653101742e+00
1.063803754254570413e+04,3.604299579562577627e+00
1.063803756438122036e+04,3.604299578472042853e+00
1.063803758621673842e+04,3.604299577381496977e+00
1.063803760805225465e+04,3.604299576290940443e+00
1.063803762988777089e+04,3.604299575200373695e+00
1.063803765172328895e+04,3.604299574109794957e+00
1.063803767355880518e+04,3.604299573019206449e+00
1.063803769539432142e+04,3.604299571928606838e+00
1.063803771722983947e+04,3.604299570837997013e+00
1.063803773906535571e+04,3.604299569747375642e+00
1.063803776090087194e+04,3.604299568656744057e+00
1.063803778273639000e+04,3.604299567566101370e+00
1.063803780457190624e+04,3.604299566475448025e+00
1.063803782640742429e+04,3.604299565384784465e+00
1.063803784824294053e+04,3.604299564294109803e+00
1.063803787007845676e+04,3.604299563203424484e+00
1.063803789191397482e+04,3.604299562112728061e+00
1.063803791374949105e+04,3.604299561022021425e+00
1.063803793558500729e+04,3.604299559931304131e+00
1.063803795742052534e+04,3.604299558840575735e+00
1.063803797925604158e+04,3.604299557749836236e+00
1.063803800109155782e+04,3.604299556659086967e+00
1.063803802292707587e+04,3.604299555568325708e+00
1.063803804476259211e+04,3.604299554477554679e+00
1.063803806659810834e+04,3.604299553386772548e+00
1.063803808843362640e+04,3.604299552295979314e+00
1.063803811026914263e+04,3.604299551205176755e+00
1.063803813210466069e+04,3.604299550114361761e+00
1.063803815394017693e+04,3.604299549023537441e+00
1.063803817577569316e+04,3.604299547932701575e+00
1.063803819761121122e+04,3.604299546841854607e+00
1.063803821944672745e+04,3.604299545750997424e+00
1.063803824128224369e+04,3.604299544660129584e+00
1.063803826311776174e+04,3.604299543569251085e+00
1.063803828495327798e+04,3.604299542478361484e+00
1.063803830678879422e+04,3.604299541387461225e+00
1.063803832862431227e+04,3.604299540296550308e+00
1.063803835045982851e+04,3.604299539205628733e+00
1.063803837229534474e+04,3.604299538114696499e+00
1.063803839413086280e+04,3.604299537023752720e+00
1.063803841596637903e+04,3.604299535932799614e+00
1.063803843780189709e+04,3.604299534841834962e+00
1.063803845963741333e+04,3.604299533750859208e+00
1.063803848147292956e+04,3.604299532659873240e+00
1.063803850330844762e+04,3.604299531568876613e+00
1.063803852514396385e+04,3.604299530477868885e+00
1.063803854697948009e+04,3.604299529386850498e+00
1.063803856881499814e+04,3.604299528295821453e+00
1.063803859065051438e+04,3.604299527204781750e+00
1.063803861248603062e+04,3.604299526113731389e+00
1.063803863432154867e+04,3.604299525022670370e+00
1.063803865615706491e+04,3.604299523931598248e+00
1.063803867799258114e+04,3.604299522840515468e+00
1.063803869982809920e+04,3.604299521749422031e+00
1.063803872166361543e+04,3.604299520658318379e+00
1.063803874349913349e+04,3.604299519567203625e+00
1.063803876533464972e+04,3.604299518476077324e+00
1.063803878717016596e+04,3.604299517384941698e+00
1.063803880900568402e+04,3.604299516293793637e+00
1.063803883084120025e+04,3.604299515202636250e+00
1.063803885267671649e+04,3.604299514111467762e+00
1.063803887451223454e+04,3.604299513020288170e+00
1.063803889634775078e+04,3.604299511929098809e+00
1.063803891818326701e+04,3.604299510837897014e+00
1.063803894001878507e+04,3.604299509746686336e+00
1.063803896185430131e+04,3.604299508655464113e+00
1.063803898368981754e+04,3.604299507564230787e+00
1.063803900552533560e+04,3.604299506472986803e+00
1.063803902736085183e+04,3.604299505381732605e+00
1.063803904919636989e+04,3.604299504290467304e+00
1.063803907103188612e+04,3.604299503199191346e+00
1.063803909286740236e+04,3.604299502107905173e+00
1.063803911470292041e+04,3.604299501016607898e+00
1.063803913653843665e+04,3.604299499925299965e+00
1.063803915837395289e+04,3.604299498833980930e+00
1.063803918020947094e+04,3.604299497742651681e+00
1.063803920204498718e+04,3.604299496651310886e+00
1.063803922388050341e+04,3.604299495559959876e+00
1.063803924571602147e+04,3.604299494468598208e+00
1.063803926755153771e+04,3.604299493377225883e+00
1.063803928938705394e+04,3.604299492285842899e+00
1.063803931122257200e+04,3.604299491194448368e+00
1.063803933305808823e+04,3.604299490103043624e+00
1.063803935489360629e+04,3.604299489011628665e+00
1.063803937672912252e+04,3.604299487920202605e+00
1.063803939856463876e+04,3.604299486828765886e+00
1.063803942040015681e+04,3.604299485737318065e+00
