Time (BJD_TBD - 2450000), F_star + F_d (mJy)
1.013335255787055939e+04,3.658288862877777436e+00
1.013335257878931770e+04,3.658288870801134518e+00
1.013335259970807601e+04,3.658288878724452520e+00
1.013335262062683432e+04,3.658288886647732774e+00
1.013335264154559445e+04,3.658288894570972616e+00
1.013335266246435276e+04,3.658288902494173822e+00
1.013335268338311107e+04,3.658288910417335060e+00
1.013335270430186938e+04,3.658288918340457219e+00
1.013335272522062769e+04,3.658288926263540741e+00
1.013335274613938600e+04,3.658288934186585184e+00
1.013335276705814431e+04,3.658288942109589659e+00
1.013335278797690262e+04,3.658288950032555054e+00
1.013335280889566275e+04,3.658288957955482701e+00
1.013335282981442106e+04,3.658288965878369492e+00
1.013335285073317937e+04,3.658288973801217203e+00
1.013335287165193768e+04,3.658288981724025835e+00
1.013335289257069599e+04,3.658288989646795830e+00
1.013335291348945429e+04,3.658288997569525858e+00
1.013335293440821260e+04,3.658289005492215917e+00
1.013335295532697091e+04,3.658289013414867785e+00
1.013335297624573104e+04,3.658289021337480129e+00
1.013335299716448935e+04,3.658289029260053393e+00
1.013335301808324766e+04,3.658289037182586689e+00
1.013335303900200597e+04,3.658289045105081350e+00
1.013335305992076428e+04,3.658289053027536042e+00
1.013335308083952259e+04,3.658289060949951654e+00
1.013335310175828090e+04,3.658289068872327743e+00
1.013335312267703921e+04,3.658289076794664307e+00
1.013335314359579934e+04,3.658289084716962236e+00
1.013335316451455765e+04,3.658289092639220641e+00
1.013335318543331596e+04,3.658289100561439522e+00
1.013335320635207427e+04,3.658289108483618879e+00
1.013335322727083258e+04,3.658289116405758268e+00
1.013335324818959089e+04,3.658289124327859021e+00
1.013335326910834920e+04,3.658289132249919806e+00
1.013335329002710751e+04,3.658289140171941511e+00
1.013335331094586763e+04,3.658289148093924137e+00
1.013335333186462594e+04,3.658289156015867238e+00
1.013335335278338425e+04,3.658289163937770372e+00
1.013335337370214256e+04,3.658289171859634425e+00
1.013335339462090087e+04,3.658289179781458511e+00
1.013335341553965918e+04,3.658289187703243073e+00
1.013335343645841749e+04,3.658289195624988999e+00
1.013335345737717762e+04,3.658289203546695401e+00
1.013335347829593593e+04,3.658289211468361390e+00
1.013335349921469424e+04,3.658289219389988300e+00
1.013335352013345255e+04,3.658289227311576575e+00
1.013335354105221086e+04,3.658289235233123549e+00
1.013335356197096917e+04,3.658289243154632331e+00
1.013335358288972748e+04,3.658289251076100701e+00
1.013335360380848579e+04,3.658289258997530435e+00
1.013335362472724591e+04,3.658289266918920202e+00
1.013335364564600422e+04,3.658289274840270000e+00
1.013335366656476253e+04,3.658289282761581163e+00
1.013335368748352084e+04,3.658289290682851469e+00
1.013335370840227915e+04,3.658289298604083140e+00
1.013335372932103746e+04,3.658289306525274842e+00
1.013335375023979577e+04,3.658289314446427465e+00
1.013335377115855408e+04,3.658289322367539231e+00
1.013335379207731421e+04,3.658289330288613250e+00
1.013335381299607252e+04,3.658289338209646413e+00
1.013335383391483083e+04,3.658289346130640052e+00
1.013335385483358914e+04,3.658289354051593278e+00
1.013335387575234745e+04,3.658289361972508313e+00
1.013335389667110576e+04,3.658289369893382048e+00
1.013335391758986407e+04,3.658289377814217147e+00
1.013335393850862238e+04,3.658289385735012278e+00
1.013335395942738251e+04,3.658289393655768773e+00
1.013335398034614082e+04,3.658289401576484412e+00
1.013335400126489913e+04,3.658289409497160971e+00
1.013335402218365743e+04,3.658289417417797118e+00
1.013335404310241574e+04,3.658289425338393297e+00
1.013335406402117405e+04,3.658289433258950840e+00
1.013335408493993236e+04,3.658289441179467971e+00
1.013335410585869067e+04,3.658289449099945134e+00
1.013335412677745080e+04,3.658289457020383662e+00
1.013335414769620911e+04,3.658289464940781777e+00
1.013335416861496742e+04,3.658289472861139924e+00
1.013335418953372573e+04,3.658289480781457659e+00
1.013335421045248404e+04,3.658289488701736314e+00
1.013335423137124235e+04,3.658289496621975001e+00
1.013335425229000066e+04,3.658289504542174164e+00
1.013335427320876079e+04,3.658289512462334248e+00
1.013335429412751910e+04,3.658289520382453031e+00
1.013335431504627741e+04,3.658289528302532734e+00
1.013335433596503572e+04,3.658289536222572469e+00
1.013335435688379403e+04,3.658289544142571792e+00
1.013335437780255234e+04,3.658289552062532035e+00
1.013335439872131064e+04,3.658289559982451866e+00
1.013335441964006895e+04,3.658289567902332173e+00
1.013335444055882908e+04,3.658289575822173401e+00
1.013335446147758739e+04,3.658289583741973328e+00
1.013335448239634570e+04,3.658289591661733731e+00
1.013335450331510401e+04,3.658289599581454610e+00
1.013335452423386232e+04,3.658289607501134633e+00
1.013335454515262063e+04,3.658289615420775576e+00
1.013335456607137894e+04,3.658289623340376107e+00
1.013335458699013725e+04,3.658289631259936669e+00
1.013335460790889738e+04,3.658289639179458597e+00
1.013335462882765569e+04,3.658289647098939668e+00
1.013335464974641400e+04,3.658289655018380770e+00
1.013335467066517231e+04,3.658289662937781461e+00
1.013335469158393062e+04,3.658289670857142184e+00
1.013335471250268893e+04,3.658289678776463383e+00
1.013335473342144724e+04,3.658289686695744614e+00
1.013335475434020555e+04,3.658289694614984988e+00
1.013335477525896567e+04,3.658289702534186727e+00
