Time (BJD_TBD - 2450000), L_d/L_star (ppm)
1.065014266203716397e+04,2.375120752583694639e+01
1.065014268332748725e+04,2.374894753851345541e+01
1.065014270461781052e+04,2.374668764576133739e+01
1.065014272590813380e+04,2.374442784758298686e+01
1.065014274719845707e+04,2.374216814398091557e+01
1.065014276848878217e+04,2.373990853476451690e+01
1.065014278977910544e+04,2.373764902032238311e+01
1.065014281106942872e+04,2.373538960046394308e+01
1.065014283235975199e+04,2.373313027519161267e+01
1.065014285365007527e+04,2.373087104450787166e+01
1.065014287494039854e+04,2.372861190841519274e+01
1.065014289623072182e+04,2.372635286691608059e+01
1.065014291752104509e+04,2.372409392001291550e+01
1.065014293881136837e+04,2.372183506770821992e+01
1.065014296010169346e+04,2.371957630981145471e+01
1.065014298139201674e+04,2.371731764671107001e+01
1.065014300268234001e+04,2.371505907821657289e+01
1.065014302397266329e+04,2.371280060433034009e+01
1.065014304526298656e+04,2.371054222505489406e+01
1.065014306655330984e+04,2.370828394039269327e+01
1.065014308784363311e+04,2.370602575034619974e+01
1.065014310913395639e+04,2.370376765491787907e+01
1.065014313042427966e+04,2.370150965411021105e+01
1.065014315171460476e+04,2.369925174773271337e+01
1.065014317300492803e+04,2.369699393617369054e+01
1.065014319429525131e+04,2.369473621924269580e+01
1.065014321558557458e+04,2.369247859694218405e+01
1.065014323687589786e+04,2.369022106927465643e+01
1.065014325816622113e+04,2.368796363624251455e+01
1.065014327945654441e+04,2.368570629784824533e+01
1.065014330074686768e+04,2.368344905409435341e+01
1.065014332203719096e+04,2.368119190498322268e+01
1.065014334332751605e+04,2.367893485032453782e+01
1.065014336461783932e+04,2.367667789050642213e+01
1.065014338590816260e+04,2.367442102533849280e+01
1.065014340719848587e+04,2.367216425482324382e+01
1.065014342848880915e+04,2.366990757896308750e+01
1.065014344977913242e+04,2.366765099776051429e+01
1.065014347106945570e+04,2.366539451121797200e+01
1.065014349235977897e+04,2.366313811933794753e+01
1.065014351365010225e+04,2.366088182212287805e+01
1.065014353494042734e+04,2.365862561938249087e+01
1.065014355623075062e+04,2.365636951150475298e+01
1.065014357752107389e+04,2.365411349829934906e+01
1.065014359881139717e+04,2.365185757976876246e+01
1.065014362010172044e+04,2.364960175591544811e+01
1.065014364139204372e+04,2.364734602674190356e+01
1.065014366268236699e+04,2.364509039225052334e+01
1.065014368397269027e+04,2.364283485244379079e+01
1.065014370526301354e+04,2.364057940732417862e+01
1.065014372655333864e+04,2.363832405670149583e+01
1.065014374784366191e+04,2.363606880096350693e+01
1.065014376913398519e+04,2.363381363992002449e+01
1.065014379042430846e+04,2.363155857357350698e+01
1.065014381171463174e+04,2.362930360192643064e+01
1.065014383300495501e+04,2.362704872498120778e+01
1.065014385429527829e+04,2.362479394274032529e+01
1.065014387558560156e+04,2.362253925520625231e+01
1.065014389687592484e+04,2.362028466238142954e+01
1.065014391816624993e+04,2.361803016407574418e+01
1.065014393945657321e+04,2.361577576067684348e+01
1.065014396074689648e+04,2.361352145199458263e+01
1.065014398203721976e+04,2.361126723803142369e+01
1.065014400332754303e+04,2.360901311878981801e+01
1.065014402461786631e+04,2.360675909427224184e+01
1.065014404590818958e+04,2.360450516448117142e+01
1.065014406719851286e+04,2.360225132941899773e+01
1.065014408848883613e+04,2.359999758908823608e+01
1.065014410977916123e+04,2.359774394329878433e+01
1.065014413106948450e+04,2.359549039243822932e+01
1.065014415235980778e+04,2.359323693631642271e+01
1.065014417365013105e+04,2.359098357493583720e+01
1.065014419494045433e+04,2.358873030829895256e+01
1.065014421623077760e+04,2.358647713640825927e+01
1.065014423752110088e+04,2.358422405926613052e+01
1.065014425881142415e+04,2.358197107687506389e+01
1.065014428010174743e+04,2.357971818923753560e+01
1.065014430139207252e+04,2.357746539616351455e+01
1.065014432268239580e+04,2.357521269804041708e+01
1.065014434397271907e+04,2.357296009467824760e+01
1.065014436526304235e+04,2.357070758607940064e+01
1.065014438655336562e+04,2.356845517224637376e+01
1.065014440784368890e+04,2.356620285318161123e+01
1.065014442913401217e+04,2.356395062888758218e+01
1.065014445042433545e+04,2.356169849936677352e+01
1.065014447171465872e+04,2.355944646462158332e+01
1.065014449300498381e+04,2.355719452446209417e+01
1.065014451429530709e+04,2.355494267927556606e+01
1.065014453558563036e+04,2.355269092887206384e+01
1.065014455687595364e+04,2.355043927325401754e+01
1.065014457816627691e+04,2.354818771242394249e+01
1.065014459945660019e+04,2.354593624638422966e+01
1.065014462074692347e+04,2.354368487513734820e+01
1.065014464203724674e+04,2.354143359868576368e+01
1.065014466332757002e+04,2.353918241703198078e+01
1.065014468461789511e+04,2.353693132998603943e+01
1.065014470590821838e+04,2.353468033793509662e+01
1.065014472719854166e+04,2.353242944068929177e+01
1.065014474848886493e+04,2.353017863825107980e+01
1.065014476977918821e+04,2.352792793062289078e+01
1.065014479106951148e+04,2.352567731780717963e+01
1.065014481235983476e+04,2.352342679980642259e+01
1.065014483365015803e+04,2.352117637662306748e+01
1.065014485494048131e+04,2.351892604825957278e+01
1.065014487623080640e+04,2.351667581452616673e+01
1.065014489752112968e+04,2.351442567580975407e+01
1.065014491881145295e+04,2.351217563192057369e+01
1.065014494010177623e+04,2.350992568286107343e+01
1.065014496139209950e+04,2.350767582863370109e+01
1.065014498268242278e+04,2.350542606924094358e+01
1.065014500397274605e+04,2.350317640468520963e+01
1.065014502526306933e+04,2.350092683496895773e+01
1.065014504655339260e+04,2.349867736009466768e+01
1.065014506784371770e+04,2.349642797987263165e+01
1.065014508913404097e+04,2.349417869468961939e+01
1.065014511042436425e+04,2.349192950435592309e+01
1.065014513171468752e+04,2.348968040887399766e+01
1.065014515300501080e+04,2.348743140824630871e+01
1.065014517429533407e+04,2.348518250247528272e+01
1.065014519558565735e+04,2.348293369156337462e+01
1.065014521687598062e+04,2.348068497551306422e+01
1.065014523816630390e+04,2.347843635432678511e+01
1.065014525945662899e+04,2.347618782781491831e+01
1.065014528074695227e+04,2.347393939636408433e+01
1.065014530203727554e+04,2.347169105978464643e+01
1.065014532332759882e+04,2.346944281807906663e+01
1.065014534461792209e+04,2.346719467124978920e+01
1.065014536590824537e+04,2.346494661929926551e+01
1.065014538719856864e+04,2.346269866222997891e+01
1.065014540848889192e+04,2.346045080004432393e+01
1.065014542977921519e+04,2.345820303274479457e+01
1.065014545106954029e+04,2.345595536014178251e+01
1.065014547235986356e+04,2.345370778262187983e+01
1.065014549365018684e+04,2.345146029999540005e+01
1.065014551494051011e+04,2.344921291226486559e+01
1.065014553623083339e+04,2.344696561943269586e+01
1.065014555752115666e+04,2.344471842150138841e+01
1.065014557881147994e+04,2.344247131847333421e+01
1.065014560010180321e+04,2.344022431035099885e+01
1.065014562139212649e+04,2.343797739713685857e+01
1.065014564268245158e+04,2.343573057864139031e+01
1.065014566397277486e+04,2.343348385525101563e+01
1.065014568526309813e+04,2.343123722677614751e+01
1.065014570655342141e+04,2.342899069321926930e+01
1.065014572784374468e+04,2.342674425458282883e+01
1.065014574913406796e+04,2.342449791086927391e+01
1.065014577042439123e+04,2.342225166208107012e+01
1.065014579171471451e+04,2.342000550822069371e+01
1.065014581300503778e+04,2.341775944929052500e+01
1.065014583429536287e+04,2.341551348510117236e+01
1.065014585558568615e+04,2.341326761603885487e+01
1.065014587687600942e+04,2.341102184191413116e+01
1.065014589816633270e+04,2.340877616272948458e+01
1.065014591945665597e+04,2.340653057848730256e+01
1.065014594074697925e+04,2.340428508919007200e+01
1.065014596203730252e+04,2.340203969484024071e+01
1.065014598332762580e+04,2.339979439544028850e+01
1.065014600461794907e+04,2.339754919099259922e+01
1.065014602590827417e+04,2.339530408130784167e+01
1.065014604719859744e+04,2.339305906677209990e+01
1.065014606848892072e+04,2.339081414719601071e+01
1.065014608977924399e+04,2.338856932258203969e+01
1.065014611106956727e+04,2.338632459293258847e+01
1.065014613235989054e+04,2.338407995825013685e+01
1.065014615365021382e+04,2.338183541853712200e+01
1.065014617494053709e+04,2.337959097379598816e+01
1.065014619623086037e+04,2.337734662402924002e+01
1.065014621752118546e+04,2.337510236904750016e+01
1.065014623881150874e+04,2.337285820923675672e+01
1.065014626010183201e+04,2.337061414440770335e+01
1.065014628139215529e+04,2.336837017456276655e+01
1.065014630268247856e+04,2.336612629970443322e+01
1.065014632397280184e+04,2.336388251983515119e+01
1.065014634526312511e+04,2.336163883495731852e+01
1.065014636655344839e+04,2.335939524507342213e+01
1.065014638784377166e+04,2.335715175018589562e+01
1.065014640913409676e+04,2.335490835010554989e+01
1.065014643042442003e+04,2.335266504521813147e+01
1.065014645171474331e+04,2.335042183533442639e+01
1.065014647300506658e+04,2.334817872045688958e+01
1.065014649429538986e+04,2.334593570058799727e+01
1.065014651558571313e+04,2.334369277573013335e+01
1.065014653687603641e+04,2.334144994588577759e+01
1.065014655816635968e+04,2.333920721105738849e+01
1.065014657945668296e+04,2.333696457124739965e+01
1.065014660074700805e+04,2.333472202626669656e+01
1.065014662203733133e+04,2.333247957650084814e+01
1.065014664332765460e+04,2.333023722176076120e+01
1.065014666461797788e+04,2.332799496204885870e+01
1.065014668590830115e+04,2.332575279736759200e+01
1.065014670719862443e+04,2.332351072771940537e+01
1.065014672848894770e+04,2.332126875310678926e+01
1.065014674977927098e+04,2.331902687353210979e+01
1.065014677106959425e+04,2.331678508899784674e+01
1.065014679235991935e+04,2.331454339931493180e+01
1.065014681365024262e+04,2.331230180486890546e+01
1.065014683494056590e+04,2.331006030547059282e+01
1.065014685623088917e+04,2.330781890112248789e+01
1.065014687752121245e+04,2.330557759182703137e+01
1.065014689881153572e+04,2.330333637758671372e+01
1.065014692010185900e+04,2.330109525840389395e+01
1.065014694139218227e+04,2.329885423428106961e+01
1.065014696268250555e+04,2.329661330522067075e+01
1.065014698397283064e+04,2.329437247103371078e+01
1.065014700526315391e+04,2.329213173210553833e+01
1.065014702655347719e+04,2.328989108824711707e+01
1.065014704784380046e+04,2.328765053946090546e+01
1.065014706913412374e+04,2.328541008574935134e+01
1.065014709042444701e+04,2.328316972711490251e+01
1.065014711171477029e+04,2.328092946355998905e+01
1.065014713300509356e+04,2.327868929508710494e+01
1.065014715429541684e+04,2.327644922169861275e+01
1.065014717558574193e+04,2.327420924320562534e+01
1.065014719687606521e+04,2.327196935999335636e+01
1.065014721816638848e+04,2.326972957187283697e+01
1.065014723945671176e+04,2.326748987884656827e+01
1.065014726074703503e+04,2.326525028091691638e+01
1.065014728203735831e+04,2.326301077808637174e+01
1.065014730332768158e+04,2.326077137035734665e+01
1.065014732461800486e+04,2.325853205773235644e+01
1.065014734590832813e+04,2.325629284021375653e+01
1.065014736719865323e+04,2.325405371761272377e+01
1.065014738848897650e+04,2.325181469031430126e+01
1.065014740977929978e+04,2.324957575812967647e+01
1.065014743106962305e+04,2.324733692106122618e+01
1.065014745235994633e+04,2.324509817911141951e+01
1.065014747365026960e+04,2.324285953228269008e+01
1.065014749494059288e+04,2.324062098057748571e+01
1.065014751623091615e+04,2.323838252399826132e+01
1.065014753752123943e+04,2.323614416254746828e+01
1.065014755881156452e+04,2.323390589603627276e+01
1.065014758010188780e+04,2.323166772484961484e+01
1.065014760139221107e+04,2.322942964879870331e+01
1.065014762268253435e+04,2.322719166788595402e+01
1.065014764397285762e+04,2.322495378211386807e+01
1.065014766526318090e+04,2.322271599148481158e+01
1.065014768655350417e+04,2.322047829600126434e+01
1.065014770784382745e+04,2.321824069566566351e+01
1.065014772913415072e+04,2.321600319048048178e+01
1.065014775042447582e+04,2.321376578025694926e+01
1.065014777171479909e+04,2.321152846537984260e+01
1.065014779300512237e+04,2.320929124566044521e+01
1.065014781429544564e+04,2.320705412110120491e+01
1.065014783558576892e+04,2.320481709170460505e+01
1.065014785687609219e+04,2.320258015747299041e+01
1.065014787816641547e+04,2.320034331840885500e+01
1.065014789945673874e+04,2.319810657451463953e+01
1.065014792074706202e+04,2.319586992579277762e+01
1.065014794203738711e+04,2.319363337205465925e+01
1.065014796332771039e+04,2.319139691368484790e+01
1.065014798461803366e+04,2.318916055049471225e+01
1.065014800590835694e+04,2.318692428248668591e+01
1.065014802719868021e+04,2.318468810966322380e+01
1.065014804848900349e+04,2.318245203202676308e+01
1.065014806977932676e+04,2.318021604957976578e+01
1.065014809106965004e+04,2.317798016232461578e+01
1.065014811235997331e+04,2.317574437026378220e+01
1.065014813365029840e+04,2.317350867320868701e+01
1.065014815494062168e+04,2.317127307154381199e+01
1.065014817623094496e+04,2.316903756508061107e+01
1.065014819752126823e+04,2.316680215382143970e+01
1.065014821881159151e+04,2.316456683776878833e+01
1.065014824010191478e+04,2.316233161692510834e+01
1.065014826139223806e+04,2.316009649129279424e+01
1.065014828268256133e+04,2.315786146087431518e+01
1.065014830397288461e+04,2.315562652567210478e+01
1.065014832526320970e+04,2.315339168549766313e+01
1.065014834655353297e+04,2.315115694073532993e+01
1.065014836784385625e+04,2.314892229119656264e+01
1.065014838913417952e+04,2.314668773688381265e+01
1.065014841042450280e+04,2.314445327779951711e+01
1.065014843171482607e+04,2.314221891394612385e+01
1.065014845300514935e+04,2.313998464532606647e+01
1.065014847429547262e+04,2.313775047194182122e+01
1.065014849558579590e+04,2.313551639379574354e+01
1.065014851687612099e+04,2.313328241069945079e+01
1.065014853816644427e+04,2.313104852303712633e+01
1.065014855945676754e+04,2.312881473062030935e+01
1.065014858074709082e+04,2.312658103345149030e+01
1.065014860203741409e+04,2.312434743153305305e+01
1.065014862332773737e+04,2.312211392486743478e+01
1.065014864461806064e+04,2.311988051345709394e+01
