Time (BJD_TBD - 2450000), F_d/F_star (ppm)
9.903688763682152057e+03,1.825446870105573680e+02
9.903688786579117732e+03,1.825434347263929737e+02
9.903688809476083406e+03,1.825421823313412233e+02
9.903688832373049081e+03,1.825409298254038504e+02
9.903688855270014756e+03,1.825396772085823045e+02
9.903688878166980430e+03,1.825384244808782057e+02
9.903688901063944286e+03,1.825371716423926500e+02
9.903688923960909960e+03,1.825359186929282487e+02
9.903688946857875635e+03,1.825346656325859556e+02
9.903688969754841310e+03,1.825334124613674476e+02
9.903688992651806984e+03,1.825321591792743732e+02
9.903689015548772659e+03,1.825309057863081534e+02
9.903689038445738333e+03,1.825296522824704653e+02
9.903689061342704008e+03,1.825283986677629002e+02
9.903689084239669683e+03,1.825271449421869931e+02
9.903689107136635357e+03,1.825258911057443640e+02
9.903689130033601032e+03,1.825246371584365761e+02
9.903689152930566706e+03,1.825233831002652209e+02
9.903689175827532381e+03,1.825221289312318618e+02
9.903689198724498056e+03,1.825208746513381186e+02
9.903689221621463730e+03,1.825196202605855262e+02
9.903689244518429405e+03,1.825183657589757615e+02
9.903689267415395079e+03,1.825171111465102740e+02
9.903689290312360754e+03,1.825158564231907121e+02
9.903689313209326428e+03,1.825146015890186959e+02
9.903689336106292103e+03,1.825133466439957033e+02
9.903689359003257778e+03,1.825120915881234396e+02
9.903689381900223452e+03,1.825108364214034680e+02
9.903689404797189127e+03,1.825095811438372664e+02
9.903689427694154801e+03,1.825083257554265401e+02
9.903689450591120476e+03,1.825070702561728240e+02
9.903689473488086151e+03,1.825058146460777095e+02
9.903689496385051825e+03,1.825045589251427884e+02
9.903689519282017500e+03,1.825033030933695954e+02
9.903689542178983174e+03,1.825020471507597506e+02
9.903689565075948849e+03,1.825007910973149023e+02
9.903689587972914524e+03,1.824995349330365002e+02
9.903689610869880198e+03,1.824982786579262495e+02
9.903689633766845873e+03,1.824970222719856849e+02
9.903689656663811547e+03,1.824957657752163698e+02
9.903689679560777222e+03,1.824945091676199524e+02
9.903689702457741078e+03,1.824932524492978132e+02
9.903689725354706752e+03,1.824919956200518811e+02
9.903689748251672427e+03,1.824907386799835365e+02
9.903689771148638101e+03,1.824894816290944846e+02
9.903689794045603776e+03,1.824882244673861464e+02
9.903689816942569450e+03,1.824869671948602274e+02
9.903689839839535125e+03,1.824857098115182907e+02
9.903689862736500800e+03,1.824844523173618427e+02
9.903689885633466474e+03,1.824831947123925886e+02
9.903689908530432149e+03,1.824819369966120632e+02
9.903689931427397823e+03,1.824806791700218014e+02
9.903689954324363498e+03,1.824794212326235083e+02
9.903689977221329173e+03,1.824781631844186620e+02
9.903690000118294847e+03,1.824769050254088825e+02
9.903690023015260522e+03,1.824756467555958466e+02
9.903690045912226196e+03,1.824743883749810038e+02
9.903690068809191871e+03,1.824731298835660027e+02
9.903690091706157546e+03,1.824718712813524348e+02
9.903690114603123220e+03,1.824706125683418918e+02
9.903690137500088895e+03,1.824693537445359368e+02
9.903690160397054569e+03,1.824680948099361899e+02
9.903690183294020244e+03,1.824668357645442143e+02
9.903690206190985919e+03,1.824655766083616300e+02
