Time (BJD_TBD - 2450000), F_star + F_e (mJy)
1.063802883017446766e+04,3.604197745138893350e+00
1.063802885200998389e+04,3.604197749356324643e+00
1.063802887384550013e+04,3.604197753573803453e+00
1.063802889568101818e+04,3.604197757791328893e+00
1.063802891751653442e+04,3.604197762008901407e+00
1.063802893935205066e+04,3.604197766226520105e+00
1.063802896118756871e+04,3.604197770444186322e+00
1.063802898302308495e+04,3.604197774661899611e+00
1.063802900485860118e+04,3.604197778879659531e+00
1.063802902669411924e+04,3.604197783097465635e+00
1.063802904852963547e+04,3.604197787315318813e+00
1.063802907036515171e+04,3.604197791533219508e+00
1.063802909220066977e+04,3.604197795751166389e+00
1.063802911403618600e+04,3.604197799969160787e+00
1.063802913587170406e+04,3.604197804187201370e+00
1.063802915770722029e+04,3.604197808405289027e+00
1.063802917954273653e+04,3.604197812623423314e+00
1.063802920137825458e+04,3.604197816841604673e+00
1.063802922321377082e+04,3.604197821059832663e+00
1.063802924504928706e+04,3.604197825278106837e+00
1.063802926688480511e+04,3.604197829496429417e+00
1.063802928872032135e+04,3.604197833714797294e+00
1.063802931055583758e+04,3.604197837933212245e+00
1.063802933239135564e+04,3.604197842151674713e+00
1.063802935422687187e+04,3.604197846370183367e+00
1.063802937606238811e+04,3.604197850588739538e+00
1.063802939789790616e+04,3.604197854807341894e+00
1.063802941973342240e+04,3.604197859025991324e+00
1.063802944156894046e+04,3.604197863244687383e+00
1.063802946340445669e+04,3.604197867463430960e+00
1.063802948523997293e+04,3.604197871682220278e+00
1.063802950707549098e+04,3.604197875901057113e+00
1.063802952891100722e+04,3.604197880119940578e+00
1.063802955074652346e+04,3.604197884338870228e+00
1.063802957258204151e+04,3.604197888557847396e+00
1.063802959441755775e+04,3.604197892776871637e+00
1.063802961625307398e+04,3.604197896995941175e+00
1.063802963808859204e+04,3.604197901215059119e+00
1.063802965992410827e+04,3.604197905434223248e+00
1.063802968175962451e+04,3.604197909653433562e+00
1.063802970359514256e+04,3.604197913872691394e+00
1.063802972543065880e+04,3.604197918091995856e+00
1.063802974726617686e+04,3.604197922311347391e+00
1.063802976910169309e+04,3.604197926530745111e+00
1.063802979093720933e+04,3.604197930750189460e+00
1.063802981277272738e+04,3.604197934969681771e+00
1.063802983460824362e+04,3.604197939189219824e+00
1.063802985644375985e+04,3.604197943408804949e+00
1.063802987827927791e+04,3.604197947628436260e+00
1.063802990011479415e+04,3.604197951848115089e+00
1.063802992195031038e+04,3.604197956067840103e+00
1.063802994378582844e+04,3.604197960287611746e+00
1.063802996562134467e+04,3.604197964507430907e+00
1.063802998745686091e+04,3.604197968727296697e+00
1.063803000929237896e+04,3.604197972947209117e+00
1.063803003112789520e+04,3.604197977167168165e+00
1.063803005296341325e+04,3.604197981387174288e+00
1.063803007479892949e+04,3.604197985607225707e+00
1.063803009663444573e+04,3.604197989827325532e+00
1.063803011846996378e+04,3.604197994047471543e+00
1.063803014030548002e+04,3.604197998267664182e+00
1.063803016214099625e+04,3.604198002487903008e+00
1.063803018397651431e+04,3.604198006708190238e+00
1.063803020581203054e+04,3.604198010928522766e+00
1.063803022764754678e+04,3.604198015148902368e+00
1.063803024948306484e+04,3.604198019369328598e+00
1.063803027131858107e+04,3.604198023589801902e+00
1.063803029315409731e+04,3.604198027810320948e+00
1.063803031498961536e+04,3.604198032030888399e+00
1.063803033682513160e+04,3.604198036251500703e+00
1.063803035866064965e+04,3.604198040472161413e+00
1.063803038049616589e+04,3.604198044692867864e+00
1.063803040233168213e+04,3.604198048913621388e+00
1.063803042416720018e+04,3.604198053134421542e+00
1.063803044600271642e+04,3.604198057355268325e+00
1.063803046783823265e+04,3.604198061576161294e+00
1.063803048967375071e+04,3.604198065797102224e+00
1.063803051150926694e+04,3.604198070018088451e+00
1.063803053334478318e+04,3.604198074239122196e+00
1.063803055518030123e+04,3.604198078460203014e+00
1.063803057701581747e+04,3.604198082681329574e+00
1.063803059885133371e+04,3.604198086902503206e+00
1.063803062068685176e+04,3.604198091123723913e+00
1.063803064252236800e+04,3.604198095344990360e+00
1.063803066435788605e+04,3.604198099566304325e+00
1.063803068619340229e+04,3.604198103787664920e+00
