Time (BJD_TBD - 2450000), L_g/L_star (ppm)
1.061386876322584794e+04,3.584724480164857141e+01
1.061386877918114624e+04,3.584706241422997408e+01
1.061386879513644635e+04,3.584688002607423130e+01
1.061386881109174647e+04,3.584669763720216196e+01
1.061386882704704476e+04,3.584651524763452812e+01
1.061386884300234487e+04,3.584633285732978436e+01
1.061386885895764317e+04,3.584615046632952584e+01
1.061386887491294328e+04,3.584596807459217871e+01
1.061386889086824158e+04,3.584578568215934524e+01
1.061386890682354169e+04,3.584560328898944448e+01
1.061386892277883999e+04,3.584542089512405738e+01
1.061386893873414010e+04,3.584523850052165272e+01
1.061386895468943840e+04,3.584505610522379726e+01
1.061386897064473851e+04,3.584487370918893845e+01
1.061386898660003681e+04,3.584469131245862883e+01
1.061386900255533692e+04,3.584450891499135139e+01
1.061386901851063521e+04,3.584432651682867288e+01
1.061386903446593533e+04,3.584414411792902655e+01
1.061386905042123362e+04,3.584396171833399336e+01
1.061386906637653374e+04,3.584377931800204209e+01
1.061386908233183203e+04,3.584359691697472527e+01
1.061386909828713215e+04,3.584341451521048327e+01
1.061386911424243044e+04,3.584323211275092547e+01
1.061386913019773056e+04,3.584304970955447800e+01
1.061386914615302885e+04,3.584286730566270762e+01
1.061386916210832896e+04,3.584268490103408311e+01
1.061386917806362726e+04,3.584250249571018543e+01
1.061386919401892737e+04,3.584232008964942651e+01
1.061386920997422567e+04,3.584213768289342283e+01
1.061386922592952578e+04,3.584195527540059345e+01
1.061386924188482408e+04,3.584177286721254063e+01
1.061386925784012419e+04,3.584159045828769052e+01
1.061386927379542249e+04,3.584140804866761698e+01
1.061386928975072260e+04,3.584122563831077457e+01
1.061386930570602271e+04,3.584104322723796088e+01
1.061386932166132101e+04,3.584086081546998770e+01
1.061386933761662112e+04,3.584067840296527407e+01
1.061386935357191942e+04,3.584049598976540096e+01
1.061386936952721953e+04,3.584031357582883004e+01
1.061386938548251783e+04,3.584013116119714226e+01
1.061386940143781794e+04,3.583994874582874957e+01
1.061386941739311624e+04,3.583976632976524712e+01
1.061386943334841635e+04,3.583958391296509660e+01
1.061386944930371465e+04,3.583940149546987186e+01
1.061386946525901476e+04,3.583921907723799904e+01
1.061386948121431305e+04,3.583903665831110175e+01
1.061386949716961317e+04,3.583885423864754927e+01
1.061386951312491146e+04,3.583867181828897230e+01
1.061386952908021158e+04,3.583848939719382543e+01
1.061386954503550987e+04,3.583830697540366828e+01
1.061386956099080999e+04,3.583812455287694121e+01
1.061386957694610828e+04,3.583794212965522519e+01
1.061386959290140840e+04,3.583775970569697478e+01
1.061386960885670669e+04,3.583757728104377094e+01
1.061386962481200680e+04,3.583739485565403982e+01
1.061386964076730510e+04,3.583721242956937658e+01
1.061386965672260521e+04,3.583703000274822159e+01
1.061386967267790351e+04,3.583684757523216291e+01
1.061386968863320362e+04,3.583666514697961247e+01
1.061386970458850192e+04,3.583648271803220098e+01
1.061386972054380203e+04,3.583630028834832615e+01
1.061386973649910033e+04,3.583611785796960447e+01
1.061386975245440044e+04,3.583593542685444788e+01
1.061386976840969874e+04,3.583575299504446576e+01
1.061386978436499885e+04,3.583557056249807005e+01
1.061386980032029896e+04,3.583538812923608674e+01
1.061386981627559726e+04,3.583520569527930633e+01
1.061386983223089737e+04,3.583502326058615495e+01
1.061386984818619567e+04,3.583484082519823488e+01
1.061386986414149578e+04,3.583465838907396517e+01
1.061386988009679408e+04,3.583447595225495519e+01
1.061386989605209419e+04,3.583429351469960267e+01
1.061386991200739249e+04,3.583411107644955251e+01
1.061386992796269260e+04,3.583392863746319534e+01
1.061386994391799089e+04,3.583374619778214054e+01
1.061386995987329101e+04,3.583356375736481425e+01
1.061386997582858930e+04,3.583338131625282585e+01
1.061386999178388942e+04,3.583319887440457308e+01
1.061387000773918771e+04,3.583301643186167240e+01
1.061387002369448783e+04,3.583283398858254998e+01
1.061387003964978612e+04,3.583265154460880098e+01
1.061387005560508624e+04,3.583246909989885864e+01
1.061387007156038453e+04,3.583228665449429684e+01
1.061387008751568465e+04,3.583210420835356302e+01
1.061387010347098294e+04,3.583192176151826658e+01
1.061387011942628305e+04,3.583173931394679812e+01
1.061387013538158135e+04,3.583155686568078124e+01
1.061387015133688146e+04,3.583137441667863499e+01
1.061387016729217976e+04,3.583119196698196163e+01
1.061387018324747987e+04,3.583100951654918731e+01
1.061387019920277817e+04,3.583082706542190010e+01
1.061387021515807828e+04,3.583064461355854036e+01
1.061387023111337658e+04,3.583046216100068193e+01
1.061387024706867669e+04,3.583027970770678650e+01
1.061387026302397499e+04,3.583009725371842080e+01
1.061387027897927510e+04,3.582991479899403231e+01
1.061387029493457521e+04,3.582973234355440439e+01
1.061387031088987351e+04,3.582954988742034885e+01
1.061387032684517362e+04,3.582936743055031314e+01
1.061387034280047192e+04,3.582918497298587823e+01
1.061387035875577203e+04,3.582900251468546315e+01
1.061387037471107033e+04,3.582882005569068440e+01
1.061387039066637044e+04,3.582863759595994679e+01
1.061387040662166874e+04,3.582845513553486683e+01
1.061387042257696885e+04,3.582827267437385643e+01
1.061387043853226714e+04,3.582809021251852499e+01
1.061387045448756726e+04,3.582790774992729155e+01
1.061387047044286555e+04,3.582772528664175837e+01
1.061387048639816567e+04,3.582754282262033030e+01
1.061387050235346396e+04,3.582736035790465223e+01
1.061387051830876408e+04,3.582717789245310769e+01
1.061387053426406237e+04,3.582699542630730605e+01
1.061387055021936249e+04,3.582681295942568056e+01
1.061387056617466078e+04,3.582663049184983350e+01
1.061387058212996089e+04,3.582644802353817681e+01
1.061387059808525919e+04,3.582626555453230566e+01
1.061387061404055930e+04,3.582608308479066750e+01
1.061387062999585760e+04,3.582590061435483619e+01
1.061387064595115771e+04,3.582571814318325920e+01
1.061387066190645601e+04,3.582553567131751748e+01
1.061387067786175612e+04,3.582535319871604429e+01
1.061387069381705442e+04,3.582517072542044900e+01
1.061387070977235453e+04,3.582498825138912224e+01
1.061387072572765283e+04,3.582480577666369470e+01
1.061387074168295294e+04,3.582462330120257832e+01
1.061387075763825123e+04,3.582444082504739669e+01
1.061387077359355135e+04,3.582425834815654042e+01
1.061387078954885146e+04,3.582407587055083553e+01
1.061387080550414976e+04,3.582389339225107960e+01
1.061387082145944987e+04,3.582371091321569168e+01
1.061387083741474817e+04,3.582352843348629534e+01
1.061387085337004828e+04,3.582334595302127411e+01
1.061387086932534658e+04,3.582316347186226579e+01
1.061387088528064669e+04,3.582298098996768942e+01
1.061387090123594498e+04,3.582279850737913307e+01
1.061387091719124510e+04,3.582261602405500867e+01
1.061387093314654339e+04,3.582243354003694691e+01
1.061387094910184351e+04,3.582225105528335263e+01
1.061387096505714180e+04,3.582206856983582099e+01
1.061387098101244192e+04,3.582188608365279237e+01
1.061387099696774021e+04,3.582170359677586902e+01
1.061387101292304033e+04,3.582152110916344157e+01
1.061387102887833862e+04,3.582133862085715492e+01
1.061387104483363873e+04,3.582115613181540681e+01
1.061387106078893703e+04,3.582097364207979950e+01
1.061387107674423714e+04,3.582079115160876626e+01
1.061387109269953544e+04,3.582060866044388092e+01
1.061387110865483555e+04,3.582042616854359096e+01
1.061387112461013385e+04,3.582024367594951997e+01
1.061387114056543396e+04,3.582006118262004435e+01
