Time (BJD_TBD - 2450000), F_h/F_star (ppm)
1.014094192681640016e+04,1.209892603838417013e+00
1.014094194566319129e+04,1.209930538962399327e+00
1.014094196450998425e+04,1.209968474660656712e+00
1.014094198335677538e+04,1.210006410925867693e+00
1.014094200220356834e+04,1.210044347765355299e+00
1.014094202105035947e+04,1.210082285171791394e+00
1.014094203989715243e+04,1.210120223152497232e+00
1.014094205874394356e+04,1.210158161700149781e+00
1.014094207759073652e+04,1.210196100822073850e+00
1.014094209643752765e+04,1.210234040510937747e+00
1.014094211528432061e+04,1.210271980774069611e+00
1.014094213413111174e+04,1.210309921604139527e+00
1.014094215297790470e+04,1.210347863008474079e+00
1.014094217182469583e+04,1.210385804979744906e+00
1.014094219067148879e+04,1.210423747525277038e+00
1.014094220951827992e+04,1.210461690637740118e+00
1.014094222836507288e+04,1.210499634324462948e+00
1.014094224721186401e+04,1.210537578578114948e+00
1.014094226605865697e+04,1.210575523406021148e+00
1.014094228490544992e+04,1.210613468804518478e+00
1.014094230375224106e+04,1.210651414769940093e+00
1.014094232259903401e+04,1.210689361309612355e+00
1.014094234144582515e+04,1.210727308416208903e+00
1.014094236029261810e+04,1.210765256097049436e+00
1.014094237913940924e+04,1.210803204344810702e+00
1.014094239798620220e+04,1.210841153166817730e+00
1.014094241683299333e+04,1.210879102555740161e+00
1.014094243567978629e+04,1.210917052518903247e+00
1.014094245452657742e+04,1.210955003048978407e+00
1.014094247337337038e+04,1.210992954153293999e+00
1.014094249222016151e+04,1.211030905824518333e+00
1.014094251106695447e+04,1.211068858069977772e+00
1.014094252991374560e+04,1.211106810882346174e+00
1.014094254876053856e+04,1.211144764268946350e+00
1.014094256760732969e+04,1.211182718222449939e+00
1.014094258645412265e+04,1.211220672750182192e+00
1.014094260530091378e+04,1.211258627844817637e+00
1.014094262414770674e+04,1.211296583513678193e+00
1.014094264299449787e+04,1.211334539749435502e+00
1.014094266184129083e+04,1.211372496559417478e+00
1.014094268068808196e+04,1.211410453936294429e+00
1.014094269953487492e+04,1.211448411887391385e+00
1.014094271838166787e+04,1.211486370409044389e+00
1.014094273722845901e+04,1.211524329497585706e+00
1.014094275607525196e+04,1.211562289160346806e+00
1.014094277492204310e+04,1.211600249389990447e+00
1.014094279376883605e+04,1.211638210193850762e+00
1.014094281261562719e+04,1.211676171564591842e+00
1.014094283146242014e+04,1.211714133509546043e+00
1.014094285030921128e+04,1.211752096021379455e+00
1.014094286915600424e+04,1.211790059107420436e+00
1.014094288800279537e+04,1.211828022760339296e+00
1.014094290684958833e+04,1.211865986987462396e+00
1.014094292569637946e+04,1.211903951781459599e+00
1.014094294454317242e+04,1.211941917149659265e+00
1.014094296338996355e+04,1.211979883084729703e+00
1.014094298223675651e+04,1.212017849593997498e+00
1.014094300108354764e+04,1.212055816670136066e+00
1.014094301993034060e+04,1.212093784320469991e+00
1.014094303877713173e+04,1.212131752537666252e+00
1.014094305762392469e+04,1.212169721329056538e+00
1.014094307647071582e+04,1.212207690687310491e+00
1.014094309531750878e+04,1.212245660619753140e+00
1.014094311416430173e+04,1.212283631122717642e+00
1.014094313301109287e+04,1.212321602192542702e+00
1.014094315185788582e+04,1.212359573836551130e+00
1.014094317070467696e+04,1.212397546047415009e+00
1.014094318955146991e+04,1.212435518832458703e+00
1.014094320839826105e+04,1.212473492184356072e+00
1.014094322724505400e+04,1.212511466110433478e+00
1.014094324609184514e+04,1.212549440603357453e+00
1.014094326493863809e+04,1.212587415670458135e+00
1.014094328378542923e+04,1.212625391304403610e+00
1.014094330263222218e+04,1.212663367512522017e+00
1.014094332147901332e+04,1.212701344287483884e+00
1.014094334032580628e+04,1.212739321636615353e+00
1.014094335917259741e+04,1.212777299552586507e+00
1.014094337801939037e+04,1.212815278042723932e+00
1.014094339686618150e+04,1.212853257099697712e+00
1.014094341571297446e+04,1.212891236730837541e+00
1.014094343455976559e+04,1.212929216928808618e+00
1.014094345340655855e+04,1.212967197700940636e+00
1.014094347225334968e+04,1.213005179039903680e+00
1.014094349110014264e+04,1.213043160953024557e+00
1.014094350994693377e+04,1.213081143432972908e+00
1.014094352879372673e+04,1.213119126487075539e+00
1.014094354764051968e+04,1.213157110111668935e+00
1.014094356648731082e+04,1.213195094303081367e+00
1.014094358533410377e+04,1.213233079068648079e+00
1.014094360418089491e+04,1.213271064401032051e+00
1.014094362302768786e+04,1.213309050307564974e+00
1.014094364187447900e+04,1.213347036780911603e+00
1.014094366072127195e+04,1.213385023828405629e+00
1.014094367956806309e+04,1.213423011442711807e+00
1.014094369841485604e+04,1.213460999631159831e+00
1.014094371726164718e+04,1.213498988386418453e+00
1.014094373610844013e+04,1.213536977715815590e+00
1.014094375495523127e+04,1.213574967612019773e+00
1.014094377380202423e+04,1.213612958082360693e+00
1.014094379264881536e+04,1.213650949119505329e+00
1.014094381149560832e+04,1.213688940730781596e+00
1.014094383034239945e+04,1.213726932908859579e+00
1.014094384918919241e+04,1.213764925661067418e+00
1.014094386803598354e+04,1.213802918980072088e+00
1.014094388688277650e+04,1.213840912873204836e+00
1.014094390572956763e+04,1.213878907333132640e+00
1.014094392457636059e+04,1.213916902367184969e+00
1.014094394342315354e+04,1.213954897971692315e+00
1.014094396226994468e+04,1.213992894142990719e+00
1.014094398111673763e+04,1.214030890888408987e+00
1.014094399996352877e+04,1.214068888200613427e+00
1.014094401881032172e+04,1.214106886086935955e+00
1.014094403765711286e+04,1.214144884540041103e+00
1.014094405650390581e+04,1.214182883567260562e+00
1.014094407535069695e+04,1.214220883161259534e+00
1.014094409419748990e+04,1.214258883329371264e+00
1.014094411304428104e+04,1.214296884064258952e+00
1.014094413189107399e+04,1.214334885373255624e+00
1.014094415073786513e+04,1.214372887249024924e+00
1.014094416958465808e+04,1.214410889698901874e+00
1.014094418843144922e+04,1.214448892715547679e+00
1.014094420727824217e+04,1.214486896306297581e+00
1.014094422612503331e+04,1.214524900463813006e+00
1.014094424497182627e+04,1.214562905195430975e+00
1.014094426381861740e+04,1.214600910493810915e+00
1.014094428266541036e+04,1.214638916366289623e+00
1.014094430151220149e+04,1.214676922805527193e+00
1.014094432035899445e+04,1.214714929818860201e+00
1.014094433920578558e+04,1.214752937398951627e+00
1.014094435805257854e+04,1.214790945553133605e+00
1.014094437689937149e+04,1.214828954277737294e+00
1.014094439574616263e+04,1.214866963569096292e+00
1.014094441459295558e+04,1.214904973434540514e+00
1.014094443343974672e+04,1.214942983866734494e+00
1.014094445228653967e+04,1.214980994873013698e+00
1.014094447113333081e+04,1.215019006446039329e+00
1.014094448998012376e+04,1.215057018593145077e+00
1.014094450882691490e+04,1.215095031306995699e+00
1.014094452767370785e+04,1.215133044594924439e+00
1.014094454652049899e+04,1.215171058449592723e+00
1.014094456536729194e+04,1.215209072878337793e+00
1.014094458421408308e+04,1.215247087873818854e+00
1.014094460306087603e+04,1.215285103443372927e+00
1.014094462190766717e+04,1.215323119579661437e+00
1.014094464075446012e+04,1.215361136290018074e+00
