Time (BJD_TBD - 2450000), L_d/L_star (ppm)
7.260492049204920477e+03,5.021478922602462092e+01
7.260495049504950657e+03,4.978454233059846246e+01
7.260498049804980838e+03,4.935560949657802610e+01
7.260501050105010108e+03,4.892800001897233386e+01
7.260504050405040289e+03,4.850172316372476899e+01
7.260507050705070469e+03,4.807678816829024981e+01
7.260510051005100649e+03,4.765320424091594731e+01
7.260513051305130830e+03,4.723098056057181537e+01
7.260516051605160101e+03,4.681012627687886862e+01
7.260519051905190281e+03,4.639065050940103418e+01
7.260522052205220461e+03,4.597256234821310983e+01
7.260525052505250642e+03,4.555587085319300655e+01
7.260528052805280822e+03,4.514058505395303200e+01
7.260531053105310093e+03,4.472671394976980253e+01
7.260534053405340273e+03,4.431426650888752761e+01
7.260537053705370454e+03,4.390325166907663856e+01
7.260540054005400634e+03,4.349367833693762009e+01
7.260543054305430815e+03,4.308555538783390659e+01
7.260546054605460995e+03,4.267889166569941750e+01
7.260549054905490266e+03,4.227369598296957065e+01
7.260552055205520446e+03,4.186997711989938864e+01
7.260555055505550627e+03,4.146774382511032542e+01
7.260558055805580807e+03,4.106700481490872789e+01
7.260561056105610987e+03,4.066776877322023864e+01
7.260564056405640258e+03,4.027004435152178985e+01
7.260567056705670439e+03,3.987384016817242127e+01
7.260570057005700619e+03,3.947916480894976843e+01
7.260573057305730799e+03,3.908602682638150583e+01
7.260576057605760980e+03,3.869443473968063785e+01
7.260579057905790251e+03,3.830439703467896351e+01
7.260582058205820431e+03,3.791592216317066288e+01
7.260585058505850611e+03,3.752901854343873822e+01
7.260588058805880792e+03,3.714369455959882771e+01
7.260591059105910972e+03,3.675995856153640773e+01
7.260594059405940243e+03,3.637781886484108185e+01
7.260597059705970423e+03,3.599728375016383808e+01
7.260600060006000604e+03,3.561836146373243395e+01
7.260603060306030784e+03,3.524106021670883138e+01
7.260606060606060964e+03,3.486538818512753579e+01
7.260609060906090235e+03,3.449135350983140569e+01
7.260612061206120416e+03,3.411896429584222545e+01
7.260615061506150596e+03,3.374822861286545361e+01
7.260618061806180776e+03,3.337915449466125750e+01
7.260621062106210957e+03,3.301174993898398213e+01
7.260624062406240228e+03,3.264602290751961533e+01
7.260627062706270408e+03,3.228198132527020192e+01
7.260630063006300588e+03,3.191963308104736541e+01
7.260633063306330769e+03,3.155898602685724796e+01
7.260636063606360949e+03,3.120004797784166328e+01
7.260639063906390220e+03,3.084282671221667727e+01
7.260642064206420400e+03,3.048732997067143558e+01
7.260645064506450581e+03,3.013356545685012122e+01
7.260648064806480761e+03,2.978154083675145714e+01
7.260651065106510941e+03,2.943126373867092838e+01
7.260654065406540212e+03,2.908274175314110011e+01
7.260657065706570393e+03,2.873598243234488336e+01
7.260660066006600573e+03,2.839099329058594634e+01
7.260663066306630753e+03,2.804778180370250951e+01
7.260666066606660934e+03,2.770635540901151828e+01
7.260669066906691114e+03,2.736672150514732493e+01
7.260672067206720385e+03,2.702888745200357690e+01
7.260675067506750565e+03,2.669286057016451963e+01
7.260678067806780746e+03,2.635864814136100165e+01
7.260681068106810926e+03,2.602625740790227482e+01
7.260684068406841106e+03,2.569569557262194692e+01
7.260687068706870377e+03,2.536696979882117731e+01
7.260690069006900558e+03,2.504008720971535240e+01
7.260693069306930738e+03,2.471505488887774504e+01
7.260696069606960918e+03,2.439187987968671578e+01
7.260699069906991099e+03,2.407056918527317890e+01
7.260702070207020370e+03,2.375112976846526180e+01
7.260705070507050550e+03,2.343356855125071192e+01
7.260708070807080730e+03,2.311789241520789417e+01
7.260711071107110911e+03,2.280410820096879476e+01
7.260714071407141091e+03,2.249222270816778746e+01
7.260717071707170362e+03,2.218224269538815463e+01
7.260720072007200542e+03,2.187417487964016516e+01
7.260723072307230723e+03,2.156802593677945268e+01
7.260726072607260903e+03,2.126380250098574720e+01
7.260729072907291084e+03,2.096151116471355280e+01
7.260732073207320354e+03,2.066115847863995825e+01
7.260735073507350535e+03,2.036275095115902189e+01
7.260738073807380715e+03,2.006629504878714698e+01
7.260741074107410896e+03,1.977179719565808469e+01
7.260744074407441076e+03,1.947926377347505422e+01
7.260747074707470347e+03,1.918870112146035467e+01
7.260750075007500527e+03,1.890011553586609949e+01
7.260753075307530708e+03,1.861351327036643610e+01
7.260756075607560888e+03,1.832890053556898025e+01
7.260759075907591068e+03,1.804628349896862716e+01
7.260762076207620339e+03,1.776566828489877636e+01
7.260765076507650519e+03,1.748706097405879945e+01
7.260768076807680700e+03,1.721046760389281971e+01
7.260771077107710880e+03,1.693589416811791892e+01
7.260774077407741061e+03,1.666334661667960759e+01
7.260777077707770331e+03,1.639283085570466270e+01
7.260780078007800512e+03,1.612435274704575860e+01
7.260783078307830692e+03,1.585791810864631657e+01
7.260786078607860873e+03,1.559353271408597230e+01
7.260789078907891053e+03,1.533120229253762545e+01
7.260792079207921233e+03,1.507093252864346233e+01
7.260795079507950504e+03,1.481272906246956822e+01
7.260798079807980685e+03,1.455659748907132212e+01
7.260801080108010865e+03,1.430254335884177408e+01
7.260804080408041045e+03,1.405057217707771500e+01
7.260807080708071226e+03,1.380068940393877774e+01
7.260810081008100497e+03,1.355290045440415092e+01
7.260813081308130677e+03,1.330721069785526289e+01
7.260816081608160857e+03,1.306362545841016320e+01
7.260819081908191038e+03,1.282215001450702729e+01
7.260822082208221218e+03,1.258278959886524007e+01
7.260825082508250489e+03,1.234554939844361954e+01
7.260828082808280669e+03,1.211043455404092484e+01
7.260831083108310850e+03,1.187745016061600190e+01
7.260834083408341030e+03,1.164660126688906772e+01
7.260837083708371210e+03,1.141789287530450459e+01
7.260840084008400481e+03,1.119132994199087427e+01
7.260843084308430662e+03,1.096691737637939390e+01
7.260846084608460842e+03,1.074466004150968246e+01
7.260849084908491022e+03,1.052456275364897031e+01
7.260852085208521203e+03,1.030663028225671418e+01
7.260855085508550474e+03,1.009086734994639656e+01
7.260858085808580654e+03,9.877278632122163060e+00
7.260861086108610834e+03,9.665868757269953093e+00
7.260864086408641015e+03,9.456642306594957859e+00
7.260867086708671195e+03,9.249603813988013457e+00
7.260870087008700466e+03,9.044757765989158926e+00
7.260873087308730646e+03,8.842108601442706828e+00
7.260876087608760827e+03,8.641660711773591075e+00
7.260879087908791007e+03,8.443418440643199574e+00
7.260882088208821187e+03,8.247386083917644939e+00
7.260885088508850458e+03,8.053567889633079346e+00
7.260888088808880639e+03,7.861968057669378673e+00
7.260891089108910819e+03,7.672590740011514754e+00
7.260894089408940999e+03,7.485440040424061969e+00
7.260897089708971180e+03,7.300520014421195469e+00
7.260900090009000451e+03,7.117834669233990219e+00
7.260903090309030631e+03,6.937387963502668065e+00
7.260906090609060811e+03,6.759183807523065468e+00
7.260909090909090992e+03,6.583226062939793621e+00
7.260912091209121172e+03,6.409518542718221745e+00
7.260915091509151353e+03,6.238065011061814324e+00
7.260918091809180623e+03,6.068869183381615962e+00
7.260921092109210804e+03,5.901934726011123900e+00
7.260924092409240984e+03,5.737265256434705307e+00
7.260927092709271164e+03,5.574864343003304690e+00
7.260930093009301345e+03,5.414735504908747998e+00
7.260933093309330616e+03,5.256882212155003842e+00
7.260936093609360796e+03,5.101307885292242439e+00
7.260939093909390976e+03,4.948015895629889194e+00
7.260942094209421157e+03,4.797009564971411955e+00
7.260945094509451337e+03,4.648292165590542702e+00
7.260948094809480608e+03,4.501866920204437683e+00
7.260951095109510788e+03,4.357737001726952997e+00
7.260954095409540969e+03,4.215905533466244748e+00
7.260957095709571149e+03,4.076375588878828893e+00
7.260960096009601330e+03,3.939150191547677871e+00
7.260963096309630600e+03,3.804232315157322741e+00
7.260966096609660781e+03,3.671624883266486616e+00
7.260969096909690961e+03,3.541330769490070640e+00
7.260972097209721142e+03,3.413352797272672046e+00
7.260975097509751322e+03,3.287693739868613463e+00
7.260978097809780593e+03,3.164356320318881810e+00
7.260981098109810773e+03,3.043343211243243029e+00
7.260984098409840954e+03,2.924657035006728467e+00
7.260987098709871134e+03,2.808300363512505893e+00
7.260990099009901314e+03,2.694275718183846813e+00
7.260993099309930585e+03,2.582585569943077086e+00
7.260996099609960766e+03,2.473232339023270665e+00
7.260999099909990946e+03,2.366218395118928619e+00
7.261002100210021126e+03,2.261546057198509985e+00
7.261005100510051307e+03,2.159217593488390374e+00
7.261008100810080578e+03,2.059235221453694642e+00
7.261011101110110758e+03,1.961601107629634688e+00
7.261014101410140938e+03,1.866317367756530121e+00
7.261017101710171119e+03,1.773386066611884804e+00
7.261020102010201299e+03,1.682809217996449336e+00
7.261023102310230570e+03,1.594588784716835628e+00
7.261026102610260750e+03,1.508726678436809410e+00
7.261029102910290931e+03,1.425224759796316798e+00
7.261032103210321111e+03,1.344084838263427839e+00
7.261035103510351291e+03,1.265308672122281264e+00
7.261038103810381472e+03,1.188897968434936558e+00
7.261041104110410743e+03,1.114854383026524731e+00
7.261044104410440923e+03,1.043179520360238977e+00
7.261047104710471103e+03,9.738749336372852783e-01
7.261050105010501284e+03,9.069421246727192853e-01
7.261053105310531464e+03,8.423825438856734626e-01
7.261056105610560735e+03,7.801975902864731749e-01
7.261059105910590915e+03,7.203886113715721740e-01
7.261062106210621096e+03,6.629569032075294244e-01
7.261065106510651276e+03,6.079037103267183051e-01
7.261068106810681456e+03,5.552302257196511936e-01
7.261071107110710727e+03,5.049375908239577271e-01
7.261074107410740908e+03,4.570268954394022809e-01
7.261077107710771088e+03,4.114991777957520136e-01
7.261080108010801268e+03,3.683554244685661172e-01
7.261083108310831449e+03,3.275965703734215473e-01
7.261086108610860720e+03,2.892234987569268778e-01
7.261089108910890900e+03,2.532370411317947378e-01
7.261092109210921080e+03,2.196379773285780657e-01
7.261095109510951261e+03,1.884270354315397966e-01
7.261098109810981441e+03,1.596048917749012253e-01
7.261101110111010712e+03,1.331721709357562289e-01
7.261104110411040892e+03,1.091294456892991371e-01
7.261107110711071073e+03,8.747723704443870207e-02
7.261110111011101253e+03,6.821601419973720437e-02
7.261113111311131433e+03,5.134619454163275032e-02
7.261116111611160704e+03,3.686814363940057321e-02
7.261119111911190885e+03,2.478217522042543142e-02
7.261122112211221065e+03,1.508855118971884519e-02
7.261125112511251245e+03,7.787481605951589864e-03
7.261128112811281426e+03,2.879124681711135291e-03
7.261131113111310697e+03,3.635867803754461191e-04
7.261134113411340877e+03,2.409224115891811079e-04
7.261137113711371057e+03,2.511134234573790883e-03
7.261140114011401238e+03,7.174173054363813633e-03
7.261143114311431418e+03,1.422993782391553282e-02
7.261146114611461599e+03,2.367827564637500076e-02
7.261149114911490869e+03,3.551898177441602938e-02
7.261152115211521050e+03,4.975179962973296649e-02
7.261155115511551230e+03,6.637642078706643134e-02
7.261158115811581411e+03,8.539248499459105302e-02
7.261161116111611591e+03,1.067995801783779564e-01
7.261164116411640862e+03,1.305972424438659185e-01
7.261167116711671042e+03,1.567849561153864257e-01
7.261170117011701223e+03,1.853621537041415246e-01
7.261173117311731403e+03,2.163282159485991896e-01
7.261176117611761583e+03,2.496824718210400584e-01
7.261179117911790854e+03,2.854241985309287077e-01
7.261182118211821034e+03,3.235526215846305509e-01
7.261185118511851215e+03,3.640669147371943803e-01
7.261188118811881395e+03,4.069662000528535550e-01
7.261191119111911576e+03,4.522495479135961172e-01
7.261194119411940846e+03,4.999159770244969714e-01
7.261197119711971027e+03,5.499644544935037294e-01
7.261200120012001207e+03,6.023938957670863514e-01
7.261203120312031388e+03,6.572031647108678154e-01
7.261206120612061568e+03,7.143910736201316558e-01
7.261209120912090839e+03,7.739563832271399990e-01
7.261212121212121019e+03,8.358978028009399486e-01
7.261215121512151200e+03,9.002139900669884343e-01
7.261218121812181380e+03,9.669035513077564037e-01
7.261221122112211560e+03,1.035965041375206841e+00
7.261224122412240831e+03,1.107396963700150838e+00
7.261227122712271012e+03,1.181197770411949177e+00
7.261230123012301192e+03,1.257365862242165067e+00
7.261233123312331372e+03,1.335899588645124370e+00
7.261236123612361553e+03,1.416797247812369820e+00
7.261239123912390824e+03,1.500057086683941110e+00
7.261242124212421004e+03,1.585677301088045610e+00
7.261245124512451184e+03,1.673656035628727556e+00
7.261248124812481365e+03,1.763991383826286619e+00
7.261251125112511545e+03,1.856681388133743837e+00
7.261254125412540816e+03,1.951724039950045730e+00
7.261257125712570996e+03,2.049117279779608669e+00
7.261260126012601177e+03,2.148858997104050150e+00
7.261263126312631357e+03,2.250947030542430838e+00
7.261266126612661537e+03,2.355379167869681822e+00
7.261269126912691718e+03,2.462153146064504750e+00
7.261272127212720989e+03,2.571266651325024633e+00
7.261275127512751169e+03,2.682717319251901156e+00
7.261278127812781349e+03,2.796502734701090009e+00
7.261281128112811530e+03,2.912620431967885448e+00
7.261284128412841710e+03,3.031067894807464747e+00
7.261287128712870981e+03,3.151842556452582933e+00
7.261290129012901161e+03,3.274941799816317722e+00
7.261293129312931342e+03,3.400362957329043923e+00
7.261296129612961522e+03,3.528103311142066101e+00
7.261299129912991702e+03,3.658160093150186754e+00
7.261302130213020973e+03,3.790530485011298634e+00
7.261305130513051154e+03,3.925211618368551481e+00
7.261308130813081334e+03,4.062200574671842368e+00
7.261311131113111514e+03,4.201494385400842191e+00
7.261314131413141695e+03,4.343090032089511610e+00
7.261317131713170966e+03,4.486984446347572764e+00
7.261320132013201146e+03,4.633174510102180399e+00
7.261323132313231326e+03,4.781657055403739420e+00
7.261326132613261507e+03,4.932428864668417567e+00
7.261329132913291687e+03,5.085486670704462142e+00
7.261332133213320958e+03,5.240827156735693215e+00
7.261335133513351138e+03,5.398446956662361629e+00
7.261338133813381319e+03,5.558342654851557540e+00
7.261341134113411499e+03,5.720510786398920189e+00
7.261344134413441679e+03,5.884947837156953909e+00
7.261347134713470950e+03,6.051650243760295034e+00
7.261350135013501131e+03,6.220614393905799844e+00
7.261353135313531311e+03,6.391836626127551213e+00
7.261356135613561491e+03,6.565313230077704176e+00
7.261359135913591672e+03,6.741040446556655574e+00
7.261362136213620943e+03,6.919014467540273827e+00
7.261365136513651123e+03,7.099231436478812718e+00
7.261368136813681303e+03,7.281687448056880285e+00
7.261371137113711484e+03,7.466378548493112000e+00
7.261374137413741664e+03,7.653300735572242885e+00
7.261377137713770935e+03,7.842449958674224675e+00
7.261380138013801115e+03,8.033822119091944103e+00
7.261383138313831296e+03,8.227413069776080334e+00
7.261386138613861476e+03,8.423218615653574659e+00
7.261389138913891657e+03,8.621234513661653054e+00
7.261392139213921837e+03,8.821456472839640739e+00
7.261395139513951108e+03,9.023880154360327310e+00
7.261398139813981288e+03,9.228501171870076902e+00
7.261401140114011469e+03,9.435315091215748851e+00
7.261404140414041649e+03,9.644317430785507739e+00
7.261407140714071829e+03,9.855503661544945615e+00
7.261410141014101100e+03,1.006886920707018263e+01
7.261413141314131281e+03,1.028440944390648148e+01
7.261416141614161461e+03,1.050211970128027339e+01
7.261419141914191641e+03,1.072199526145853454e+01
7.261422142214221822e+03,1.094403135978653552e+01
7.261425142514251093e+03,1.116822318472291897e+01
7.261428142814281273e+03,1.139456587821641165e+01
7.261431143114311453e+03,1.162305453540332856e+01
7.261434143414341634e+03,1.185368420498510744e+01
7.261437143714371814e+03,1.208644988926785402e+01
7.261440144014401085e+03,1.232134654419921205e+01
7.261443144314431265e+03,1.255836907976311068e+01
7.261446144614461446e+03,1.279751235966281087e+01
7.261449144914491626e+03,1.303877120171639703e+01
7.261452145214521806e+03,1.328214037789820523e+01
7.261455145514551077e+03,1.352761461437732571e+01
7.261458145814581258e+03,1.377518859193028433e+01
7.261461146114611438e+03,1.402485694560967389e+01
7.261464146414641618e+03,1.427661426515759757e+01
7.261467146714671799e+03,1.453045509504868882e+01
7.261470147014701070e+03,1.478637393453048432e+01
7.261473147314731250e+03,1.504436523805357950e+01
7.261476147614761430e+03,1.530442341492626745e+01
7.261479147914791611e+03,1.556654282974547421e+01
7.261482148214821791e+03,1.583071780244154603e+01
7.261485148514851062e+03,1.609694260832028334e+01
7.261488148814881242e+03,1.636521147851053470e+01
7.261491149114911423e+03,1.663551859960487178e+01
7.261494149414941603e+03,1.690785811410786366e+01
