Time (BJD_TBD - 2450000), L_c/L_star (ppm)
7.260300030002999847e+03,2.765569712073885853e+02
7.260303030303030027e+03,2.749077827406686652e+02
7.260306030603060208e+03,2.732552231486715755e+02
7.260309030903090388e+03,2.715993925572998364e+02
7.260312031203120569e+03,2.699403912906415712e+02
7.260315031503150749e+03,2.682783198648903635e+02
7.260318031803180020e+03,2.666132789827611873e+02
7.260321032103210200e+03,2.649453695253686192e+02
7.260324032403240381e+03,2.632746925491437651e+02
7.260327032703270561e+03,2.616013492776924068e+02
7.260330033003300741e+03,2.599254410961673329e+02
7.260333033303330012e+03,2.582470695456336784e+02
7.260336033603360193e+03,2.565663363148818235e+02
7.260339033903390373e+03,2.548833432373184564e+02
7.260342034203420553e+03,2.531981922827620224e+02
7.260345034503450734e+03,2.515109855517735866e+02
7.260348034803480004e+03,2.498218252699822415e+02
7.260351035103510185e+03,2.481308137798436917e+02
7.260354035403540365e+03,2.464380535375107115e+02
7.260357035703570546e+03,2.447436471045788551e+02
7.260360036003600726e+03,2.430476971423830719e+02
7.260363036303629997e+03,2.413503064062936687e+02
7.260366036603660177e+03,2.396515777374306424e+02
7.260369036903690358e+03,2.379516140595210629e+02
7.260372037203720538e+03,2.362505183706046239e+02
7.260375037503750718e+03,2.345483937373076913e+02
7.260378037803779989e+03,2.328453432891153057e+02
7.260381038103810170e+03,2.311414702100572640e+02
7.260384038403840350e+03,2.294368777355532245e+02
7.260387038703870530e+03,2.277316691440946954e+02
7.260390039003900711e+03,2.260259477515019455e+02
7.260393039303929982e+03,2.243198169051826767e+02
7.260396039603960162e+03,2.226133799758009104e+02
7.260399039903990342e+03,2.209067403541173178e+02
7.260402040204020523e+03,2.192000014426562018e+02
7.260405040504050703e+03,2.174932666499580023e+02
7.260408040804079974e+03,2.157866393848302664e+02
7.260411041104110154e+03,2.140802230480140338e+02
7.260414041404140335e+03,2.123741210290228310e+02
7.260417041704170515e+03,2.106684366978083176e+02
7.260420042004200695e+03,2.089632733990153781e+02
7.260423042304230876e+03,2.072587344457203073e+02
7.260426042604260147e+03,2.055549231136878063e+02
7.260429042904290327e+03,2.038519426330475710e+02
7.260432043204320507e+03,2.021498961851395393e+02
7.260435043504350688e+03,2.004488868941946578e+02
7.260438043804380868e+03,1.987490178216050083e+02
7.260441044104410139e+03,1.970503919601927976e+02
7.260444044404440319e+03,1.953531122259120423e+02
7.260447044704470500e+03,1.936572814547017458e+02
7.260450045004500680e+03,1.919630023941954846e+02
7.260453045304530860e+03,1.902703776980112309e+02
7.260456045604560131e+03,1.885795099200442451e+02
7.260459045904590312e+03,1.868905015062031225e+02
7.260462046204620492e+03,1.852034547912787730e+02
7.260465046504650672e+03,1.835184719906933992e+02
7.260468046804680853e+03,1.818356551948193669e+02
7.260471047104710124e+03,1.801551063633039291e+02
7.260474047404740304e+03,1.784769273168539030e+02
7.260477047704770484e+03,1.768012197341234355e+02
7.260480048004800665e+03,1.751280851435147099e+02
7.260483048304830845e+03,1.734576249175367479e+02
7.260486048604860116e+03,1.717899402671680491e+02
7.260489048904890296e+03,1.701251322337033685e+02
7.260492049204920477e+03,1.684633016856652716e+02
7.260495049504950657e+03,1.668045493106686479e+02
7.260498049804980838e+03,1.651489756098276587e+02
7.260501050105010108e+03,1.634966808921655286e+02
7.260504050405040289e+03,1.618477652665354469e+02
7.260507050705070469e+03,1.602023286385599476e+02
7.260510051005100649e+03,1.585604707025732694e+02
7.260513051305130830e+03,1.569222909360824474e+02
7.260516051605160101e+03,1.552878885942354543e+02
7.260519051905190281e+03,1.536573627018262016e+02
7.260522052205220461e+03,1.520308120502675706e+02
7.260525052505250642e+03,1.504083351896232728e+02
7.260528052805280822e+03,1.487900304231325208e+02
7.260531053105310093e+03,1.471759958017429142e+02
7.260534053405340273e+03,1.455663291162136943e+02
7.260537053705370454e+03,1.439611278941259798e+02
7.260540054005400634e+03,1.423604893920165182e+02
7.260543054305430815e+03,1.407645105899737530e+02
7.260546054605460995e+03,1.391732881857624307e+02
7.260549054905490266e+03,1.375869185894455313e+02
7.260552055205520446e+03,1.360054979156197419e+02
7.260555055505550627e+03,1.344291219804783282e+02
7.260558055805580807e+03,1.328578862940804015e+02
7.260561056105610987e+03,1.312918860550454667e+02
7.260564056405640258e+03,1.297312161452584007e+02
7.260567056705670439e+03,1.281759711222294698e+02
7.260570057005700619e+03,1.266262452162039125e+02
7.260573057305730799e+03,1.250821323225586639e+02
7.260576057605760980e+03,1.235437259965876819e+02
7.260579057905790251e+03,1.220111194482964549e+02
7.260582058205820431e+03,1.204844055348987695e+02
7.260585058505850611e+03,1.189636767579781065e+02
7.260588058805880792e+03,1.174490252560221393e+02
7.260591059105910972e+03,1.159405427993070106e+02
7.260594059405940243e+03,1.144383207847902639e+02
7.260597059705970423e+03,1.129424502287545664e+02
7.260600060006000604e+03,1.114530217640251664e+02
7.260603060306030784e+03,1.099701256326548844e+02
7.260606060606060964e+03,1.084938516809132238e+02
7.260609060906090235e+03,1.070242893542869353e+02
7.260612061206120416e+03,1.055615276902810109e+02
7.260615061506150596e+03,1.041056553156965947e+02
7.260618061806180776e+03,1.026567604394778357e+02
