Time (BJD_TBD - 2450000), L_h/L_star (ppm)
1.065015466977960568e+04,9.606172825436807727e+00
1.065015469106992896e+04,9.606269185376106634e+00
1.065015471236025223e+04,9.606365545554664820e+00
1.065015473365057551e+04,9.606461905972480508e+00
1.065015475494089878e+04,9.606558266629544818e+00
1.065015477623122206e+04,9.606654627525854195e+00
1.065015479752154533e+04,9.606750988661403312e+00
1.065015481881186861e+04,9.606847350036190392e+00
1.065015484010219188e+04,9.606943711650206552e+00
1.065015486139251698e+04,9.607040073511678102e+00
1.065015488268284025e+04,9.607136435604141766e+00
1.065015490397316353e+04,9.607232797935820301e+00
1.065015492526348680e+04,9.607329160506708376e+00
1.065015494655381008e+04,9.607425523316802440e+00
1.065015496784413335e+04,9.607521886366095387e+00
1.065015498913445663e+04,9.607618249654588993e+00
