Time (BJD_TBD - 2450000), F_b/F_star (ppm)
1.061386530092591420e+04,7.002983806584742297e+02
1.061386531688121431e+04,7.003078824822940760e+02
1.061386533283651261e+04,7.003173828279007012e+02
1.061386534879181272e+04,7.003268816974185711e+02
1.061386536474711102e+04,7.003363790886401148e+02
1.061386538070241113e+04,7.003458750036888887e+02
1.061386539665770943e+04,7.003553694403580039e+02
1.061386541261300954e+04,7.003648624007703347e+02
1.061386542856830783e+04,7.003743538827199018e+02
1.061386544452360795e+04,7.003838438883288973e+02
1.061386546047890624e+04,7.003933324153916828e+02
1.061386547643420636e+04,7.004028194660297686e+02
1.061386549238950465e+04,7.004123050380387667e+02
1.061386550834480477e+04,7.004217891335392778e+02
1.061386552430010306e+04,7.004312717503272552e+02
1.061386554025540318e+04,7.004407528905230720e+02
1.061386555621070147e+04,7.004502325519231363e+02
1.061386557216600158e+04,7.004597107366472528e+02
1.061386558812129988e+04,7.004691874424925118e+02
1.061386560407659999e+04,7.004786626715780358e+02
1.061386562003189829e+04,7.004881364217015971e+02
1.061386563598719840e+04,7.004976086949815226e+02
1.061386565194249670e+04,7.005070794892164940e+02
1.061386566789779681e+04,7.005165488065241561e+02
1.061386568385309511e+04,7.005260166447039865e+02
1.061386569980839522e+04,7.005354830058726066e+02
1.061386571576369352e+04,7.005449478878301761e+02
1.061386573171899363e+04,7.005544112926929756e+02
1.061386574767429192e+04,7.005638732182618469e+02
1.061386576362959204e+04,7.005733336666523883e+02
1.061386577958489033e+04,7.005827926356658963e+02
1.061386579554019045e+04,7.005922501274174010e+02
1.061386581149549056e+04,7.006017061407868596e+02
1.061386582745078886e+04,7.006111606746549114e+02
1.061386584340608897e+04,7.006206137311354496e+02
1.061386585936138727e+04,7.006300653080317034e+02
1.061386587531668738e+04,7.006395154074571110e+02
1.061386589127198567e+04,7.006489640272151291e+02
1.061386590722728579e+04,7.006584111694188550e+02
1.061386592318258408e+04,7.006678568318724274e+02
1.061386593913788420e+04,7.006773010166879203e+02
1.061386595509318249e+04,7.006867437216706094e+02
1.061386597104848261e+04,7.006961849489318865e+02
1.061386598700378090e+04,7.007056246962773685e+02
1.061386600295908102e+04,7.007150629658178786e+02
1.061386601891437931e+04,7.007244997553599433e+02
1.061386603486967942e+04,7.007339350670135900e+02
1.061386605082497772e+04,7.007433688985861409e+02
1.061386606678027783e+04,7.007528012521867140e+02
1.061386608273557613e+04,7.007622321256234272e+02
1.061386609869087624e+04,7.007716615210049440e+02
1.061386611464617454e+04,7.007810894361398368e+02
1.061386613060147465e+04,7.007905158731363144e+02
1.061386614655677295e+04,7.007999408298032904e+02
1.061386616251207306e+04,7.008093643082484050e+02
1.061386617846737136e+04,7.008187863062815950e+02
1.061386619442267147e+04,7.008282068260097049e+02
1.061386621037796976e+04,7.008376258652432398e+02
1.061386622633326988e+04,7.008470434260882485e+02
1.061386624228856817e+04,7.008564595063560319e+02
1.061386625824386829e+04,7.008658741081521839e+02
1.061386627419916658e+04,7.008752872292884604e+02
1.061386629015446670e+04,7.008846988718700004e+02
1.061386630610976681e+04,7.008941090347818772e+02
1.061386632206506511e+04,7.009035177169101871e+02
1.061386633802036522e+04,7.009129249203589325e+02
1.061386635397566351e+04,7.009223306429414606e+02
1.061386636993096363e+04,7.009317348867612054e+02
1.061386638588626192e+04,7.009411376496323101e+02
1.061386640184156204e+04,7.009505389336575263e+02
1.061386641779686033e+04,7.009599387366515657e+02
1.061386643375216045e+04,7.009693370607167253e+02
1.061386644970745874e+04,7.009787339036683989e+02
1.061386646566275886e+04,7.009881292676078601e+02
1.061386648161805715e+04,7.009975231503515261e+02
1.061386649757335726e+04,7.010069155539997610e+02
1.061386651352865556e+04,7.010163064763701186e+02
1.061386652948395567e+04,7.010256959195620539e+02
1.061386654543925397e+04,7.010350838813934615e+02
1.061386656139455408e+04,7.010444703639635691e+02
1.061386657734985238e+04,7.010538553650907261e+02
1.061386659330515249e+04,7.010632388868738190e+02
1.061386660926045079e+04,7.010726209271316520e+02
1.061386662521575090e+04,7.010820014879623159e+02
1.061386664117104920e+04,7.010913805671855243e+02
1.061386665712634931e+04,7.011007581668985722e+02
1.061386667308164760e+04,7.011101342849220828e+02
1.061386668903694772e+04,7.011195089233524413e+02
1.061386670499224601e+04,7.011288820800109534e+02
1.061386672094754613e+04,7.011382537569934357e+02
1.061386673690284442e+04,7.011476239521221032e+02
1.061386675285814454e+04,7.011569926674918634e+02
1.061386676881344283e+04,7.011663599009253858e+02
1.061386678476874295e+04,7.011757256545172368e+02
1.061386680072404306e+04,7.011850899271584012e+02
1.061386681667934135e+04,7.011944527177400914e+02
1.061386683263464147e+04,7.012038140283559642e+02
1.061386684858993976e+04,7.012131738568305082e+02
1.061386686454523988e+04,7.012225322052562433e+02
1.061386688050053817e+04,7.012318890714584541e+02
1.061386689645583829e+04,7.012412444575294330e+02
1.061386691241113658e+04,7.012505983612949194e+02
1.061386692836643670e+04,7.012599507848461826e+02
1.061386694432173499e+04,7.012693017260099850e+02
1.061386696027703510e+04,7.012786511868770276e+02
1.061386697623233340e+04,7.012879991652746412e+02
1.061386699218763351e+04,7.012973456632927309e+02
1.061386700814293181e+04,7.013066906787591961e+02
