Time (BJD_TBD - 2450000), F_e/F_star (ppm)
9.905195332033044906e+03,2.169564910836021099e+00
9.905195353362723836e+03,2.169987284449132137e+00
9.905195374692404584e+03,2.170409698684528710e+00
9.905195396022083514e+03,2.170832153469969938e+00
9.905195417351762444e+03,2.171254648841264956e+00
9.905195438681441374e+03,2.171677184798232574e+00
9.905195460011120304e+03,2.172099761340642310e+00
9.905195481340801052e+03,2.172522378504342377e+00
9.905195502670479982e+03,2.172945036217053261e+00
9.905195524000158912e+03,2.173367734514602745e+00
9.905195545329837842e+03,2.173790473396790546e+00
9.905195566659516771e+03,2.174213252863406165e+00
9.905195587989195701e+03,2.174636072914257312e+00
9.905195609318876450e+03,2.175058933585192200e+00
9.905195630648555380e+03,2.175481834803883352e+00
9.905195651978234309e+03,2.175904776606188307e+00
9.905195673307913239e+03,2.176327758991915662e+00
9.905195694637592169e+03,2.176750781960844261e+00
9.905195715967272918e+03,2.177173845548860953e+00
9.905195737296951847e+03,2.177596949683590744e+00
9.905195758626630777e+03,2.178020094400918705e+00
9.905195779956309707e+03,2.178443279700644553e+00
9.905195801285988637e+03,2.178866505582557345e+00
9.905195822615667566e+03,2.179289772046446139e+00
9.905195843945348315e+03,2.179713079128207553e+00
9.905195865275027245e+03,2.180136426755455492e+00
9.905195886604706175e+03,2.180559814964067034e+00
9.905195907934385104e+03,2.180983243753850775e+00
9.905195929264064034e+03,2.181406713124586449e+00
9.905195950593744783e+03,2.181830223112198208e+00
9.905195971923423713e+03,2.182253773644243555e+00
9.905195993253102642e+03,2.182677364756637761e+00
9.905196014582781572e+03,2.183100996449179654e+00
9.905196035912460502e+03,2.183524668721658291e+00
9.905196057242139432e+03,2.183948381573863173e+00
9.905196078571820181e+03,2.184372135041737994e+00
9.905196099901499110e+03,2.184795929052801622e+00
9.905196121231178040e+03,2.185219763642988422e+00
9.905196142560856970e+03,2.185643638812087897e+00
9.905196163890535900e+03,2.186067554559898429e+00
9.905196185220216648e+03,2.186491510922364156e+00
9.905196206549895578e+03,2.186915507826984850e+00
9.905196227879574508e+03,2.187339545309703759e+00
9.905196249209253438e+03,2.187763623370310828e+00
9.905196270538932367e+03,2.188187742008604886e+00
9.905196291868613116e+03,2.188611901260548276e+00
9.905196313198292046e+03,2.189036101053612793e+00
9.905196334527970976e+03,2.189460341423741685e+00
9.905196355857649905e+03,2.189884622370734224e+00
9.905196377187328835e+03,2.190308943894398119e+00
9.905196398517007765e+03,2.190733305994514435e+00
9.905196419846688514e+03,2.191157708707082818e+00
9.905196441176367443e+03,2.191582151959508895e+00
9.905196462506046373e+03,2.192006635787773661e+00
9.905196483835725303e+03,2.192431160191675943e+00
9.905196505165404233e+03,2.192855725171015457e+00
9.905196526495084981e+03,2.193280330761792740e+00
9.905196547824763911e+03,2.193704976891392988e+00
9.905196569154442841e+03,2.194129663595807411e+00
9.905196590484121771e+03,2.194554390874825955e+00
9.905196611813800700e+03,2.194979158728266100e+00
9.905196633143479630e+03,2.195403967155908020e+00
9.905196654473160379e+03,2.195828816193771793e+00
9.905196675802839309e+03,2.196253705769204423e+00
9.905196697132518239e+03,2.196678635918225986e+00
9.905196718462197168e+03,2.197103606640634865e+00
9.905196739791876098e+03,2.197528617936211681e+00
9.905196761121556847e+03,2.197953669841024027e+00
9.905196782451235777e+03,2.198378762282342525e+00
9.905196803780914706e+03,2.198803895296234767e+00
9.905196825110593636e+03,2.199229068882480487e+00
9.905196846440272566e+03,2.199654283040879399e+00
9.905196867769951496e+03,2.200079537771229443e+00
9.905196889099632244e+03,2.200504833109580005e+00
9.905196910429311174e+03,2.200930168983201707e+00
9.905196931758990104e+03,2.201355545428162142e+00
9.905196953088669034e+03,2.201780962444241041e+00
9.905196974418347963e+03,2.202206420031237233e+00
9.905196995748028712e+03,2.202631918225248064e+00
9.905197017077707642e+03,2.203057456953466886e+00
9.905197038407386572e+03,2.203483036251999927e+00
9.905197059737065501e+03,2.203908656120626919e+00
9.905197081066744431e+03,2.204334316559147133e+00
9.905197102396425180e+03,2.204760017603666356e+00
9.905197123726104110e+03,2.205185759181359728e+00
9.905197145055783039e+03,2.205611541328324154e+00
9.905197166385461969e+03,2.206037364044367344e+00
9.905197187715140899e+03,2.206463227329269472e+00
9.905197209044819829e+03,2.206889131182839137e+00
9.905197230374500577e+03,2.207315075641183011e+00
9.905197251704179507e+03,2.207741060631455365e+00
9.905197273033858437e+03,2.208167086189763761e+00
9.905197294363537367e+03,2.208593152315915908e+00
9.905197315693216296e+03,2.209019259009701752e+00
9.905197337022897045e+03,2.209445406307255944e+00
9.905197358352575975e+03,2.209871594135676354e+00
9.905197379682254905e+03,2.210297822531127387e+00
9.905197401011933835e+03,2.210724091493378562e+00
9.905197422341612764e+03,2.211150401022228706e+00
9.905197443671291694e+03,2.211576751117477535e+00
9.905197465000972443e+03,2.212003141815288121e+00
9.905197486330651373e+03,2.212429573042720587e+00
9.905197507660330302e+03,2.212856044835929126e+00
9.905197528990009232e+03,2.213282557194712563e+00
9.905197550319688162e+03,2.213709110118859957e+00
9.905197571649368911e+03,2.214135703644554365e+00
9.905197592979047840e+03,2.214562337698826600e+00
9.905197614308726770e+03,2.214989012317841066e+00
9.905197635638405700e+03,2.215415727501415688e+00
9.905197656968084630e+03,2.215842483249310213e+00
9.905197678297763559e+03,2.216269279561343897e+00
9.905197699627444308e+03,2.216696116473698908e+00
9.905197720957123238e+03,2.217122993913386964e+00
9.905197742286802168e+03,2.217549911916582239e+00
9.905197763616481097e+03,2.217976870483082674e+00
9.905197784946160027e+03,2.218403869612678658e+00
9.905197806275840776e+03,2.218830909341599877e+00
9.905197827605519706e+03,2.219257989596791880e+00
9.905197848935198635e+03,2.219685110414466145e+00
9.905197870264877565e+03,2.220112271794411729e+00
9.905197891594556495e+03,2.220539473736427905e+00
9.905197912924235425e+03,2.220966716240313499e+00
9.905197934253916173e+03,2.221393999342299530e+00
9.905197955583595103e+03,2.221821322969292023e+00
9.905197976913274033e+03,2.222248687157531766e+00
9.905197998242952963e+03,2.222676091906817142e+00
9.905198019572631893e+03,2.223103537216928327e+00
9.905198040902312641e+03,2.223531023124125205e+00
9.905198062231991571e+03,2.223958549555284936e+00
9.905198083561670501e+03,2.224386116546657632e+00
9.905198104891349431e+03,2.224813724098042123e+00
9.905198126221028360e+03,2.225241372209218138e+00
9.905198147550709109e+03,2.225669060916474429e+00
9.905198168880388039e+03,2.226096790146640636e+00
9.905198190210066969e+03,2.226524559935995295e+00
9.905198211539745898e+03,2.226952370284318139e+00
9.905198232869424828e+03,2.227380221191407994e+00
9.905198254199103758e+03,2.227808112657064132e+00
9.905198275528784507e+03,2.228236044717565090e+00
9.905198296858463436e+03,2.228664017299721412e+00
9.905198318188142366e+03,2.229092030439831618e+00
9.905198339517821296e+03,2.229520084137664782e+00
9.905198360847500226e+03,2.229948178393030389e+00
9.905198382177180974e+03,2.230376313242235398e+00
9.905198403506859904e+03,2.230804488612042391e+00
9.905198424836538834e+03,2.231232704538749889e+00
9.905198446166217764e+03,2.231660961022166045e+00
9.905198467495896693e+03,2.232089258062079917e+00
9.905198488825575623e+03,2.232517595658281451e+00
9.905198510155256372e+03,2.232945973847086929e+00
9.905198531484935302e+03,2.233374392555250498e+00
9.905198552814614231e+03,2.233802851819078672e+00
9.905198574144293161e+03,2.234231351638361396e+00
9.905198595473972091e+03,2.234659892012906823e+00
9.905198616803652840e+03,2.235088472979051222e+00
9.905198638133331769e+03,2.235517094463481236e+00
9.905198659463010699e+03,2.235945756502551340e+00
9.905198680792689629e+03,2.236374459096041711e+00
9.905198702122368559e+03,2.236803202243751620e+00
9.905198723452047489e+03,2.237231985945479451e+00
9.905198744781728237e+03,2.237660810237580566e+00
9.905198766111407167e+03,2.238089675046712745e+00
9.905198787441086097e+03,2.238518580409241121e+00
9.905198808770765027e+03,2.238947526324944537e+00
9.905198830100443956e+03,2.239376512793632035e+00
9.905198851430124705e+03,2.239805539851678073e+00
9.905198872759803635e+03,2.240234607425702240e+00
9.905198894089482565e+03,2.240663715552078106e+00
9.905198915419161494e+03,2.241092864230605386e+00
9.905198936748840424e+03,2.241522053461072694e+00
9.905198958078521173e+03,2.241951283279883800e+00
9.905198979408200103e+03,2.242380553613619210e+00
9.905199000737879032e+03,2.242809864498672923e+00
9.905199022067557962e+03,2.243239215934843767e+00
9.905199043397236892e+03,2.243668607921911029e+00
9.905199064726915822e+03,2.244098040459683752e+00
9.905199086056596570e+03,2.244527513584574585e+00
9.905199107386275500e+03,2.244957027223125845e+00
9.905199128715954430e+03,2.245386581411750626e+00
9.905199150045633360e+03,2.245816176150238430e+00
9.905199171375312289e+03,2.246245811438396967e+00
9.905199192704993038e+03,2.246675487312649100e+00
9.905199214034671968e+03,2.247105203699508724e+00
9.905199235364350898e+03,2.247534960635407586e+00
9.905199256694029827e+03,2.247964758120135187e+00
9.905199278023708757e+03,2.248394596153490355e+00
9.905199299353387687e+03,2.248824474735262147e+00
9.905199320683068436e+03,2.249254393901902294e+00
9.905199342012747366e+03,2.249684353579886054e+00
9.905199363342426295e+03,2.250114353805673595e+00
9.905199384672105225e+03,2.250544394579035767e+00
9.905199406001784155e+03,2.250974475899780725e+00
9.905199427331464904e+03,2.251404597804378405e+00
9.905199448661143833e+03,2.251834760219257436e+00
9.905199469990822763e+03,2.252264963180896640e+00
9.905199491320501693e+03,2.252695206689085516e+00
9.905199512650180623e+03,2.253125490743614012e+00
9.905199533979859552e+03,2.253555815344270741e+00
9.905199555309540301e+03,2.253986180527554950e+00
9.905199576639219231e+03,2.254416586219865959e+00
9.905199597968898161e+03,2.254847032457683031e+00
9.905199619298577090e+03,2.255277519240795669e+00
9.905199640628256020e+03,2.255708046569002700e+00
9.905199661957936769e+03,2.256138614478822468e+00
9.905199683287615699e+03,2.256569222896605886e+00
9.905199704617294628e+03,2.256999871858851758e+00
9.905199725946973558e+03,2.257430561365358912e+00
9.905199747276652488e+03,2.257861291415927063e+00
9.905199768606331418e+03,2.258292062010344381e+00
9.905199789936012166e+03,2.258722873185130098e+00
9.905199811265691096e+03,2.259153724866615143e+00
9.905199832595370026e+03,2.259584617091318304e+00
9.905199853925048956e+03,2.260015549859048178e+00
9.905199875254727885e+03,2.260446523169573840e+00
9.905199896584408634e+03,2.260877537059462483e+00
9.905199917914087564e+03,2.261308591454978423e+00
9.905199939243766494e+03,2.261739686392678195e+00
9.905199960573445424e+03,2.262170821872361071e+00
9.905199981903124353e+03,2.262601997893805894e+00
9.905200003232805102e+03,2.263033214493579415e+00
9.905200024562484032e+03,2.263464471597936623e+00
9.905200045892162962e+03,2.263895769243434053e+00
9.905200067221841891e+03,2.264327107429860764e+00
9.905200088551520821e+03,2.264758486157016470e+00
9.905200109881199751e+03,2.265189905424689343e+00
9.905200131210880500e+03,2.265621365269465226e+00
9.905200152540559429e+03,2.266052865617542267e+00
9.905200173870238359e+03,2.266484406505523630e+00
9.905200195199917289e+03,2.266915987933180610e+00
9.905200216529596219e+03,2.267347609900312033e+00
9.905200237859276967e+03,2.267779272443530836e+00
9.905200259188955897e+03,2.268210975488997416e+00
9.905200280518634827e+03,2.268642719073306502e+00
9.905200301848313757e+03,2.269074503196265802e+00
9.905200323177992686e+03,2.269506327857655936e+00
9.905200344507671616e+03,2.269938193057265963e+00
9.905200365837352365e+03,2.270370098831728356e+00
9.905200387167031295e+03,2.270802045107175093e+00
9.905200408496710224e+03,2.271234031920209340e+00
9.905200429826389154e+03,2.271666059270640137e+00
9.905200451156068084e+03,2.272098127158256542e+00
9.905200472485748833e+03,2.272530235619691918e+00
9.905200493815427762e+03,2.272962384581048045e+00
9.905200515145106692e+03,2.273394574078957842e+00
9.905200536474785622e+03,2.273826804113220579e+00
9.905200557804464552e+03,2.274259074683615989e+00
9.905200579134143481e+03,2.274691385789942899e+00
9.905200600463824230e+03,2.275123737468872420e+00
9.905200621793503160e+03,2.275556129646430392e+00
9.905200643123182090e+03,2.275988562359307021e+00
9.905200664452861020e+03,2.276421035607272714e+00
9.905200685782539949e+03,2.276853549390125853e+00
9.905200707112220698e+03,2.277286103744548207e+00
9.905200728441899628e+03,2.277718698596545188e+00
9.905200749771578558e+03,2.278151333982807891e+00
9.905200771101257487e+03,2.278584009903125374e+00
9.905200792430936417e+03,2.279016726357287137e+00
9.905200813760617166e+03,2.279449483381983388e+00
9.905200835090296096e+03,2.279882280903201774e+00
9.905200856419975025e+03,2.280315118957632059e+00
9.905200877749653955e+03,2.280747997545073957e+00
9.905200899079332885e+03,2.281180916665316083e+00
9.905200920409011815e+03,2.281613876318138612e+00
9.905200941738692563e+03,2.282046876540280156e+00
9.905200963068371493e+03,2.282479917257659974e+00
9.905200984398050423e+03,2.282912998507007796e+00
9.905201005727729353e+03,2.283346120288102465e+00
9.905201027057408282e+03,2.283779282600734373e+00
9.905201048387089031e+03,2.284212485481659893e+00
9.905201069716767961e+03,2.284645728856761870e+00
9.905201091046446891e+03,2.285079012762778028e+00
9.905201112376125820e+03,2.285512337199507638e+00
9.905201133705804750e+03,2.285945702166730431e+00
9.905201155035483680e+03,2.286379107664235022e+00
9.905201176365164429e+03,2.286812553728799102e+00
9.905201197694843358e+03,2.287246040286256221e+00
9.905201219024522288e+03,2.287679567373392064e+00
9.905201240354201218e+03,2.288113134989968156e+00
9.905201261683880148e+03,2.288546743135783323e+00
9.905201283013560897e+03,2.288980391847613038e+00
9.905201304343239826e+03,2.289414081051292627e+00
9.905201325672918756e+03,2.289847810783588677e+00
9.905201347002597686e+03,2.290281581044290249e+00
9.905201368332276616e+03,2.290715391833177517e+00
9.905201389661955545e+03,2.291149243150059078e+00
9.905201410991636294e+03,2.291583135031720619e+00
9.905201432321315224e+03,2.292017067403948172e+00
9.905201453650994154e+03,2.292451040303528753e+00
9.905201474980673083e+03,2.292885053730260747e+00
9.905201496310352013e+03,2.293319107683933655e+00
9.905201517640032762e+03,2.293753202201352259e+00
9.905201538969711692e+03,2.294187337208275057e+00
9.905201560299390621e+03,2.294621512741506386e+00
9.905201581629069551e+03,2.295055728800836192e+00
9.905201602958748481e+03,2.295489985386053089e+00
9.905201624288427411e+03,2.295924282496966562e+00
9.905201645618108159e+03,2.296358620170371623e+00
9.905201666947787089e+03,2.296792998332017000e+00
9.905201688277466019e+03,2.297227417018707030e+00
9.905201709607144949e+03,2.297661876230240985e+00
9.905201730936823878e+03,2.298096375966408367e+00
9.905201752266504627e+03,2.298530916264061918e+00
9.905201773596183557e+03,2.298965497048863771e+00
9.905201794925862487e+03,2.299400118357667555e+00
9.905201816255541416e+03,2.299834780190271211e+00
9.905201837585220346e+03,2.300269482546454913e+00
9.905201858914901095e+03,2.300704225463091390e+00
9.905201880244580025e+03,2.301139008865813018e+00
9.905201901574258954e+03,2.301573832791492524e+00
9.905201922903937884e+03,2.302008697239918966e+00
9.905201944233616814e+03,2.302443602210872520e+00
9.905201965563295744e+03,2.302878547704151568e+00
9.905201986892976493e+03,2.303313533756647935e+00
9.905202008222655422e+03,2.303748560293956693e+00
9.905202029552334352e+03,2.304183627352949681e+00
9.905202050882013282e+03,2.304618734933425728e+00
9.905202072211692212e+03,2.305053883035184104e+00
9.905202093541372960e+03,2.305489071695125514e+00
9.905202114871051890e+03,2.305924300838796626e+00
9.905202136200730820e+03,2.306359570503109246e+00
9.905202157530409750e+03,2.306794880687870641e+00
9.905202178860088679e+03,2.307230231392841446e+00
9.905202200189767609e+03,2.307665622617831147e+00
9.905202221519448358e+03,2.308101054399759100e+00
9.905202242849127288e+03,2.308536526664153321e+00
9.905202264178806217e+03,2.308972039447924285e+00
9.905202285508485147e+03,2.309407592750870819e+00
9.905202306838164077e+03,2.309843186572773099e+00
9.905202328167844826e+03,2.310278820950589118e+00
9.905202349497523755e+03,2.310714495809789604e+00
9.905202370827202685e+03,2.311150211187323222e+00
9.905202392156881615e+03,2.311585967082970150e+00
9.905202413486560545e+03,2.312021763496538096e+00
9.905202434816239474e+03,2.312457600427807236e+00
9.905202456145920223e+03,2.312893477913736007e+00
9.905202477475599153e+03,2.313329395879776040e+00
9.905202498805278083e+03,2.313765354362884885e+00
9.905202520134957012e+03,2.314201353362843161e+00
9.905202541464635942e+03,2.314637392879459021e+00
9.905202562794316691e+03,2.315073472949700228e+00
9.905202584123995621e+03,2.315509593498979779e+00
9.905202605453674551e+03,2.315945754564275649e+00
9.905202626783353480e+03,2.316381956145377341e+00
9.905202648113032410e+03,2.316818198242073024e+00
9.905202669442713159e+03,2.317254480891360657e+00
9.905202690772392089e+03,2.317690804018624373e+00
9.905202712102071018e+03,2.318127167660840815e+00
9.905202733431749948e+03,2.318563571817819025e+00
9.905202754761428878e+03,2.319000016489339178e+00
9.905202776091107808e+03,2.319436501675189888e+00
9.905202797420788556e+03,2.319873027412387767e+00
9.905202818750467486e+03,2.320309593626268541e+00
9.905202840080146416e+03,2.320746200353848376e+00
9.905202861409825346e+03,2.321182847594916332e+00
9.905202882739504275e+03,2.321619535349262353e+00
9.905202904069185024e+03,2.322056263653920816e+00
9.905202925398863954e+03,2.322493032434199911e+00
9.905202946728542884e+03,2.322929841727114919e+00
9.905202968058221813e+03,2.323366691532465111e+00
9.905202989387900743e+03,2.323803581850039990e+00
9.905203010717579673e+03,2.324240512679628612e+00
9.905203032047260422e+03,2.324677484058284893e+00
9.905203053376939351e+03,2.325114495911269508e+00
9.905203074706618281e+03,2.325551548275626157e+00
9.905203096036297211e+03,2.325988641151163439e+00
9.905203117365976141e+03,2.326425774537652202e+00
9.905203138695656889e+03,2.326862948472165016e+00
9.905203160025335819e+03,2.327300162879933243e+00
9.905203181355014749e+03,2.327737417798030339e+00
9.905203202684693679e+03,2.328174713226245363e+00
9.905203224014372609e+03,2.328612049164358044e+00
9.905203245344051538e+03,2.329049425612158331e+00
9.905203266673732287e+03,2.329486842606747654e+00
9.905203288003411217e+03,2.329924300073308974e+00
9.905203309333090147e+03,2.330361798048916633e+00
9.905203330662769076e+03,2.330799336533377897e+00
9.905203351992448006e+03,2.331236915526473386e+00
9.905203373322128755e+03,2.331674535065314302e+00
9.905203394651807685e+03,2.332112195075045857e+00
9.905203415981486614e+03,2.332549895592779254e+00
9.905203437311165544e+03,2.332987636618304439e+00
9.905203458640844474e+03,2.333425418151410025e+00
9.905203479970523404e+03,2.333863240191876187e+00
9.905203501300204152e+03,2.334301102776852765e+00
9.905203522629883082e+03,2.334739005831427239e+00
9.905203543959562012e+03,2.335176949392730350e+00
9.905203565289240942e+03,2.335614933460560927e+00
9.905203586618919871e+03,2.336052958034708027e+00
9.905203607948600620e+03,2.336491023152303281e+00
9.905203629278279550e+03,2.336929128738433281e+00
9.905203650607958480e+03,2.337367274830238983e+00
9.905203671937637409e+03,2.337805461427499676e+00
9.905203693267316339e+03,2.338243688530023956e+00
9.905203714596997088e+03,2.338681956174971432e+00
9.905203735926676018e+03,2.339120264287362527e+00
9.905203757256354947e+03,2.339558612904375501e+00
9.905203778586033877e+03,2.339997002025800299e+00
9.905203799915712807e+03,2.340435431651416209e+00
9.905203821245391737e+03,2.340873901781012734e+00
9.905203842575072485e+03,2.341312412451778346e+00
9.905203863904751415e+03,2.341750963588713930e+00
9.905203885234430345e+03,2.342189555228998188e+00
9.905203906564109275e+03,2.342628187372410853e+00
9.905203927893788205e+03,2.343066860018760966e+00
9.905203949223468953e+03,2.343505573205226344e+00
9.905203970553147883e+03,2.343944326856789662e+00
9.905203991882826813e+03,2.344383121010629178e+00
9.905204013212505743e+03,2.344821955666553492e+00
9.905204034542184672e+03,2.345260830824352105e+00
9.905204055871863602e+03,2.345699746483794979e+00
9.905204077201544351e+03,2.346138702682118549e+00
9.905204098531223281e+03,2.346577699344237544e+00
9.905204119860902210e+03,2.347016736507378631e+00
9.905204141190581140e+03,2.347455814171321542e+00
9.905204162520260070e+03,2.347894932335855778e+00
9.905204183849940819e+03,2.348334091038226656e+00
9.905204205179619748e+03,2.348773290203320929e+00
9.905204226509298678e+03,2.349212529868374588e+00
9.905204247838977608e+03,2.349651810033166921e+00
9.905204269168656538e+03,2.350091130697497643e+00
9.905204290498335467e+03,2.350530491861155369e+00
9.905204311828016216e+03,2.350969893561386304e+00
9.905204333157695146e+03,2.351409335723047889e+00
9.905204354487374076e+03,2.351848818383394768e+00
