Time (BJD_TBD - 2450000), L_h/L_star (ppm)
7.260465046504650672e+03,2.702998601277382207e+01
7.260468046804680853e+03,2.702337201121972754e+01
7.260471047104710124e+03,2.701674518841616290e+01
7.260474047404740304e+03,2.701010555104502942e+01
7.260477047704770484e+03,2.700345310580720337e+01
7.260480048004800665e+03,2.699678785941449277e+01
7.260483048304830845e+03,2.699010981859157710e+01
7.260486048604860116e+03,2.698341899007810341e+01
7.260489048904890296e+03,2.697671538062052221e+01
7.260492049204920477e+03,2.696999899698427328e+01
7.260495049504950657e+03,2.696326984594565346e+01
7.260498049804980838e+03,2.695652793429384175e+01
7.260501050105010108e+03,2.694977326883292790e+01
7.260504050405040289e+03,2.694300585637374112e+01
7.260507050705070469e+03,2.693622570374611769e+01
7.260510051005100649e+03,2.692943281779066567e+01
7.260513051305130830e+03,2.692262720536088949e+01
7.260516051605160101e+03,2.691580887332517236e+01
7.260519051905190281e+03,2.690897782855851972e+01
7.260522052205220461e+03,2.690213407795500089e+01
7.260525052505250642e+03,2.689527762841939307e+01
7.260528052805280822e+03,2.688840848686931295e+01
7.260531053105310093e+03,2.688152666023726667e+01
7.260534053405340273e+03,2.687463215546229378e+01
7.260537053705370454e+03,2.686772497950249416e+01
7.260540054005400634e+03,2.686080513932664360e+01
7.260543054305430815e+03,2.685387264191631829e+01
7.260546054605460995e+03,2.684692749426585223e+01
7.260549054905490266e+03,2.683996970338445109e+01
7.260552055205520446e+03,2.683299927628777226e+01
7.260555055505550627e+03,2.682601622001050146e+01
7.260558055805580807e+03,2.681902054159799320e+01
7.260561056105610987e+03,2.681201224810833850e+01
7.260564056405640258e+03,2.680499134661447513e+01
7.260567056705670439e+03,2.679795784419566829e+01
7.260570057005700619e+03,2.679091174795030028e+01
7.260573057305730799e+03,2.678385306498731566e+01
7.260576057605760980e+03,2.677678180242834571e+01
7.260579057905790251e+03,2.676969796740990759e+01
7.260582058205820431e+03,2.676260156707470728e+01
7.260585058505850611e+03,2.675549260858460343e+01
7.260588058805880792e+03,2.674837109911197430e+01
7.260591059105910972e+03,2.674123704584184225e+01
7.260594059405940243e+03,2.673409045597406930e+01
7.260597059705970423e+03,2.672693133671466725e+01
7.260600060006000604e+03,2.671975969528878636e+01
7.260603060306030784e+03,2.671257553893201830e+01
7.260606060606060964e+03,2.670537887489262729e+01
7.260609060906090235e+03,2.669816971043365328e+01
7.260612061206120416e+03,2.669094805282419358e+01
7.260615061506150596e+03,2.668371390935251597e+01
7.260618061806180776e+03,2.667646728731728700e+01
7.260621062106210957e+03,2.666920819402977116e+01
7.260624062406240228e+03,2.666193663681602999e+01
7.260627062706270408e+03,2.665465262300806160e+01
7.260630063006300588e+03,2.664735615995705942e+01
7.260633063306330769e+03,2.664004725502459081e+01
7.260636063606360949e+03,2.663272591558473934e+01
7.260639063906390220e+03,2.662539214902638562e+01
7.260642064206420400e+03,2.661804596274426160e+01
7.260645064506450581e+03,2.661068736415232650e+01
7.260648064806480761e+03,2.660331636067478556e+01
7.260651065106510941e+03,2.659593295974842420e+01
7.260654065406540212e+03,2.658853716882472540e+01
7.260657065706570393e+03,2.658112899536098084e+01
7.260660066006600573e+03,2.657370844683369526e+01
7.260663066306630753e+03,2.656627553072959458e+01
7.260666066606660934e+03,2.655883025454790314e+01
7.260669066906691114e+03,2.655137262580031177e+01
7.260672067206720385e+03,2.654390265201324439e+01
7.260675067506750565e+03,2.653642034071877021e+01
7.260678067806780746e+03,2.652892569946821766e+01
7.260681068106810926e+03,2.652141873582307952e+01
7.260684068406841106e+03,2.651389945735726883e+01
7.260687068706870377e+03,2.650636787165944241e+01
7.260690069006900558e+03,2.649882398632379576e+01
7.260693069306930738e+03,2.649126780896378719e+01
7.260696069606960918e+03,2.648369934720300378e+01
7.260699069906991099e+03,2.647611860867741029e+01
7.260702070207020370e+03,2.646852560103767260e+01
7.260705070507050550e+03,2.646092033193994553e+01
7.260708070807080730e+03,2.645330280905961118e+01
7.260711071107110911e+03,2.644567304008215558e+01
7.260714071407141091e+03,2.643803103270539978e+01
7.260717071707170362e+03,2.643037679464186240e+01
7.260720072007200542e+03,2.642271033360939470e+01
7.260723072307230723e+03,2.641503165734517466e+01
7.260726072607260903e+03,2.640734077359638832e+01
7.260729072907291084e+03,2.639963769012248918e+01
7.260732073207320354e+03,2.639192241469764610e+01
7.260735073507350535e+03,2.638419495510126112e+01
7.260738073807380715e+03,2.637645531913206298e+01
7.260741074107410896e+03,2.636870351459874229e+01
7.260744074407441076e+03,2.636093954932223937e+01
7.260747074707470347e+03,2.635316343113812465e+01
7.260750075007500527e+03,2.634537516788719813e+01
7.260753075307530708e+03,2.633757476742952619e+01
7.260756075607560888e+03,2.632976223763509438e+01
7.260759075907591068e+03,2.632193758638612380e+01
7.260762076207620339e+03,2.631410082157945496e+01
7.260765076507650519e+03,2.630625195111698034e+01
7.260768076807680700e+03,2.629839098291998312e+01
7.260771077107710880e+03,2.629051792491953421e+01
7.260774077407741061e+03,2.628263278505894363e+01
7.260777077707770331e+03,2.627473557129607329e+01
7.260780078007800512e+03,2.626682629159377669e+01
7.260783078307830692e+03,2.625890495393429802e+01
7.260786078607860873e+03,2.625097156630963369e+01
7.260789078907891053e+03,2.624302613672394813e+01
7.260792079207921233e+03,2.623506867319351699e+01
7.260795079507950504e+03,2.622709918374922822e+01
7.260798079807980685e+03,2.621911767642682634e+01
7.260801080108010865e+03,2.621112415928142525e+01
7.260804080408041045e+03,2.620311864037784488e+01
7.260807080708071226e+03,2.619510112779302347e+01
7.260810081008100497e+03,2.618707162961841917e+01
7.260813081308130677e+03,2.617903015395029342e+01
7.260816081608160857e+03,2.617097670890428773e+01
7.260819081908191038e+03,2.616291130260567144e+01
7.260822082208221218e+03,2.615483394319181087e+01
7.260825082508250489e+03,2.614674463881457100e+01
7.260828082808280669e+03,2.613864339763050282e+01
7.260831083108310850e+03,2.613053022781556223e+01
7.260834083408341030e+03,2.612240513755530102e+01
7.260837083708371210e+03,2.611426813504729338e+01
7.260840084008400481e+03,2.610611922850356592e+01
7.260843084308430662e+03,2.609795842614081351e+01
7.260846084608460842e+03,2.608978573619506847e+01
