Time (BJD_TBD - 2450000), F_total/F_star (ppm)
9.908227688518878495e+03,9.243982329327233174e+02
9.908227711741108578e+03,9.244215896772165024e+02
9.908227734963336843e+03,9.244449445514781019e+02
9.908227758185566927e+03,9.244682975589596481e+02
9.908227781407797011e+03,9.244916486976243277e+02
9.908227804630027094e+03,9.245149979672651170e+02
9.908227827852255359e+03,9.245383453658456574e+02
9.908227851074485443e+03,9.245616908968164580e+02
9.908227874296715527e+03,9.245850345581413876e+02
9.908227897518945610e+03,9.246083763496130814e+02
9.908227920741173875e+03,9.246317162691964313e+02
9.908227943963403959e+03,9.246550543203402412e+02
9.908227967185634043e+03,9.246783905010092894e+02
9.908227990407864127e+03,9.247017248109966658e+02
9.908228013630092391e+03,9.247250572482676034e+02
9.908228036852322475e+03,9.247483878162698829e+02
9.908228060074552559e+03,9.247717165129691921e+02
9.908228083296782643e+03,9.247950433381582798e+02
9.908228106519010908e+03,9.248183682898028337e+02
9.908228129741240991e+03,9.248416913713504073e+02
9.908228152963471075e+03,9.248650125807670292e+02
9.908228176185701159e+03,9.248883319178448801e+02
9.908228199407929424e+03,9.249116493805513528e+02
9.908228222630159507e+03,9.249349649723320681e+02
9.908228245852389591e+03,9.249582786911538506e+02
9.908228269074619675e+03,9.249815905368095628e+02
9.908228292296847940e+03,9.250049005072664841e+02
9.908228315519078023e+03,9.250282086059698941e+02
9.908228338741308107e+03,9.250515148308866173e+02
9.908228361963538191e+03,9.250748191818099713e+02
9.908228385185766456e+03,9.250981216567079173e+02
9.908228408407996540e+03,9.251214222590242571e+02
9.908228431630226623e+03,9.251447209867270658e+02
9.908228454852456707e+03,9.251680178396095471e+02
9.908228478074684972e+03,9.251913128156403445e+02
9.908228501296915056e+03,9.252146059182620093e+02
9.908228524519145139e+03,9.252378971454431849e+02
9.908228547741375223e+03,9.252611864969775297e+02
9.908228570963603488e+03,9.252844739708340285e+02
9.908228594185833572e+03,9.253077595704543228e+02
9.908228617408063656e+03,9.253310432938078520e+02
9.908228640630293739e+03,9.253543251406878198e+02
9.908228663852522004e+03,9.253776051090643477e+02
9.908228687074752088e+03,9.254008832023779405e+02
9.908228710296982172e+03,9.254241594185987196e+02
9.908228733519212255e+03,9.254474337575200025e+02
9.908228756741440520e+03,9.254707062171123653e+02
9.908228779963670604e+03,9.254939768008155170e+02
9.908228803185900688e+03,9.255172455065996928e+02
9.908228826408130772e+03,9.255405123342587785e+02
9.908228849630359036e+03,9.255637772817641462e+02
9.908228872852589120e+03,9.255870403525542542e+02
9.908228896074819204e+03,9.256103015445996789e+02
9.908228919297049288e+03,9.256335608576948744e+02
9.908228942519277552e+03,9.256568182898115538e+02
9.908228965741507636e+03,9.256800738443868113e+02
9.908228988963737720e+03,9.257033275193931559e+02
