Time (BJD_TBD - 2450000), F_f/F_star (ppm)
9.908227711741108578e+03,2.954726631768790579e+00
9.908227734963336843e+03,2.954406383923426027e+00
9.908227758185566927e+03,2.954086153037926543e+00
9.908227781407797011e+03,2.953765939137467544e+00
9.908227804630027094e+03,2.953445742222112091e+00
9.908227827852255359e+03,2.953125562317035602e+00
9.908227851074485443e+03,2.952805399372153250e+00
9.908227874296715527e+03,2.952485253412624910e+00
9.908227897518945610e+03,2.952165124438529187e+00
9.908227920741173875e+03,2.951845012475026397e+00
9.908227943963403959e+03,2.951524917472046372e+00
9.908227967185634043e+03,2.951204839454741879e+00
9.908227990407864127e+03,2.950884778423199073e+00
9.908228013630092391e+03,2.950564734402554290e+00
9.908228036852322475e+03,2.950244707342761785e+00
9.908228060074552559e+03,2.949924697268973883e+00
9.908228083296782643e+03,2.949604704181253201e+00
9.908228106519010908e+03,2.949284728104759612e+00
9.908228129741240991e+03,2.948964768989447371e+00
9.908228152963471075e+03,2.948644826860453261e+00
9.908228176185701159e+03,2.948324901717847446e+00
9.908228199407929424e+03,2.948004993586790246e+00
9.908228222630159507e+03,2.947685102417235914e+00
9.908228245852389591e+03,2.947365228234320345e+00
9.908228269074619675e+03,2.947045371038130135e+00
9.908228292296847940e+03,2.946725530853786967e+00
9.908228315519078023e+03,2.946405707631274851e+00
9.908228338741308107e+03,2.946085901395731010e+00
9.908228361963538191e+03,2.945766112147226057e+00
9.908228385185766456e+03,2.945446339910896771e+00
9.908228408407996540e+03,2.945126584636712508e+00
9.908228431630226623e+03,2.944806846349817597e+00
9.908228454852456707e+03,2.944487125050290643e+00
9.908228478074684972e+03,2.944167420763244891e+00
9.908228501296915056e+03,2.943847733438681225e+00
9.908228524519145139e+03,2.943528063101719994e+00
9.908228547741375223e+03,2.943208409752448240e+00
9.908228570963603488e+03,2.942888773415979209e+00
9.908228594185833572e+03,2.942569154042320889e+00
9.908228617408063656e+03,2.942249551656586970e+00
9.908228640630293739e+03,2.941929966258863161e+00
9.908228663852522004e+03,2.941610397874248051e+00
9.908228687074752088e+03,2.941290846452772278e+00
9.908228710296982172e+03,2.940971312019542427e+00
9.908228733519212255e+03,2.940651794574644207e+00
9.908228756741440520e+03,2.940332294143175318e+00
9.908228779963670604e+03,2.940012810675175281e+00
9.908228803185900688e+03,2.939693344195742242e+00
9.908228826408130772e+03,2.939373894704946810e+00
9.908228849630359036e+03,2.939054462227909337e+00
9.908228872852589120e+03,2.938735046714662680e+00
9.908228896074819204e+03,2.938415648190295659e+00
9.908228919297049288e+03,2.938096266654903310e+00
9.908228942519277552e+03,2.937776902133574897e+00
9.908228965741507636e+03,2.937457554576365926e+00
9.908228988963737720e+03,2.937138224008358556e+00
9.908229012185967804e+03,2.936818910429646490e+00
9.908229035408196069e+03,2.936499613865311886e+00
9.908229058630426152e+03,2.936180334265418246e+00
9.908229081852656236e+03,2.935861071655062826e+00
9.908229105074886320e+03,2.935541826034308688e+00
9.908229128297114585e+03,2.935222597428253088e+00
9.908229151519344668e+03,2.934903385786967078e+00
9.908229174741574752e+03,2.934584191135533260e+00
9.908229197963804836e+03,2.934265013474021799e+00
9.908229221186033101e+03,2.933945852827530398e+00
9.908229244408263185e+03,2.933626709146129663e+00
9.908229267630493268e+03,2.933307582454894646e+00
9.908229290852723352e+03,2.932988472753918607e+00
9.908229314074951617e+03,2.932669380068268161e+00
9.908229337297181701e+03,2.932350304348038339e+00
9.908229360519411784e+03,2.932031245618294424e+00
9.908229383741641868e+03,2.931712203879131451e+00
9.908229406963870133e+03,2.931393179155607154e+00
9.908229430186100217e+03,2.931074171397824557e+00
9.908229453408330301e+03,2.930755180630857826e+00
9.908229476630560384e+03,2.930436206854784675e+00
9.908229499852788649e+03,2.930117250094664172e+00
9.908229523075018733e+03,2.929798310300621988e+00
9.908229546297248817e+03,2.929479387497708753e+00
9.908229569519478900e+03,2.929160481686010620e+00
9.908229592741707165e+03,2.928841592890578660e+00
9.908229615963937249e+03,2.928522721061546097e+00
9.908229639186167333e+03,2.928203866223971996e+00
9.908229662408397417e+03,2.927885028377926524e+00
9.908229685630625681e+03,2.927566207548467858e+00
9.908229708852855765e+03,2.927247403685738103e+00
9.908229732075085849e+03,2.926928616814772344e+00
9.908229755297315933e+03,2.926609846935671833e+00
9.908229778519544197e+03,2.926291094073472099e+00
9.908229801741774281e+03,2.925972358178314359e+00
9.908229824964004365e+03,2.925653639275249684e+00
9.908229848186234449e+03,2.925334937364363785e+00
9.908229871408462714e+03,2.925016252470691747e+00
9.908229894630692797e+03,2.924697584544391216e+00
9.908229917852922881e+03,2.924378933610512821e+00
9.908229941075152965e+03,2.924060299669118734e+00
9.908229964297381230e+03,2.923741682745267578e+00
9.908229987519611313e+03,2.923423082789109451e+00
9.908230010741841397e+03,2.923104499825686098e+00
9.908230033964071481e+03,2.922785933855077012e+00
9.908230057186299746e+03,2.922467384902316390e+00
9.908230080408529830e+03,2.922148852917576978e+00
9.908230103630759913e+03,2.921830337925894749e+00
9.908230126852989997e+03,2.921511839927347420e+00
9.908230150075218262e+03,2.921193358946962082e+00
9.908230173297448346e+03,2.920874894934919475e+00
9.908230196519678429e+03,2.920556447916262677e+00
9.908230219741908513e+03,2.920238017891054305e+00
9.908230242964136778e+03,2.919919604884321895e+00
9.908230266186366862e+03,2.919601208846260842e+00
9.908230289408596946e+03,2.919282829801899126e+00
9.908230312630827029e+03,2.918964467751307357e+00
9.908230335853055294e+03,2.918646122719512181e+00
9.908230359075285378e+03,2.918327794656717877e+00
9.908230382297515462e+03,2.918009483587928443e+00
9.908230405519745545e+03,2.917691189513238026e+00
9.908230428741973810e+03,2.917372912457657730e+00
9.908230451964203894e+03,2.917054652371399381e+00
9.908230475186433978e+03,2.916736409279467424e+00
9.908230498408664062e+03,2.916418183181955559e+00
9.908230521630892326e+03,2.916099974103866899e+00
9.908230544853122410e+03,2.915781781995422151e+00
9.908230568075352494e+03,2.915463606881640413e+00
9.908230591297582578e+03,2.915145448762584302e+00
9.908230614519810842e+03,2.914827307663264921e+00
9.908230637742040926e+03,2.914509183533918524e+00
9.908230660964271010e+03,2.914191076399548663e+00
9.908230684186501094e+03,2.913872986260225506e+00
9.908230707408729359e+03,2.913554913140960601e+00
9.908230730630959442e+03,2.913236856991989754e+00
9.908230753853189526e+03,2.912918817838308527e+00
9.908230777075419610e+03,2.912600795680011068e+00
9.908230800297647875e+03,2.912282790542070288e+00
9.908230823519877958e+03,2.911964802374744199e+00
9.908230846742108042e+03,2.911646831203044794e+00
9.908230869964338126e+03,2.911328877027027140e+00
9.908230893186566391e+03,2.911010939871694791e+00
9.908230916408796475e+03,2.910693019687306649e+00
9.908230939631026558e+03,2.910375116498858716e+00
9.908230962853256642e+03,2.910057230306413611e+00
9.908230986075484907e+03,2.909739361134958902e+00
9.908231009297714991e+03,2.909421508934785905e+00
9.908231032519945074e+03,2.909103673730858652e+00
9.908231055742175158e+03,2.908785855523262853e+00
9.908231078964403423e+03,2.908468054336971864e+00
9.908231102186633507e+03,2.908150270122275227e+00
9.908231125408863591e+03,2.907832502904153404e+00
9.908231148631093674e+03,2.907514752682692993e+00
9.908231171853321939e+03,2.907197019482842038e+00
9.908231195075552023e+03,2.906879303254906954e+00
9.908231218297782107e+03,2.906561604023868206e+00
9.908231241520012190e+03,2.906243921789803952e+00
9.908231264742240455e+03,2.905926256577662681e+00
9.908231287964470539e+03,2.905608608337774346e+00
9.908231311186700623e+03,2.905290977095095872e+00
9.908231334408930707e+03,2.904973362849704976e+00
9.908231357631158971e+03,2.904655765626558583e+00
9.908231380853389055e+03,2.904338185375994197e+00
9.908231404075619139e+03,2.904020622122944761e+00
9.908231427297849223e+03,2.903703075867512418e+00
9.908231450520077487e+03,2.903385546634638104e+00
9.908231473742307571e+03,2.903068034374651329e+00
9.908231496964537655e+03,2.902750539112524564e+00
9.908231520186767739e+03,2.902433060848319979e+00
9.908231543408996004e+03,2.902115599606986951e+00
9.908231566631226087e+03,2.901798155338878527e+00
9.908231589853456171e+03,2.901480728068935644e+00
9.908231613075686255e+03,2.901163317797236463e+00
9.908231636297914520e+03,2.900845924548721921e+00
9.908231659520144603e+03,2.900528548273753504e+00
9.908231682742374687e+03,2.900211188997271705e+00
9.908231705964604771e+03,2.899893846719354684e+00
9.908231729186833036e+03,2.899576521464943824e+00
9.908231752409063120e+03,2.899259213184400163e+00
9.908231775631293203e+03,2.898941921902656649e+00
9.908231798853523287e+03,2.898624647619799433e+00
9.908231822075751552e+03,2.898307390360753910e+00
9.908231845297981636e+03,2.897990150075896665e+00
9.908231868520211719e+03,2.897672926790168635e+00
9.908231891742441803e+03,2.897355720503648424e+00
9.908231914964670068e+03,2.897038531241252990e+00
9.908231938186900152e+03,2.896721358953359360e+00
9.908231961409130236e+03,2.896404203664924015e+00
9.908231984631360319e+03,2.896087065376010017e+00
9.908232007853588584e+03,2.895769944111534322e+00
9.908232031075818668e+03,2.895452839821889501e+00
9.908232054298048752e+03,2.895135752532016493e+00
9.908232077520278835e+03,2.894818682241977470e+00
9.908232100742507100e+03,2.894501628976698715e+00
9.908232123964737184e+03,2.894184592686579904e+00
9.908232147186967268e+03,2.893867573396538440e+00
9.908232170409197352e+03,2.893550571106660030e+00
9.908232193631425616e+03,2.893233585841847422e+00
9.908232216853655700e+03,2.892916617552523828e+00
9.908232240075885784e+03,2.892599666263591107e+00
9.908232263298115868e+03,2.892282731975142962e+00
9.908232286520344132e+03,2.891965814712073701e+00
9.908232309742574216e+03,2.891648914424814976e+00
9.908232332964804300e+03,2.891332031138275749e+00
9.908232356187034384e+03,2.891015164852527075e+00
9.908232379409262649e+03,2.890698315592470813e+00
9.908232402631492732e+03,2.890381483308553712e+00
9.908232425853722816e+03,2.890064668025670080e+00
9.908232449075952900e+03,2.889747869743897635e+00
9.908232472298181165e+03,2.889431088488139121e+00
9.908232495520411248e+03,2.889114324208841289e+00
9.908232518742641332e+03,2.888797576930882460e+00
9.908232541964871416e+03,2.888480846654363887e+00
9.908232565187099681e+03,2.888164133404164780e+00
9.908232588409329765e+03,2.887847437130747430e+00
9.908232611631559848e+03,2.887530757858998154e+00
9.908232634853789932e+03,2.887214095589003104e+00
9.908232658076018197e+03,2.886897450345640603e+00
9.908232681298248281e+03,2.886580822079381381e+00
9.908232704520478364e+03,2.886264210815110864e+00
9.908232727742708448e+03,2.885947616552916539e+00
9.908232750964936713e+03,2.885631039317651858e+00
9.908232774187166797e+03,2.885314479059827519e+00
9.908232797409396881e+03,2.884997935804313851e+00
9.908232820631626964e+03,2.884681409551181019e+00
9.908232843853855229e+03,2.884364900325299796e+00
9.908232867076085313e+03,2.884048408077179992e+00
9.908232890298315397e+03,2.883731932831683942e+00
9.908232913520545480e+03,2.883415474588890692e+00
9.908232936742773745e+03,2.883099033373669684e+00
9.908232959965003829e+03,2.882782609136523622e+00
9.908232983187233913e+03,2.882466201902322833e+00
9.908233006409463997e+03,2.882149811671137929e+00
9.908233029631692261e+03,2.881833438467839237e+00
9.908233052853922345e+03,2.881517082242944117e+00
9.908233076076152429e+03,2.881200743021307797e+00
9.908233099298382513e+03,2.880884420803000889e+00
9.908233122520610777e+03,2.880568115612900826e+00
9.908233145742840861e+03,2.880251827401526299e+00
9.908233168965070945e+03,2.879935556193724100e+00
9.908233192187301029e+03,2.879619301989579938e+00
9.908233215409529294e+03,2.879303064813948598e+00
9.908233238631759377e+03,2.878986844617356322e+00
9.908233261853989461e+03,2.878670641424657006e+00
9.908233285076219545e+03,2.878354455235945242e+00
9.908233308298447810e+03,2.878038286076051833e+00
9.908233331520677893e+03,2.877722133895511014e+00
9.908233354742907977e+03,2.877405998719199776e+00
9.908233377965138061e+03,2.877089880547182066e+00
9.908233401187366326e+03,2.876773779404288245e+00
9.908233424409596410e+03,2.876457695241091184e+00
9.908233447631826493e+03,2.876141628082430124e+00
9.908233470854056577e+03,2.875825577928367682e+00
9.908233494076284842e+03,2.875509544803758644e+00
9.908233517298514926e+03,2.875193528659167441e+00
9.908233540520745009e+03,2.874877529519417774e+00
9.908233563742975093e+03,2.874561547384603788e+00
9.908233586965203358e+03,2.874245582279540301e+00
9.908233610187433442e+03,2.873929634154816615e+00
9.908233633409663526e+03,2.873613703035255540e+00
9.908233656631893609e+03,2.873297788920943230e+00
9.908233679854121874e+03,2.872981891836703383e+00
9.908233703076351958e+03,2.872666011733116420e+00
9.908233726298582042e+03,2.872350148635021139e+00
9.908233749520812125e+03,2.872034302542480599e+00
9.908233772743040390e+03,2.871718473480325606e+00
