Time (BJD_TBD - 2450000), L_total/L_star (ppm)
1.014094364187447900e+04,1.098323163146597153e+03
1.014094366072127195e+04,1.098349717953913341e+03
1.014094367956806309e+04,1.098376270833177614e+03
1.014094369841485604e+04,1.098402821789397422e+03
1.014094371726164718e+04,1.098429370817331574e+03
1.014094373610844013e+04,1.098455917921987293e+03
1.014094375495523127e+04,1.098482463098123389e+03
1.014094377380202423e+04,1.098509006350746631e+03
1.014094379264881536e+04,1.098535547674616055e+03
1.014094381149560832e+04,1.098562087074738656e+03
1.014094383034239945e+04,1.098588624545874382e+03
1.014094384918919241e+04,1.098615160093028180e+03
1.014094386803598354e+04,1.098641693710961363e+03
1.014094388688277650e+04,1.098668225404679106e+03
1.014094390572956763e+04,1.098694755168942265e+03
1.014094392457636059e+04,1.098721283008755563e+03
1.014094394342315354e+04,1.098747808921441447e+03
1.014094396226994468e+04,1.098774332904322819e+03
1.014094398111673763e+04,1.098800854962403037e+03
1.014094399996352877e+04,1.098827375090445685e+03
1.014094401881032172e+04,1.098853893293452757e+03
1.014094403765711286e+04,1.098880409566188973e+03
1.014094405650390581e+04,1.098906923913655191e+03
1.014094407535069695e+04,1.098933436330617496e+03
1.014094409419748990e+04,1.098959946822076517e+03
1.014094411304428104e+04,1.098986455382797658e+03
1.014094413189107399e+04,1.099012962017781547e+03
1.014094415073786513e+04,1.099039466721794497e+03
1.014094416958465808e+04,1.099065969499836228e+03
1.014094418843144922e+04,1.099092470346674418e+03
1.014094420727824217e+04,1.099118969267307193e+03
1.014094422612503331e+04,1.099145466256503141e+03
1.014094424497182627e+04,1.099171961319259708e+03
1.014094426381861740e+04,1.099198454450347072e+03
1.014094428266541036e+04,1.099224945654761314e+03
1.014094430151220149e+04,1.099251434927272612e+03
1.014094432035899445e+04,1.099277922272877731e+03
1.014094433920578558e+04,1.099304407686346849e+03
1.014094435805257854e+04,1.099330891172676047e+03
1.014094437689937149e+04,1.099357372729192548e+03
1.014094439574616263e+04,1.099383852353223801e+03
1.014094441459295558e+04,1.099410330049764752e+03
1.014094443343974672e+04,1.099436805813587398e+03
1.014094445228653967e+04,1.099463279649686910e+03
1.014094447113333081e+04,1.099489751552835060e+03
1.014094448998012376e+04,1.099516221528026335e+03
1.014094450882691490e+04,1.099542689570034099e+03
1.014094452767370785e+04,1.099569155683851250e+03
1.014094454652049899e+04,1.099595619864252740e+03
1.014094456536729194e+04,1.099622082116229876e+03
1.014094458421408308e+04,1.099648542434558749e+03
1.014094460306087603e+04,1.099675000824229983e+03
1.014094462190766717e+04,1.099701457280020350e+03
1.014094464075446012e+04,1.099727911806920019e+03
1.014094465960125126e+04,1.099754364399706219e+03
1.014094467844804421e+04,1.099780815063368664e+03
1.014094469729483535e+04,1.099807263792684807e+03
1.014094471614162831e+04,1.099833710592644820e+03
1.014094473498841944e+04,1.099860155458026156e+03
1.014094475383521240e+04,1.099886598393817394e+03
1.014094477268200535e+04,1.099913039397349849e+03
1.014094479152879649e+04,1.099939478465955744e+03
1.014094481037558944e+04,1.099965915604622069e+03
1.014094482922238058e+04,1.099992350808129231e+03
1.014094484806917353e+04,1.100018784081463764e+03
1.014094486691596467e+04,1.100045215419407668e+03
1.014094488576275762e+04,1.100071644826945658e+03
1.014094490460954876e+04,1.100098072298860643e+03
1.014094492345634171e+04,1.100124497840137337e+03
1.014094494230313285e+04,1.100150921445558879e+03
1.014094496114992580e+04,1.100177343120109072e+03
1.014094497999671694e+04,1.100203762858571963e+03
1.014094499884350989e+04,1.100230180665931130e+03
1.014094501769030103e+04,1.100256596536970847e+03
1.014094503653709398e+04,1.100283010476674463e+03
1.014094505538388512e+04,1.100309422479826026e+03
1.014094507423067807e+04,1.100335832551408885e+03
1.014094509307746921e+04,1.100362240686208452e+03
1.014094511192426216e+04,1.100388646889206484e+03
1.014094513077105330e+04,1.100415051155189758e+03
1.014094514961784625e+04,1.100441453489138439e+03
1.014094516846463739e+04,1.100467853885840213e+03
1.014094518731143035e+04,1.100494252350275474e+03
1.014094520615822330e+04,1.100520648879779856e+03
1.014094522500501444e+04,1.100547043471689904e+03
1.014094524385180739e+04,1.100573436130984419e+03
1.014094526269859853e+04,1.100599826852453361e+03
1.014094528154539148e+04,1.100626215641074396e+03
1.014094530039218262e+04,1.100652602491638163e+03
1.014094531923897557e+04,1.100678987409121419e+03
1.014094533808576671e+04,1.100705370388315714e+03
1.014094535693255966e+04,1.100731751434198031e+03
1.014094537577935080e+04,1.100758130541559922e+03
1.014094539462614375e+04,1.100784507715376776e+03
1.014094541347293489e+04,1.100810882950442419e+03
1.014094543231972784e+04,1.100837256251731105e+03
1.014094545116651898e+04,1.100863627614036204e+03
1.014094547001331193e+04,1.100889997042333107e+03
1.014094548886010307e+04,1.100916364531415184e+03
1.014094550770689602e+04,1.100942730086256461e+03
1.014094552655368716e+04,1.100969093701651900e+03
1.014094554540048011e+04,1.100995455382574619e+03
1.014094556424727125e+04,1.101021815123819579e+03
1.014094558309406420e+04,1.101048172930360806e+03
1.014094560194085716e+04,1.101074528799537347e+03
1.014094562078764829e+04,1.101100882728689385e+03
1.014094563963444125e+04,1.101127234722789353e+03
1.014094565848123239e+04,1.101153584776634716e+03
1.014094567732802534e+04,1.101179932895195179e+03
1.014094569617481648e+04,1.101206279073270025e+03
1.014094571502160943e+04,1.101232623315829187e+03
1.014094573386840057e+04,1.101258965617670583e+03
1.014094575271519352e+04,1.101285305983764829e+03
1.014094577156198466e+04,1.101311644408911206e+03
1.014094579040877761e+04,1.101337980898078058e+03
1.014094580925556875e+04,1.101364315446066485e+03
1.014094582810236170e+04,1.101390648057843691e+03
1.014094584694915284e+04,1.101416978728211234e+03
1.014094586579594579e+04,1.101443307462136545e+03
1.014094588464273693e+04,1.101469634254421180e+03
1.014094590348952988e+04,1.101495959110031890e+03
1.014094592233632102e+04,1.101522282023772050e+03
1.014094594118311397e+04,1.101548603000606363e+03
1.014094596002990511e+04,1.101574922035338886e+03
1.014094597887669806e+04,1.101601239132934779e+03
1.014094599772348920e+04,1.101627554288198780e+03
1.014094601657028215e+04,1.101653867506094002e+03
1.014094603541707511e+04,1.101680178783965857e+03
1.014094605426386624e+04,1.101706488119159530e+03
1.014094607311065920e+04,1.101732795516638362e+03
1.014094609195745034e+04,1.101759100971208454e+03
1.014094611080424329e+04,1.101785404487832238e+03
1.014094612965103443e+04,1.101811706061317182e+03
1.014094614849782738e+04,1.101838005696624577e+03
1.014094616734461852e+04,1.101864303388562803e+03
1.014094618619141147e+04,1.101890599142092242e+03
1.014094620503820261e+04,1.101916892952021954e+03
1.014094622388499556e+04,1.101943184823312322e+03
1.014094624273178670e+04,1.101969474750772633e+03
1.014094626157857965e+04,1.101995762739362135e+03
1.014094628042537079e+04,1.102022048783891705e+03
1.014094629927216374e+04,1.102048332889319909e+03
1.014094631811895488e+04,1.102074615050457624e+03
1.014094633696574783e+04,1.102100895272263188e+03
1.014094635581253897e+04,1.102127173549547933e+03
1.014094637465933192e+04,1.102153449887269289e+03
1.014094639350612306e+04,1.102179724280240180e+03
1.014094641235291601e+04,1.102205996733417578e+03
1.014094643119970897e+04,1.102232267244149625e+03
1.014094645004650010e+04,1.102258535809785826e+03
1.014094646889329306e+04,1.102284802435282245e+03
1.014094648774008419e+04,1.102311067115453170e+03
1.014094650658687715e+04,1.102337329855253529e+03
1.014094652543366828e+04,1.102363590649498519e+03
1.014094654428046124e+04,1.102389849503141704e+03
1.014094656312725238e+04,1.102416106411000328e+03
1.014094658197404533e+04,1.102442361378026817e+03
1.014094660082083647e+04,1.102468614399038415e+03
1.014094661966762942e+04,1.102494865478987549e+03
1.014094663851442056e+04,1.102521114612692372e+03
1.014094665736121351e+04,1.102547361805104174e+03
1.014094667620800465e+04,1.102573607051042018e+03
1.014094669505479760e+04,1.102599850355456283e+03
1.014094671390158874e+04,1.102626091713166261e+03
1.014094673274838169e+04,1.102652331129123240e+03
1.014094675159517283e+04,1.102678568598146740e+03
1.014094677044196578e+04,1.102704804125186229e+03
1.014094678928875692e+04,1.102731037705063500e+03
1.014094680813554987e+04,1.102757269342725522e+03
1.014094682698234101e+04,1.102783499032996133e+03
1.014094684582913396e+04,1.102809726780822075e+03
1.014094686467592692e+04,1.102835952583557400e+03
1.014094688352271805e+04,1.102862176438556162e+03
1.014094690236951101e+04,1.102888398350765101e+03
1.014094692121630214e+04,1.102914618315008738e+03
1.014094694006309510e+04,1.102940836336233133e+03
1.014094695890988623e+04,1.102967052409261896e+03
1.014094697775667919e+04,1.102993266539041315e+03
1.014094699660347032e+04,1.103019478720396819e+03
1.014094701545026328e+04,1.103045688958272649e+03
1.014094703429705442e+04,1.103071897247494917e+03
1.014094705314384737e+04,1.103098103593008318e+03
1.014094707199063851e+04,1.103124307989638282e+03
1.014094709083743146e+04,1.103150510442330187e+03
1.014094710968422260e+04,1.103176710945909235e+03
1.014094712853101555e+04,1.103202909505320804e+03
1.014094714737780669e+04,1.103229106115390778e+03
1.014094716622459964e+04,1.103255300781062260e+03
1.014094718507139078e+04,1.103281493497164320e+03
1.014094720391818373e+04,1.103307684268638013e+03
1.014094722276497487e+04,1.103333873090313318e+03
1.014094724161176782e+04,1.103360059967129928e+03
1.014094726045856078e+04,1.103386244896447351e+03
1.014094727930535191e+04,1.103412427875622825e+03
1.014094729815214487e+04,1.103438608909595587e+03
1.014094731699893600e+04,1.103464787993198343e+03
1.014094733584572896e+04,1.103490965131368966e+03
1.014094735469252009e+04,1.103517140318940164e+03
1.014094737353931305e+04,1.103543313560850493e+03
1.014094739238610418e+04,1.103569484851932657e+03
1.014094741123289714e+04,1.103595654197124531e+03
1.014094743007968827e+04,1.103621821591259732e+03
1.014094744892648123e+04,1.103647987039274994e+03
1.014094746777327236e+04,1.103674150536005072e+03
1.014094748662006532e+04,1.103700312086386020e+03
1.014094750546685646e+04,1.103726471685253273e+03
1.014094752431364941e+04,1.103752629337542203e+03
1.014094754316044055e+04,1.103778785038089381e+03
1.014094756200723350e+04,1.103804938791828363e+03
1.014094758085402464e+04,1.103831090593597310e+03
1.014094759970081759e+04,1.103857240448329321e+03
1.014094761854760873e+04,1.103883388350862560e+03
1.014094763739440168e+04,1.103909534306130126e+03
1.014094765624119282e+04,1.103935678308969955e+03
1.014094767508798577e+04,1.103961820364315827e+03
1.014094769393477873e+04,1.103987960469528844e+03
1.014094771278156986e+04,1.104014098621972153e+03
1.014094773162836282e+04,1.104040234826577489e+03
1.014094775047515395e+04,1.104066369078184835e+03
1.014094776932194691e+04,1.104092501381725242e+03
1.014094778816873804e+04,1.104118631732040285e+03
1.014094780701553100e+04,1.104144760134058970e+03
1.014094782586232213e+04,1.104170886582623780e+03
1.014094784470911509e+04,1.104197011082663721e+03
1.014094786355590622e+04,1.104223133629022186e+03
1.014094788240269918e+04,1.104249254226627500e+03
1.014094790124949031e+04,1.104275372870322144e+03
1.014094792009628327e+04,1.104301489565035126e+03
1.014094793894307440e+04,1.104327604305610294e+03
1.014094795778986736e+04,1.104353717096975288e+03
1.014094797663665850e+04,1.104379827933974411e+03
1.014094799548345145e+04,1.104405936821533260e+03
1.014094801433024259e+04,1.104432043754500000e+03
1.014094803317703554e+04,1.104458148737798183e+03
1.014094805202382668e+04,1.104484251766275520e+03
1.014094807087061963e+04,1.104510352844856470e+03
1.014094808971741259e+04,1.104536451970907819e+03
1.014094810856420372e+04,1.104562549141796353e+03
1.014094812741099668e+04,1.104588644362445393e+03
1.014094814625778781e+04,1.104614737627705381e+03
1.014094816510458077e+04,1.104640828942497137e+03
1.014094818395137190e+04,1.104666918301671785e+03
1.014094820279816486e+04,1.104693005710150373e+03
1.014094822164495599e+04,1.104719091162784025e+03
1.014094824049174895e+04,1.104745174664493788e+03
1.014094825933854008e+04,1.104771256210131014e+03
1.014094827818533304e+04,1.104797335804615614e+03
1.014094829703212417e+04,1.104823413442800984e+03
1.014094831587891713e+04,1.104849489129605672e+03
1.014094833472570826e+04,1.104875562859883530e+03
1.014094835357250122e+04,1.104901634638552423e+03
1.014094837241929235e+04,1.104927704460467112e+03
1.014094839126608531e+04,1.104953772330545689e+03
1.014094841011287645e+04,1.104979838243641780e+03
1.014094842895966940e+04,1.105005902204673930e+03
1.014094844780646054e+04,1.105031964208496902e+03
1.014094846665325349e+04,1.105058024260027651e+03
1.014094848550004463e+04,1.105084082354122302e+03
1.014094850434683758e+04,1.105110138495697129e+03
1.014094852319363054e+04,1.105136192682123010e+03
1.014094854204042167e+04,1.105162244910772188e+03
1.014094856088721463e+04,1.105188295186559344e+03
1.014094857973400576e+04,1.105214343504342651e+03
1.014094859858079872e+04,1.105240389869037017e+03
1.014094861742758985e+04,1.105266434275500160e+03
1.014094863627438281e+04,1.105292476728646079e+03
1.014094865512117394e+04,1.105318517223334538e+03
1.014094867396796690e+04,1.105344555764478628e+03
1.014094869281475803e+04,1.105370592346937201e+03
1.014094871166155099e+04,1.105396626975624258e+03
1.014094873050834212e+04,1.105422659645400017e+03
1.014094874935513508e+04,1.105448690361175522e+03
1.014094876820192621e+04,1.105474719117813265e+03
1.014094878704871917e+04,1.105500745920223835e+03
1.014094880589551030e+04,1.105526770763269269e+03
1.014094882474230326e+04,1.105552793651860156e+03
1.014094884358909439e+04,1.105578814580859671e+03
1.014094886243588735e+04,1.105604833555177265e+03
1.014094888128267849e+04,1.105630850569676795e+03
