Time (BJD_TBD - 2450000), L_total/L_star (ppm)
9.889741364804176555e+03,5.289007854082448290e+01
9.889741381683179497e+03,5.289187973673048049e+01
9.889741398562182439e+03,5.289368099506605603e+01
9.889741415441183563e+03,5.289548231563575342e+01
9.889741432320186505e+03,5.289728369882651293e+01
9.889741449199189447e+03,5.289908514444286425e+01
9.889741466078192389e+03,5.290088665248354971e+01
9.889741482957195331e+03,5.290268822294723350e+01
9.889741499836198273e+03,5.290448985583261532e+01
9.889741516715201215e+03,5.290629155113836646e+01
9.889741533594204157e+03,5.290809330886317241e+01
9.889741550473205280e+03,5.290989512881154866e+01
9.889741567352208222e+03,5.291169701137056336e+01
9.889741584231211164e+03,5.291349895634468226e+01
9.889741601110214106e+03,5.291530096373261927e+01
9.889741617989217048e+03,5.291710303353308120e+01
9.889741634868219990e+03,5.291890516574472514e+01
9.889741651747222932e+03,5.292070736036625078e+01
9.889741668626225874e+03,5.292250961739635073e+01
9.889741685505226997e+03,5.292431193663945521e+01
9.889741702384229939e+03,5.292611431848274606e+01
9.889741719263232881e+03,5.292791676273066059e+01
9.889741736142235823e+03,5.292971926938189142e+01
9.889741753021238765e+03,5.293152183843515246e+01
9.889741769900241707e+03,5.293332446988908657e+01
9.889741786779244649e+03,5.293512716374241478e+01
9.889741803658247591e+03,5.293692991999380126e+01
9.889741820537248714e+03,5.293873273844768335e+01
9.889741837416251656e+03,5.294053561949126419e+01
9.889741854295254598e+03,5.294233856292899532e+01
9.889741871174257540e+03,5.294414156875953381e+01
9.889741888053260482e+03,5.294594463698157938e+01
9.889741904932263424e+03,5.294774776759383883e+01
9.889741921811266366e+03,5.294955096059496924e+01
9.889741938690269308e+03,5.295135421598365610e+01
9.889741955569270431e+03,5.295315753356427990e+01
9.889741972448273373e+03,5.295496091372417879e+01
9.889741989327276315e+03,5.295676435626770484e+01
9.889742006206279257e+03,5.295856786119352932e+01
9.889742023085282199e+03,5.296037142850036616e+01
9.889742039964285141e+03,5.296217505818690796e+01
9.889742056843288083e+03,5.296397875025184021e+01
9.889742073722291025e+03,5.296578250469381999e+01
9.889742090601292148e+03,5.296758632131714961e+01
9.889742107480295090e+03,5.296939020050932356e+01
9.889742124359298032e+03,5.297119414207461574e+01
9.889742141238300974e+03,5.297299814601173296e+01
9.889742158117303916e+03,5.297480221231932518e+01
9.889742174996306858e+03,5.297660634099612764e+01
9.889742191875309800e+03,5.297841053204078321e+01
9.889742208754312742e+03,5.298021478545202001e+01
9.889742225633313865e+03,5.298201910103405510e+01
9.889742242512316807e+03,5.298382347917444690e+01
9.889742259391319749e+03,5.298562791967746932e+01
9.889742276270322691e+03,5.298743242254178654e+01
9.889742293149325633e+03,5.298923698776611957e+01
9.889742310028328575e+03,5.299104161534911839e+01
9.889742326907331517e+03,5.299284630528947559e+01
9.889742343786334459e+03,5.299465105758589090e+01
9.889742360665335582e+03,5.299645587204253161e+01
9.889742377544338524e+03,5.299826074904710538e+01
9.889742394423341466e+03,5.300006568840378662e+01
9.889742411302344408e+03,5.300187069011126084e+01
9.889742428181347350e+03,5.300367575416822064e+01
9.889742445060350292e+03,5.300548088057333018e+01
9.889742461939353234e+03,5.300728606932532472e+01
9.889742478818356176e+03,5.300909132042284000e+01
9.889742495697357299e+03,5.301089663367002913e+01
9.889742512576360241e+03,5.301270200945468503e+01
9.889742529455363183e+03,5.301450744758095368e+01
9.889742546334366125e+03,5.301631294804748507e+01
9.889742563213369067e+03,5.301811851085297889e+01
9.889742580092372009e+03,5.301992413599614196e+01
9.889742596971374951e+03,5.302172982347563135e+01
9.889742613850377893e+03,5.302353557329017519e+01
9.889742630729379016e+03,5.302534138524380580e+01
