Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.913946643518749624e+03,1.707175920965329496e-01
9.913946661622412648e+03,1.707077181429403900e-01
9.913946679726073853e+03,1.706978444727567656e-01
9.913946697829736877e+03,1.706879710839989961e-01
9.913946715933398082e+03,1.706780979786519103e-01
9.913946734037061105e+03,1.706682251547297635e-01
9.913946752140722310e+03,1.706583526142192164e-01
9.913946770244385334e+03,1.706484803551362450e-01
9.913946788348046539e+03,1.706386083794639574e-01
9.913946806451709563e+03,1.706287366852201337e-01
9.913946824555372586e+03,1.706188652733967304e-01
9.913946842659033791e+03,1.706089941449857872e-01
9.913946860762696815e+03,1.705991232980033079e-01
9.913946878866358020e+03,1.705892527344349818e-01
9.913946896970021044e+03,1.705793824522951196e-01
9.913946915073682248e+03,1.705695124535703266e-01
9.913946933177345272e+03,1.705596427362757184e-01
9.913946951281006477e+03,1.705497733023953189e-01
9.913946969384669501e+03,1.705399041499468249e-01
9.913946987488332525e+03,1.705300352799222763e-01
9.913947005591993729e+03,1.705201666933119364e-01
9.913947023695656753e+03,1.705102983881352507e-01
9.913947041799317958e+03,1.705004303663745224e-01
9.913947059902980982e+03,1.704905626260474760e-01
9.913947078006642187e+03,1.704806951691363592e-01
9.913947096110305210e+03,1.704708279936597848e-01
9.913947114213966415e+03,1.704609611016008885e-01
9.913947132317629439e+03,1.704510944909765624e-01
9.913947150421292463e+03,1.704412281627796510e-01
9.913947168524953668e+03,1.704313621180013061e-01
9.913947186628616691e+03,1.704214963546583639e-01
9.913947204732277896e+03,1.704116308747348485e-01
9.913947222835940920e+03,1.704017656762485400e-01
9.913947240939602125e+03,1.703919007611824910e-01
9.913947259043265149e+03,1.703820361275527606e-01
9.913947277146926353e+03,1.703721717773450661e-01
9.913947295250589377e+03,1.703623077085745230e-01
9.913947313354252401e+03,1.703524439222349196e-01
9.913947331457913606e+03,1.703425804193164916e-01
9.913947349561576630e+03,1.703327171978378518e-01
9.913947367665237834e+03,1.703228542597812201e-01
9.913947385768900858e+03,1.703129916031652924e-01
9.913947403872562063e+03,1.703031292299722610e-01
9.913947421976225087e+03,1.702932671382198782e-01
9.913947440079888111e+03,1.702834053289001837e-01
9.913947458183549315e+03,1.702735438030051340e-01
