Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
1.014094580925556875e+04,1.031729259428387650e+03
1.014094582810236170e+04,1.031753834347536667e+03
1.014094584694915284e+04,1.031778407575621486e+03
1.014094586579594579e+04,1.031802979117278937e+03
1.014094588464273693e+04,1.031827548967660277e+03
1.014094590348952988e+04,1.031852117131403020e+03
1.014094592233632102e+04,1.031876683603657966e+03
1.014094594118311397e+04,1.031901248389061493e+03
1.014094596002990511e+04,1.031925811482765994e+03
1.014094597887669806e+04,1.031950372889407390e+03
1.014094599772348920e+04,1.031974932604138075e+03
1.014094601657028215e+04,1.031999490631593289e+03
1.014094603541707511e+04,1.032024046969296933e+03
1.014094605426386624e+04,1.032048601614772451e+03
1.014094607311065920e+04,1.032073154572654630e+03
1.014094609195745034e+04,1.032097705838098364e+03
1.014094611080424329e+04,1.032122255415736390e+03
1.014094612965103443e+04,1.032146803300724059e+03
1.014094614849782738e+04,1.032171349497694337e+03
1.014094616734461852e+04,1.032195894001803708e+03
1.014094618619141147e+04,1.032220436817683321e+03
1.014094620503820261e+04,1.032244977940490344e+03
1.014094622388499556e+04,1.032269517374856378e+03
1.014094624273178670e+04,1.032294055115938818e+03
1.014094626157857965e+04,1.032318591168368130e+03
1.014094628042537079e+04,1.032343125527302846e+03
1.014094629927216374e+04,1.032367658197372748e+03
1.014094631811895488e+04,1.032392189173737052e+03
1.014094633696574783e+04,1.032416718461024857e+03
1.014094635581253897e+04,1.032441246054396061e+03
1.014094637465933192e+04,1.032465771958478854e+03
1.014094639350612306e+04,1.032490296168434270e+03
1.014094641235291601e+04,1.032514818688890045e+03
1.014094643119970897e+04,1.032539339517373492e+03
1.014094645004650010e+04,1.032563858651412829e+03
1.014094646889329306e+04,1.032588376095635340e+03
1.014094648774008419e+04,1.032612891845202967e+03
1.014094650658687715e+04,1.032637405904742081e+03
1.014094652543366828e+04,1.032661918269415537e+03
1.014094654428046124e+04,1.032686428943849023e+03
1.014094656312725238e+04,1.032710937923206075e+03
1.014094658197404533e+04,1.032735445212111927e+03
1.014094660082083647e+04,1.032759950805730568e+03
1.014094661966762942e+04,1.032784454708687235e+03
1.014094663851442056e+04,1.032808956916145235e+03
1.014094665736121351e+04,1.032833457432729801e+03
1.014094667620800465e+04,1.032857956253605380e+03
1.014094669505479760e+04,1.032882453383396523e+03
1.014094671390158874e+04,1.032906948817268358e+03
1.014094673274838169e+04,1.032931442559843845e+03
1.014094675159517283e+04,1.032955934606289929e+03
1.014094677044196578e+04,1.032980424961228891e+03
1.014094678928875692e+04,1.033004913619827448e+03
1.014094680813554987e+04,1.033029400586707425e+03
1.014094682698234101e+04,1.033053885857037130e+03
1.014094684582913396e+04,1.033078369435437025e+03
1.014094686467592692e+04,1.033102851319438969e+03
1.014094688352271805e+04,1.033127331506574592e+03
1.014094690236951101e+04,1.033151810001464582e+03
1.014094692121630214e+04,1.033176286799277932e+03
1.014094694006309510e+04,1.033200761904634192e+03
1.014094695890988623e+04,1.033225235312703944e+03
1.014094697775667919e+04,1.033249707028106059e+03
1.014094699660347032e+04,1.033274177046011346e+03
1.014094701545026328e+04,1.033298645371037310e+03
1.014094703429705442e+04,1.033323111998356580e+03
1.014094705314384737e+04,1.033347576932586207e+03
1.014094707199063851e+04,1.033372040168898820e+03
1.014094709083743146e+04,1.033396501711911242e+03
1.014094710968422260e+04,1.033420961556795874e+03
1.014094712853101555e+04,1.033445419708169993e+03
1.014094714737780669e+04,1.033469876161206685e+03
1.014094716622459964e+04,1.033494330920521861e+03
1.014094718507139078e+04,1.033518783981289516e+03
1.014094720391818373e+04,1.033543235348124881e+03
1.014094722276497487e+04,1.033567685016203313e+03
1.014094724161176782e+04,1.033592132990138225e+03
1.014094726045856078e+04,1.033616579267466022e+03
1.014094727930535191e+04,1.033641023845721520e+03
1.014094729815214487e+04,1.033665466729518357e+03
1.014094731699893600e+04,1.033689907914033256e+03
1.014094733584572896e+04,1.033714347403879174e+03
1.014094735469252009e+04,1.033738785194233060e+03
