Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.014846018518507481e+04,3.447788887291745041e+00
1.014846020605984813e+04,3.447788886004021336e+00
1.014846022693461964e+04,3.447788884716688429e+00
1.014846024780939297e+04,3.447788883429742768e+00
1.014846026868416629e+04,3.447788882143191458e+00
1.014846028955893780e+04,3.447788880857030946e+00
1.014846031043371113e+04,3.447788879571261234e+00
1.014846033130848264e+04,3.447788878285885872e+00
1.014846035218325596e+04,3.447788877000897756e+00
1.014846037305802929e+04,3.447788875716303991e+00
1.014846039393280080e+04,3.447788874432097472e+00
1.014846041480757413e+04,3.447788873148288857e+00
1.014846043568234745e+04,3.447788871864863935e+00
1.014846045655711896e+04,3.447788870581836917e+00
1.014846047743189229e+04,3.447788869299200698e+00
1.014846049830666561e+04,3.447788868016948172e+00
1.014846051918143712e+04,3.447788866735093549e+00
1.014846054005621045e+04,3.447788865453626173e+00
1.014846056093098196e+04,3.447788864172553147e+00
1.014846058180575528e+04,3.447788862891874473e+00
1.014846060268052861e+04,3.447788861611579492e+00
1.014846062355530012e+04,3.447788860331682415e+00
1.014846064443007344e+04,3.447788859052172583e+00
1.014846066530484677e+04,3.447788857773053550e+00
1.014846068617961828e+04,3.447788856494328869e+00
1.014846070705439161e+04,3.447788855215994985e+00
1.014846072792916493e+04,3.447788853938051901e+00
1.014846074880393644e+04,3.447788852660499614e+00
1.014846076967870977e+04,3.447788851383338127e+00
1.014846079055348127e+04,3.447788850106567438e+00
1.014846081142825460e+04,3.447788848830191100e+00
1.014846083230302793e+04,3.447788847554202007e+00
1.014846085317779944e+04,3.447788846278607267e+00
1.014846087405257276e+04,3.447788845003403324e+00
1.014846089492734609e+04,3.447788843728586627e+00
1.014846091580211760e+04,3.447788842454171387e+00
1.014846093667689092e+04,3.447788841180139841e+00
1.014846095755166243e+04,3.447788839906499092e+00
1.014846097842643576e+04,3.447788838633249142e+00
1.014846099930120909e+04,3.447788837360393543e+00
1.014846102017598059e+04,3.447788836087928743e+00
1.014846104105075392e+04,3.447788834815854742e+00
1.014846106192552725e+04,3.447788833544171538e+00
1.014846108280029875e+04,3.447788832272879134e+00
1.014846110367507208e+04,3.447788831001977528e+00
1.014846112454984541e+04,3.447788829731470273e+00
1.014846114542461692e+04,3.447788828461353816e+00
1.014846116629939024e+04,3.447788827191624605e+00
1.014846118717416175e+04,3.447788825922293299e+00
1.014846120804893508e+04,3.447788824653345685e+00
1.014846122892370840e+04,3.447788823384795975e+00
1.014846124979847991e+04,3.447788822116633511e+00
1.014846127067325324e+04,3.447788820848865399e+00
1.014846129154802657e+04,3.447788819581488085e+00
1.014846131242279807e+04,3.447788818314498016e+00
1.014846133329757140e+04,3.447788817047902299e+00
1.014846135417234473e+04,3.447788815781697380e+00
1.014846137504711623e+04,3.447788814515883260e+00
1.014846139592188956e+04,3.447788813250463491e+00
1.014846141679666107e+04,3.447788811985430968e+00
1.014846143767143440e+04,3.447788810720789243e+00
1.014846145854620772e+04,3.447788809456545422e+00
1.014846147942097923e+04,3.447788808192688847e+00
1.014846150029575256e+04,3.447788806929223071e+00
1.014846152117052588e+04,3.447788805666148093e+00
1.014846154204529739e+04,3.447788804403463914e+00
1.014846156292007072e+04,3.447788803141174085e+00
1.014846158379484405e+04,3.447788801879275056e+00
1.014846160466961555e+04,3.447788800617763272e+00
1.014846162554438888e+04,3.447788799356649392e+00
1.014846164641916039e+04,3.447788798095919205e+00
1.014846166729393371e+04,3.447788796835586922e+00
1.014846168816870704e+04,3.447788795575645437e+00
1.014846170904347855e+04,3.447788794316087646e+00
1.014846172991825188e+04,3.447788793056927759e+00
1.014846175079302520e+04,3.447788791798158670e+00
1.014846177166779671e+04,3.447788790539780379e+00
1.014846179254257004e+04,3.447788789281792887e+00
1.014846181341734336e+04,3.447788788024196194e+00
1.014846183429211487e+04,3.447788786766990299e+00
1.014846185516688820e+04,3.447788785510178755e+00
1.014846187604165971e+04,3.447788784253758010e+00
1.014846189691643303e+04,3.447788782997728063e+00
1.014846191779120636e+04,3.447788781742088915e+00
1.014846193866597787e+04,3.447788780486840565e+00
1.014846195954075120e+04,3.447788779231983014e+00
1.014846198041552452e+04,3.447788777977516261e+00
1.014846200129029603e+04,3.447788776723443860e+00
1.014846202216506936e+04,3.447788775469762257e+00
1.014846204303984086e+04,3.447788774216471452e+00
1.014846206391461419e+04,3.447788772963571446e+00
1.014846208478938752e+04,3.447788771711058686e+00
1.014846210566415903e+04,3.447788770458943830e+00
1.014846212653893235e+04,3.447788769207216220e+00
1.014846214741370568e+04,3.447788767955882960e+00
1.014846216828847719e+04,3.447788766704940500e+00
1.014846218916325051e+04,3.447788765454388837e+00
1.014846221003802384e+04,3.447788764204224421e+00
1.014846223091279535e+04,3.447788762954457908e+00
1.014846225178756868e+04,3.447788761705078642e+00
1.014846227266234018e+04,3.447788760456090174e+00
1.014846229353711351e+04,3.447788759207496057e+00
1.014846231441188684e+04,3.447788757959296291e+00
1.014846233528665834e+04,3.447788756711483771e+00
1.014846235616143167e+04,3.447788755464062049e+00
1.014846237703620500e+04,3.447788754217031126e+00
1.014846239791097651e+04,3.447788752970391002e+00
1.014846241878574983e+04,3.447788751724145229e+00
1.014846243966052316e+04,3.447788750478290254e+00
1.014846246053529467e+04,3.447788749232826078e+00
1.014846248141006799e+04,3.447788747987752700e+00
1.014846250228483950e+04,3.447788746743070121e+00
1.014846252315961283e+04,3.447788745498778340e+00
