Time (BJD_TBD - 2450000), L_c/L_star (ppm)
9.880040070756049317e+03,4.213495716814153411e+02
9.880040089315774821e+03,4.213536690317057491e+02
9.880040107875502144e+03,4.213577659138387617e+02
9.880040126435227648e+03,4.213618623270018020e+02
9.880040144994953152e+03,4.213659582715869192e+02
9.880040163554680475e+03,4.213700537479860486e+02
9.880040182114405980e+03,4.213741487553869547e+02
9.880040200674133303e+03,4.213782432945826599e+02
9.880040219233858807e+03,4.213823373647612129e+02
9.880040237793586130e+03,4.213864309667155226e+02
9.880040256353311634e+03,4.213905240996338080e+02
9.880040274913038957e+03,4.213946167643088074e+02
9.880040293472764461e+03,4.213987089599287970e+02
9.880040312032491784e+03,4.214028006872865149e+02
9.880040330592217288e+03,4.214068919455704076e+02
9.880040349151944611e+03,4.214109827355729294e+02
9.880040367711670115e+03,4.214150730564826404e+02
9.880040386271395619e+03,4.214191629086910780e+02
9.880040404831122942e+03,4.214232522925895523e+02
9.880040423390848446e+03,4.214273412073669078e+02
9.880040441950575769e+03,4.214314296538153144e+02
9.880040460510301273e+03,4.214355176311238438e+02
9.880040479070028596e+03,4.214396051400841543e+02
9.880040497629754100e+03,4.214436921798858293e+02
9.880040516189481423e+03,4.214477787513202429e+02
9.880040534749206927e+03,4.214518648535770922e+02
9.880040553308934250e+03,4.214559504874478080e+02
9.880040571868659754e+03,4.214600356521219737e+02
9.880040590428387077e+03,4.214641203483909067e+02
9.880040608988112581e+03,4.214682045754444744e+02
9.880040627547838085e+03,4.214722883336735890e+02
9.880040646107565408e+03,4.214763716234690492e+02
9.880040664667290912e+03,4.214804544440208360e+02
9.880040683227018235e+03,4.214845367961198690e+02
9.880040701786743739e+03,4.214886186789564135e+02
9.880040720346471062e+03,4.214927000933211616e+02
9.880040738906196566e+03,4.214967810384044924e+02
9.880040757465923889e+03,4.215008615149971547e+02
9.880040776025649393e+03,4.215049415222896982e+02
9.880040794585376716e+03,4.215090210610723602e+02
9.880040813145102220e+03,4.215131001305360883e+02
9.880040831704829543e+03,4.215171787314710059e+02
9.880040850264555047e+03,4.215212568630681176e+02
9.880040868824280551e+03,4.215253345257177671e+02
9.880040887384007874e+03,4.215294117198100139e+02
9.880040905943733378e+03,4.215334884445362604e+02
9.880040924503460701e+03,4.215375647006862891e+02
9.880040943063186205e+03,4.215416404874515024e+02
9.880040961622913528e+03,4.215457158056212847e+02
9.880040980182639032e+03,4.215497906543874365e+02
9.880040998742366355e+03,4.215538650345392853e+02
9.880041017302091859e+03,4.215579389452687451e+02
9.880041035861819182e+03,4.215620123873649732e+02
9.880041054421544686e+03,4.215660853600198834e+02
9.880041072981270190e+03,4.215701578636233648e+02
9.880041091540997513e+03,4.215742298985650791e+02
9.880041110100723017e+03,4.215783014640373381e+02
9.880041128660450340e+03,4.215823725608289578e+02
9.880041147220175844e+03,4.215864431881323071e+02
9.880041165779903167e+03,4.215905133467360315e+02
9.880041184339628671e+03,4.215945830358326702e+02
9.880041202899355994e+03,4.215986522562106984e+02
9.880041221459081498e+03,4.216027210070628826e+02
9.880041240018808821e+03,4.216067892891774704e+02
9.880041258578534325e+03,4.216108571017474560e+02
9.880041277138261648e+03,4.216149244455609164e+02
9.880041295697987152e+03,4.216189913198110162e+02
9.880041314257712656e+03,4.216230577248871896e+02
9.880041332817439979e+03,4.216271236611781319e+02
9.880041351377165483e+03,4.216311891278778035e+02
9.880041369936892806e+03,4.216352541257733151e+02
9.880041388496618310e+03,4.216393186540587408e+02
9.880041407056345633e+03,4.216433827135212482e+02
9.880041425616071137e+03,4.216474463033546840e+02
9.880041444175798460e+03,4.216515094243463295e+02
9.880041462735523965e+03,4.216555720756903156e+02
9.880041481295251288e+03,4.216596342581734689e+02
9.880041499854976792e+03,4.216636959709901475e+02
9.880041518414704115e+03,4.216677572149271214e+02
9.880041536974429619e+03,4.216718179891788623e+02
9.880041555534155123e+03,4.216758782941340087e+02
9.880041574093882446e+03,4.216799381301811991e+02
9.880041592653607950e+03,4.216839974965149622e+02
9.880041611213335273e+03,4.216880563939217836e+02
9.880041629773060777e+03,4.216921148215965331e+02
9.880041648332788100e+03,4.216961727803252984e+02
9.880041666892513604e+03,4.217002302693032902e+02
9.880041685452240927e+03,4.217042872893165963e+02
9.880041704011966431e+03,4.217083438395602570e+02
9.880041722571693754e+03,4.217123999208201894e+02
9.880041741131419258e+03,4.217164555322920592e+02
9.880041759691146581e+03,4.217205106747611012e+02
9.880041778250872085e+03,4.217245653474233222e+02
9.880041796810597589e+03,4.217286195506666218e+02
9.880041815370324912e+03,4.217326732848790130e+02
9.880041833930050416e+03,4.217367265492563888e+02
9.880041852489777739e+03,4.217407793445838706e+02
9.880041871049503243e+03,4.217448316700576925e+02
9.880041889609230566e+03,4.217488835264626346e+02
9.880041908168956070e+03,4.217529349129953289e+02
9.880041926728683393e+03,4.217569858304403851e+02
9.880041945288408897e+03,4.217610362779942648e+02
9.880041963848136220e+03,4.217650862564417480e+02
9.880041982407861724e+03,4.217691357649794099e+02
9.880042000967589047e+03,4.217731848043915761e+02
9.880042019527314551e+03,4.217772333738755037e+02
9.880042038087040055e+03,4.217812814738183533e+02
9.880042056646767378e+03,4.217853291046075128e+02
9.880042075206492882e+03,4.217893762654401826e+02
9.880042093766220205e+03,4.217934229571002902e+02
9.880042112325945709e+03,4.217974691787852635e+02
