Time (BJD_TBD - 2450000), L_d/L_star (ppm)
9.880040497629754100e+03,1.302987114482597235e+02
9.880040516189481423e+03,1.302955838687737469e+02
9.880040534749206927e+03,1.302924562731203935e+02
9.880040553308934250e+03,1.302893286606892786e+02
9.880040571868659754e+03,1.302862010320959314e+02
9.880040590428387077e+03,1.302830733867299671e+02
9.880040608988112581e+03,1.302799457252070283e+02
9.880040627547838085e+03,1.302768180472232302e+02
9.880040646107565408e+03,1.302736903524745173e+02
9.880040664667290912e+03,1.302705626415766744e+02
9.880040683227018235e+03,1.302674349139190326e+02
9.880040701786743739e+03,1.302643071701174904e+02
9.880040720346471062e+03,1.302611794095614357e+02
9.880040738906196566e+03,1.302580516328666249e+02
9.880040757465923889e+03,1.302549238394224176e+02
9.880040776025649393e+03,1.302517960298445985e+02
9.880040794585376716e+03,1.302486682035226409e+02
9.880040813145102220e+03,1.302455403610723295e+02
9.880040831704829543e+03,1.302424125018830239e+02
9.880040850264555047e+03,1.302392846265704804e+02
9.880040868824280551e+03,1.302361567348307290e+02
9.880040887384007874e+03,1.302330288263597993e+02
9.880040905943733378e+03,1.302299009017733624e+02
9.880040924503460701e+03,1.302267729604610338e+02
9.880040943063186205e+03,1.302236450030384276e+02
9.880040961622913528e+03,1.302205170288949887e+02
9.880040980182639032e+03,1.302173890386464166e+02
9.880040998742366355e+03,1.302142610316823550e+02
9.880041017302091859e+03,1.302111330086182761e+02
9.880041035861819182e+03,1.302080049688438237e+02
9.880041054421544686e+03,1.302048769129746688e+02
9.880041072981270190e+03,1.302017488407068413e+02
9.880041091540997513e+03,1.301986207517363141e+02
9.880041110100723017e+03,1.301954926466789288e+02
9.880041128660450340e+03,1.301923645249239883e+02
9.880041147220175844e+03,1.301892363870873908e+02
9.880041165779903167e+03,1.301861082325584675e+02
9.880041184339628671e+03,1.301829800619530602e+02
9.880041202899355994e+03,1.301798518746604429e+02
9.880041221459081498e+03,1.301767236712965712e+02
9.880041240018808821e+03,1.301735954512507192e+02
9.880041258578534325e+03,1.301704672151387854e+02
9.880041277138261648e+03,1.301673389623500441e+02
9.880041295697987152e+03,1.301642106935003085e+02
9.880041314257712656e+03,1.301610824082856652e+02
9.880041332817439979e+03,1.301579541064020873e+02
9.880041351377165483e+03,1.301548257884652173e+02
9.880041369936892806e+03,1.301516974538646991e+02
9.880041388496618310e+03,1.301485691032161185e+02
9.880041407056345633e+03,1.301454407359089203e+02
9.880041425616071137e+03,1.301423123525588892e+02
9.880041444175798460e+03,1.301391839525555554e+02
9.880041462735523965e+03,1.301360555365145615e+02
9.880041481295251288e+03,1.301329271038252955e+02
9.880041499854976792e+03,1.301297986551036274e+02
9.880041518414704115e+03,1.301266701897390021e+02
9.880041536974429619e+03,1.301235417083470338e+02
9.880041555534155123e+03,1.301204132106238660e+02
9.880041574093882446e+03,1.301172846962654432e+02
9.880041592653607950e+03,1.301141561658875503e+02
9.880041611213335273e+03,1.301110276188796036e+02
9.880041629773060777e+03,1.301078990558573309e+02
9.880041648332788100e+03,1.301047704762102342e+02
9.880041666892513604e+03,1.301016418805540411e+02
9.880041685452240927e+03,1.300985132682781398e+02
9.880041704011966431e+03,1.300953846399984002e+02
9.880041722571693754e+03,1.300922559951040398e+02
9.880041741131419258e+03,1.300891273342110708e+02
9.880041759691146581e+03,1.300859986567087390e+02
9.880041778250872085e+03,1.300828699632129428e+02
9.880041796810597589e+03,1.300797412534195701e+02
9.880041815370324912e+03,1.300766125270246505e+02
9.880041833930050416e+03,1.300734837846440257e+02
9.880041852489777739e+03,1.300703550256670269e+02
9.880041871049503243e+03,1.300672262507094672e+02
9.880041889609230566e+03,1.300640974591607630e+02
9.880041908168956070e+03,1.300609686516367276e+02
9.880041926728683393e+03,1.300578398275266352e+02
9.880041945288408897e+03,1.300547109874464411e+02
9.880041963848136220e+03,1.300515821307854196e+02
9.880041982407861724e+03,1.300484532581594408e+02
9.880042000967589047e+03,1.300453243689578073e+02
9.880042019527314551e+03,1.300421954637964461e+02
9.880042038087040055e+03,1.300390665423713017e+02
9.880042056646767378e+03,1.300359376043782902e+02
9.880042075206492882e+03,1.300328086504332816e+02
9.880042093766220205e+03,1.300296796799255503e+02
9.880042112325945709e+03,1.300265506934711084e+02
9.880042130885673032e+03,1.300234216904591449e+02
9.880042149445398536e+03,1.300202926715056151e+02
9.880042168005125859e+03,1.300171636359997649e+02
9.880042186564851363e+03,1.300140345845575496e+02
9.880042205124578686e+03,1.300109055165681582e+02
9.880042223684304190e+03,1.300077764326476313e+02
9.880042242244031513e+03,1.300046473321850726e+02
9.880042260803757017e+03,1.300015182157965512e+02
9.880042279363482521e+03,1.299983890831779547e+02
9.880042297923209844e+03,1.299952599340252561e+02
9.880042316482935348e+03,1.299921307689542402e+02
9.880042335042662671e+03,1.299890015873542097e+02
9.880042353602388175e+03,1.299858723898412620e+02
9.880042372162115498e+03,1.299827431758045293e+02
9.880042390721841002e+03,1.299796139458598816e+02
9.880042409281568325e+03,1.299764846993966501e+02
9.880042427841293829e+03,1.299733554370307900e+02
9.880042446401021152e+03,1.299702261581514904e+02
9.880042464960746656e+03,1.299670968633747066e+02
9.880042483520473979e+03,1.299639675520897697e+02
9.880042502080199483e+03,1.299608382249125214e+02
9.880042520639924987e+03,1.299577088815389345e+02
9.880042539199652310e+03,1.299545795216648116e+02
9.880042557759377814e+03,1.299514501459063354e+02
9.880042576319105137e+03,1.299483207536525242e+02
9.880042594878830641e+03,1.299451913455194472e+02
9.880042613438557964e+03,1.299420619208962364e+02
9.880042631998283468e+03,1.299389324803989894e+02
9.880042650558010791e+03,1.299358030234168098e+02
9.880042669117736295e+03,1.299326735505657382e+02
9.880042687677463618e+03,1.299295440612349637e+02
9.880042706237189122e+03,1.299264145560404700e+02
9.880042724796916445e+03,1.299232850343714460e+02
9.880042743356641950e+03,1.299201554968439893e+02
9.880042761916367454e+03,1.299170259431538170e+02
9.880042780476094777e+03,1.299138963729968452e+02
9.880042799035820281e+03,1.299107667869892566e+02
9.880042817595547604e+03,1.299076371845200981e+02
9.880042836155273108e+03,1.299045075662052966e+02
9.880042854715000431e+03,1.299013779314341832e+02
9.880042873274725935e+03,1.298982482808227701e+02
9.880042891834453258e+03,1.298951186137601326e+02
9.880042910394178762e+03,1.298919889308623112e+02
9.880042928953906085e+03,1.298888592315185804e+02
9.880042947513631589e+03,1.298857295163448100e+02
9.880042966073358912e+03,1.298825997847302460e+02
9.880042984633084416e+03,1.298794700372909006e+02
9.880043003192809920e+03,1.298763402737227182e+02
9.880043021752537243e+03,1.298732104937214160e+02
9.880043040312262747e+03,1.298700806979032052e+02
9.880043058871990070e+03,1.298669508856570474e+02
9.880043077431715574e+03,1.298638210575992105e+02
9.880043095991442897e+03,1.298606912131186277e+02
9.880043114551168401e+03,1.298575613528315102e+02
9.880043133110895724e+03,1.298544314761268765e+02
9.880043151670621228e+03,1.298513015836209092e+02
9.880043170230348551e+03,1.298481716747025700e+02
9.880043188790074055e+03,1.298450417499880700e+02
9.880043207349801378e+03,1.298419118088664277e+02
9.880043225909526882e+03,1.298387818519538257e+02
9.880043244469252386e+03,1.298356518789460381e+02
9.880043263028979709e+03,1.298325218895389526e+02
9.880043281588705213e+03,1.298293918843485812e+02
9.880043300148432536e+03,1.298262618627640563e+02
9.880043318708158040e+03,1.298231318254015605e+02
9.880043337267885363e+03,1.298200017716501407e+02
9.880043355827610867e+03,1.298168717021258090e+02
9.880043374387338190e+03,1.298137416162176976e+02
9.880043392947063694e+03,1.298106115145420176e+02
9.880043411506791017e+03,1.298074813964877592e+02
9.880043430066516521e+03,1.298043512626710196e+02
9.880043448626243844e+03,1.298012211124809028e+02
9.880043467185969348e+03,1.297980909465335344e+02
9.880043485745694852e+03,1.297949607645246886e+02
9.880043504305422175e+03,1.297918305661502245e+02
9.880043522865147679e+03,1.297887003520263818e+02
9.880043541424875002e+03,1.297855701215420652e+02
9.880043559984600506e+03,1.297824398753134858e+02
9.880043578544327829e+03,1.297793096127295769e+02
9.880043597104053333e+03,1.297761793344067769e+02
9.880043615663780656e+03,1.297730490397337633e+02
9.880043634223506160e+03,1.297699187293269176e+02
9.880043652783233483e+03,1.297667884025751732e+02
9.880043671342958987e+03,1.297636580600947980e+02
9.880043689902686310e+03,1.297605277012746967e+02
9.880043708462411814e+03,1.297573973267311658e+02
9.880043727022137318e+03,1.297542669361598939e+02
9.880043745581864641e+03,1.297511365292567120e+02
9.880043764141590145e+03,1.297480061066378596e+02
9.880043782701317468e+03,1.297448756676922983e+02
9.880043801261042972e+03,1.297417452130361539e+02
9.880043819820770295e+03,1.297386147420585303e+02
9.880043838380495799e+03,1.297354842553755816e+02
9.880043856940223122e+03,1.297323537523763832e+02
9.880043875499948626e+03,1.297292232336769473e+02
9.880043894059675949e+03,1.297260926986663492e+02
9.880043912619401453e+03,1.297229621479609136e+02
9.880043931179128776e+03,1.297198315809495170e+02
9.880043949738854280e+03,1.297167009982482853e+02
9.880043968298579784e+03,1.297135703995532197e+02
9.880043986858307107e+03,1.297104397845598953e+02
9.880044005418032611e+03,1.297073091538846086e+02
9.880044023977759934e+03,1.297041785069163495e+02
9.880044042537485439e+03,1.297010478442714430e+02
9.880044061097212762e+03,1.296979171653386231e+02
9.880044079656938266e+03,1.296947864707343001e+02
9.880044098216665589e+03,1.296916557598472366e+02
9.880044116776391093e+03,1.296885250332939847e+02
9.880044135336118416e+03,1.296853942904631936e+02
9.880044153895843920e+03,1.296822635319712731e+02
9.880044172455571243e+03,1.296791327572070998e+02
9.880044191015296747e+03,1.296760019667869699e+02
9.880044209575022251e+03,1.296728711604066007e+02
9.880044228134749574e+03,1.296697403377617661e+02
9.880044246694475078e+03,1.296666094994688194e+02
9.880044265254202401e+03,1.296634786449165233e+02
9.880044283813927905e+03,1.296603477747212594e+02
9.880044302373655228e+03,1.296572168882719609e+02
9.880044320933380732e+03,1.296540859861847821e+02
9.880044339493108055e+03,1.296509550678487699e+02
9.880044358052833559e+03,1.296478241338801638e+02
9.880044376612560882e+03,1.296446931836678402e+02
9.880044395172286386e+03,1.296415622178281239e+02
9.880044413732013709e+03,1.296384312357498345e+02
9.880044432291739213e+03,1.296353002380493820e+02
9.880044450851464717e+03,1.296321692244224835e+02
9.880044469411192040e+03,1.296290381945647709e+02
9.880044487970917544e+03,1.296259071490927681e+02
9.880044506530644867e+03,1.296227760873951240e+02
9.880044525090370371e+03,1.296196450100882487e+02
9.880044543650097694e+03,1.296165139165610185e+02
9.880044562209823198e+03,1.296133828074298435e+02
9.880044580769550521e+03,1.296102516820834012e+02
9.880044599329276025e+03,1.296071205411381868e+02
9.880044617889003348e+03,1.296039893839828778e+02
9.880044636448728852e+03,1.296008582112341116e+02
9.880044655008456175e+03,1.295977270222804236e+02
9.880044673568181679e+03,1.295945958177383375e+02
9.880044692127907183e+03,1.295914645973035420e+02
9.880044710687634506e+03,1.295883333606716974e+02
9.880044729247360010e+03,1.295852021084591854e+02
9.880044747807087333e+03,1.295820708400549393e+02
9.880044766366812837e+03,1.295789395560751700e+02
9.880044784926540160e+03,1.295758082559087825e+02
9.880044803486265664e+03,1.295726769401721583e+02
9.880044822045992987e+03,1.295695456082540886e+02
9.880044840605718491e+03,1.295664142607708982e+02
9.880044859165445814e+03,1.295632828971114918e+02
9.880044877725171318e+03,1.295601515178922227e+02
9.880044896284898641e+03,1.295570201225019105e+02
9.880044914844624145e+03,1.295538887115568514e+02
9.880044933404349649e+03,1.295507572847529332e+02
9.880044951964076972e+03,1.295476258417855888e+02
9.880044970523802476e+03,1.295444943832714557e+02
9.880044989083529799e+03,1.295413629085991545e+02
9.880045007643255303e+03,1.295382314183853225e+02
9.880045026202982626e+03,1.295350999120184383e+02
9.880045044762708130e+03,1.295319683901151109e+02
9.880045063322435453e+03,1.295288368520640461e+02
9.880045081882160957e+03,1.295257052984817676e+02
9.880045100441888280e+03,1.295225737287569245e+02
9.880045119001613784e+03,1.295194421435059837e+02
9.880045137561341107e+03,1.295163105421175942e+02
9.880045156121066611e+03,1.295131789252084502e+02
9.880045174680792115e+03,1.295100472924739847e+02
9.880045193240519438e+03,1.295069156436100570e+02
9.880045211800244942e+03,1.295037839792329919e+02
9.880045230359972265e+03,1.295006522987315236e+02
9.880045248919697769e+03,1.294975206027221191e+02
9.880045267479425092e+03,1.294943888905936262e+02
9.880045286039150596e+03,1.294912571629623983e+02
9.880045304598877919e+03,1.294881254192171411e+02
9.880045323158603424e+03,1.294849936599744069e+02
9.880045341718330747e+03,1.294818618846229015e+02
9.880045360278056251e+03,1.294787300937789780e+02
9.880045378837783574e+03,1.294755982868314845e+02
9.880045397397509078e+03,1.294724664643968879e+02
9.880045415957234582e+03,1.294693346261708200e+02
9.880045434516961905e+03,1.294662027718488844e+02
9.880045453076687409e+03,1.294630709020477184e+02
9.880045471636414732e+03,1.294599390161558006e+02
9.880045490196140236e+03,1.294568071147898252e+02
9.880045508755867559e+03,1.294536751973383275e+02
9.880045527315593063e+03,1.294505432644180303e+02
9.880045545875320386e+03,1.294474113154173835e+02
9.880045564435045890e+03,1.294442793509529395e+02
9.880045582994773213e+03,1.294411473704134892e+02
9.880045601554498717e+03,1.294380153744155280e+02
9.880045620114226040e+03,1.294348833623476764e+02
9.880045638673951544e+03,1.294317513348264583e+02
9.880045657233677048e+03,1.294286192915475056e+02
9.880045675793404371e+03,1.294254872322064784e+02
9.880045694353129875e+03,1.294223551574198439e+02
9.880045712912857198e+03,1.294192230665764214e+02
9.880045731472582702e+03,1.294160909602925926e+02
9.880045750032310025e+03,1.294129588379570066e+02
9.880045768592035529e+03,1.294098267001863007e+02
9.880045787151762852e+03,1.294066945463690672e+02
9.880045805711488356e+03,1.294035623771219150e+02
9.880045824271215679e+03,1.294004301918333510e+02
9.880045842830941183e+03,1.293972979911200696e+02
9.880045861390666687e+03,1.293941657746776457e+02
9.880045879950394010e+03,1.293910335422016260e+02
9.880045898510119514e+03,1.293879012943086764e+02
9.880045917069846837e+03,1.293847690303873605e+02
9.880045935629572341e+03,1.293816367510542591e+02
9.880045954189299664e+03,1.293785044556979926e+02
9.880045972749025168e+03,1.293753721449352270e+02
9.880045991308752491e+03,1.293722398181543554e+02
9.880046009868477995e+03,1.293691074759721857e+02
9.880046028428205318e+03,1.293659751177771398e+02
9.880046046987930822e+03,1.293628427441860822e+02
9.880046065547658145e+03,1.293597103545872926e+02
9.880046084107383649e+03,1.293565779495975221e+02
9.880046102667109153e+03,1.293534455289124310e+02
9.880046121226836476e+03,1.293503130922274806e+02
9.880046139786561980e+03,1.293471806401593369e+02
9.880046158346289303e+03,1.293440481720966204e+02
9.880046176906014807e+03,1.293409156886558833e+02
9.880046195465742130e+03,1.293377831892256609e+02
9.880046214025467634e+03,1.293346506744226758e+02
9.880046232585194957e+03,1.293315181436355203e+02
