Time (BJD_TBD - 2450000), F_star + F_h (mJy)
9.913948055604401816e+03,3.604081893363351163e+00
9.913948073708064840e+03,3.604081893325358443e+00
9.913948091811727863e+03,3.604081893287367500e+00
9.913948109915389068e+03,3.604081893249376112e+00
9.913948128019052092e+03,3.604081893211386944e+00
9.913948146122713297e+03,3.604081893173399109e+00
9.913948164226376321e+03,3.604081893135411718e+00
9.913948182330037525e+03,3.604081893097425660e+00
9.913948200433700549e+03,3.604081893059440933e+00
9.913948218537361754e+03,3.604081893021456207e+00
9.913948236641024778e+03,3.604081892983474145e+00
9.913948254744687802e+03,3.604081892945491639e+00
9.913948272848349006e+03,3.604081892907510909e+00
9.913948290952012030e+03,3.604081892869531956e+00
9.913948309055673235e+03,3.604081892831553890e+00
9.913948327159336259e+03,3.604081892793576269e+00
9.913948345262997464e+03,3.604081892755599537e+00
9.913948363366660487e+03,3.604081892717624580e+00
9.913948381470321692e+03,3.604081892679650512e+00
9.913948399573984716e+03,3.604081892641677776e+00
9.913948417677647740e+03,3.604081892603705928e+00
9.913948435781308945e+03,3.604081892565734524e+00
9.913948453884971968e+03,3.604081892527764452e+00
9.913948471988633173e+03,3.604081892489795713e+00
9.913948490092296197e+03,3.604081892451828750e+00
9.913948508195957402e+03,3.604081892413861787e+00
9.913948526299620426e+03,3.604081892375897045e+00
9.913948544403281630e+03,3.604081892337932302e+00
9.913948562506944654e+03,3.604081892299969336e+00
9.913948580610607678e+03,3.604081892262007258e+00
9.913948598714268883e+03,3.604081892224045625e+00
9.913948616817931907e+03,3.604081892186085767e+00
9.913948634921593111e+03,3.604081892148127686e+00
9.913948653025256135e+03,3.604081892110169161e+00
9.913948671128917340e+03,3.604081892072212412e+00
9.913948689232580364e+03,3.604081892034256551e+00
9.913948707336243388e+03,3.604081891996302467e+00
9.913948725439904592e+03,3.604081891958349271e+00
9.913948743543567616e+03,3.604081891920397407e+00
9.913948761647228821e+03,3.604081891882445543e+00
9.913948779750891845e+03,3.604081891844495011e+00
9.913948797854553050e+03,3.604081891806546256e+00
9.913948815958216073e+03,3.604081891768598389e+00
9.913948834061877278e+03,3.604081891730651410e+00
9.913948852165540302e+03,3.604081891692706208e+00
9.913948870269203326e+03,3.604081891654760561e+00
9.913948888372864531e+03,3.604081891616817579e+00
9.913948906476527554e+03,3.604081891578874597e+00
9.913948924580188759e+03,3.604081891540932947e+00
9.913948942683851783e+03,3.604081891502993074e+00
9.913948960787512988e+03,3.604081891465054088e+00
9.913948978891176012e+03,3.604081891427115991e+00
9.913948996994837216e+03,3.604081891389178338e+00
9.913949015098500240e+03,3.604081891351242461e+00
9.913949033202163264e+03,3.604081891313307473e+00
9.913949051305824469e+03,3.604081891275374261e+00
9.913949069409487493e+03,3.604081891237441493e+00
9.913949087513148697e+03,3.604081891199509613e+00
9.913949105616811721e+03,3.604081891161578621e+00
9.913949123720472926e+03,3.604081891123648962e+00
9.913949141824135950e+03,3.604081891085721523e+00
9.913949159927797155e+03,3.604081891047793640e+00
9.913949178031460178e+03,3.604081891009867977e+00
9.913949196135123202e+03,3.604081890971942759e+00
9.913949214238784407e+03,3.604081890934018872e+00
9.913949232342447431e+03,3.604081890896095874e+00
9.913949250446108636e+03,3.604081890858173320e+00
9.913949268549771659e+03,3.604081890820252987e+00
9.913949286653432864e+03,3.604081890782333986e+00
9.913949304757095888e+03,3.604081890744414540e+00
9.913949322860757093e+03,3.604081890706497315e+00
9.913949340964420117e+03,3.604081890668580535e+00
9.913949359068083140e+03,3.604081890630665530e+00
9.913949377171744345e+03,3.604081890592751414e+00
9.913949395275407369e+03,3.604081890554838630e+00
9.913949413379068574e+03,3.604081890516926290e+00
9.913949431482731597e+03,3.604081890479015282e+00
9.913949449586392802e+03,3.604081890441105607e+00
9.913949467690055826e+03,3.604081890403196820e+00
9.913949485793717031e+03,3.604081890365289365e+00
9.913949503897380055e+03,3.604081890327382798e+00
9.913949522001043078e+03,3.604081890289477563e+00
9.913949540104704283e+03,3.604081890251572773e+00
9.913949558208367307e+03,3.604081890213668871e+00
9.913949576312028512e+03,3.604081890175766745e+00
9.913949594415691536e+03,3.604081890137865951e+00
9.913949612519352740e+03,3.604081890099966490e+00
9.913949630623015764e+03,3.604081890062067473e+00
9.913949648726676969e+03,3.604081890024168899e+00
9.913949666830339993e+03,3.604081889986272547e+00
9.913949684934003017e+03,3.604081889948376638e+00
9.913949703037664221e+03,3.604081889910482506e+00
9.913949721141327245e+03,3.604081889872588818e+00
9.913949739244988450e+03,3.604081889834696462e+00
9.913949757348651474e+03,3.604081889796805438e+00
9.913949775452312679e+03,3.604081889758914858e+00
9.913949793555975702e+03,3.604081889721025611e+00
9.913949811659636907e+03,3.604081889683137696e+00
9.913949829763299931e+03,3.604081889645250669e+00
9.913949847866962955e+03,3.604081889607364531e+00
9.913949865970624160e+03,3.604081889569479724e+00
9.913949884074287183e+03,3.604081889531595806e+00
9.913949902177948388e+03,3.604081889493713664e+00
9.913949920281611412e+03,3.604081889455831522e+00
9.913949938385272617e+03,3.604081889417951601e+00
9.913949956488935641e+03,3.604081889380071679e+00
9.913949974592596845e+03,3.604081889342193534e+00
9.913949992696259869e+03,3.604081889304317166e+00
9.913950010799922893e+03,3.604081889266440353e+00
9.913950028903584098e+03,3.604081889228565316e+00
9.913950047007247122e+03,3.604081889190692056e+00
9.913950065110908326e+03,3.604081889152818352e+00
9.913950083214571350e+03,3.604081889114947312e+00
9.913950101318232555e+03,3.604081889077076273e+00
9.913950119421895579e+03,3.604081889039207010e+00
9.913950137525558603e+03,3.604081889001338634e+00
9.913950155629219807e+03,3.604081888963471592e+00
9.913950173732882831e+03,3.604081888925604993e+00
9.913950191836544036e+03,3.604081888887739726e+00
9.913950209940207060e+03,3.604081888849875792e+00
