Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.896131616297205255e+03,7.594906132309748727e+02
9.896131639153658398e+03,7.595169301731460791e+02
9.896131662010109721e+03,7.595432441380934279e+02
9.896131684866562864e+03,7.595695551297676502e+02
9.896131707723014188e+03,7.595958631437432587e+02
9.896131730579467330e+03,7.596221681839696203e+02
9.896131753435920473e+03,7.596484702481157001e+02
9.896131776292371796e+03,7.596747693338506906e+02
9.896131799148824939e+03,7.597010654451230494e+02
9.896131822005276263e+03,7.597273585775095626e+02
9.896131844861729405e+03,7.597536487349578920e+02
9.896131867718180729e+03,7.597799359130459607e+02
9.896131890574633871e+03,7.598062201157204072e+02
9.896131913431085195e+03,7.598325013385598368e+02
9.896131936287538338e+03,7.598587795855102058e+02
9.896131959143989661e+03,7.598850548521513701e+02
9.896131982000442804e+03,7.599113271424281493e+02
9.896132004856895946e+03,7.599375964540118957e+02
9.896132027713347270e+03,7.599638627845750989e+02
9.896132050569800413e+03,7.599901261380612141e+02
9.896132073426251736e+03,7.600163865100527119e+02
9.896132096282704879e+03,7.600426439044919107e+02
9.896132119139156202e+03,7.600688983169626454e+02
9.896132141995609345e+03,7.600951497514060975e+02
9.896132164852060669e+03,7.601213982034068977e+02
9.896132187708513811e+03,7.601476436769060001e+02
9.896132210564965135e+03,7.601738861674888312e+02
9.896132233421418277e+03,7.602001256790949810e+02
9.896132256277869601e+03,7.602263622073110128e+02
9.896132279134322744e+03,7.602525957560759480e+02
9.896132301990775886e+03,7.602788263230645498e+02
9.896132324847227210e+03,7.603050539059529456e+02
9.896132347703680352e+03,7.603312785086784515e+02
9.896132370560131676e+03,7.603575001268301321e+02
9.896132393416584819e+03,7.603837187643448488e+02
9.896132416273036142e+03,7.604099344168123480e+02
9.896132439129489285e+03,7.604361470881683545e+02
9.896132461985940608e+03,7.604623567740043200e+02
9.896132484842393751e+03,7.604885634782548323e+02
9.896132507698845075e+03,7.605147671965119116e+02
9.896132530555298217e+03,7.605409679327096910e+02
9.896132553411751360e+03,7.605671656845255484e+02
9.896132576268202683e+03,7.605933604496387943e+02
9.896132599124655826e+03,7.606195522319817428e+02
9.896132621981107150e+03,7.606457410271491426e+02
9.896132644837560292e+03,7.606719268390727393e+02
9.896132667694011616e+03,7.606981096633476227e+02
9.896132690550464758e+03,7.607242895039053110e+02
9.896132713406916082e+03,7.607504663563418035e+02
9.896132736263369225e+03,7.607766402245873678e+02
9.896132759119820548e+03,7.608028111042393675e+02
9.896132781976273691e+03,7.608289789992271608e+02
9.896132804832726833e+03,7.608551439072310814e+02
9.896132827689178157e+03,7.608813058259330546e+02
9.896132850545631300e+03,7.609074647592603924e+02
9.896132873402082623e+03,7.609336207028137551e+02
9.896132896258535766e+03,7.609597736605198861e+02
9.896132919114987089e+03,7.609859236279792185e+02
9.896132941971440232e+03,7.610120706091184957e+02
9.896132964827891556e+03,7.610382145995391738e+02
9.896132987684344698e+03,7.610643556031665184e+02
9.896133010540796022e+03,7.610904936156035774e+02
9.896133033397249164e+03,7.611166286407744792e+02
9.896133056253700488e+03,7.611427606742831813e+02
9.896133079110153631e+03,7.611688897200530164e+02
9.896133101966606773e+03,7.611950157757684110e+02
9.896133124823058097e+03,7.612211388391139053e+02
9.896133147679511239e+03,7.612472589140118089e+02
9.896133170535962563e+03,7.612733759960685802e+02
9.896133193392415706e+03,7.612994900892053920e+02
9.896133216248867029e+03,7.613256011890296122e+02
9.896133239105320172e+03,7.613517092994612767e+02
9.896133261961771495e+03,7.613778144161091177e+02
9.896133284818224638e+03,7.614039165428923752e+02
9.896133307674675962e+03,7.614300156754206910e+02
9.896133330531129104e+03,7.614561118176119408e+02
9.896133353387582247e+03,7.614822049671538480e+02
9.896133376244033570e+03,7.615082951217339087e+02
9.896133399100486713e+03,7.615343822852693165e+02
9.896133421956938037e+03,7.615604664533722143e+02
9.896133444813391179e+03,7.615865476299584316e+02
9.896133467669842503e+03,7.616126258106413616e+02
9.896133490526295645e+03,7.616387009993360380e+02
9.896133513382746969e+03,7.616647731916566499e+02
9.896133536239200112e+03,7.616908423915175490e+02
9.896133559095651435e+03,7.617169085945333791e+02
9.896133581952104578e+03,7.617429718046179232e+02
9.896133604808557720e+03,7.617690320194612923e+02
9.896133627665009044e+03,7.617950892367540519e+02
9.896133650521462187e+03,7.618211434604086207e+02
9.896133673377913510e+03,7.618471946860422577e+02
9.896133696234366653e+03,7.618732429175661309e+02
9.896133719090817976e+03,7.618992881505992045e+02
9.896133741947271119e+03,7.619253303890511688e+02
9.896133764803722443e+03,7.619513696285423521e+02
9.896133787660175585e+03,7.619774058729817625e+02
9.896133810516626909e+03,7.620034391179899558e+02
9.896133833373080051e+03,7.620294693674754853e+02
9.896133856229533194e+03,7.620554966191309632e+02
9.896133879085984518e+03,7.620815208706508201e+02
9.896133901942437660e+03,7.621075421259415634e+02
9.896133924798888984e+03,7.621335603806268182e+02
9.896133947655342126e+03,7.621595756386125231e+02
9.896133970511793450e+03,7.621855878955228718e+02
9.896133993368246593e+03,7.622115971552631208e+02
9.896134016224697916e+03,7.622376034134587144e+02
9.896134039081151059e+03,7.622636066740136584e+02
9.896134061937602382e+03,7.622896069325543067e+02
9.896134084794055525e+03,7.623156041929844378e+02
9.896134107650506849e+03,7.623415984509308601e+02
9.896134130506959991e+03,7.623675897102963290e+02
9.896134153363413134e+03,7.623935779687770946e+02
9.896134176219864457e+03,7.624195632240706573e+02
9.896134199076317600e+03,7.624455454800779535e+02
9.896134221932768924e+03,7.624715247324292022e+02
9.896134244789222066e+03,7.624975009850242031e+02
9.896134267645673390e+03,7.625234742334939710e+02
9.896134290502126532e+03,7.625494444817379645e+02
9.896134313358577856e+03,7.625754117253877666e+02
9.896134336215030999e+03,7.626013759683420403e+02
9.896134359071482322e+03,7.626273372062335056e+02
9.896134381927935465e+03,7.626532954429598021e+02
9.896134404784388607e+03,7.626792506762202493e+02
9.896134427640839931e+03,7.627052029037150760e+02
9.896134450497293074e+03,7.627311521293402166e+02
9.896134473353744397e+03,7.627570983487314606e+02
9.896134496210197540e+03,7.627830415657839467e+02
9.896134519066648863e+03,7.628089817761340328e+02
9.896134541923102006e+03,7.628349189836764026e+02
9.896134564779553330e+03,7.628608531840476417e+02
9.896134587636006472e+03,7.628867843811422063e+02
9.896134610492457796e+03,7.629127125705979324e+02
9.896134633348910938e+03,7.629386377563072301e+02
9.896134656205364081e+03,7.629645599359729431e+02
9.896134679061815405e+03,7.629904791072979151e+02
9.896134701918268547e+03,7.630163952741734192e+02
9.896134724774719871e+03,7.630423084322404748e+02
9.896134747631173013e+03,7.630682185853892179e+02
9.896134770487624337e+03,7.630941257292615774e+02
9.896134793344077480e+03,7.631200298677473484e+02
9.896134816200528803e+03,7.631459309964891418e+02
9.896134839056981946e+03,7.631718291193757295e+02
9.896134861913433269e+03,7.631977242320507457e+02
9.896134884769886412e+03,7.632236163384020529e+02
9.896134907626339555e+03,7.632495054361348821e+02
9.896134930482790878e+03,7.632753915229550330e+02
9.896134953339244021e+03,7.633012746027491175e+02
9.896134976195695344e+03,7.633271546711634983e+02
9.896134999052148487e+03,7.633530317320836502e+02
9.896135021908599811e+03,7.633789057811568455e+02
9.896135044765052953e+03,7.634047768222676495e+02
9.896135067621504277e+03,7.634306448510646987e+02
9.896135090477957419e+03,7.634565098714313081e+02
9.896135113334408743e+03,7.634823718790172506e+02
9.896135136190861886e+03,7.635082308777050457e+02
9.896135159047313209e+03,7.635340868631453759e+02
9.896135181903766352e+03,7.635599398392197372e+02
9.896135204760219494e+03,7.635857898036368852e+02
9.896135227616670818e+03,7.636116367541065983e+02
9.896135250473123961e+03,7.636374806945092359e+02
9.896135273329575284e+03,7.636633216204974133e+02
9.896135296186028427e+03,7.636891595359512621e+02
9.896135319042479750e+03,7.637149944365243073e+02
9.896135341898932893e+03,7.637408263260955437e+02
9.896135364755384217e+03,7.637666552003200877e+02
9.896135387611837359e+03,7.637924810630752290e+02
9.896135410468288683e+03,7.638183039100174483e+02
9.896135433324741825e+03,7.638441237450233530e+02
9.896135456181194968e+03,7.638699405658045407e+02
9.896135479037646292e+03,7.638957543700735187e+02
9.896135501894099434e+03,7.639215651617057574e+02
9.896135524750550758e+03,7.639473729363598977e+02
9.896135547607003900e+03,7.639731776979105007e+02
9.896135570463455224e+03,7.639989794420170028e+02
9.896135593319908367e+03,7.640247781725535106e+02
9.896135616176359690e+03,7.640505738851801425e+02
9.896135639032812833e+03,7.640763665837697545e+02
9.896135661889264156e+03,7.641021562639841704e+02
9.896135684745717299e+03,7.641279429296953367e+02
9.896135707602170442e+03,7.641537265786173521e+02
9.896135730458621765e+03,7.641795072084660205e+02
9.896135753315074908e+03,7.642052848231116968e+02
9.896135776171526231e+03,7.642310594182184786e+02
9.896135799027979374e+03,7.642568309976561522e+02
9.896135821884430698e+03,7.642825995570897248e+02
9.896135844740883840e+03,7.643083651003878458e+02
9.896135867597335164e+03,7.643341276232170003e+02
9.896135890453788306e+03,7.643598871294445871e+02
9.896135913310239630e+03,7.643856436147381146e+02
9.896135936166692773e+03,7.644113970829641858e+02
9.896135959023145915e+03,7.644371475318405373e+02
9.896135981879597239e+03,7.644628949590853608e+02
9.896136004736050381e+03,7.644886393685643498e+02
9.896136027592501705e+03,7.645143807559469451e+02
9.896136050448954848e+03,7.645401191250979309e+02
9.896136073305406171e+03,7.645658544716883398e+02
9.896136096161859314e+03,7.645915867995813642e+02
9.896136119018310637e+03,7.646173161044492872e+02
9.896136141874763780e+03,7.646430423901543918e+02
9.896136164731215104e+03,7.646687656523698706e+02
9.896136187587668246e+03,7.646944858949575519e+02
9.896136210444119570e+03,7.647202031135910829e+02
9.896136233300572712e+03,7.647459173121314961e+02
9.896136256157025855e+03,7.647716284882999389e+02
9.896136279013477179e+03,7.647973366398178996e+02
9.896136301869930321e+03,7.648230417705452737e+02
9.896136324726381645e+03,7.648487438761584372e+02
9.896136347582834787e+03,7.648744429605158075e+02
9.896136370439286111e+03,7.649001390192947838e+02
9.896136393295739254e+03,7.649258320563535563e+02
9.896136416152190577e+03,7.649515220673703197e+02
9.896136439008643720e+03,7.649772090562021276e+02
9.896136461865095043e+03,7.650028930185278568e+02
9.896136484721548186e+03,7.650285739582041060e+02
9.896136507578001329e+03,7.650542518729542962e+02
9.896136530434452652e+03,7.650799267605033265e+02
9.896136553290905795e+03,7.651055986247060900e+02
9.896136576147357118e+03,7.651312674612444198e+02
9.896136599003810261e+03,7.651569332739717311e+02
9.896136621860261585e+03,7.651825960585715620e+02
9.896136644716714727e+03,7.652082558188960775e+02
9.896136667573166051e+03,7.652339125506297250e+02
9.896136690429619193e+03,7.652595662576243285e+02
9.896136713286070517e+03,7.652852169355645628e+02
9.896136736142523660e+03,7.653108645883020245e+02
9.896136758998976802e+03,7.653365092135630903e+02
9.896136781855428126e+03,7.653621508090755015e+02
9.896136804711881268e+03,7.653877893786890354e+02
9.896136827568332592e+03,7.654134249180912093e+02
9.896136850424785735e+03,7.654390574311306636e+02
9.896136873281237058e+03,7.654646869134962799e+02
9.896136896137690201e+03,7.654903133690355617e+02
9.896136918994141524e+03,7.655159367934381862e+02
9.896136941850594667e+03,7.655415571905508614e+02
9.896136964707045991e+03,7.655671745560645149e+02
9.896136987563499133e+03,7.655927888938248316e+02
9.896137010419950457e+03,7.656184001995238759e+02
9.896137033276403599e+03,7.656440084770063095e+02
9.896137056132856742e+03,7.656696137240027156e+02
9.896137078989308066e+03,7.656952159382441323e+02
9.896137101845761208e+03,7.657208151235740843e+02
9.896137124702212532e+03,7.657464112756872510e+02
9.896137147558665674e+03,7.657720043984262475e+02
9.896137170415116998e+03,7.657975944874860943e+02
9.896137193271570140e+03,7.658231815467089518e+02
9.896137216128021464e+03,7.658487655717908638e+02
9.896137238984474607e+03,7.658743465665727399e+02
9.896137261840925930e+03,7.658999245267521019e+02
9.896137284697379073e+03,7.659254994561686090e+02
9.896137307553832215e+03,7.659510713525560277e+02
9.896137330410283539e+03,7.659766402136482384e+02
9.896137353266736682e+03,7.660022060432838771e+02
