Time (BJD_TBD - 2450000), F_star + F_h (mJy)
1.013335404310241574e+04,2.557575345051893656e+00
1.013335406402117405e+04,2.557575344833192599e+00
1.013335408493993236e+04,2.557575344614491097e+00
1.013335410585869067e+04,2.557575344395788708e+00
1.013335412677745080e+04,2.557575344177084986e+00
1.013335414769620911e+04,2.557575343958379932e+00
1.013335416861496742e+04,2.557575343739674878e+00
1.013335418953372573e+04,2.557575343520968048e+00
1.013335421045248404e+04,2.557575343302260329e+00
1.013335423137124235e+04,2.557575343083551722e+00
1.013335425229000066e+04,2.557575342864842227e+00
1.013335427320876079e+04,2.557575342646131844e+00
1.013335429412751910e+04,2.557575342427420129e+00
1.013335431504627741e+04,2.557575342208707081e+00
1.013335433596503572e+04,2.557575341989994033e+00
1.013335435688379403e+04,2.557575341771279653e+00
1.013335437780255234e+04,2.557575341552563941e+00
1.013335439872131064e+04,2.557575341333847785e+00
1.013335441964006895e+04,2.557575341115130296e+00
1.013335444055882908e+04,2.557575340896411920e+00
1.013335446147758739e+04,2.557575340677692211e+00
1.013335448239634570e+04,2.557575340458971613e+00
1.013335450331510401e+04,2.557575340240250128e+00
1.013335452423386232e+04,2.557575340021527754e+00
1.013335454515262063e+04,2.557575339802804493e+00
1.013335456607137894e+04,2.557575339584079899e+00
1.013335458699013725e+04,2.557575339365354861e+00
1.013335460790889738e+04,2.557575339146628490e+00
1.013335462882765569e+04,2.557575338927901232e+00
1.013335464974641400e+04,2.557575338709172641e+00
1.013335467066517231e+04,2.557575338490443162e+00
1.013335469158393062e+04,2.557575338271712795e+00
1.013335471250268893e+04,2.557575338052981984e+00
1.013335473342144724e+04,2.557575337834249396e+00
1.013335475434020555e+04,2.557575337615515920e+00
1.013335477525896567e+04,2.557575337396782444e+00
1.013335479617772398e+04,2.557575337178046748e+00
1.013335481709648229e+04,2.557575336959310608e+00
1.013335483801524060e+04,2.557575336740573579e+00
1.013335485893399891e+04,2.557575336521835219e+00
1.013335487985275722e+04,2.557575336303096414e+00
1.013335490077151553e+04,2.557575336084355833e+00
1.013335492169027384e+04,2.557575335865614807e+00
1.013335494260903397e+04,2.557575335646872894e+00
1.013335496352779228e+04,2.557575335428129204e+00
1.013335498444655059e+04,2.557575335209385070e+00
1.013335500536530890e+04,2.557575334990640048e+00
1.013335502628406721e+04,2.557575334771894138e+00
1.013335504720282552e+04,2.557575334553146895e+00
1.013335506812158383e+04,2.557575334334398764e+00
1.013335508904034396e+04,2.557575334115650190e+00
1.013335510995910226e+04,2.557575333896900283e+00
1.013335513087786057e+04,2.557575333678149043e+00
1.013335515179661888e+04,2.557575333459397360e+00
1.013335517271537719e+04,2.557575333240644344e+00
1.013335519363413550e+04,2.557575333021889996e+00
1.013335521455289381e+04,2.557575332803135204e+00
1.013335523547165212e+04,2.557575332584379080e+00
1.013335525639041225e+04,2.557575332365622067e+00
1.013335527730917056e+04,2.557575332146864611e+00
1.013335529822792887e+04,2.557575331928105822e+00
1.013335531914668718e+04,2.557575331709345701e+00
1.013335534006544549e+04,2.557575331490584691e+00
1.013335536098420380e+04,2.557575331271822794e+00
1.013335538190296211e+04,2.557575331053059564e+00
1.013335540282172042e+04,2.557575330834296334e+00
1.013335542374048055e+04,2.557575330615531328e+00
1.013335544465923886e+04,2.557575330396765878e+00
1.013335546557799717e+04,2.557575330177999096e+00
1.013335548649675547e+04,2.557575329959230981e+00
1.013335550741551378e+04,2.557575329740461978e+00
1.013335552833427209e+04,2.557575329521692531e+00
1.013335554925303040e+04,2.557575329302921752e+00
1.013335557017178871e+04,2.557575329084150084e+00
1.013335559109054884e+04,2.557575328865377084e+00
1.013335561200930715e+04,2.557575328646603197e+00
1.013335563292806546e+04,2.557575328427828865e+00
1.013335565384682377e+04,2.557575328209053644e+00
1.013335567476558208e+04,2.557575327990276648e+00
1.013335569568434039e+04,2.557575327771498763e+00
1.013335571660309870e+04,2.557575327552720434e+00
1.013335573752185701e+04,2.557575327333940329e+00
1.013335575844061714e+04,2.557575327115160224e+00
1.013335577935937545e+04,2.557575326896378787e+00
1.013335580027813376e+04,2.557575326677596017e+00
1.013335582119689207e+04,2.557575326458812359e+00
1.013335584211565038e+04,2.557575326240027813e+00
1.013335586303440869e+04,2.557575326021242379e+00
1.013335588395316699e+04,2.557575325802455612e+00
1.013335590487192530e+04,2.557575325583667958e+00
1.013335592579068543e+04,2.557575325364879859e+00
1.013335594670944374e+04,2.557575325146090428e+00
1.013335596762820205e+04,2.557575324927299665e+00
1.013335598854696036e+04,2.557575324708508457e+00
1.013335600946571867e+04,2.557575324489716362e+00
1.013335603038447698e+04,2.557575324270922934e+00
1.013335605130323529e+04,2.557575324052128174e+00
1.013335607222199542e+04,2.557575323833332526e+00
1.013335609314075373e+04,2.557575323614536433e+00
1.013335611405951204e+04,2.557575323395739009e+00
1.013335613497827035e+04,2.557575323176940696e+00
1.013335615589702866e+04,2.557575322958141051e+00
1.013335617681578697e+04,2.557575322739340962e+00
1.013335619773454528e+04,2.557575322520539540e+00
1.013335621865330359e+04,2.557575322301737675e+00
1.013335623957206371e+04,2.557575322082934033e+00
1.013335626049082202e+04,2.557575321864129947e+00
1.013335628140958033e+04,2.557575321645324529e+00
1.013335630232833864e+04,2.557575321426518666e+00
1.013335632324709695e+04,2.557575321207711472e+00
1.013335634416585526e+04,2.557575320988903389e+00
1.013335636508461357e+04,2.557575320770093974e+00
1.013335638600337188e+04,2.557575320551283227e+00
1.013335640692213201e+04,2.557575320332472479e+00
1.013335642784089032e+04,2.557575320113660400e+00
1.013335644875964863e+04,2.557575319894846988e+00
1.013335646967840694e+04,2.557575319676033132e+00
1.013335649059716525e+04,2.557575319457217944e+00
1.013335651151592356e+04,2.557575319238401867e+00
1.013335653243468187e+04,2.557575319019584459e+00
1.013335655335344018e+04,2.557575318800766606e+00
1.013335657427220031e+04,2.557575318581947865e+00
1.013335659519095861e+04,2.557575318363127792e+00
1.013335661610971692e+04,2.557575318144306387e+00
1.013335663702847523e+04,2.557575317925484537e+00
1.013335665794723354e+04,2.557575317706661799e+00
1.013335667886599185e+04,2.557575317487837729e+00
1.013335669978475016e+04,2.557575317269012771e+00
1.013335672070350847e+04,2.557575317050186481e+00
1.013335674162226860e+04,2.557575316831359746e+00
1.013335676254102691e+04,2.557575316612532124e+00
1.013335678345978522e+04,2.557575316393702725e+00
1.013335680437854353e+04,2.557575316174872881e+00
1.013335682529730184e+04,2.557575315956042150e+00
1.013335684621606015e+04,2.557575315737210087e+00
1.013335686713481846e+04,2.557575315518377579e+00
1.013335688805357859e+04,2.557575315299543739e+00
1.013335690897233690e+04,2.557575315080709011e+00
1.013335692989109521e+04,2.557575314861872950e+00
1.013335695080985352e+04,2.557575314643036446e+00
1.013335697172861182e+04,2.557575314424198609e+00
1.013335699264737013e+04,2.557575314205359884e+00
1.013335701356612844e+04,2.557575313986519827e+00
1.013335703448488675e+04,2.557575313767679326e+00
1.013335705540364688e+04,2.557575313548837492e+00
1.013335707632240519e+04,2.557575313329994771e+00
1.013335709724116350e+04,2.557575313111151161e+00
1.013335711815992181e+04,2.557575312892306663e+00
1.013335713907868012e+04,2.557575312673460832e+00
1.013335715999743843e+04,2.557575312454614114e+00
1.013335718091619674e+04,2.557575312235766951e+00
1.013335720183495505e+04,2.557575312016917568e+00
1.013335722275371518e+04,2.557575311798068185e+00
1.013335724367247349e+04,2.557575311579217914e+00
1.013335726459123180e+04,2.557575311360365866e+00
1.013335728550999011e+04,2.557575311141513374e+00
1.013335730642874842e+04,2.557575310922659995e+00
1.013335732734750673e+04,2.557575310703805727e+00
1.013335734826626503e+04,2.557575310484950126e+00
1.013335736918502334e+04,2.557575310266093638e+00
1.013335739010378347e+04,2.557575310047236261e+00
1.013335741102254178e+04,2.557575309828377552e+00
1.013335743194130009e+04,2.557575309609518399e+00
1.013335745286005840e+04,2.557575309390657914e+00
1.013335747377881671e+04,2.557575309171796096e+00
1.013335749469757502e+04,2.557575308952933835e+00
1.013335751561633333e+04,2.557575308734070685e+00
1.013335753653509164e+04,2.557575308515206203e+00
1.013335755745385177e+04,2.557575308296340832e+00
1.013335757837261008e+04,2.557575308077474574e+00
1.013335759929136839e+04,2.557575307858606983e+00
1.013335762021012670e+04,2.557575307639738948e+00
1.013335764112888501e+04,2.557575307420869581e+00
1.013335766204764332e+04,2.557575307201999326e+00
1.013335768296640163e+04,2.557575306983127739e+00
1.013335770388516175e+04,2.557575306764255707e+00
1.013335772480392006e+04,2.557575306545382343e+00
1.013335774572267837e+04,2.557575306326508091e+00
1.013335776664143668e+04,2.557575306107632951e+00
1.013335778756019499e+04,2.557575305888756922e+00
1.013335780847895330e+04,2.557575305669880006e+00
1.013335782939771161e+04,2.557575305451001313e+00
1.013335785031646992e+04,2.557575305232122176e+00
1.013335787123523005e+04,2.557575305013242151e+00
1.013335789215398836e+04,2.557575304794360793e+00
1.013335791307274667e+04,2.557575304575478992e+00
1.013335793399150498e+04,2.557575304356595414e+00
1.013335795491026329e+04,2.557575304137711836e+00
1.013335797582902160e+04,2.557575303918826481e+00
1.013335799674777991e+04,2.557575303699940683e+00
1.013335801766653822e+04,2.557575303481053552e+00
1.013335803858529835e+04,2.557575303262165534e+00
1.013335805950405665e+04,2.557575303043276183e+00
1.013335808042281496e+04,2.557575302824386387e+00
1.013335810134157327e+04,2.557575302605495704e+00
1.013335812226033158e+04,2.557575302386603688e+00
1.013335814317908989e+04,2.557575302167710785e+00
1.013335816409784820e+04,2.557575301948816549e+00
1.013335818501660651e+04,2.557575301729921868e+00
1.013335820593536664e+04,2.557575301511025856e+00
1.013335822685412495e+04,2.557575301292129399e+00
1.013335824777288326e+04,2.557575301073231167e+00
1.013335826869164157e+04,2.557575300854332490e+00
1.013335828961039988e+04,2.557575300635432480e+00
1.013335831052915819e+04,2.557575300416532027e+00
1.013335833144791650e+04,2.557575300197629797e+00
1.013335835236667481e+04,2.557575299978727124e+00
1.013335837328543494e+04,2.557575299759823562e+00
1.013335839420419325e+04,2.557575299540918667e+00
1.013335841512295156e+04,2.557575299322012885e+00
1.013335843604170987e+04,2.557575299103106214e+00
1.013335845696046817e+04,2.557575298884198212e+00
1.013335847787922648e+04,2.557575298665289321e+00
1.013335849879798479e+04,2.557575298446379986e+00
1.013335851971674492e+04,2.557575298227469318e+00
1.013335854063550323e+04,2.557575298008557763e+00
1.013335856155426154e+04,2.557575297789644875e+00
1.013335858247301985e+04,2.557575297570731099e+00
1.013335860339177816e+04,2.557575297351816879e+00
1.013335862431053647e+04,2.557575297132901326e+00
1.013335864522929478e+04,2.557575296913984442e+00
1.013335866614805309e+04,2.557575296695067557e+00
1.013335868706681322e+04,2.557575296476148452e+00
1.013335870798557153e+04,2.557575296257228903e+00
1.013335872890432984e+04,2.557575296038308466e+00
1.013335874982308815e+04,2.557575295819387140e+00
1.013335877074184646e+04,2.557575295600464926e+00
1.013335879166060477e+04,2.557575295381541380e+00
1.013335881257936308e+04,2.557575295162616502e+00
1.013335883349812138e+04,2.557575294943690736e+00
1.013335885441688151e+04,2.557575294724764525e+00
1.013335887533563982e+04,2.557575294505836982e+00
1.013335889625439813e+04,2.557575294286908996e+00
1.013335891717315644e+04,2.557575294067979232e+00
1.013335893809191475e+04,2.557575293849049025e+00
1.013335895901067306e+04,2.557575293630117486e+00
1.013335897992943137e+04,2.557575293411185502e+00
1.013335900084818968e+04,2.557575293192252186e+00
1.013335902176694981e+04,2.557575292973317538e+00
1.013335904268570812e+04,2.557575292754382446e+00
1.013335906360446643e+04,2.557575292535446465e+00
1.013335908452322474e+04,2.557575292316509152e+00
1.013335910544198305e+04,2.557575292097570951e+00
1.013335912636074136e+04,2.557575291878631862e+00
1.013335914727949967e+04,2.557575291659691885e+00
1.013335916819825798e+04,2.557575291440750131e+00
1.013335918911701810e+04,2.557575291221807934e+00
1.013335921003577641e+04,2.557575291002865292e+00
1.013335923095453472e+04,2.557575290783920430e+00
1.013335925187329303e+04,2.557575290564975568e+00
1.013335927279205134e+04,2.557575290346029373e+00
1.013335929371080965e+04,2.557575290127082734e+00
1.013335931462956796e+04,2.557575289908134764e+00
1.013335933554832809e+04,2.557575289689185016e+00
1.013335935646708640e+04,2.557575289470235713e+00
1.013335937738584471e+04,2.557575289251284190e+00
1.013335939830460302e+04,2.557575289032332222e+00
1.013335941922336133e+04,2.557575288813379366e+00
1.013335944014211964e+04,2.557575288594425178e+00
1.013335946106087795e+04,2.557575288375470546e+00
1.013335948197963626e+04,2.557575288156514581e+00
1.013335950289839639e+04,2.557575287937557729e+00
1.013335952381715470e+04,2.557575287718599544e+00
1.013335954473591300e+04,2.557575287499640915e+00
1.013335956565467131e+04,2.557575287280680509e+00
1.013335958657342962e+04,2.557575287061720104e+00
1.013335960749218793e+04,2.557575286842757922e+00
1.013335962841094624e+04,2.557575286623795296e+00
1.013335964932970455e+04,2.557575286404831338e+00
1.013335967024846468e+04,2.557575286185866492e+00
1.013335969116722299e+04,2.557575285966900758e+00
1.013335971208598130e+04,2.557575285747933691e+00
1.013335973300473961e+04,2.557575285528966180e+00
1.013335975392349792e+04,2.557575285309997337e+00
1.013335977484225623e+04,2.557575285091027606e+00
1.013335979576101454e+04,2.557575284872056987e+00
1.013335981667977285e+04,2.557575284653085479e+00
1.013335983759853298e+04,2.557575284434112639e+00
1.013335985851729129e+04,2.557575284215138911e+00
1.013335987943604960e+04,2.557575283996164295e+00
1.013335990035480791e+04,2.557575283777188790e+00
1.013335992127356621e+04,2.557575283558211954e+00
1.013335994219232452e+04,2.557575283339234673e+00
1.013335996311108283e+04,2.557575283120256060e+00
1.013335998402984114e+04,2.557575282901276115e+00
1.013336000494860127e+04,2.557575282682296169e+00
1.013336002586735958e+04,2.557575282463314004e+00
1.013336004678611789e+04,2.557575282244331394e+00
1.013336006770487620e+04,2.557575282025348340e+00
1.013336008862363451e+04,2.557575281806363510e+00
1.013336010954239282e+04,2.557575281587378235e+00
1.013336013046115113e+04,2.557575281368391629e+00
1.013336015137991126e+04,2.557575281149404578e+00
1.013336017229866957e+04,2.557575280930415751e+00
1.013336019321742788e+04,2.557575280711426480e+00
1.013336021413618619e+04,2.557575280492435876e+00
1.013336023505494450e+04,2.557575280273444829e+00
1.013336025597370281e+04,2.557575280054452005e+00
1.013336027689246112e+04,2.557575279835458737e+00
1.013336029781121943e+04,2.557575279616465025e+00
1.013336031872997955e+04,2.557575279397469536e+00
1.013336033964873786e+04,2.557575279178473160e+00
1.013336036056749617e+04,2.557575278959475895e+00
1.013336038148625448e+04,2.557575278740477298e+00
1.013336040240501279e+04,2.557575278521478701e+00
1.013336042332377110e+04,2.557575278302478328e+00
1.013336044424252941e+04,2.557575278083477066e+00
1.013336046516128772e+04,2.557575277864474472e+00
1.013336048608004785e+04,2.557575277645471878e+00
1.013336050699880616e+04,2.557575277426467508e+00
1.013336052791756447e+04,2.557575277207462250e+00
1.013336054883632278e+04,2.557575276988456103e+00
1.013336056975508109e+04,2.557575276769449069e+00
1.013336059067383940e+04,2.557575276550440702e+00
1.013336061159259771e+04,2.557575276331431446e+00
1.013336063251135602e+04,2.557575276112421747e+00
1.013336065343011614e+04,2.557575275893411160e+00
1.013336067434887445e+04,2.557575275674398796e+00
1.013336069526763276e+04,2.557575275455385544e+00
1.013336071618639107e+04,2.557575275236371848e+00
1.013336073710514938e+04,2.557575275017356375e+00
1.013336075802390769e+04,2.557575274798340903e+00
1.013336077894266600e+04,2.557575274579323654e+00
1.013336079986142431e+04,2.557575274360305961e+00
1.013336082078018444e+04,2.557575274141287380e+00
1.013336084169894275e+04,2.557575273922267023e+00
1.013336086261770106e+04,2.557575273703246221e+00
1.013336088353645937e+04,2.557575273484224088e+00
1.013336090445521768e+04,2.557575273265201510e+00
1.013336092537397599e+04,2.557575273046177600e+00
1.013336094629273430e+04,2.557575272827152801e+00
1.013336096721149443e+04,2.557575272608127115e+00
1.013336098813025274e+04,2.557575272389100540e+00
1.013336100904901105e+04,2.557575272170072189e+00
1.013336102996776935e+04,2.557575271951043838e+00
1.013336105088652766e+04,2.557575271732014155e+00
1.013336107180528597e+04,2.557575271512983583e+00
1.013336109272404428e+04,2.557575271293951236e+00
1.013336111364280259e+04,2.557575271074918888e+00
1.013336113456156272e+04,2.557575270855885208e+00
