Time (BJD_TBD - 2450000), L_b/L_star (ppm)
9.881162779760736157e+03,8.198417968728805363e+02
9.881166628913013483e+03,8.205513252628391001e+02
9.881170478065288989e+03,8.211559751578041642e+02
9.881174327217566315e+03,0.000000000000000000e+00
9.881178176369841822e+03,0.000000000000000000e+00
9.881182025522119147e+03,0.000000000000000000e+00
9.881185874674394654e+03,0.000000000000000000e+00
9.881189723826671980e+03,0.000000000000000000e+00
9.881193572978947486e+03,0.000000000000000000e+00
9.881197422131224812e+03,0.000000000000000000e+00
9.881201271283500319e+03,0.000000000000000000e+00
9.881205120435775825e+03,0.000000000000000000e+00
9.881208969588053151e+03,8.214134105289126637e+02
9.881212818740328657e+03,8.208601025226137153e+02
9.881216667892605983e+03,8.202018368907999957e+02
9.881220517044881490e+03,8.194387823282482941e+02
9.881224366197158815e+03,8.185711343827185829e+02
9.881228215349434322e+03,8.175991154077255487e+02
9.881232064501711648e+03,8.165229745022749057e+02
9.881235913653987154e+03,8.153429874507027080e+02
9.881239762806262661e+03,8.140594566485619907e+02
9.881243611958539987e+03,8.126727110264331486e+02
9.881247461110815493e+03,8.111831059678147540e+02
9.881251310263092819e+03,8.095910232133410318e+02
9.881255159415368325e+03,8.078968707685828576e+02
9.881259008567645651e+03,8.061010827934712779e+02
9.881262857719921158e+03,8.042041194974369773e+02
9.881266706872198483e+03,8.022064670146853587e+02
9.881270556024473990e+03,8.001086372867847558e+02
9.881274405176749497e+03,7.979111679249820099e+02
9.881278254329026822e+03,7.956146220750479188e+02
9.881282103481302329e+03,7.932195882764279986e+02
9.881285952633579655e+03,7.907266803037034606e+02
9.881289801785855161e+03,7.881365370183521009e+02
9.881293650938132487e+03,7.854498221956037014e+02
9.881297500090407993e+03,7.826672243641251043e+02
9.881301349242685319e+03,7.797894566194137269e+02
9.881305198394960826e+03,7.768172564515716658e+02
9.881309047547236332e+03,7.737513855468999964e+02
9.881312896699513658e+03,7.705926295965832651e+02
9.881316745851789165e+03,7.673417981000159216e+02
9.881320595004066490e+03,7.639997241467946196e+02
9.881324444156341997e+03,7.605672642155079757e+02
9.881328293308619322e+03,7.570452979416176049e+02
9.881332142460894829e+03,7.534347279050019779e+02
9.881335991613172155e+03,7.497364793853439551e+02
9.881339840765447661e+03,7.459515001386540689e+02
9.881343689917723168e+03,7.420807601422586686e+02
9.881347539070000494e+03,7.381252513512853284e+02
9.881351388222276000e+03,7.340859874502415323e+02
9.881355237374553326e+03,7.299640035800554188e+02
9.881359086526828833e+03,7.257603560880678515e+02
9.881362935679106158e+03,7.214761222417399722e+02
9.881366784831381665e+03,7.171123999684698447e+02
9.881370633983658990e+03,7.126703075580342102e+02
9.881374483135934497e+03,7.081509833924964141e+02
9.881378332288210004e+03,7.035555856398726746e+02
9.881382181440487329e+03,6.988852919634601903e+02
9.881386030592762836e+03,6.941412992268230937e+02
9.881389879745040162e+03,6.893248231715333532e+02
9.881393728897315668e+03,6.844370981235446152e+02
9.881397578049592994e+03,6.794793766586652737e+02
9.881401427201868501e+03,6.744529293000317693e+02
9.881405276354145826e+03,6.693590441737784431e+02
9.881409125506421333e+03,6.641990266979195212e+02
9.881412974658698658e+03,6.589741992285607921e+02
9.881416823810974165e+03,6.536859007405197417e+02
9.881420672963249672e+03,6.483354864669805693e+02
9.881424522115526997e+03,6.429243275594618581e+02
9.881428371267802504e+03,6.374538107442343744e+02
9.881432220420079830e+03,6.319253379489742883e+02
9.881436069572355336e+03,6.263403259641684144e+02
9.881439918724632662e+03,6.207002060591354393e+02
9.881443767876908169e+03,6.150064236363429018e+02
9.881447617029185494e+03,6.092604378396765696e+02
9.881451466181461001e+03,6.034637212020247716e+02
9.881455315333736507e+03,5.976177592489676726e+02
9.881459164486013833e+03,5.917240501261178451e+02
9.881463013638289340e+03,5.857841042236573230e+02
9.881466862790566665e+03,5.797994437697094554e+02
9.881470711942842172e+03,5.737716024626957960e+02
9.881474561095119498e+03,5.677021250556707628e+02
9.881478410247395004e+03,5.615925669832286076e+02
9.881482259399672330e+03,5.554444939399561463e+02
9.881486108551947837e+03,5.492594815022761168e+02
9.881489957704223343e+03,5.430391147043878846e+02
9.881493806856500669e+03,5.367849876407085503e+02
9.881497656008776175e+03,5.304987030662947518e+02
9.881501505161053501e+03,5.241818719653772405e+02
9.881505354313329008e+03,5.178361131622755238e+02
9.881509203465606333e+03,5.114630528826629643e+02
9.881513052617881840e+03,5.050643243607999011e+02
9.881516901770159166e+03,4.986415673968940041e+02
9.881520750922434672e+03,4.921964279610513131e+02
9.881524600074710179e+03,4.857305577502530696e+02
9.881528449226987505e+03,4.792456137741251041e+02
9.881532298379263011e+03,4.727432579395412517e+02
9.881536147531540337e+03,4.662251566032464893e+02
