Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.905197315693216296e+03,1.283292787591651347e+02
9.905197337022897045e+03,1.283177451664313082e+02
9.905197358352575975e+03,1.283062118965272305e+02
9.905197379682254905e+03,1.282946789485046111e+02
9.905197401011933835e+03,1.282831463223989203e+02
9.905197422341612764e+03,1.282716140182453159e+02
9.905197443671291694e+03,1.282600820360790976e+02
9.905197465000972443e+03,1.282485503749523161e+02
9.905197486330651373e+03,1.282370190368669398e+02
9.905197507660330302e+03,1.282254880208749626e+02
9.905197528990009232e+03,1.282139573270117978e+02
9.905197550319688162e+03,1.282024269553126317e+02
9.905197571649368911e+03,1.281908969048294011e+02
9.905197592979047840e+03,1.281793671775642167e+02
9.905197614308726770e+03,1.281678377725689586e+02
9.905197635638405700e+03,1.281563086898788413e+02
9.905197656968084630e+03,1.281447799295293066e+02
9.905197678297763559e+03,1.281332514915557113e+02
9.905197699627444308e+03,1.281217233750100490e+02
9.905197720957123238e+03,1.281101955818940894e+02
9.905197742286802168e+03,1.280986681112599115e+02
9.905197763616481097e+03,1.280871409631427014e+02
9.905197784946160027e+03,1.280756141375779578e+02
9.905197806275840776e+03,1.280640876336179019e+02
9.905197827605519706e+03,1.280525614532637064e+02
9.905197848935198635e+03,1.280410355955677630e+02
9.905197870264877565e+03,1.280295100605654852e+02
9.905197891594556495e+03,1.280179848482920590e+02
9.905197912924235425e+03,1.280064599587827274e+02
9.905197934253916173e+03,1.279949353910900527e+02
9.905197955583595103e+03,1.279834111472148805e+02
9.905197976913274033e+03,1.279718872262097165e+02
9.905197998242952963e+03,1.279603636281099739e+02
9.905198019572631893e+03,1.279488403529508389e+02
9.905198040902312641e+03,1.279373173997848170e+02
9.905198062231991571e+03,1.279257947706127538e+02
9.905198083561670501e+03,1.279142724644870981e+02
9.905198104891349431e+03,1.279027504814432632e+02
9.905198126221028360e+03,1.278912288215163642e+02
9.905198147550709109e+03,1.278797074837593470e+02
9.905198168880388039e+03,1.278681864701724038e+02
9.905198190210066969e+03,1.278566657798084378e+02
9.905198211539745898e+03,1.278451454127026210e+02
9.905198232869424828e+03,1.278336253688901394e+02
9.905198254199103758e+03,1.278221056484064064e+02
9.905198275528784507e+03,1.278105862503043824e+02
9.905198296858463436e+03,1.277990671765839323e+02
