Time (BJD_TBD - 2450000), F_star + F_e (mJy)
1.061386530092591420e+04,2.653067081875331024e+00
1.061386531688121431e+04,2.653067085548007409e+00
1.061386533283651261e+04,2.653067089220697117e+00
1.061386534879181272e+04,2.653067092893400147e+00
1.061386536474711102e+04,2.653067096566115612e+00
1.061386538070241113e+04,2.653067100238845732e+00
1.061386539665770943e+04,2.653067103911587399e+00
1.061386541261300954e+04,2.653067107584343720e+00
1.061386542856830783e+04,2.653067111257112476e+00
1.061386544452360795e+04,2.653067114929895443e+00
1.061386546047890624e+04,2.653067118602690844e+00
1.061386547643420636e+04,2.653067122275500012e+00
1.061386549238950465e+04,2.653067125948322058e+00
1.061386550834480477e+04,2.653067129621157427e+00
1.061386552430010306e+04,2.653067133294006119e+00
1.061386554025540318e+04,2.653067136966868134e+00
1.061386555621070147e+04,2.653067140639743471e+00
1.061386557216600158e+04,2.653067144312632131e+00
1.061386558812129988e+04,2.653067147985533669e+00
1.061386560407659999e+04,2.653067151658448530e+00
1.061386562003189829e+04,2.653067155331376714e+00
1.061386563598719840e+04,2.653067159004318221e+00
1.061386565194249670e+04,2.653067162677272162e+00
1.061386566789779681e+04,2.653067166350240313e+00
1.061386568385309511e+04,2.653067170023221788e+00
1.061386569980839522e+04,2.653067173696216141e+00
1.061386571576369352e+04,2.653067177369223817e+00
1.061386573171899363e+04,2.653067181042244371e+00
1.061386574767429192e+04,2.653067184715278692e+00
1.061386576362959204e+04,2.653067188388326336e+00
1.061386577958489033e+04,2.653067192061386415e+00
1.061386579554019045e+04,2.653067195734460260e+00
1.061386581149549056e+04,2.653067199407547427e+00
1.061386582745078886e+04,2.653067203080647474e+00
1.061386584340608897e+04,2.653067206753761287e+00
1.061386585936138727e+04,2.653067210426887979e+00
1.061386587531668738e+04,2.653067214100027993e+00
1.061386589127198567e+04,2.653067217773180886e+00
1.061386590722728579e+04,2.653067221446347546e+00
1.061386592318258408e+04,2.653067225119526640e+00
1.061386593913788420e+04,2.653067228792719945e+00
1.061386595509318249e+04,2.653067232465926129e+00
1.061386597104848261e+04,2.653067236139145635e+00
1.061386598700378090e+04,2.653067239812377576e+00
1.061386600295908102e+04,2.653067243485623727e+00
1.061386601891437931e+04,2.653067247158882314e+00
1.061386603486967942e+04,2.653067250832154667e+00
1.061386605082497772e+04,2.653067254505440342e+00
1.061386606678027783e+04,2.653067258178738896e+00
1.061386608273557613e+04,2.653067261852050329e+00
1.061386609869087624e+04,2.653067265525375529e+00
1.061386611464617454e+04,2.653067269198713607e+00
1.061386613060147465e+04,2.653067272872065008e+00
1.061386614655677295e+04,2.653067276545429731e+00
1.061386616251207306e+04,2.653067280218807777e+00
1.061386617846737136e+04,2.653067283892199146e+00
1.061386619442267147e+04,2.653067287565603394e+00
1.061386621037796976e+04,2.653067291239020520e+00
1.061386622633326988e+04,2.653067294912451857e+00
1.061386624228856817e+04,2.653067298585895184e+00
1.061386625824386829e+04,2.653067302259352722e+00
1.061386627419916658e+04,2.653067305932822695e+00
1.061386629015446670e+04,2.653067309606306434e+00
1.061386630610976681e+04,2.653067313279803496e+00
1.061386632206506511e+04,2.653067316953312993e+00
1.061386633802036522e+04,2.653067320626836700e+00
1.061386635397566351e+04,2.653067324300372842e+00
1.061386636993096363e+04,2.653067327973922751e+00
1.061386638588626192e+04,2.653067331647485094e+00
