Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.880039235568363438e+03,3.649396134582221674e+00
9.880039254128088942e+03,3.649437370131347613e+00
9.880039272687816265e+03,3.649478605847024770e+00
9.880039291247541769e+03,3.649519841721172941e+00
9.880039309807269092e+03,3.649561077761869221e+00
9.880039328366994596e+03,3.649602313961032518e+00
9.880039346926721919e+03,3.649643550326743036e+00
9.880039365486447423e+03,3.649684786850914353e+00
9.880039384046174746e+03,3.649726023541629782e+00
9.880039402605900250e+03,3.649767260390805124e+00
9.880039421165625754e+03,3.649808497402479368e+00
9.880039439725353077e+03,3.649849734580693728e+00
9.880039458285078581e+03,3.649890971917359561e+00
9.880039476844805904e+03,3.649932209420563289e+00
9.880039495404531408e+03,3.649973447082218048e+00
9.880039513964258731e+03,3.650014684910404483e+00
9.880039532523984235e+03,3.650055922897039729e+00
9.880039551083711558e+03,3.650097161050205319e+00
9.880039569643437062e+03,3.650138399361813946e+00
9.880039588203164385e+03,3.650179637839950253e+00
9.880039606762889889e+03,3.650220876476526932e+00
9.880039625322617212e+03,3.650262115279627295e+00
9.880039643882342716e+03,3.650303354241165810e+00
9.880039662442068220e+03,3.650344593365182355e+00
9.880039681001795543e+03,3.650385832655719032e+00
9.880039699561521047e+03,3.650427072104688531e+00
9.880039718121248370e+03,3.650468311720172387e+00
9.880039736680973874e+03,3.650509551494087734e+00
9.880039755240701197e+03,3.650550791434514331e+00
9.880039773800426701e+03,3.650592031533368864e+00
9.880039792360154024e+03,3.650633271798732871e+00
9.880039810919879528e+03,3.650674512222518597e+00
9.880039829479606851e+03,3.650715752812810688e+00
9.880039848039332355e+03,3.650756993561524499e+00
9.880039866599059678e+03,3.650798234476740234e+00
9.880039885158785182e+03,3.650839475550374136e+00
9.880039903718510686e+03,3.650880716786466085e+00
9.880039922278238009e+03,3.650921958189054628e+00
9.880039940837963513e+03,3.650963199750056898e+00
9.880039959397690836e+03,3.651004441477553097e+00
9.880039977957416340e+03,3.651045683363459915e+00
9.880039996517143663e+03,3.651086925415856665e+00
9.880040015076869167e+03,3.651128167626660925e+00
9.880040033636596490e+03,3.651169410003954674e+00
9.880040052196321994e+03,3.651210652539648382e+00
9.880040070756049317e+03,3.651251895241828915e+00
9.880040089315774821e+03,3.651293138102409852e+00
9.880040107875502144e+03,3.651334381129471840e+00
