Time (BJD_TBD - 2450000), F_f/F_star (ppm)
9.891598245021436014e+03,1.909044262245372892e+01
9.891598267913770542e+03,1.909103674282123109e+01
9.891598290806106888e+03,1.909163087015074822e+01
9.891598313698441416e+03,1.909222500434772485e+01
9.891598336590777762e+03,1.909281914550643933e+01
9.891598359483112290e+03,1.909341329353231487e+01
9.891598382375448637e+03,1.909400744851964049e+01
9.891598405267783164e+03,1.909460161037382875e+01
9.891598428160119511e+03,1.909519577918918287e+01
9.891598451052455857e+03,1.909578995491834164e+01
9.891598473944790385e+03,1.909638413751392250e+01
9.891598496837126731e+03,1.909697832707023579e+01
9.891598519729461259e+03,1.909757252349269052e+01
9.891598542621797606e+03,1.909816672687557926e+01
9.891598565514132133e+03,1.909876093712432166e+01
9.891598588406468480e+03,1.909935515433320674e+01
9.891598611298803007e+03,1.909994937840766482e+01
9.891598634191139354e+03,1.910054360944197427e+01
9.891598657083473881e+03,1.910113784734155828e+01
9.891598679975810228e+03,1.910173209220070234e+01
9.891598702868146574e+03,1.910232634397205587e+01
9.891598725760481102e+03,1.910292060260824343e+01
9.891598748652817449e+03,1.910351486820356115e+01
9.891598771545151976e+03,1.910410914066342514e+01
9.891598794437488323e+03,1.910470342008213152e+01
9.891598817329822850e+03,1.910529770636509994e+01
9.891598840222159197e+03,1.910589199960661233e+01
9.891598863114493724e+03,1.910648629971209900e+01
9.891598886006830071e+03,1.910708060677583831e+01
9.891598908899166418e+03,1.910767492075047969e+01
9.891598931791500945e+03,1.910826924158865125e+01
9.891598954683837292e+03,1.910886356938465269e+01
9.891598977576171819e+03,1.910945790404388944e+01
9.891599000468508166e+03,1.911005224566066829e+01
9.891599023360842693e+03,1.911064659414038758e+01
9.891599046253179040e+03,1.911124094957736119e+01
9.891599069145513567e+03,1.911183531187699458e+01
9.891599092037849914e+03,1.911242968113358387e+01
9.891599114930186261e+03,1.911302405729976428e+01
9.891599137822520788e+03,1.911361844032817103e+01
9.891599160714857135e+03,1.911421283031309670e+01
9.891599183607191662e+03,1.911480722715995384e+01
9.891599206499528009e+03,1.911540163096304568e+01
9.891599229391862536e+03,1.911599604162778476e+01
9.891599252284198883e+03,1.911659045924846367e+01
9.891599275176533411e+03,1.911718488373048430e+01
9.891599298068869757e+03,1.911777931516818185e+01
9.891599320961204285e+03,1.911837375346691559e+01
9.891599343853540631e+03,1.911896819872103492e+01
9.891599366745876978e+03,1.911956265088314311e+01
9.891599389638211505e+03,1.912015710990585760e+01
9.891599412530547852e+03,1.912075157588353136e+01
9.891599435422882379e+03,1.912134604872150945e+01
9.891599458315218726e+03,1.912194052851415194e+01
9.891599481207553254e+03,1.912253501516681808e+01
9.891599504099889600e+03,1.912312950877385020e+01
9.891599526992224128e+03,1.912372400924062532e+01
9.891599549884560474e+03,1.912431851666147153e+01
9.891599572776896821e+03,1.912491303098900630e+01
9.891599595669231348e+03,1.912550755217584353e+01
9.891599618561567695e+03,1.912610208031631842e+01
9.891599641453902223e+03,1.912669661531581156e+01
9.891599664346238569e+03,1.912729115726864748e+01
9.891599687238573097e+03,1.912788570608021743e+01
9.891599710130909443e+03,1.912848026184483174e+01
9.891599733023243971e+03,1.912907482446788876e+01
9.891599755915580317e+03,1.912966939404370592e+01
9.891599778807914845e+03,1.913026397047767091e+01
9.891599801700251192e+03,1.913085855386411893e+01
9.891599824592587538e+03,1.913145314415565323e+01
9.891599847484922066e+03,1.913204774130489128e+01
9.891599870377258412e+03,1.913264234540618247e+01
9.891599893269592940e+03,1.913323695636487898e+01
9.891599916161929286e+03,1.913383157427533021e+01
9.891599939054263814e+03,1.913442619904290609e+01
9.891599961946600160e+03,1.913502083076195603e+01
9.891599984838934688e+03,1.913561546933782864e+01
