Time (BJD_TBD - 2450000), F_star + F_f (mJy)
1.027127336805546656e+04,3.658310276851887366e+00
1.027127353332662278e+04,3.658310289537532345e+00
1.027127369859778082e+04,3.658310302221496002e+00
1.027127386386893704e+04,3.658310314903779670e+00
1.027127402914009326e+04,3.658310327584382904e+00
1.027127419441124948e+04,3.658310340263306149e+00
1.027127435968240752e+04,3.658310352940547627e+00
1.027127452495356374e+04,3.658310365616108228e+00
1.027127469022471996e+04,3.658310378289987952e+00
1.027127485549587800e+04,3.658310390962186354e+00
1.027127502076703422e+04,3.658310403632703434e+00
1.027127518603819044e+04,3.658310416301538748e+00
1.027127535130934666e+04,3.658310428968692296e+00
1.027127551658050470e+04,3.658310441634163634e+00
1.027127568185166092e+04,3.658310454297952763e+00
1.027127584712281714e+04,3.658310466960060126e+00
1.027127601239397518e+04,3.658310479620484834e+00
1.027127617766513140e+04,3.658310492279226889e+00
1.027127634293628762e+04,3.658310504936286289e+00
1.027127650820744384e+04,3.658310517591662592e+00
1.027127667347860188e+04,3.658310530245356240e+00
1.027127683874975810e+04,3.658310542897366346e+00
1.027127700402091432e+04,3.658310555547692466e+00
1.027127716929207236e+04,3.658310568196335932e+00
1.027127733456322858e+04,3.658310580843294524e+00
1.027127749983438480e+04,3.658310593488570461e+00
1.027127766510554284e+04,3.658310606132161524e+00
1.027127783037669906e+04,3.658310618774069045e+00
1.027127799564785528e+04,3.658310631414292136e+00
1.027127816091901150e+04,3.658310644052830352e+00
1.027127832619016954e+04,3.658310656689683693e+00
1.027127849146132576e+04,3.658310669324853048e+00
1.027127865673248198e+04,3.658310681958336641e+00
1.027127882200364002e+04,3.658310694590134915e+00
1.027127898727479624e+04,3.658310707220247870e+00
1.027127915254595246e+04,3.658310719848675951e+00
1.027127931781710868e+04,3.658310732475418270e+00
1.027127948308826672e+04,3.658310745100473937e+00
1.027127964835942294e+04,3.658310757723844286e+00
1.027127981363057916e+04,3.658310770345528873e+00
1.027127997890173719e+04,3.658310782965525920e+00
1.027128014417289342e+04,3.658310795583837649e+00
1.027128030944404964e+04,3.658310808200462727e+00
1.027128047471520586e+04,3.658310820815400266e+00
1.027128063998636389e+04,3.658310833428651154e+00
1.027128080525752011e+04,3.658310846040214948e+00
1.027128097052867633e+04,3.658310858650091646e+00
1.027128113579983437e+04,3.658310871258281249e+00
1.027128130107099059e+04,3.658310883864782426e+00
1.027128146634214681e+04,3.658310896469596507e+00
1.027128163161330303e+04,3.658310909072722605e+00
1.027128179688446107e+04,3.658310921674160276e+00
1.027128196215561729e+04,3.658310934273909965e+00
1.027128212742677351e+04,3.658310946871971669e+00
1.027128229269793155e+04,3.658310959468344503e+00
1.027128245796908777e+04,3.658310972063028910e+00
1.027128262324024399e+04,3.658310984656024001e+00
1.027128278851140021e+04,3.658310997247329777e+00
1.027128295378255825e+04,3.658311009836946681e+00
1.027128311905371447e+04,3.658311022424874270e+00
1.027128328432487069e+04,3.658311035011112544e+00
1.027128344959602873e+04,3.658311047595661059e+00
1.027128361486718495e+04,3.658311060178520258e+00
1.027128378013834117e+04,3.658311072759688365e+00
1.027128394540949739e+04,3.658311085339166713e+00
1.027128411068065543e+04,3.658311097916955301e+00
1.027128427595181165e+04,3.658311110493052354e+00
1.027128444122296787e+04,3.658311123067459647e+00
1.027128460649412591e+04,3.658311135640176293e+00
1.027128477176528213e+04,3.658311148211201846e+00
1.027128493703643835e+04,3.658311160780535864e+00
1.027128510230759457e+04,3.658311173348179235e+00
1.027128526757875261e+04,3.658311185914130625e+00
1.027128543284990883e+04,3.658311198478390480e+00
1.027128559812106505e+04,3.658311211040958355e+00
1.027128576339222309e+04,3.658311223601835138e+00
1.027128592866337931e+04,3.658311236161019053e+00
1.027128609393453553e+04,3.658311248718510988e+00
1.027128625920569357e+04,3.658311261274311388e+00
1.027128642447684979e+04,3.658311273828418031e+00
1.027128658974800601e+04,3.658311286380832694e+00
1.027128675501916223e+04,3.658311298931554045e+00
1.027128692029032027e+04,3.658311311480582528e+00
1.027128708556147649e+04,3.658311324027917699e+00
1.027128725083263271e+04,3.658311336573560002e+00
1.027128741610379075e+04,3.658311349117508104e+00
1.027128758137494697e+04,3.658311361659763339e+00
1.027128774664610319e+04,3.658311374200324373e+00
1.027128791191725941e+04,3.658311386739190763e+00
1.027128807718841745e+04,3.658311399276363840e+00
1.027128824245957367e+04,3.658311411811842717e+00
1.027128840773072989e+04,3.658311424345626506e+00
1.027128857300188793e+04,3.658311436877716538e+00
1.027128873827304415e+04,3.658311449408110594e+00
1.027128890354420037e+04,3.658311461936810449e+00
1.027128906881535659e+04,3.658311474463815216e+00
1.027128923408651463e+04,3.658311486989124450e+00
1.027128939935767085e+04,3.658311499512739040e+00
1.027128956462882707e+04,3.658311512034657653e+00
1.027128972989998510e+04,3.658311524554879846e+00
1.027128989517114132e+04,3.658311537073406505e+00
1.027129006044229754e+04,3.658311549590237188e+00
1.027129022571345376e+04,3.658311562105371451e+00
1.027129039098461180e+04,3.658311574618810180e+00
1.027129055625576802e+04,3.658311587130551157e+00
1.027129072152692424e+04,3.658311599640596157e+00
1.027129088679808228e+04,3.658311612148944736e+00
1.027129105206923850e+04,3.658311624655595562e+00
1.027129121734039472e+04,3.658311637160549523e+00
1.027129138261155094e+04,3.658311649663805731e+00
1.027129154788270898e+04,3.658311662165365519e+00
1.027129171315386520e+04,3.658311674665226665e+00
1.027129187842502142e+04,3.658311687163390502e+00
1.027129204369617946e+04,3.658311699659856142e+00
1.027129220896733568e+04,3.658311712154623141e+00
1.027129237423849190e+04,3.658311724647692387e+00
1.027129253950964812e+04,3.658311737139063435e+00
1.027129270478080616e+04,3.658311749628735843e+00
1.027129287005196238e+04,3.658311762116709165e+00
1.027129303532311860e+04,3.658311774602983846e+00
1.027129320059427664e+04,3.658311787087559885e+00
1.027129336586543286e+04,3.658311799570435507e+00
1.027129353113658908e+04,3.658311812051612488e+00
1.027129369640774712e+04,3.658311824531089940e+00
1.027129386167890334e+04,3.658311837008866974e+00
1.027129402695005956e+04,3.658311849484944922e+00
1.027129419222121578e+04,3.658311861959322453e+00
1.027129435749237382e+04,3.658311874432000455e+00
1.027129452276353004e+04,3.658311886902977594e+00
1.027129468803468626e+04,3.658311899372253873e+00
1.027129485330584430e+04,3.658311911839830177e+00
1.027129501857700052e+04,3.658311924305704732e+00
1.027129518384815674e+04,3.658311936769879313e+00
1.027129534911931296e+04,3.658311949232352145e+00
1.027129551439047100e+04,3.658311961693123671e+00
1.027129567966162722e+04,3.658311974152194335e+00
1.027129584493278344e+04,3.658311986609563249e+00
1.027129601020394148e+04,3.658311999065229525e+00
1.027129617547509770e+04,3.658312011519194940e+00
1.027129634074625392e+04,3.658312023971457272e+00
1.027129650601741014e+04,3.658312036422018299e+00
1.027129667128856818e+04,3.658312048870876243e+00
1.027129683655972440e+04,3.658312061318031994e+00
1.027129700183088062e+04,3.658312073763484662e+00
1.027129716710203866e+04,3.658312086207235581e+00
1.027129733237319488e+04,3.658312098649282085e+00
1.027129749764435110e+04,3.658312111089625951e+00
1.027129766291550732e+04,3.658312123528265847e+00
1.027129782818666536e+04,3.658312135965203105e+00
1.027129799345782158e+04,3.658312148400436836e+00
1.027129815872897780e+04,3.658312160833966153e+00
1.027129832400013584e+04,3.658312173265791056e+00
1.027129848927129206e+04,3.658312185695912433e+00
1.027129865454244828e+04,3.658312198124329839e+00
1.027129881981360450e+04,3.658312210551042387e+00
1.027129898508476253e+04,3.658312222976050077e+00
1.027129915035591875e+04,3.658312235399353796e+00
1.027129931562707498e+04,3.658312247820951324e+00
1.027129948089823301e+04,3.658312260240844438e+00
1.027129964616938923e+04,3.658312272659032249e+00
1.027129981144054545e+04,3.658312285075514758e+00
1.027129997671170167e+04,3.658312297490291520e+00
1.027130014198285971e+04,3.658312309903362980e+00
1.027130030725401593e+04,3.658312322314728249e+00
1.027130047252517215e+04,3.658312334724386883e+00
1.027130063779633019e+04,3.658312347132339770e+00
1.027130080306748641e+04,3.658312359538586467e+00
1.027130096833864263e+04,3.658312371943126529e+00
1.027130113360980067e+04,3.658312384345960844e+00
1.027130129888095689e+04,3.658312396747086748e+00
1.027130146415211311e+04,3.658312409146506461e+00
1.027130162942326933e+04,3.658312421544218651e+00
1.027130179469442737e+04,3.658312433940224651e+00
1.027130195996558359e+04,3.658312446334522239e+00
1.027130212523673981e+04,3.658312458727111416e+00
1.027130229050789785e+04,3.658312471117994402e+00
1.027130245577905407e+04,3.658312483507168533e+00
1.027130262105021029e+04,3.658312495894634253e+00
1.027130278632136651e+04,3.658312508280392894e+00
1.027130295159252455e+04,3.658312520664442236e+00
1.027130311686368077e+04,3.658312533046783166e+00
1.027130328213483699e+04,3.658312545427415685e+00
1.027130344740599503e+04,3.658312557806338905e+00
1.027130361267715125e+04,3.658312570183553714e+00
1.027130377794830747e+04,3.658312582559058335e+00
1.027130394321946369e+04,3.658312594932854545e+00
1.027130410849062173e+04,3.658312607304940567e+00
1.027130427376177795e+04,3.658312619675317734e+00
1.027130443903293417e+04,3.658312632043984269e+00
1.027130460430409221e+04,3.658312644410941061e+00
1.027130476957524843e+04,3.658312656776188110e+00
1.027130493484640465e+04,3.658312669139724527e+00
1.027130510011756087e+04,3.658312681501550312e+00
1.027130526538871891e+04,3.658312693861665466e+00
1.027130543065987513e+04,3.658312706220069543e+00
1.027130559593103135e+04,3.658312718576763434e+00
1.027130576120218939e+04,3.658312730931746248e+00
1.027130592647334561e+04,3.658312743285017099e+00
1.027130609174450183e+04,3.658312755636576874e+00
1.027130625701565805e+04,3.658312767986425573e+00
1.027130642228681609e+04,3.658312780334561864e+00
1.027130658755797231e+04,3.658312792680986636e+00
1.027130675282912853e+04,3.658312805025699443e+00
1.027130691810028657e+04,3.658312817368700287e+00
1.027130708337144279e+04,3.658312829709988723e+00
1.027130724864259901e+04,3.658312842049563862e+00
1.027130741391375523e+04,3.658312854387427038e+00
1.027130757918491327e+04,3.658312866723577361e+00
1.027130774445606949e+04,3.658312879058014389e+00
1.027130790972722571e+04,3.658312891390738564e+00
1.027130807499838374e+04,3.658312903721749443e+00
1.027130824026953997e+04,3.658312916051047026e+00
1.027130840554069619e+04,3.658312928378630424e+00
1.027130857081185241e+04,3.658312940704500971e+00
1.027130873608301044e+04,3.658312953028656445e+00
1.027130890135416666e+04,3.658312965351098622e+00
1.027130906662532288e+04,3.658312977671826616e+00
1.027130923189648092e+04,3.658312989990840425e+00
1.027130939716763714e+04,3.658313002308139161e+00
1.027130956243879336e+04,3.658313014623723269e+00
1.027130972770995140e+04,3.658313026937592749e+00
1.027130989298110762e+04,3.658313039249747156e+00
1.027131005825226384e+04,3.658313051560186491e+00
1.027131022352342006e+04,3.658313063868910753e+00
1.027131038879457810e+04,3.658313076175918166e+00
1.027131055406573432e+04,3.658313088481211395e+00
1.027131071933689054e+04,3.658313100784788219e+00
1.027131088460804858e+04,3.658313113086649970e+00
1.027131104987920480e+04,3.658313125386793985e+00
1.027131121515036102e+04,3.658313137685222927e+00
1.027131138042151724e+04,3.658313149981935020e+00
1.027131154569267528e+04,3.658313162276931152e+00
1.027131171096383150e+04,3.658313174570209547e+00
1.027131187623498772e+04,3.658313186861771982e+00
1.027131204150614576e+04,3.658313199151617123e+00
1.027131220677730198e+04,3.658313211439745416e+00
1.027131237204845820e+04,3.658313223726155528e+00
1.027131253731961442e+04,3.658313236010848346e+00
1.027131270259077246e+04,3.658313248293823872e+00
1.027131286786192868e+04,3.658313260575081216e+00
1.027131303313308490e+04,3.658313272854620379e+00
1.027131319840424294e+04,3.658313285132442250e+00
1.027131336367539916e+04,3.658313297408545051e+00
1.027131352894655538e+04,3.658313309682929226e+00
1.027131369421771160e+04,3.658313321955595221e+00
1.027131385948886964e+04,3.658313334226543034e+00
1.027131402476002586e+04,3.658313346495770890e+00
1.027131419003118208e+04,3.658313358763280121e+00
1.027131435530234012e+04,3.658313371029070282e+00
1.027131452057349634e+04,3.658313383293140486e+00
1.027131468584465256e+04,3.658313395555492065e+00
1.027131485111580878e+04,3.658313407816123242e+00
1.027131501638696682e+04,3.658313420075035349e+00
1.027131518165812304e+04,3.658313432332226611e+00
1.027131534692927926e+04,3.658313444587697916e+00
1.027131551220043730e+04,3.658313456841448374e+00
1.027131567747159352e+04,3.658313469093478876e+00
1.027131584274274974e+04,3.658313481343789419e+00
1.027131600801390596e+04,3.658313493592378229e+00
1.027131617328506400e+04,3.658313505839246194e+00
1.027131633855622022e+04,3.658313518084393756e+00
1.027131650382737644e+04,3.658313530327819141e+00
1.027131666909853448e+04,3.658313542569523680e+00
1.027131683436969070e+04,3.658313554809506485e+00
1.027131699964084692e+04,3.658313567047767556e+00
1.027131716491200496e+04,3.658313579284307338e+00
1.027131733018316118e+04,3.658313591519124053e+00
1.027131749545431740e+04,3.658313603752219478e+00
1.027131766072547362e+04,3.658313615983591394e+00
1.027131782599663165e+04,3.658313628213242463e+00
1.027131799126778787e+04,3.658313640441169579e+00
1.027131815653894409e+04,3.658313652667374072e+00
1.027131832181010213e+04,3.658313664891855943e+00
1.027131848708125835e+04,3.658313677114614748e+00
1.027131865235241457e+04,3.658313689335650043e+00
1.027131881762357079e+04,3.658313701554961828e+00
1.027131898289472883e+04,3.658313713772550102e+00
1.027131914816588505e+04,3.658313725988414866e+00
1.027131931343704127e+04,3.658313738202555232e+00
1.027131947870819931e+04,3.658313750414972088e+00
1.027131964397935553e+04,3.658313762625664101e+00
1.027131980925051175e+04,3.658313774834632159e+00
1.027131997452166797e+04,3.658313787041875820e+00
1.027132013979282601e+04,3.658313799247395082e+00
1.027132030506398223e+04,3.658313811451188169e+00
1.027132047033513845e+04,3.658313823653257746e+00
1.027132063560629649e+04,3.658313835853601148e+00
1.027132080087745271e+04,3.658313848052219708e+00
1.027132096614860893e+04,3.658313860249112981e+00
1.027132113141976515e+04,3.658313872444280079e+00
1.027132129669092319e+04,3.658313884637721891e+00
1.027132146196207941e+04,3.658313896829437972e+00
1.027132162723323563e+04,3.658313909019427879e+00
1.027132179250439367e+04,3.658313921207691166e+00
1.027132195777554989e+04,3.658313933394228279e+00
1.027132212304670611e+04,3.658313945579038329e+00
1.027132228831786233e+04,3.658313957762122648e+00
1.027132245358902037e+04,3.658313969943479460e+00
1.027132261886017659e+04,3.658313982123109209e+00
1.027132278413133281e+04,3.658313994301012340e+00
1.027132294940249085e+04,3.658314006477188407e+00
1.027132311467364707e+04,3.658314018651636079e+00
1.027132327994480329e+04,3.658314030824356244e+00
1.027132344521595951e+04,3.658314042995348903e+00
1.027132361048711755e+04,3.658314055164613610e+00
1.027132377575827377e+04,3.658314067332150810e+00
1.027132394102942999e+04,3.658314079497958726e+00
1.027132410630058803e+04,3.658314091662039136e+00
1.027132427157174425e+04,3.658314103824390262e+00
1.027132443684290047e+04,3.658314115985012549e+00
1.027132460211405851e+04,3.658314128143906885e+00
1.027132476738521473e+04,3.658314140301071937e+00
1.027132493265637095e+04,3.658314152456507262e+00
1.027132509792752717e+04,3.658314164610213748e+00
1.027132526319868521e+04,3.658314176762190950e+00
1.027132542846984143e+04,3.658314188912437981e+00
1.027132559374099765e+04,3.658314201060955728e+00
1.027132575901215569e+04,3.658314213207742860e+00
1.027132592428331191e+04,3.658314225352800264e+00
1.027132608955446813e+04,3.658314237496127053e+00
1.027132625482562435e+04,3.658314249637723670e+00
1.027132642009678239e+04,3.658314261777590559e+00
1.027132658536793861e+04,3.658314273915725945e+00
1.027132675063909483e+04,3.658314286052130271e+00
1.027132691591025286e+04,3.658314298186803981e+00
1.027132708118140908e+04,3.658314310319746188e+00
1.027132724645256530e+04,3.658314322450956890e+00
1.027132741172372153e+04,3.658314334580436533e+00
1.027132757699487956e+04,3.658314346708184672e+00
1.027132774226603578e+04,3.658314358834200863e+00
1.027132790753719200e+04,3.658314370958484663e+00
1.027132807280835004e+04,3.658314383081036958e+00
1.027132823807950626e+04,3.658314395201857305e+00
1.027132840335066248e+04,3.658314407320944373e+00
1.027132856862181870e+04,3.658314419438298604e+00
1.027132873389297674e+04,3.658314431553920887e+00
1.027132889916413296e+04,3.658314443667810334e+00
1.027132906443528918e+04,3.658314455779966501e+00
1.027132922970644722e+04,3.658314467890389388e+00
1.027132939497760344e+04,3.658314479999078994e+00
1.027132956024875966e+04,3.658314492106035321e+00
1.027132972551991588e+04,3.658314504211257479e+00
1.027132989079107392e+04,3.658314516314746356e+00
1.027133005606223014e+04,3.658314528416501066e+00
1.027133022133338636e+04,3.658314540516521607e+00
1.027133038660454440e+04,3.658314552614807980e+00
1.027133055187570062e+04,3.658314564711360184e+00
1.027133071714685684e+04,3.658314576806177776e+00
1.027133088241801306e+04,3.658314588899259867e+00
1.027133104768917110e+04,3.658314600990607346e+00
1.027133121296032732e+04,3.658314613080220656e+00
1.027133137823148354e+04,3.658314625168098466e+00
