Time (BJD_TBD - 2450000), F_total/F_star (ppm)
9.880040107875502144e+03,2.136542056781920280e+02
9.880040126435227648e+03,2.136507055977974687e+02
9.880040144994953152e+03,2.136472055383029272e+02
9.880040163554680475e+03,2.136437054993679681e+02
9.880040182114405980e+03,2.136402054816812495e+02
9.880040200674133303e+03,2.136367054845593145e+02
9.880040219233858807e+03,2.136332055086906223e+02
9.880040237793586130e+03,2.136297055533920286e+02
9.880040256353311634e+03,2.136262056193518220e+02
9.880040274913038957e+03,2.136227057058867160e+02
9.880040293472764461e+03,2.136192058136853404e+02
9.880040312032491784e+03,2.136157059420642099e+02
9.880040330592217288e+03,2.136122060917118972e+02
9.880040349151944611e+03,2.136087062619450023e+02
9.880040367711670115e+03,2.136052064534520980e+02
9.880040386271395619e+03,2.136017066658928059e+02
9.880040404831122942e+03,2.135982068989266338e+02
9.880040423390848446e+03,2.135947071532422399e+02
9.880040441950575769e+03,2.135912074281561672e+02
9.880040460510301273e+03,2.135877077243568749e+02
9.880040479070028596e+03,2.135842080411612187e+02
9.880040497629754100e+03,2.135807083792575440e+02
9.880040516189481423e+03,2.135772087379625646e+02
9.880040534749206927e+03,2.135737091179647678e+02
9.880040553308934250e+03,2.135702095185807821e+02
9.880040571868659754e+03,2.135667099404992086e+02
9.880040590428387077e+03,2.135632103830365338e+02
9.880040608988112581e+03,2.135597108468814724e+02
9.880040627547838085e+03,2.135562113316935609e+02
9.880040646107565408e+03,2.135527118371322501e+02
9.880040664667290912e+03,2.135492123638862836e+02
9.880040683227018235e+03,2.135457129112721759e+02
9.880040701786743739e+03,2.135422134799785567e+02
9.880040720346471062e+03,2.135387140693219123e+02
9.880040738906196566e+03,2.135352146799909576e+02
9.880040757465923889e+03,2.135317153113021504e+02
9.880040776025649393e+03,2.135282159639441488e+02
9.880040794585376716e+03,2.135247166372333822e+02
9.880040813145102220e+03,2.135212173318586224e+02
9.880040831704829543e+03,2.135177180471364125e+02
9.880040850264555047e+03,2.135142187837552399e+02
