Time (BJD_TBD - 2450000), F_total/F_star (ppm)
1.013335450331510401e+04,2.644058856572279979e+02
1.013335452423386232e+04,2.644058856572279979e+02
1.013335454515262063e+04,2.644058856572279979e+02
1.013335456607137894e+04,2.644058856572279979e+02
1.013335458699013725e+04,2.644058856572279979e+02
1.013335460790889738e+04,2.644058856572279979e+02
1.013335462882765569e+04,2.644058856572279979e+02
1.013335464974641400e+04,2.644058856572279979e+02
1.013335467066517231e+04,2.644058856572279979e+02
1.013335469158393062e+04,2.644058856572279979e+02
1.013335471250268893e+04,2.644058856572279979e+02
1.013335473342144724e+04,2.644058856572279979e+02
1.013335475434020555e+04,2.644058856572279979e+02
1.013335477525896567e+04,2.644058856572279979e+02
1.013335479617772398e+04,2.644058856572279979e+02
1.013335481709648229e+04,2.644058856572279979e+02
1.013335483801524060e+04,2.644058856572279979e+02
1.013335485893399891e+04,2.644058856572279979e+02
1.013335487985275722e+04,2.644058856572279979e+02
1.013335490077151553e+04,2.644058856572279979e+02
1.013335492169027384e+04,2.644058856572279979e+02
1.013335494260903397e+04,2.644058856572279979e+02
1.013335496352779228e+04,2.644058856572279979e+02
1.013335498444655059e+04,2.644058856572279979e+02
1.013335500536530890e+04,2.644058856572279979e+02
1.013335502628406721e+04,2.644058856572279979e+02
1.013335504720282552e+04,2.644058856572279979e+02
1.013335506812158383e+04,2.644058856572279979e+02
1.013335508904034396e+04,2.644058856572279979e+02
1.013335510995910226e+04,2.644058856572279979e+02
1.013335513087786057e+04,2.644058856572279979e+02
1.013335515179661888e+04,2.644058856572279979e+02
1.013335517271537719e+04,2.644058856572279979e+02
1.013335519363413550e+04,2.644058856572279979e+02
1.013335521455289381e+04,2.644058856572279979e+02
1.013335523547165212e+04,2.644058856572279979e+02
1.013335525639041225e+04,2.644058856572279979e+02
1.013335527730917056e+04,2.644058856572279979e+02
1.013335529822792887e+04,2.644058856572279979e+02
1.013335531914668718e+04,2.644058856572279979e+02
1.013335534006544549e+04,2.644058856572279979e+02
1.013335536098420380e+04,2.644058856572279979e+02
1.013335538190296211e+04,2.644058856572279979e+02
1.013335540282172042e+04,2.644058856572279979e+02
1.013335542374048055e+04,2.644058856572279979e+02
1.013335544465923886e+04,2.644058856572279979e+02
1.013335546557799717e+04,2.644058856572279979e+02
1.013335548649675547e+04,2.644058856572279979e+02
1.013335550741551378e+04,2.644058856572279979e+02
1.013335552833427209e+04,2.644058856572279979e+02
1.013335554925303040e+04,2.644058856572279979e+02
1.013335557017178871e+04,2.644058856572279979e+02
1.013335559109054884e+04,2.644058856572279979e+02
1.013335561200930715e+04,2.644058856572279979e+02
1.013335563292806546e+04,2.644058856572279979e+02
1.013335565384682377e+04,2.644058856572279979e+02
1.013335567476558208e+04,2.644058856572279979e+02
1.013335569568434039e+04,2.644058856572279979e+02
1.013335571660309870e+04,2.644058856572279979e+02
1.013335573752185701e+04,2.644058856572279979e+02
1.013335575844061714e+04,2.644058856572279979e+02
1.013335577935937545e+04,2.644058856572279979e+02
1.013335580027813376e+04,2.644058856572279979e+02
1.013335582119689207e+04,2.644058856572279979e+02
1.013335584211565038e+04,2.644058856572279979e+02
1.013335586303440869e+04,2.644058856572279979e+02
1.013335588395316699e+04,2.644058856572279979e+02
1.013335590487192530e+04,2.644058856572279979e+02
1.013335592579068543e+04,2.644058856572279979e+02
1.013335594670944374e+04,2.644058856572279979e+02
1.013335596762820205e+04,2.644058856572279979e+02
1.013335598854696036e+04,2.644058856572279979e+02
1.013335600946571867e+04,2.644058856572279979e+02
1.013335603038447698e+04,2.644058856572279979e+02
1.013335605130323529e+04,2.644058856572279979e+02
1.013335607222199542e+04,2.644058856572279979e+02
1.013335609314075373e+04,2.644058856572279979e+02
1.013335611405951204e+04,2.644058856572279979e+02
1.013335613497827035e+04,2.644058856572279979e+02
1.013335615589702866e+04,2.644058856572279979e+02
1.013335617681578697e+04,2.644058856572279979e+02
1.013335619773454528e+04,2.644058856572279979e+02
