Time (BJD_TBD - 2450000), F_e/F_star (ppm)
1.062595047760570560e+04,4.169646555444058578e+01
1.062595049628349989e+04,4.169759386401629797e+01
1.062595051496129418e+04,4.169872218113997064e+01
1.062595053363908664e+04,4.169985050570129204e+01
1.062595055231688093e+04,4.170097883791960669e+01
1.062595057099467522e+04,4.170210717768460995e+01
1.062595058967246769e+04,4.170323552488601138e+01
1.062595060835026197e+04,4.170436387974316261e+01
1.062595062702805626e+04,4.170549224214575901e+01
1.062595064570584873e+04,4.170662061198348169e+01
1.062595066438364302e+04,4.170774898947569653e+01
1.062595068306143730e+04,4.170887737451210597e+01
1.062595070173922977e+04,4.171000576698240536e+01
1.062595072041702406e+04,4.171113416710592503e+01
1.062595073909481835e+04,4.171226257477241006e+01
1.062595075777261081e+04,4.171339098987150606e+01
1.062595077645040510e+04,4.171451941262260021e+01
1.062595079512819939e+04,4.171564784291537364e+01
1.062595081380599368e+04,4.171677628074941424e+01
1.062595083248378614e+04,4.171790472601441024e+01
1.062595085116158043e+04,4.171903317892973462e+01
1.062595086983937472e+04,4.172016163938505429e+01
1.062595088851716719e+04,4.172129010727008591e+01
1.062595090719496147e+04,4.172241858280418825e+01
1.062595092587275576e+04,4.172354706587705664e+01
1.062595094455054823e+04,4.172467555637835090e+01
1.062595096322834252e+04,4.172580405452746533e+01
1.062595098190613680e+04,4.172693256021410946e+01
1.062595100058392927e+04,4.172806107332792891e+01
1.062595101926172356e+04,4.172918959408830375e+01
1.062595103793951785e+04,4.173031812238495064e+01
1.062595105661731031e+04,4.173144665810752230e+01
1.062595107529510460e+04,4.173257520147541300e+01
1.062595109397289889e+04,4.173370375237830388e+01
1.062595111265069136e+04,4.173483231070586896e+01
1.062595113132848564e+04,4.173596087667750965e+01
1.062595115000627993e+04,4.173708945018289995e+01
1.062595116868407240e+04,4.173821803111169970e+01
1.062595118736186669e+04,4.173934661968331739e+01
1.062595120603966097e+04,4.174047521578741993e+01
1.062595122471745344e+04,4.174160381931370267e+01
1.062595124339524773e+04,4.174273243048155990e+01
1.062595126207304202e+04,4.174386104918063722e+01
1.062595128075083630e+04,4.174498967541052963e+01
1.062595129942862877e+04,4.174611830906092536e+01
1.062595131810642306e+04,4.174724695035124000e+01
1.062595133678421735e+04,4.174837559917109786e+01
1.062595135546200981e+04,4.174950425541019428e+01
1.062595137413980410e+04,4.175063291928793774e+01
1.062595139281759839e+04,4.175176159069400228e+01
1.062595141149539086e+04,4.175289026951803351e+01
1.062595143017318514e+04,4.175401895597946833e+01
1.062595144885097943e+04,4.175514764996796657e+01
1.062595146752877190e+04,4.175627635137319515e+01
1.062595148620656619e+04,4.175740506041455546e+01
1.062595150488436047e+04,4.175853377698173574e+01
1.062595152356215294e+04,4.175966250096436028e+01
1.062595154223994723e+04,4.176079123258189441e+01
1.062595156091774152e+04,4.176191997172399795e+01
1.062595157959553399e+04,4.176304871828029519e+01
1.062595159827332827e+04,4.176417747247022305e+01
1.062595161695112256e+04,4.176530623418348398e+01
1.062595163562891503e+04,4.176643500330968806e+01
1.062595165430670932e+04,4.176756378006827930e+01
1.062595167298450360e+04,4.176869256434891042e+01
1.062595169166229607e+04,4.176982135604124835e+01
1.062595171034009036e+04,4.177095015536472999e+01
1.062595172901788465e+04,4.177207896220900807e+01
1.062595174769567893e+04,4.177320777657365625e+01
1.062595176637347140e+04,4.177433659834832724e+01
1.062595178505126569e+04,4.177546542775247929e+01
1.062595180372905998e+04,4.177659426467575088e+01
1.062595182240685244e+04,4.177772310900778052e+01
1.062595184108464673e+04,4.177885196096804066e+01
1.062595185976244102e+04,4.177998082044616979e+01
1.062595187844023349e+04,4.178110968733181352e+01
1.062595189711802777e+04,4.178223856184442297e+01
1.062595191579582206e+04,4.178336744387364377e+01
1.062595193447361453e+04,4.178449633330913571e+01
1.062595195315140882e+04,4.178562523037033571e+01
1.062595197182920310e+04,4.178675413494688939e+01
1.062595199050699557e+04,4.178788304692845657e+01
1.062595200918478986e+04,4.178901196653448835e+01
1.062595202786258415e+04,4.179014089365463747e+01
1.062595204654037661e+04,4.179126982817852820e+01
1.062595206521817090e+04,4.179239877032561168e+01
1.062595208389596519e+04,4.179352771998556904e+01
1.062595210257375766e+04,4.179465667704801035e+01
1.062595212125155194e+04,4.179578564173242938e+01
1.062595213992934623e+04,4.179691461392842200e+01
1.062595215860713870e+04,4.179804359352566934e+01
1.062595217728493299e+04,4.179917258074362962e+01
1.062595219596272727e+04,4.180030157547192005e+01
1.062595221464052156e+04,4.180143057771014981e+01
1.062595223331831403e+04,4.180255958734793609e+01
1.062595225199610832e+04,4.180368860460476554e+01
1.062595227067390260e+04,4.180481762937026957e+01
1.062595228935169507e+04,4.180594666153407246e+01
1.062595230802948936e+04,4.180707570131568218e+01
1.062595232670728365e+04,4.180820474860470171e+01
1.062595234538507611e+04,4.180933380329076954e+01
1.062595236406287040e+04,4.181046286559336522e+01
1.062595238274066469e+04,4.181159193540213437e+01
1.062595240141845716e+04,4.181272101260670127e+01
1.062595242009625144e+04,4.181385009742656678e+01
1.062595243877404573e+04,4.181497918975132677e+01
1.062595245745183820e+04,4.181610828947062686e+01
1.062595247612963249e+04,4.181723739680395369e+01
1.062595249480742677e+04,4.181836651164095997e+01
1.062595251348521924e+04,4.181949563387123447e+01
1.062595253216301353e+04,4.182062476371429227e+01
1.062595255084080782e+04,4.182175390105975055e+01
1.062595256951860028e+04,4.182288304579725491e+01
1.062595258819639457e+04,4.182401219814627069e+01
1.062595260687418886e+04,4.182514135799644350e+01
1.062595262555198133e+04,4.182627052523736921e+01
1.062595264422977561e+04,4.182739970008859842e+01
1.062595266290756990e+04,4.182852888243971989e+01
1.062595268158536419e+04,4.182965807229030730e+01
1.062595270026315666e+04,4.183078726952999915e+01
1.062595271894095094e+04,4.183191647437830341e+01
1.062595273761874523e+04,4.183304568672483725e+01
1.062595275629653770e+04,4.183417490645919656e+01
1.062595277497433199e+04,4.183530413380090351e+01
1.062595279365212627e+04,4.183643336863960371e+01
1.062595281232991874e+04,4.183756261086487882e+01
1.062595283100771303e+04,4.183869186069625812e+01
1.062595284968550732e+04,4.183982111802334458e+01
1.062595286836329979e+04,4.184095038273576961e+01
1.062595288704109407e+04,4.184207965505304827e+01
1.062595290571888836e+04,4.184320893486479065e+01
1.062595292439668083e+04,4.184433822206059972e+01
1.062595294307447512e+04,4.184546751685999766e+01
1.062595296175226940e+04,4.184659681915262297e+01
1.062595298043006187e+04,4.184772612882805021e+01
1.062595299910785616e+04,4.184885544610582997e+01
1.062595301778565045e+04,4.184998477087557234e+01
1.062595303646344291e+04,4.185111410302686608e+01
1.062595305514123720e+04,4.185224344277926178e+01
1.062595307381903149e+04,4.185337279002234112e+01
1.062595309249682396e+04,4.185450214464573548e+01
1.062595311117461824e+04,4.185563150686897416e+01
1.062595312985241253e+04,4.185676087658166011e+01
1.062595314853020682e+04,4.185789025378337413e+01
1.062595316720799929e+04,4.185901963836370498e+01
1.062595318588579357e+04,4.186014903054222458e+01
1.062595320456358786e+04,4.186127843020852168e+01
1.062595322324138033e+04,4.186240783725217796e+01
1.062595324191917462e+04,4.186353725189275110e+01
1.062595326059696890e+04,4.186466667401985120e+01
1.062595327927476137e+04,4.186579610352306702e+01
1.062595329795255566e+04,4.186692554062194205e+01
1.062595331663034995e+04,4.186805498520610058e+01
1.062595333530814241e+04,4.186918443716511007e+01
1.062595335398593670e+04,4.187031389671854242e+01
1.062595337266373099e+04,4.187144336375597220e+01
1.062595339134152346e+04,4.187257283816700948e+01
1.062595341001931774e+04,4.187370232017121907e+01
1.062595342869711203e+04,4.187483180965818974e+01
1.062595344737490450e+04,4.187596130651748894e+01
1.062595346605269879e+04,4.187709081096870278e+01
1.062595348473049307e+04,4.187822032290142005e+01
1.062595350340828554e+04,4.187934984220522949e+01
1.062595352208607983e+04,4.188047936909972435e+01
1.062595354076387412e+04,4.188160890347443654e+01
1.062595355944166658e+04,4.188273844521899036e+01
1.062595357811946087e+04,4.188386799455294351e+01
1.062595359679725516e+04,4.188499755136592029e+01
1.062595361547504945e+04,4.188612711565744462e+01
1.062595363415284191e+04,4.188725668731713370e+01
1.062595365283063620e+04,4.188838626656455943e+01
1.062595367150843049e+04,4.188951585328931770e+01
1.062595369018622296e+04,4.189064544738096174e+01
1.062595370886401724e+04,4.189177504905910610e+01
1.062595372754181153e+04,4.189290465821330400e+01
1.062595374621960400e+04,4.189403427473314423e+01
1.062595376489739829e+04,4.189516389883823422e+01
1.062595378357519257e+04,4.189629353041812010e+01
1.062595380225298504e+04,4.189742316936239774e+01
1.062595382093077933e+04,4.189855281589066749e+01
1.062595383960857362e+04,4.189968246989249678e+01
1.062595385828636608e+04,4.190081213125744597e+01
1.062595387696416037e+04,4.190194180020512249e+01
1.062595389564195466e+04,4.190307147662511511e+01
1.062595391431974713e+04,4.190420116040698417e+01
1.062595393299754141e+04,4.190533085177030870e+01
1.062595395167533570e+04,4.190646055060469166e+01
1.062595397035312817e+04,4.190759025679969341e+01
1.062595398903092246e+04,4.190871997057492138e+01
1.062595400770871674e+04,4.190984969181994302e+01
1.062595402638651103e+04,4.191097942053434622e+01
1.062595404506430350e+04,4.191210915660767711e+01
1.062595406374209779e+04,4.191323890025957155e+01
1.062595408241989207e+04,4.191436865137959700e+01
1.062595410109768454e+04,4.191549840985727826e+01
1.062595411977547883e+04,4.191662817591228674e+01
1.062595413845327312e+04,4.191775794943415434e+01
1.062595415713106559e+04,4.191888773031244853e+01
1.062595417580885987e+04,4.192001751876679094e+01
1.062595419448665416e+04,4.192114731468675615e+01
1.062595421316444663e+04,4.192227711796187606e+01
1.062595423184224092e+04,4.192340692881181496e+01
1.062595425052003520e+04,4.192453674712609768e+01
1.062595426919782767e+04,4.192566657279428455e+01
1.062595428787562196e+04,4.192679640603603985e+01
1.062595430655341625e+04,4.192792624674088842e+01
1.062595432523120871e+04,4.192905609479838347e+01
1.062595434390900300e+04,4.193018595042817509e+01
1.062595436258679729e+04,4.193131581351981652e+01
1.062595438126458976e+04,4.193244568396285388e+01
1.062595439994238404e+04,4.193357556197695146e+01
1.062595441862017833e+04,4.193470544745161988e+01
