Epoch,Modified period,Transit peak
3.400000000000000000e+01,1.510744892113507376e+00,7.310433315982623753e+03
3.500000000000000000e+01,1.510779719115816988e+00,7.311944060874737261e+03
3.600000000000000000e+01,1.510868807596580154e+00,7.313454840593853078e+03
3.700000000000000000e+01,1.510982855864767771e+00,7.314965709401449203e+03
3.800000000000000000e+01,1.510767528320229758e+00,7.316476692257314426e+03
3.900000000000000000e+01,1.510801666961469891e+00,7.317987459785634201e+03
4.000000000000000000e+01,1.511131659676266281e+00,7.319498261452596125e+03
4.100000000000000000e+01,1.510861025046324357e+00,7.321009393112271937e+03
4.200000000000000000e+01,1.510743510826614511e+00,7.322520254137318261e+03
4.300000000000000000e+01,1.510765107659608475e+00,7.324030997648145785e+03
4.400000000000000000e+01,1.510868584539366566e+00,7.325541762755805394e+03
4.500000000000000000e+01,1.511012684512024862e+00,7.327052631340344305e+03
4.600000000000000000e+01,1.510772329143492243e+00,7.328563644024856330e+03
4.700000000000000000e+01,1.510796211944580136e+00,7.330074416354000277e+03
4.800000000000000000e+01,1.511113301290606614e+00,7.331585212565943948e+03
4.900000000000000000e+01,1.510865445382478356e+00,7.333096325867234555e+03
5.000000000000000000e+01,1.510745809205673140e+00,7.334607191312617942e+03
5.100000000000000000e+01,1.510753920005299733e+00,7.336117937121823161e+03
5.200000000000000000e+01,1.510864577618121984e+00,7.337628691041828461e+03
5.300000000000000000e+01,1.511041877273328282e+00,7.339139555619446583e+03
5.400000000000000000e+01,1.510779078721952828e+00,7.340650597496720366e+03
5.500000000000000000e+01,1.510790553482820542e+00,7.342161376575441864e+03
5.600000000000000000e+01,1.511093055998571799e+00,7.343672167128925139e+03
5.700000000000000000e+01,1.510869192110476433e+00,7.345183260184923711e+03
5.800000000000000000e+01,1.510746680880401982e+00,7.346694129377034187e+03
5.900000000000000000e+01,1.510746437530087860e+00,7.348204876057914589e+03
6.000000000000000000e+01,1.510861977037620818e+00,7.349715622495444222e+03
6.100000000000000000e+01,1.511069026514178404e+00,7.351226484472481388e+03
6.200000000000000000e+01,1.510787787362914969e+00,7.352737553498996022e+03
6.300000000000000000e+01,1.510785519391902199e+00,7.354248341286358482e+03
6.400000000000000000e+01,1.511066307366945694e+00,7.355759126805751293e+03
6.500000000000000000e+01,1.510871990446958080e+00,7.357270193113117784e+03
6.600000000000000000e+01,1.510752299141586263e+00,7.358781065103565197e+03
6.700000000000000000e+01,1.510741815872279403e+00,7.360291817402706329e+03
6.800000000000000000e+01,1.510860350099392235e+00,7.361802559218578608e+03
6.900000000000000000e+01,1.511094519873950048e+00,7.363313419568678000e+03
7.000000000000000000e+01,1.510793405307595094e+00,7.364824514088551950e+03
7.100000000000000000e+01,1.510779819368508470e+00,7.366335307493859546e+03
7.200000000000000000e+01,1.511038918666599784e+00,7.367846087313228054e+03
7.300000000000000000e+01,1.510873974976220779e+00,7.369357126231894654e+03
7.400000000000000000e+01,1.510762376333332213e+00,7.370868000206870420e+03
7.500000000000000000e+01,1.510741026743744442e+00,7.372378762583204661e+03
7.600000000000000000e+01,1.510855239063403133e+00,7.373889503609947496e+03
7.700000000000000000e+01,1.511115796639387554e+00,7.375400358849011354e+03
7.800000000000000000e+01,1.510801293311487825e+00,7.376911474645650742e+03
7.900000000000000000e+01,1.510774348249924515e+00,7.378422275938962230e+03
8.000000000000000000e+01,1.511010515965153900e+00,7.379933050287212609e+03
8.100000000000000000e+01,1.510876765395096299e+00,7.381444060803177308e+03
8.200000000000000000e+01,1.510772972656468482e+00,7.382954937568572859e+03
8.300000000000000000e+01,1.510740559217992995e+00,7.384465710541228873e+03
8.400000000000000000e+01,1.510851786013063247e+00,7.385976451100446866e+03
8.500000000000000000e+01,1.511133889378925232e+00,7.387487302886460384e+03
8.600000000000000000e+01,1.510810007533109456e+00,7.388998436775838854e+03
8.700000000000000000e+01,1.510770884314297291e+00,7.390509246783371964e+03
8.800000000000000000e+01,1.510978454457472253e+00,7.392020017667686261e+03
8.900000000000000000e+01,1.510876798608023819e+00,7.393530996122143733e+03
9.000000000000000000e+01,1.510789307995764830e+00,7.395041872920752212e+03
9.100000000000000000e+01,1.510742139526882966e+00,7.396552662228747067e+03
9.200000000000000000e+01,1.510848384864857508e+00,7.398063404368274860e+03
9.300000000000000000e+01,1.511150008705953951e+00,7.399574252753139262e+03
9.400000000000000000e+01,1.510816607991728233e+00,7.401085402761845216e+03
9.500000000000000000e+01,1.510765118528979656e+00,7.402596219369836945e+03
9.600000000000000000e+01,1.510947575262434839e+00,7.404106984488365924e+03
9.700000000000000000e+01,1.510876857957555330e+00,7.405617932063628359e+03
9.800000000000000000e+01,1.510809502683059691e+00,7.407128808921585915e+03
9.900000000000000000e+01,1.510747040097157878e+00,7.408639618424269429e+03
1.000000000000000000e+02,1.510842929592854489e+00,7.410150365464365677e+03
1.010000000000000000e+02,1.511159109555592295e+00,7.411661208393958987e+03
1.020000000000000000e+02,1.510824744282672327e+00,7.413172367503514579e+03
1.030000000000000000e+02,1.510760683560420148e+00,7.414683192247797706e+03
1.040000000000000000e+02,1.510916997543063189e+00,7.416193952931357671e+03
1.050000000000000000e+02,1.510878370590944542e+00,7.417704869928900735e+03
1.060000000000000000e+02,1.510831587525444775e+00,7.419215748299491679e+03
1.070000000000000000e+02,1.510749779456091346e+00,7.420726579887017579e+03
1.080000000000000000e+02,1.510838350518952211e+00,7.422237329666473670e+03
1.090000000000000000e+02,1.511165001745666814e+00,7.423748168016992167e+03
1.100000000000000000e+02,1.510832634093731031e+00,7.425259333018737379e+03
1.110000000000000000e+02,1.510758704466752533e+00,7.426770165652831565e+03
1.120000000000000000e+02,1.510886756453146518e+00,7.428280924357298318e+03
