Epoch,Modified period,Transit peak
4.900000000000000000e+01,6.100744785789629532e+00,7.562771588190187686e+03
5.000000000000000000e+01,6.099576559061006265e+00,7.568872332975977770e+03
5.100000000000000000e+01,6.099507137462751416e+00,7.574971909535039231e+03
5.200000000000000000e+01,6.101068960444536060e+00,7.581071416672501073e+03
5.300000000000000000e+01,6.099372194760235288e+00,7.587172485632945609e+03
5.400000000000000000e+01,6.099645796028198674e+00,7.593271857827706299e+03
5.500000000000000000e+01,6.100897581603021536e+00,7.599371503623734498e+03
5.600000000000000000e+01,6.099557993918097054e+00,7.605472401205337519e+03
5.700000000000000000e+01,6.099428088229160494e+00,7.611571959199255616e+03
5.800000000000000000e+01,6.101009369562234497e+00,7.617671387287484322e+03
5.900000000000000000e+01,6.099406867230754870e+00,7.623772396657046556e+03
6.000000000000000000e+01,6.099452393782485160e+00,7.629871803524278221e+03
6.100000000000000000e+01,6.100803017664929939e+00,7.635971255918060706e+03
6.200000000000000000e+01,6.099493605086536263e+00,7.642072058935725181e+03
6.300000000000000000e+01,6.099272268103959505e+00,7.648171552540811717e+03
6.400000000000000000e+01,6.100742815929152130e+00,7.654270824808915677e+03
6.500000000000000000e+01,6.099364797790258308e+00,7.660371567624844829e+03
6.600000000000000000e+01,6.099242253882493969e+00,7.666470932422635087e+03
6.700000000000000000e+01,6.100472083430304338e+00,7.672570174676517126e+03
6.800000000000000000e+01,6.099422267895533878e+00,7.678670646759947886e+03
6.900000000000000000e+01,6.099054702274770534e+00,7.684770069027843419e+03
7.000000000000000000e+01,6.100343056515612261e+00,7.690869123730118190e+03
7.100000000000000000e+01,6.099261009191650373e+00,7.696969466786633348e+03
7.200000000000000000e+01,6.099063226095495338e+00,7.703068727795825907e+03
7.300000000000000000e+01,6.099979667100342340e+00,7.709167791021920493e+03
7.400000000000000000e+01,6.099377372716389800e+00,7.715267770689020836e+03
7.500000000000000000e+01,6.098821778102774260e+00,7.721367148061737680e+03
7.600000000000000000e+01,6.099898551007299830e+00,7.727465969839840909e+03
7.700000000000000000e+01,6.099143895321049058e+00,7.733565868390847754e+03
7.800000000000000000e+01,6.098940922890051297e+00,7.739665012286168349e+03
7.900000000000000000e+01,6.099452091303191992e+00,7.745763953209058855e+03
8.000000000000000000e+01,6.099370938990432478e+00,7.751863405300362501e+03
8.100000000000000000e+01,6.098637044982297084e+00,7.757962776239352024e+03
8.200000000000000000e+01,6.099495486113482912e+00,7.764061413284334776e+03
8.300000000000000000e+01,6.099066159814356070e+00,7.770160908770448259e+03
8.400000000000000000e+01,6.098889412503922358e+00,7.776259974930262615e+03
8.500000000000000000e+01,6.099014924855509889e+00,7.782358864342766537e+03
8.600000000000000000e+01,6.099404200456319813e+00,7.788457879267622047e+03
8.700000000000000000e+01,6.098553295519650419e+00,7.794557283468078822e+03
8.800000000000000000e+01,6.099200177106467891e+00,7.800655836763598018e+03
8.900000000000000000e+01,6.099067518749052397e+00,7.806755036940704485e+03
9.000000000000000000e+01,6.098904829862021870e+00,7.812854104459453083e+03
9.100000000000000000e+01,6.098765756182274345e+00,7.818953009289315560e+03
9.200000000000000000e+01,6.099459460508569464e+00,7.825051775045498289e+03
9.300000000000000000e+01,6.098611228044319432e+00,7.831151234506006404e+03
9.400000000000000000e+01,6.099041602163197240e+00,7.837249845734050723e+03
9.500000000000000000e+01,6.099169204816462297e+00,7.843348887336213920e+03
9.600000000000000000e+01,6.098987184253473970e+00,7.849448056541030383e+03
9.700000000000000000e+01,6.098747257099148555e+00,7.855547043725284311e+03
9.800000000000000000e+01,6.099521528157765715e+00,7.861645790982383005e+03
9.900000000000000000e+01,6.098843059877253836e+00,7.867745312510540316e+03
1.000000000000000000e+02,6.099012872254661488e+00,7.873844155570417570e+03
1.010000000000000000e+02,6.099361262317870569e+00,7.879943168442672686e+03
1.020000000000000000e+02,6.099172533472028590e+00,7.886042529704990557e+03
1.030000000000000000e+02,6.098913617574908130e+00,7.892141702238463040e+03
1.040000000000000000e+02,6.099593123093654867e+00,7.898240615856037039e+03
1.050000000000000000e+02,6.099254284387825464e+00,7.904340208979130693e+03
1.060000000000000000e+02,6.099078063657998428e+00,7.910439463263519428e+03
1.070000000000000000e+02,6.099599278624282306e+00,7.916538541327176972e+03
1.080000000000000000e+02,6.099493976496887626e+00,7.922638140605800800e+03
