Epoch,Modified period,Transit peak
9.700000000000000000e+01,1.235448281551634864e+01,8.468327634399720409e+03
9.800000000000000000e+01,1.235068526135910361e+01,8.480682117215235849e+03
9.900000000000000000e+01,1.235383974126216344e+01,8.493032802476594952e+03
1.000000000000000000e+02,1.235459384943533223e+01,8.505386642217858025e+03
1.010000000000000000e+02,1.235219122476974007e+01,8.517741236067293357e+03
1.020000000000000000e+02,1.235392350211350276e+01,8.530093427292062188e+03
1.030000000000000000e+02,1.235474842333314882e+01,8.542447350794176600e+03
1.040000000000000000e+02,1.235356520599543728e+01,8.554802099217507930e+03
1.050000000000000000e+02,1.235400673780077341e+01,8.567155664423504277e+03
1.060000000000000000e+02,1.235481103784968582e+01,8.579509671161304141e+03
1.070000000000000000e+02,1.235447431740431057e+01,8.591864482199154736e+03
1.080000000000000000e+02,1.235406991218769690e+01,8.604218956516559047e+03
1.090000000000000000e+02,1.235472320212193154e+01,8.616573026428746743e+03
1.100000000000000000e+02,1.235483791665046738e+01,8.628927749630867766e+03
1.110000000000000000e+02,1.235403490869430243e+01,8.641282587547519142e+03
1.120000000000000000e+02,1.235416175673435646e+01,8.653636622456213445e+03
1.130000000000000000e+02,1.235490250077873498e+01,8.665990784212946892e+03
1.140000000000000000e+02,1.235402020859055483e+01,8.678345686713726536e+03
1.150000000000000000e+02,1.235311802334854292e+01,8.690699706922318001e+03
1.160000000000000000e+02,1.235484198319591087e+01,8.703052824945665634e+03
1.170000000000000000e+02,1.235392567652161233e+01,8.715407666928862454e+03
1.180000000000000000e+02,1.235165529546793550e+01,8.727761592605384067e+03
1.190000000000000000e+02,1.235469869597818615e+01,8.740113247900852002e+03
1.200000000000000000e+02,1.235385386765574367e+01,8.752467946596829279e+03
1.210000000000000000e+02,1.235011987736652372e+01,8.764821800464484113e+03
1.220000000000000000e+02,1.235448200861901569e+01,8.777171920341850637e+03
1.230000000000000000e+02,1.235379539692621620e+01,8.789526402350471471e+03
1.240000000000000000e+02,1.234882660501989449e+01,8.801880197747395869e+03
1.250000000000000000e+02,1.235429624328935461e+01,8.814229024352416673e+03
1.260000000000000000e+02,1.235386507388648170e+01,8.826583320595706027e+03
1.270000000000000000e+02,1.234803501979149587e+01,8.838937185669592509e+03
1.280000000000000000e+02,1.235406820564821828e+01,8.851285220689384005e+03
1.290000000000000000e+02,1.235395443563902518e+01,8.863639288895032223e+03
1.300000000000000000e+02,1.234789325692054263e+01,8.875993243330671248e+03
1.310000000000000000e+02,1.235393946643853269e+01,8.888341136587590881e+03
1.320000000000000000e+02,1.235415243184706924e+01,8.900695076054031233e+03
1.330000000000000000e+02,1.234846875581661152e+01,8.913049228485877393e+03
1.340000000000000000e+02,1.235388959496049210e+01,8.925397697241693095e+03
1.350000000000000000e+02,1.235436836469671107e+01,8.937751586836653587e+03
1.360000000000000000e+02,1.234966725657250208e+01,8.950105955201350298e+03
1.370000000000000000e+02,1.235397468061455584e+01,8.962455622457924619e+03
1.380000000000000000e+02,1.235460602316106815e+01,8.974809597138537356e+03
1.390000000000000000e+02,1.235119838343962329e+01,8.987164203161699334e+03
1.400000000000000000e+02,1.235406154664269707e+01,8.999515401545138957e+03
1.410000000000000000e+02,1.235481303524011309e+01,9.011869463091781654e+03
1.420000000000000000e+02,1.235282832647226314e+01,9.024224276127020858e+03
1.430000000000000000e+02,1.235423780288238049e+01,9.036577104453494030e+03
1.440000000000000000e+02,1.235502781102240988e+01,9.048931342256375501e+03
1.450000000000000000e+02,1.235417656319805246e+01,9.061286370067398821e+03
1.460000000000000000e+02,1.235435860546931508e+01,9.073640546630596873e+03
1.470000000000000000e+02,1.235514564611639798e+01,9.085994905236066188e+03
1.480000000000000000e+02,1.235502319164243090e+01,9.098350050882181677e+03
1.490000000000000000e+02,1.235444606715645932e+01,9.110705074073825017e+03
1.500000000000000000e+02,1.235497552580727643e+01,9.123059520140981476e+03
1.510000000000000000e+02,1.235529520259478886e+01,9.135414495666787843e+03
1.520000000000000000e+02,1.235445424648696644e+01,9.147769790869384451e+03
1.530000000000000000e+02,1.235429346585260646e+01,9.160124245115870508e+03
1.540000000000000000e+02,1.235537782418396091e+01,9.172478538581723114e+03
1.550000000000000000e+02,1.235445827410330821e+01,9.184833916405907075e+03
1.560000000000000000e+02,1.235304811478727061e+01,9.197188374680010384e+03
1.570000000000000000e+02,1.235528287004308368e+01,9.209541422794798564e+03
1.580000000000000000e+02,1.235439332529858802e+01,9.221896705664839828e+03
1.590000000000000000e+02,1.235150723556489538e+01,9.234251098990138416e+03
1.600000000000000000e+02,1.235512671748711000e+01,9.246602606225704221e+03
1.610000000000000000e+02,1.235433370163445943e+01,9.258957732943192241e+03
1.620000000000000000e+02,1.234997847900194756e+01,9.271312066644826700e+03
1.630000000000000000e+02,1.235489434426926891e+01,9.283662045123826829e+03
1.640000000000000000e+02,1.235434225471726677e+01,9.296016939468096098e+03
1.650000000000000000e+02,1.234887993325264688e+01,9.308371281722815183e+03
1.660000000000000000e+02,1.235468117524123954e+01,9.320720161656066921e+03
1.670000000000000000e+02,1.235440028147695557e+01,9.333074842831309070e+03
1.680000000000000000e+02,1.234833987502679520e+01,9.345429243112785116e+03
1.690000000000000000e+02,1.235443730382212379e+01,9.357777582987811911e+03
1.700000000000000000e+02,1.235452936975798366e+01,9.370132020291634035e+03
1.710000000000000000e+02,1.234858246199019050e+01,9.382486549661392928e+03
1.720000000000000000e+02,1.235431144141057302e+01,9.394835132123382209e+03
1.730000000000000000e+02,1.235470038469065912e+01,9.407189443564791873e+03
1.740000000000000000e+02,1.234949899058210576e+01,9.419544143949482532e+03
1.750000000000000000e+02,1.235428342221348430e+01,9.431893642940065547e+03
1.760000000000000000e+02,1.235492065384460147e+01,9.444247926362279031e+03
1.770000000000000000e+02,1.235095231402738136e+01,9.456602847016123633e+03
1.780000000000000000e+02,1.235433673319857917e+01,9.468953799330151014e+03
1.790000000000000000e+02,1.235508491484324622e+01,9.481308136063349593e+03
1.800000000000000000e+02,1.235254878224895947e+01,9.493663220978192840e+03
1.810000000000000000e+02,1.235444240327797161e+01,9.506015769760440890e+03
1.820000000000000000e+02,1.235528328198688541e+01,9.518370212163719771e+03
1.830000000000000000e+02,1.235405109345083474e+01,9.530725495445705747e+03
1.840000000000000000e+02,1.235457621573004872e+01,9.543079546539156581e+03
1.850000000000000000e+02,1.235539063726719178e+01,9.555434122754886630e+03
1.860000000000000000e+02,1.235505605301932519e+01,9.567789513392155641e+03
1.870000000000000000e+02,1.235467889259780350e+01,9.580144569445174056e+03
1.880000000000000000e+02,1.235533780387413572e+01,9.592499248337771860e+03
1.890000000000000000e+02,1.235547742602011567e+01,9.604854586141645996e+03
