Epoch,Modified period,Transit peak
9.600000000000000000e+01,9.205717620786344924e+00,8.150119907344424064e+03
9.700000000000000000e+01,9.204201655218184897e+00,8.159325624965211318e+03
9.800000000000000000e+01,9.206183689049794339e+00,8.168529826620429048e+03
9.900000000000000000e+01,9.205176027614015766e+00,8.177736010309478843e+03
1.000000000000000000e+02,9.206884328105388704e+00,8.186941186337093313e+03
1.010000000000000000e+02,9.204443413836088439e+00,8.196148070665198247e+03
1.020000000000000000e+02,9.206456277163852064e+00,8.205352514079033426e+03
1.030000000000000000e+02,9.205475010328882490e+00,8.214558970356198188e+03
1.040000000000000000e+02,9.208494751973375969e+00,8.223764445366527070e+03
1.050000000000000000e+02,9.204851538755974616e+00,8.232972940118499537e+03
1.060000000000000000e+02,9.206725621716941532e+00,8.242177791657257330e+03
1.070000000000000000e+02,9.205809292036065017e+00,8.251384517278973362e+03
1.080000000000000000e+02,9.210280636623792816e+00,8.260590326571009427e+03
1.090000000000000000e+02,9.205294472420064267e+00,8.269800607207633220e+03
1.100000000000000000e+02,9.206973448001917859e+00,8.279005901680053285e+03
1.110000000000000000e+02,9.206085429949780519e+00,8.288212875128054293e+03
1.120000000000000000e+02,9.211930546925941599e+00,8.297418960558004983e+03
1.130000000000000000e+02,9.205727935098366288e+00,8.306630891104930924e+03
1.140000000000000000e+02,9.207207728279172443e+00,8.315836619040030200e+03
1.150000000000000000e+02,9.206219160303589888e+00,8.325043826768309373e+03
1.160000000000000000e+02,9.213073075263309875e+00,8.334250045928612963e+03
1.170000000000000000e+02,9.206026562513216049e+00,8.343463119003874453e+03
1.180000000000000000e+02,9.207379974472132744e+00,8.352669145566389489e+03
1.190000000000000000e+02,9.206162187086192716e+00,8.361876525540861621e+03
1.200000000000000000e+02,9.213439636579096259e+00,8.371082687727946904e+03
1.210000000000000000e+02,9.206177741406463610e+00,8.380296127364526910e+03
1.220000000000000000e+02,9.207426792409933114e+00,8.389502305105932464e+03
1.230000000000000000e+02,9.206035865528974682e+00,8.398709731898343307e+03
1.240000000000000000e+02,9.212951610492382315e+00,8.407915767763872282e+03
1.250000000000000000e+02,9.206260144635962206e+00,8.417128719374362845e+03
1.260000000000000000e+02,9.207272276370531472e+00,8.426334979519000626e+03
1.270000000000000000e+02,9.205871884137195593e+00,8.435542251795370248e+03
1.280000000000000000e+02,9.211696942068556382e+00,8.444748123679506534e+03
1.290000000000000000e+02,9.206299386095452064e+00,8.453959820621576000e+03
1.300000000000000000e+02,9.206936122723163862e+00,8.463166120007670543e+03
1.310000000000000000e+02,9.205700676004198613e+00,8.472373056130394616e+03
1.320000000000000000e+02,9.209970145753686666e+00,8.481578756806398815e+03
1.330000000000000000e+02,9.206379603971981851e+00,8.490788726952152501e+03
1.340000000000000000e+02,9.206546734792027564e+00,8.499995106556125393e+03
1.350000000000000000e+02,9.205587076907249866e+00,8.509201653290916511e+03
1.360000000000000000e+02,9.208121871462026320e+00,8.518407240367823761e+03
1.370000000000000000e+02,9.206480181717779487e+00,8.527615362239284877e+03
1.380000000000000000e+02,9.206184112619666848e+00,8.536821842421002657e+03
1.390000000000000000e+02,9.205553201068141789e+00,8.546028026533622324e+03
1.400000000000000000e+02,9.206498964089405490e+00,8.555233579734691375e+03
1.410000000000000000e+02,9.206577551637565193e+00,8.564440078698780781e+03
1.420000000000000000e+02,9.205931914661050541e+00,8.573646656250417436e+03
1.430000000000000000e+02,9.205698735057922022e+00,8.582852588165078487e+03
1.440000000000000000e+02,9.205439599355486280e+00,8.592058286900137318e+03
1.450000000000000000e+02,9.206701407334549003e+00,8.601263726499491895e+03
1.460000000000000000e+02,9.205840058493777178e+00,8.610470427906828263e+03
1.470000000000000000e+02,9.206102052131427627e+00,8.619676267965322040e+03
1.480000000000000000e+02,9.205023081347462721e+00,8.628882370017452558e+03
1.490000000000000000e+02,9.206838144961693615e+00,8.638087393098800021e+03
1.500000000000000000e+02,9.205882995752290299e+00,8.647294231243762624e+03
1.510000000000000000e+02,9.206893230215428048e+00,8.656500114239514005e+03
1.520000000000000000e+02,9.205063194024660334e+00,8.665707007469729433e+03
1.530000000000000000e+02,9.207024875731804059e+00,8.674912070663755003e+03
1.540000000000000000e+02,9.206076405231215176e+00,8.684119095539484988e+03
1.550000000000000000e+02,9.208162976960920787e+00,8.693325171944718022e+03
1.560000000000000000e+02,9.205347932271251921e+00,8.702533334921678033e+03
1.570000000000000000e+02,9.207241764508580673e+00,8.711738682853949285e+03
1.580000000000000000e+02,9.206351333846214402e+00,8.720945924618457866e+03
1.590000000000000000e+02,9.209757028867898043e+00,8.730152275952303171e+03
1.600000000000000000e+02,9.205686509087172453e+00,8.739362032981171069e+03
1.610000000000000000e+02,9.207418368563594413e+00,8.748567719490260060e+03
1.620000000000000000e+02,9.206572430877713487e+00,8.757775137858821836e+03
1.630000000000000000e+02,9.211412427469440445e+00,8.766981710289699549e+03
1.640000000000000000e+02,9.206011055081944505e+00,8.776193122717169899e+03
1.650000000000000000e+02,9.207568914592229703e+00,8.785399133772250934e+03
1.660000000000000000e+02,9.206670050005413941e+00,8.794606702686844073e+03
1.670000000000000000e+02,9.212808246064014384e+00,8.803813372736849487e+03
1.680000000000000000e+02,9.206247937931948400e+00,8.813026180982913502e+03
1.690000000000000000e+02,9.207670100424365955e+00,8.822232428920844541e+03
1.700000000000000000e+02,9.206561615407736099e+00,8.831440099021270726e+03
1.710000000000000000e+02,9.213582140213475213e+00,8.840646660636677552e+03
1.720000000000000000e+02,9.206313620647961216e+00,8.849860242776891027e+03
1.730000000000000000e+02,9.207651592391812301e+00,8.859066556397538079e+03
1.740000000000000000e+02,9.206320087626409077e+00,8.868274207989930801e+03
1.750000000000000000e+02,9.213533875814391649e+00,8.877480528077558120e+03
1.760000000000000000e+02,9.206298444018102600e+00,8.886694061953370692e+03
1.770000000000000000e+02,9.207457010292273480e+00,8.895900360397390614e+03
1.780000000000000000e+02,9.206054073438281193e+00,8.905107817407682887e+03
1.790000000000000000e+02,9.212647198969534656e+00,8.914313871481121168e+03
1.800000000000000000e+02,9.206232540086602967e+00,8.923526518680089794e+03
1.810000000000000000e+02,9.207063778015253774e+00,8.932732751220177306e+03
