Time (BJD_TBD - 2450000), F_d/F_star (ppm)
9.889738951106788591e+03,2.574872103302569215e+01
9.889738967985791533e+03,2.575048825465481883e+01
9.889738984864792656e+03,2.575225552790659478e+01
9.889739001743795598e+03,2.575402285316072692e+01
9.889739018622798540e+03,2.575579023022553926e+01
9.889739035501801482e+03,2.575755765909982387e+01
9.889739052380804424e+03,2.575932513978237637e+01
9.889739069259807366e+03,2.576109267227198529e+01
9.889739086138810308e+03,2.576286025656741074e+01
9.889739103017813250e+03,2.576462789266747677e+01
9.889739119896814373e+03,2.576639558038045053e+01
9.889739136775817315e+03,2.576816332008613131e+01
9.889739153654820257e+03,2.576993111159279692e+01
9.889739170533823199e+03,2.577169895489922524e+01
9.889739187412826141e+03,2.577346685000424387e+01
9.889739204291829083e+03,2.577523479690659869e+01
9.889739221170832025e+03,2.577700279560508889e+01
9.889739238049834967e+03,2.577877084609851721e+01
9.889739254928836090e+03,2.578053894819509750e+01
9.889739271807839032e+03,2.578230710227473566e+01
9.889739288686841974e+03,2.578407530814565973e+01
9.889739305565844916e+03,2.578584356580665826e+01
9.889739322444847858e+03,2.578761187525652332e+01
9.889739339323850800e+03,2.578938023649404343e+01
9.889739356202853742e+03,2.579114864951798936e+01
9.889739373081856684e+03,2.579291711432717449e+01
9.889739389960857807e+03,2.579468563072977716e+01
9.889739406839860749e+03,2.579645419910576720e+01
9.889739423718863691e+03,2.579822281926334782e+01
9.889739440597866633e+03,2.579999149120129687e+01
9.889739457476869575e+03,2.580176021491840643e+01
9.889739474355872517e+03,2.580352899041346504e+01
9.889739491234875459e+03,2.580529781768526831e+01
9.889739508113878401e+03,2.580706669673257991e+01
9.889739524992879524e+03,2.580883562736358172e+01
9.889739541871882466e+03,2.581060460995830752e+01
9.889739558750885408e+03,2.581237364432489656e+01
9.889739575629888350e+03,2.581414273046216934e+01
9.889739592508891292e+03,2.581591186836891083e+01
9.889739609387894234e+03,2.581768105804388114e+01
9.889739626266897176e+03,2.581945029948587944e+01
9.889739643145900118e+03,2.582121959269370137e+01
9.889739660024901241e+03,2.582298893747545421e+01
9.889739676903904183e+03,2.582475833421125699e+01
9.889739693782907125e+03,2.582652778270925253e+01
9.889739710661910067e+03,2.582829728296819027e+01
9.889739727540913009e+03,2.583006683498690137e+01
9.889739744419915951e+03,2.583183643876412461e+01
9.889739761298918893e+03,2.583360609429869115e+01
9.889739778177921835e+03,2.583537580158935398e+01
9.889739795056922958e+03,2.583714556044419552e+01
9.889739811935925900e+03,2.583891537124344140e+01
9.889739828814928842e+03,2.584068523379514559e+01
9.889739845693931784e+03,2.584245514809811084e+01
9.889739862572934726e+03,2.584422511415111146e+01
9.889739879451937668e+03,2.584599513195293952e+01
9.889739896330940610e+03,2.584776520150237999e+01
9.889739913209943552e+03,2.584953532279822497e+01
9.889739930088944675e+03,2.585130549564848579e+01
9.889739946967947617e+03,2.585307572043347690e+01
9.889739963846950559e+03,2.585484599696123453e+01
9.889739980725953501e+03,2.585661632523050812e+01
9.889739997604956443e+03,2.585838670524014660e+01
9.889740014483959385e+03,2.586015713698888518e+01
9.889740031362962327e+03,2.586192762047551241e+01
9.889740048241965269e+03,2.586369815569883102e+01
9.889740065120966392e+03,2.586546874246681682e+01
9.889740081999969334e+03,2.586723938115986954e+01
9.889740098878972276e+03,2.586901007158596499e+01
9.889740115757975218e+03,2.587078081374388105e+01
9.889740132636978160e+03,2.587255160763242046e+01
9.889740149515981102e+03,2.587432245325036462e+01
9.889740166394984044e+03,2.587609335059649140e+01
9.889740183273986986e+03,2.587786429966958224e+01
9.889740200152988109e+03,2.587963530027757386e+01
9.889740217031991051e+03,2.588140635280096546e+01
9.889740233910993993e+03,2.588317745704768669e+01
9.889740250789996935e+03,2.588494861301651895e+01
9.889740267668999877e+03,2.588671982070625432e+01
9.889740284548002819e+03,2.588849108011566713e+01
9.889740301427005761e+03,2.589026239124355300e+01
9.889740318306008703e+03,2.589203375408868624e+01
9.889740335185009826e+03,2.589380516845896096e+01
9.889740352064012768e+03,2.589557663473497229e+01
9.889740368943015710e+03,2.589734815272458945e+01
9.889740385822018652e+03,2.589911972242659388e+01
9.889740402701021594e+03,2.590089134383977409e+01
9.889740419580024536e+03,2.590266301696292572e+01
9.889740436459027478e+03,2.590443474179483729e+01
9.889740453338030420e+03,2.590620651833427601e+01
9.889740470217031543e+03,2.590797834638908270e+01
9.889740487096034485e+03,2.590975022633995195e+01
9.889740503975037427e+03,2.591152215799469971e+01
9.889740520854040369e+03,2.591329414135212872e+01
9.889740537733043311e+03,2.591506617641100618e+01
9.889740554612046253e+03,2.591683826317013839e+01
9.889740571491049195e+03,2.591861040162830676e+01
9.889740588370052137e+03,2.592038259178427140e+01
9.889740605249053260e+03,2.592215483344585891e+01
9.889740622128056202e+03,2.592392712699380652e+01
9.889740639007059144e+03,2.592569947223593374e+01
9.889740655886062086e+03,2.592747186917099356e+01
9.889740672765065028e+03,2.592924431779780647e+01
9.889740689644067970e+03,2.593101681811514325e+01
9.889740706523070912e+03,2.593278937012176755e+01
9.889740723402073854e+03,2.593456197381649275e+01
9.889740740281074977e+03,2.593633462900705666e+01
9.889740757160077919e+03,2.593810733607431729e+01
9.889740774039080861e+03,2.593988009482600887e+01
9.889740790918083803e+03,2.594165290526093770e+01
9.889740807797086745e+03,2.594342576737787809e+01
9.889740824676089687e+03,2.594519868117561856e+01
9.889740841555092629e+03,2.594697164665292632e+01
9.889740858434095571e+03,2.594874466380859346e+01
9.889740875313096694e+03,2.595051773245035065e+01
9.889740892192099636e+03,2.595229085295910920e+01
9.889740909071102578e+03,2.595406402514257849e+01
9.889740925950105520e+03,2.595583724899955058e+01
9.889740942829108462e+03,2.595761052452880335e+01
9.889740959708111404e+03,2.595938385172912533e+01
9.889740976587114346e+03,2.596115723059929792e+01
9.889740993466117288e+03,2.596293066113810255e+01
9.889741010345118411e+03,2.596470414315321307e+01
9.889741027224121353e+03,2.596647767702565091e+01
9.889741044103124295e+03,2.596825126256306149e+01
9.889741060982127237e+03,2.597002489976424400e+01
9.889741077861130179e+03,2.597179858862799051e+01
9.889741094740133121e+03,2.597357232915306824e+01
9.889741111619136063e+03,2.597534612133826926e+01
9.889741128498139005e+03,2.597711996518238209e+01
9.889741145377140128e+03,2.597889386049300597e+01
9.889741162256143070e+03,2.598066780765127248e+01
9.889741179135146012e+03,2.598244180646479506e+01
9.889741196014148954e+03,2.598421585693234803e+01
9.889741212893151896e+03,2.598598995905273057e+01
9.889741229772154838e+03,2.598776411282472054e+01
9.889741246651157780e+03,2.598953831824709582e+01
9.889741263530160722e+03,2.599131257531864492e+01
9.889741280409161845e+03,2.599308688384694221e+01
9.889741297288164787e+03,2.599486124421317612e+01
9.889741314167167729e+03,2.599663565622493877e+01
9.889741331046170671e+03,2.599841011988100092e+01
9.889741347925173613e+03,2.600018463518016176e+01
9.889741364804176555e+03,2.600195920212119205e+01
9.889741381683179497e+03,2.600373382070285899e+01
9.889741398562182439e+03,2.600550849092397954e+01
9.889741415441183563e+03,2.600728321259206410e+01
9.889741432320186505e+03,2.600905798608840414e+01
9.889741449199189447e+03,2.601083281122052071e+01
9.889741466078192389e+03,2.601260768798722012e+01
9.889741482957195331e+03,2.601438261638725535e+01
9.889741499836198273e+03,2.601615759641944337e+01
9.889741516715201215e+03,2.601793262808253715e+01
9.889741533594204157e+03,2.601970771137532523e+01
9.889741550473205280e+03,2.602148284610530027e+01
9.889741567352208222e+03,2.602325803265384963e+01
9.889741584231211164e+03,2.602503327082843398e+01
9.889741601110214106e+03,2.602680856062783832e+01
9.889741617989217048e+03,2.602858390205087247e+01
9.889741634868219990e+03,2.603035929509630009e+01
9.889741651747222932e+03,2.603213473976290615e+01
9.889741668626225874e+03,2.603391023604947208e+01
9.889741685505226997e+03,2.603568578376342302e+01
9.889741702384229939e+03,2.603746138328626003e+01
9.889741719263232881e+03,2.603923703442538340e+01
9.889741736142235823e+03,2.604101273717961007e+01
9.889741753021238765e+03,2.604278849154770370e+01
9.889741769900241707e+03,2.604456429752846347e+01
9.889741786779244649e+03,2.604634015512064948e+01
9.889741803658247591e+03,2.604811606432304316e+01
9.889741820537248714e+03,2.604989202494305900e+01
9.889741837416251656e+03,2.605166803736224779e+01
9.889741854295254598e+03,2.605344410138799205e+01
9.889741871174257540e+03,2.605522021701908741e+01
9.889741888053260482e+03,2.605699638425430109e+01
9.889741904932263424e+03,2.605877260309244647e+01
9.889741921811266366e+03,2.606054887353226945e+01
9.889741938690269308e+03,2.606232519557256566e+01
9.889741955569270431e+03,2.606410156902068564e+01
9.889741972448273373e+03,2.606587799425827967e+01
9.889741989327276315e+03,2.606765447109269118e+01
9.889742006206279257e+03,2.606943099952269449e+01
9.889742023085282199e+03,2.607120757954708523e+01
9.889742039964285141e+03,2.607298421116464837e+01
9.889742056843288083e+03,2.607476089437415823e+01
9.889742073722291025e+03,2.607653762917438911e+01
9.889742090601292148e+03,2.607831441537264539e+01
9.889742107480295090e+03,2.608009125335067324e+01
9.889742124359298032e+03,2.608186814291576994e+01
9.889742141238300974e+03,2.608364508406672400e+01
9.889742158117303916e+03,2.608542207680230618e+01
9.889742174996306858e+03,2.608719912112131922e+01
9.889742191875309800e+03,2.608897621702251968e+01
9.889742208754312742e+03,2.609075336450469962e+01
9.889742225633313865e+03,2.609253056337512433e+01
9.889742242512316807e+03,2.609430781401559685e+01
9.889742259391319749e+03,2.609608511623340021e+01
9.889742276270322691e+03,2.609786247002730164e+01
