Time (BJD_TBD - 2450000), L_c/L_star (ppm)
9.913946643518749624e+03,4.216600695260252110e+02
9.913946661622412648e+03,4.216640313881836164e+02
9.913946679726073853e+03,4.216679928034449176e+02
9.913946697829736877e+03,4.216719537725965665e+02
9.913946715933398082e+03,4.216759142948338308e+02
9.913946734037061105e+03,4.216798743709439350e+02
9.913946752140722310e+03,4.216838340001222036e+02
9.913946770244385334e+03,4.216877931831556907e+02
9.913946788348046539e+03,4.216917519192400619e+02
9.913946806451709563e+03,4.216957102091619731e+02
9.913946824555372586e+03,4.216996680525151078e+02
9.913946842659033791e+03,4.217036254488929217e+02
9.913946860762696815e+03,4.217075823990820709e+02
9.913946878866358020e+03,4.217115389022787895e+02
9.913946896970021044e+03,4.217154949592690514e+02
9.913946915073682248e+03,4.217194505692496023e+02
9.913946933177345272e+03,4.217234057330061887e+02
9.913946951281006477e+03,4.217273604497356132e+02
9.913946969384669501e+03,4.217313147202235655e+02
9.913946987488332525e+03,4.217352685440641835e+02
9.913947005591993729e+03,4.217392219208514348e+02
9.913947023695656753e+03,4.217431748513711227e+02
9.913947041799317958e+03,4.217471273348200498e+02
9.913947059902980982e+03,4.217510793719838489e+02
9.913947078006642187e+03,4.217550309620596067e+02
9.913947096110305210e+03,4.217589821058326152e+02
9.913947114213966415e+03,4.217629328025003588e+02
9.913947132317629439e+03,4.217668830528478452e+02
9.913947150421292463e+03,4.217708328564694966e+02
9.913947168524953668e+03,4.217747822129597353e+02
9.913947186628616691e+03,4.217787311231033982e+02
9.913947204732277896e+03,4.217826795860984248e+02
9.913947222835940920e+03,4.217866276027294816e+02
9.913947240939602125e+03,4.217905751721943943e+02
9.913947259043265149e+03,4.217945222952778295e+02
9.913947277146926353e+03,4.217984689711779538e+02
9.913947295250589377e+03,4.218024152006789791e+02
9.913947313354252401e+03,4.218063609833758392e+02
9.913947331457913606e+03,4.218103063188632973e+02
9.913947349561576630e+03,4.218142512079254516e+02
9.913947367665237834e+03,4.218181956497609804e+02
9.913947385768900858e+03,4.218221396451538112e+02
9.913947403872562063e+03,4.218260831933026225e+02
9.913947421976225087e+03,4.218300262949910575e+02
9.913947440079888111e+03,4.218339689498143343e+02
9.913947458183549315e+03,4.218379111573677847e+02
9.913947476287212339e+03,4.218418529184348245e+02
9.913947494390873544e+03,4.218457942322144731e+02
9.913947512494536568e+03,4.218497350994901467e+02
9.913947530598197773e+03,4.218536755194613193e+02
9.913947548701860796e+03,4.218576154929111226e+02
9.913947566805522001e+03,4.218615550190389740e+02
9.913947584909185025e+03,4.218654940986280053e+02
9.913947603012848049e+03,4.218694327312736050e+02
9.913947621116509254e+03,4.218733709165713321e+02
9.913947639220172277e+03,4.218773086553041480e+02
9.913947657323833482e+03,4.218812459466716973e+02
9.913947675427496506e+03,4.218851827914567707e+02
9.913947693531157711e+03,4.218891191888595245e+02
9.913947711634820735e+03,4.218930551396622946e+02
9.913947729738481939e+03,4.218969906430652941e+02
9.913947747842144963e+03,4.219009256998509159e+02
9.913947765945807987e+03,4.219048603096148895e+02
9.913947784049469192e+03,4.219087944719533994e+02
9.913947802153132216e+03,4.219127281876482698e+02
9.913947820256793420e+03,4.219166614559002824e+02
9.913947838360456444e+03,4.219205942774912614e+02
9.913947856464117649e+03,4.219245266516220454e+02
9.913947874567780673e+03,4.219284585790744018e+02
9.913947892671441878e+03,4.219323900590494532e+02
9.913947910775104901e+03,4.219363210923284555e+02
9.913947928878767925e+03,4.219402516785078205e+02
9.913947946982429130e+03,4.219441818171839600e+02
9.913947965086092154e+03,4.219481115091380730e+02
9.913947983189753359e+03,4.219520407535715663e+02
9.913948001293416382e+03,4.219559695512656390e+02
9.913948019397077587e+03,4.219598979014220390e+02
9.913948037500740611e+03,4.219638258048213402e+02
9.913948055604401816e+03,4.219677532606657451e+02
9.913948073708064840e+03,4.219716802697357707e+02
9.913948091811727863e+03,4.219756068316281130e+02
9.913948109915389068e+03,4.219795329459396385e+02
9.913948128019052092e+03,4.219834586134507504e+02
9.913948146122713297e+03,4.219873838333638219e+02
9.913948164226376321e+03,4.219913086064589152e+02
9.913948182330037525e+03,4.219952329319387445e+02
9.913948200433700549e+03,4.219991568105832016e+02
9.913948218537361754e+03,4.220030802415952849e+02
9.913948236641024778e+03,4.220070032257546018e+02
9.913948254744687802e+03,4.220109257626582462e+02
9.913948272848349006e+03,4.220148478519035962e+02
9.913948290952012030e+03,4.220187694942702592e+02
