Time (BJD_TBD - 2450000), F_c/F_star (ppm)
1.065014445042433545e+04,5.426472882104555993e+02
1.065014447171465872e+04,5.426547126207894962e+02
1.065014449300498381e+04,5.426621362547066383e+02
1.065014451429530709e+04,5.426695591109161114e+02
1.065014453558563036e+04,5.426769811900290961e+02
1.065014455687595364e+04,5.426844024920234233e+02
1.065014457816627691e+04,5.426918230168761283e+02
1.065014459945660019e+04,5.426992427645645876e+02
1.065014462074692347e+04,5.427066617350664046e+02
1.065014464203724674e+04,5.427140799283587285e+02
1.065014466332757002e+04,5.427214973444189354e+02
1.065014468461789511e+04,5.427289139838579786e+02
1.065014470590821838e+04,5.427363298453861944e+02
1.065014472719854166e+04,5.427437449296143086e+02
1.065014474848886493e+04,5.427511592365199249e+02
1.065014476977918821e+04,5.427585727660804196e+02
1.065014479106951148e+04,5.427659855182730553e+02
1.065014481235983476e+04,5.427733974930750946e+02
1.065014483365015803e+04,5.427808086904642551e+02
1.065014485494048131e+04,5.427882191104176854e+02
1.065014487623080640e+04,5.427956287535458841e+02
1.065014489752112968e+04,5.428030376185600971e+02
1.065014491881145295e+04,5.428104457060707091e+02
1.065014494010177623e+04,5.428178530160554374e+02
1.065014496139209950e+04,5.428252595484914309e+02
1.065014498268242278e+04,5.428326653033560660e+02
1.065014500397274605e+04,5.428400702806269464e+02
1.065014502526306933e+04,5.428474744802813348e+02
1.065014504655339260e+04,5.428548779022966073e+02
1.065014506784371770e+04,5.428622805472824666e+02
1.065014508913404097e+04,5.428696824139518640e+02
1.065014511042436425e+04,5.428770835029143882e+02
1.065014513171468752e+04,5.428844838141475293e+02
1.065014515300501080e+04,5.428918833476285499e+02
1.065014517429533407e+04,5.428992821033350538e+02
1.065014519558565735e+04,5.429066800812445308e+02
1.065014521687598062e+04,5.429140772813342437e+02
1.065014523816630390e+04,5.429214737035817961e+02
1.065014525945662899e+04,5.429288693485962085e+02
1.065014528074695227e+04,5.429362642150912279e+02
1.065014530203727554e+04,5.429436583036765569e+02
1.065014532332759882e+04,5.429510516143292307e+02
1.065014534461792209e+04,5.429584441470267393e+02
1.065014536590824537e+04,5.429658359017465727e+02
1.065014538719856864e+04,5.429732268784663347e+02
1.065014540848889192e+04,5.429806170771632878e+02
1.065014542977921519e+04,5.429880064978150358e+02
1.065014545106954029e+04,5.429953951410301443e+02
1.065014547235986356e+04,5.430027830055237246e+02
1.065014549365018684e+04,5.430101700919042287e+02
1.065014551494051011e+04,5.430175564001492603e+02
1.065014553623083339e+04,5.430249419302363094e+02
1.065014555752115666e+04,5.430323266821428660e+02
1.065014557881147994e+04,5.430397106558463065e+02
1.065014560010180321e+04,5.430470938513242345e+02
1.065014562139212649e+04,5.430544762685540263e+02
1.065014564268245158e+04,5.430618579081437929e+02
1.065014566397277486e+04,5.430692387688097824e+02
1.065014568526309813e+04,5.430766188511599921e+02
1.065014570655342141e+04,5.430839981551720257e+02
1.065014572784374468e+04,5.430913766808233731e+02
1.065014574913406796e+04,5.430987544280915245e+02
1.065014577042439123e+04,5.431061313969538560e+02
1.065014579171471451e+04,5.431135075873880851e+02
1.065014581300503778e+04,5.431208829993714744e+02
1.065014583429536287e+04,5.431282576335116801e+02
1.065014585558568615e+04,5.431356314885259735e+02
1.065014587687600942e+04,5.431430045650221246e+02
1.065014589816633270e+04,5.431503768629775095e+02
1.065014591945665597e+04,5.431577483823696184e+02
1.065014594074697925e+04,5.431651191231759412e+02
1.065014596203730252e+04,5.431724890853740817e+02
1.065014598332762580e+04,5.431798582689416435e+02
1.065014600461794907e+04,5.431872266738560029e+02
1.065014602590827417e+04,5.431945943007240203e+02
1.065014604719859744e+04,5.432019611482644450e+02
1.065014606848892072e+04,5.432093272170842511e+02
1.065014608977924399e+04,5.432166925071610422e+02
1.065014611106956727e+04,5.432240570184720809e+02
1.065014613235989054e+04,5.432314207509951984e+02
1.065014615365021382e+04,5.432387837047077710e+02
1.065014617494053709e+04,5.432461458795874023e+02
1.065014619623086037e+04,5.432535072756115824e+02
1.065014621752118546e+04,5.432608678933867168e+02
1.065014623881150874e+04,5.432682277316326918e+02
1.065014626010183201e+04,5.432755867909557992e+02
1.065014628139215529e+04,5.432829450713336428e+02
1.065014630268247856e+04,5.432903025727437125e+02
1.065014632397280184e+04,5.432976592951637258e+02
1.065014634526312511e+04,5.433050152385710589e+02
1.065014636655344839e+04,5.433123704029433156e+02
1.065014638784377166e+04,5.433197247882582133e+02
1.065014640913409676e+04,5.433270783951212479e+02
1.065014643042442003e+04,5.433344312222538974e+02
1.065014645171474331e+04,5.433417832702615442e+02
1.065014647300506658e+04,5.433491345391220193e+02
1.065014649429538986e+04,5.433564850288128127e+02
1.065014651558571313e+04,5.433638347393115282e+02
1.065014653687603641e+04,5.433711836705957694e+02
1.065014655816635968e+04,5.433785318226430263e+02
1.065014657945668296e+04,5.433858791954310163e+02
1.065014660074700805e+04,5.433932257895647808e+02
1.065014662203733133e+04,5.434005716037667071e+02
1.065014664332765460e+04,5.434079166386419502e+02
1.065014666461797788e+04,5.434152608941683411e+02
1.065014668590830115e+04,5.434226043703232563e+02
1.065014670719862443e+04,5.434299470670844130e+02
1.065014672848894770e+04,5.434372889844293013e+02
1.065014674977927098e+04,5.434446301223355249e+02
1.065014677106959425e+04,5.434519704807809148e+02
1.065014679235991935e+04,5.434593100603696030e+02
1.065014681365024262e+04,5.434666488598255683e+02
1.065014683494056590e+04,5.434739868797533973e+02
1.065014685623088917e+04,5.434813241201305800e+02
1.065014687752121245e+04,5.434886605809348339e+02
1.065014689881153572e+04,5.434959962621436489e+02
1.065014692010185900e+04,5.435033311637348561e+02
1.065014694139218227e+04,5.435106652856858318e+02
1.065014696268250555e+04,5.435179986279742934e+02
1.065014698397283064e+04,5.435253311912042591e+02
1.065014700526315391e+04,5.435326629741006172e+02
1.065014702655347719e+04,5.435399939772673861e+02
1.065014704784380046e+04,5.435473242006820556e+02
1.065014706913412374e+04,5.435546536443224568e+02
1.065014709042444701e+04,5.435619823081661934e+02
1.065014711171477029e+04,5.435693101921908692e+02
1.065014713300509356e+04,5.435766372963740878e+02
1.065014715429541684e+04,5.435839636206934529e+02
1.065014717558574193e+04,5.435912891657525279e+02
1.065014719687606521e+04,5.435986139302773381e+02
1.065014721816638848e+04,5.436059379148712196e+02
1.065014723945671176e+04,5.436132611195118898e+02
1.065014726074703503e+04,5.436205835441770660e+02
1.065014728203735831e+04,5.436279051888444656e+02
1.065014730332768158e+04,5.436352260534916923e+02
1.065014732461800486e+04,5.436425461380962361e+02
1.065014734590832813e+04,5.436498654426360417e+02
1.065014736719865323e+04,5.436571839677137632e+02
1.065014738848897650e+04,5.436645017120566763e+02
1.065014740977929978e+04,5.436718186762677760e+02
1.065014743106962305e+04,5.436791348603247798e+02
1.065014745235994633e+04,5.436864502642050638e+02
1.065014747365026960e+04,5.436937648878866867e+02
1.065014749494059288e+04,5.437010787313470246e+02
1.065014751623091615e+04,5.437083917945641360e+02
1.065014753752123943e+04,5.437157040775152836e+02
1.065014755881156452e+04,5.437230155808031213e+02
1.065014758010188780e+04,5.437303263031558345e+02
1.065014760139221107e+04,5.437376362451757359e+02
1.065014762268253435e+04,5.437449454068406567e+02
1.065014764397285762e+04,5.437522537881284279e+02
1.065014766526318090e+04,5.437595613890165396e+02
1.065014768655350417e+04,5.437668682094827091e+02
1.065014770784382745e+04,5.437741742495047674e+02
1.065014772913415072e+04,5.437814795090603184e+02
1.065014775042447582e+04,5.437887839887511063e+02
1.065014777171479909e+04,5.437960876873067946e+02
1.065014779300512237e+04,5.438033906053291275e+02
1.065014781429544564e+04,5.438106927427958226e+02
1.065014783558576892e+04,5.438179940996847108e+02
1.065014785687609219e+04,5.438252946759732822e+02
1.065014787816641547e+04,5.438325944716394815e+02
1.065014789945673874e+04,5.438398934866610261e+02
1.065014792074706202e+04,5.438471917210155198e+02
1.065014794203738711e+04,5.438544891753041384e+02
1.065014796332771039e+04,5.438617858482579095e+02
1.065014798461803366e+04,5.438690817404777818e+02
1.065014800590835694e+04,5.438763768519415862e+02
1.065014802719868021e+04,5.438836711826271539e+02
1.065014804848900349e+04,5.438909647325120886e+02
1.065014806977932676e+04,5.438982575015742214e+02
1.065014809106965004e+04,5.439055494897913832e+02
1.065014811235997331e+04,5.439128406971411778e+02
1.065014813365029840e+04,5.439201311242242127e+02
1.065014815494062168e+04,5.439274207697726524e+02
1.065014817623094496e+04,5.439347096343869907e+02
1.065014819752126823e+04,5.439419977180450587e+02
1.065014821881159151e+04,5.439492850207245738e+02
1.065014824010191478e+04,5.439565715424033669e+02
1.065014826139223806e+04,5.439638572830591556e+02
1.065014828268256133e+04,5.439711422426698846e+02
1.065014830397288461e+04,5.439784264212129301e+02
1.065014832526320970e+04,5.439857098192887861e+02
1.065014834655353297e+04,5.439929924356304127e+02
1.065014836784385625e+04,5.440002742708378491e+02
1.065014838913417952e+04,5.440075553248889264e+02
1.065014841042450280e+04,5.440148355977615893e+02
1.065014843171482607e+04,5.440221150894334414e+02
1.065014845300514935e+04,5.440293937998824276e+02
1.065014847429547262e+04,5.440366717290862653e+02
1.065014849558579590e+04,5.440439488770225580e+02
1.065014851687612099e+04,5.440512252442910039e+02
1.065014853816644427e+04,5.440585008296260412e+02
1.065014855945676754e+04,5.440657756336270268e+02
1.065014858074709082e+04,5.440730496562717917e+02
1.065014860203741409e+04,5.440803228975382808e+02
1.065014862332773737e+04,5.440875953574042114e+02
1.065014864461806064e+04,5.440948670358474146e+02
1.065014866590838392e+04,5.441021379328457215e+02
1.065014868719870719e+04,5.441094080483768494e+02
1.065014870848903047e+04,5.441166773824187430e+02
1.065014872977935556e+04,5.441239459355700774e+02
1.065014875106967884e+04,5.441312137065666548e+02
1.065014877236000211e+04,5.441384806960076048e+02
1.065014879365032539e+04,5.441457469038704176e+02
1.065014881494064866e+04,5.441530123301331514e+02
1.065014883623097194e+04,5.441602769747735238e+02
1.065014885752129521e+04,5.441675408377693657e+02
1.065014887881161849e+04,5.441748039190985082e+02
1.065014890010194176e+04,5.441820662187390099e+02
1.065014892139226686e+04,5.441893277372887496e+02
1.065014894268259013e+04,5.441965884734848942e+02
1.065014896397291341e+04,5.442038484279258910e+02
1.065014898526323668e+04,5.442111076005893437e+02
1.065014900655355996e+04,5.442183659914533109e+02
1.065014902784388323e+04,5.442256236004955099e+02
1.065014904913420651e+04,5.442328804276937717e+02
1.065014907042452978e+04,5.442401364730261548e+02
1.065014909171485306e+04,5.442473917364702629e+02
1.065014911300517815e+04,5.442546462186238614e+02
1.065014913429550143e+04,5.442618999182252537e+02
1.065014915558582470e+04,5.442691528358720916e+02
1.065014917687614798e+04,5.442764049715423198e+02
1.065014919816647125e+04,5.442836563252135420e+02
1.065014921945679453e+04,5.442909068968640440e+02
1.065014924074711780e+04,5.442981566864714296e+02
1.065014926203744108e+04,5.443054056940135297e+02
1.065014928332776435e+04,5.443126539194684028e+02
1.065014930461808945e+04,5.443199013634330186e+02
1.065014932590841272e+04,5.443271480246469309e+02
1.065014934719873600e+04,5.443343939037072232e+02
1.065014936848905927e+04,5.443416390005917265e+02
1.065014938977938255e+04,5.443488833152783855e+02
1.065014941106970582e+04,5.443561268477451449e+02
1.065014943236002910e+04,5.443633695979698359e+02
1.065014945365035237e+04,5.443706115659304032e+02
1.065014947494067565e+04,5.443778527516047916e+02
1.065014949623100074e+04,5.443850931555892885e+02
