Time (BJD_TBD - 2450000), F_c/F_star (ppm)
1.014093855324061587e+04,1.075871718765691440e+02
1.014093857208740883e+04,1.075963672440394276e+02
1.014093859093419996e+04,1.076055628749334545e+02
1.014093860978099292e+04,1.076147587710043751e+02
1.014093862862778406e+04,1.076239549304550565e+02
1.014093864747457701e+04,1.076331513550386916e+02
1.014093866632136815e+04,1.076423480429580479e+02
1.014093868516816110e+04,1.076515449959663755e+02
1.014093870401495224e+04,1.076607422122664843e+02
1.014093872286174519e+04,1.076699396936116102e+02
1.014093874170853633e+04,1.076791374382044495e+02
1.014093876055532928e+04,1.076883354477984085e+02
1.014093877940212042e+04,1.076975337205960699e+02
1.014093879824891337e+04,1.077067322583508826e+02
1.014093881709570451e+04,1.077159310592653725e+02
1.014093883594249746e+04,1.077251301250931022e+02
1.014093885478928860e+04,1.077343294540364269e+02
1.014093887363608155e+04,1.077435290478490941e+02
1.014093889248287269e+04,1.077527289047332602e+02
1.014093891132966564e+04,1.077619290264428997e+02
1.014093893017645678e+04,1.077711294111799418e+02
1.014093894902324973e+04,1.077803300606985175e+02
1.014093896787004269e+04,1.077895309740885068e+02
1.014093898671683382e+04,1.077987321504400313e+02
1.014093900556362678e+04,1.078079335915070089e+02
1.014093902441041791e+04,1.078171352954913687e+02
1.014093904325721087e+04,1.078263372641473552e+02
1.014093906210400201e+04,1.078355394956766418e+02
1.014093908095079496e+04,1.078447419918335726e+02
1.014093909979758610e+04,1.078539447508197355e+02
1.014093911864437905e+04,1.078631477743896170e+02
1.014093913749117019e+04,1.078723510607447054e+02
1.014093915633796314e+04,1.078815546116395439e+02
1.014093917518475428e+04,1.078907584252755072e+02
1.014093919403154723e+04,1.078999625034072380e+02
1.014093921287833837e+04,1.079091668442360685e+02
1.014093923172513132e+04,1.079183714495166555e+02
1.014093925057192246e+04,1.079275763174503169e+02
1.014093926941871541e+04,1.079367814497918232e+02
1.014093928826550655e+04,1.079459868447422650e+02
1.014093930711229950e+04,1.079551925040565550e+02
1.014093932595909064e+04,1.079643984259357836e+02
1.014093934480588359e+04,1.079736046121349062e+02
1.014093936365267473e+04,1.079828110608548428e+02
1.014093938249946768e+04,1.079920177738507050e+02
1.014093940134626064e+04,1.080012247502119322e+02
1.014093942019305177e+04,1.080104319890278788e+02
1.014093943903984473e+04,1.080196394920537841e+02
1.014093945788663586e+04,1.080288472574903125e+02
1.014093947673342882e+04,1.080380552870927886e+02
1.014093949558021995e+04,1.080472635790618909e+02
1.014093951442701291e+04,1.080564721351529585e+02
1.014093953327380405e+04,1.080656809535664848e+02
1.014093955212059700e+04,1.080748900360580791e+02
1.014093957096738814e+04,1.080840993808279933e+02
1.014093958981418109e+04,1.080933089896319501e+02
1.014093960866097223e+04,1.081025188606702159e+02
1.014093962750776518e+04,1.081117289956985701e+02
1.014093964635455632e+04,1.081209393929170801e+02
1.014093966520134927e+04,1.081301500540816676e+02
1.014093968404814041e+04,1.081393609773923146e+02
1.014093970289493336e+04,1.081485721646051132e+02
1.014093972174172450e+04,1.081577836139198610e+02
1.014093974058851745e+04,1.081669953270926641e+02
1.014093975943530859e+04,1.081762073023233910e+02
1.014093977828210154e+04,1.081854195413682049e+02
1.014093979712889450e+04,1.081946320433159627e+02
1.014093981597568563e+04,1.082038448072554928e+02
1.014093983482247859e+04,1.082130578349431005e+02
1.014093985366926972e+04,1.082222711245783557e+02
1.014093987251606268e+04,1.082314846779176776e+02
1.014093989136285381e+04,1.082406984931604939e+02
1.014093991020964677e+04,1.082499125720634652e+02
1.014093992905643790e+04,1.082591269128257778e+02
1.014093994790323086e+04,1.082683415172041919e+02
1.014093996675002199e+04,1.082775563833979362e+02
1.014093998559681495e+04,1.082867715131636857e+02
1.014094000444360609e+04,1.082959869047006691e+02
1.014094002329039904e+04,1.083052025597656183e+02
1.014094004213719018e+04,1.083144184765577194e+02
1.014094006098398313e+04,1.083236346568338178e+02
1.014094007983077427e+04,1.083328510987928581e+02
1.014094009867756722e+04,1.083420678041918706e+02
1.014094011752435836e+04,1.083512847712297997e+02
1.014094013637115131e+04,1.083605020016636189e+02
1.014094015521794245e+04,1.083697194936921875e+02
1.014094017406473540e+04,1.083789372490727203e+02
1.014094019291152654e+04,1.083881552660038210e+02
1.014094021175831949e+04,1.083973735462428465e+02
1.014094023060511245e+04,1.084065920888780425e+02
1.014094024945190358e+04,1.084158108929976692e+02
1.014094026829869654e+04,1.084250299603591685e+02
1.014094028714548767e+04,1.084342492891609169e+02
1.014094030599228063e+04,1.084434688811604559e+02
1.014094032483907176e+04,1.084526887345561761e+02
1.014094034368586472e+04,1.084619088511056901e+02
1.014094036253265585e+04,1.084711292290071896e+02
1.014094038137944881e+04,1.084803498700184718e+02
1.014094040022623994e+04,1.084895707723375295e+02
1.014094041907303290e+04,1.084987919377224017e+02
1.014094043791982403e+04,1.085080133643708820e+02
1.014094045676661699e+04,1.085172350540411088e+02
1.014094047561340813e+04,1.085264570049308617e+02
1.014094049446020108e+04,1.085356792187982364e+02
1.014094051330699222e+04,1.085449016938410409e+02
1.014094053215378517e+04,1.085541244318173852e+02
1.014094055100057631e+04,1.085633474309250630e+02
1.014094056984736926e+04,1.085725706929221701e+02
1.014094058869416040e+04,1.085817942160064575e+02
1.014094060754095335e+04,1.085910180019361491e+02
1.014094062638774631e+04,1.086002420497991636e+02
1.014094064523453744e+04,1.086094663586829512e+02
1.014094066408133040e+04,1.086186909303461903e+02
1.014094068292812153e+04,1.086279157629861061e+02
1.014094070177491449e+04,1.086371408583613487e+02
1.014094072062170562e+04,1.086463662146691718e+02
1.014094073946849858e+04,1.086555918336682112e+02
1.014094075831528971e+04,1.086648177135556494e+02
1.014094077716208267e+04,1.086740438560903215e+02
1.014094079600887380e+04,1.086832702594691824e+02
1.014094081485566676e+04,1.086924969254511524e+02
1.014094083370245789e+04,1.087017238522332292e+02
1.014094085254925085e+04,1.087109510415743046e+02
1.014094087139604198e+04,1.087201784916712768e+02
1.014094089024283494e+04,1.087294062042832650e+02
1.014094090908962608e+04,1.087386341776069258e+02
1.014094092793641903e+04,1.087478624134015206e+02
1.014094094678321017e+04,1.087570909098635781e+02
1.014094096563000312e+04,1.087663196687525300e+02
1.014094098447679426e+04,1.087755486882648199e+02
1.014094100332358721e+04,1.087847779701598654e+02
1.014094102217037835e+04,1.087940075126340673e+02
1.014094104101717130e+04,1.088032373174469143e+02
1.014094105986396426e+04,1.088124673836856147e+02
1.014094107871075539e+04,1.088216977104371921e+02
1.014094109755754835e+04,1.088309282994612914e+02
1.014094111640433948e+04,1.088401591489541147e+02
1.014094113525113244e+04,1.088493902606754347e+02
1.014094115409792357e+04,1.088586216328211691e+02
1.014094117294471653e+04,1.088678532671513182e+02
1.014094119179150766e+04,1.088770851618617712e+02
1.014094121063830062e+04,1.088863173187124858e+02
1.014094122948509175e+04,1.088955497358993370e+02
1.014094124833188471e+04,1.089047824151823107e+02
1.014094126717867584e+04,1.089140153547572822e+02
1.014094128602546880e+04,1.089232485563842516e+02
1.014094130487225993e+04,1.089324820182589377e+02
1.014094132371905289e+04,1.089417157421416107e+02
1.014094134256584402e+04,1.089509497262278330e+02
1.014094136141263698e+04,1.089601839722778607e+02
1.014094138025942812e+04,1.089694184784872277e+02
1.014094139910622107e+04,1.089786532466163322e+02
1.014094141795301221e+04,1.089878882748606088e+02
1.014094143679980516e+04,1.089971235649804413e+02
1.014094145564659811e+04,1.090063591160625975e+02
1.014094147449338925e+04,1.090155949271935185e+02
1.014094149334018221e+04,1.090248310001339576e+02
1.014094151218697334e+04,1.090340673330789230e+02
1.014094153103376630e+04,1.090433039277892249e+02
1.014094154988055743e+04,1.090525407824599711e+02
1.014094156872735039e+04,1.090617778988518722e+02
1.014094158757414152e+04,1.090710152751599367e+02
1.014094160642093448e+04,1.090802529131451308e+02
1.014094162526772561e+04,1.090894908110022641e+02
1.014094164411451857e+04,1.090987289704923455e+02
1.014094166296130970e+04,1.091079673898101703e+02
1.014094168180810266e+04,1.091172060707168470e+02
1.014094170065489379e+04,1.091264450114069717e+02
1.014094171950168675e+04,1.091356842136418805e+02
1.014094173834847788e+04,1.091449236756159422e+02
1.014094175719527084e+04,1.091541633990907059e+02
1.014094177604206197e+04,1.091634033822604266e+02
1.014094179488885493e+04,1.091726436268866678e+02
1.014094181373564606e+04,1.091818841311636703e+02
1.014094183258243902e+04,1.091911248968530117e+02
1.014094185142923016e+04,1.092003659221488618e+02
1.014094187027602311e+04,1.092096072088129119e+02
1.014094188912281606e+04,1.092188487559312478e+02
1.014094190796960720e+04,1.092280905625897418e+02
1.014094192681640016e+04,1.092373326305502417e+02
1.014094194566319129e+04,1.092465749580065761e+02
1.014094196450998425e+04,1.092558175467208770e+02
1.014094198335677538e+04,1.092650603948868309e+02
1.014094200220356834e+04,1.092743035042664985e+02
1.014094202105035947e+04,1.092835468730535808e+02
1.014094203989715243e+04,1.092927905030102096e+02
