Time (BJD_TBD - 2450000), F_star + F_h (mJy)
1.065014438655336562e+04,3.607644288344626915e+00
1.065014440784368890e+04,3.607644288548379485e+00
1.065014442913401217e+04,3.607644288752132500e+00
1.065014445042433545e+04,3.607644288955885958e+00
1.065014447171465872e+04,3.607644289159640305e+00
1.065014449300498381e+04,3.607644289363394652e+00
1.065014451429530709e+04,3.607644289567149887e+00
1.065014453558563036e+04,3.607644289770905566e+00
1.065014455687595364e+04,3.607644289974661689e+00
1.065014457816627691e+04,3.607644290178418700e+00
1.065014459945660019e+04,3.607644290382176155e+00
1.065014462074692347e+04,3.607644290585933611e+00
1.065014464203724674e+04,3.607644290789691954e+00
1.065014466332757002e+04,3.607644290993450298e+00
1.065014468461789511e+04,3.607644291197209530e+00
1.065014470590821838e+04,3.607644291400969649e+00
1.065014472719854166e+04,3.607644291604729325e+00
1.065014474848886493e+04,3.607644291808490333e+00
1.065014476977918821e+04,3.607644292012251785e+00
1.065014479106951148e+04,3.607644292216013238e+00
1.065014481235983476e+04,3.607644292419775578e+00
1.065014483365015803e+04,3.607644292623538806e+00
1.065014485494048131e+04,3.607644292827302035e+00
1.065014487623080640e+04,3.607644293031066152e+00
1.065014489752112968e+04,3.607644293234829824e+00
1.065014491881145295e+04,3.607644293438594829e+00
1.065014494010177623e+04,3.607644293642360278e+00
1.065014496139209950e+04,3.607644293846125727e+00
1.065014498268242278e+04,3.607644294049892064e+00
1.065014500397274605e+04,3.607644294253659289e+00
1.065014502526306933e+04,3.607644294457426515e+00
1.065014504655339260e+04,3.607644294661194628e+00
1.065014506784371770e+04,3.607644294864963186e+00
1.065014508913404097e+04,3.607644295068732188e+00
1.065014511042436425e+04,3.607644295272501633e+00
1.065014513171468752e+04,3.607644295476271079e+00
1.065014515300501080e+04,3.607644295680041413e+00
1.065014517429533407e+04,3.607644295883812635e+00
1.065014519558565735e+04,3.607644296087584745e+00
1.065014521687598062e+04,3.607644296291356856e+00
1.065014523816630390e+04,3.607644296495128522e+00
1.065014525945662899e+04,3.607644296698902409e+00
1.065014528074695227e+04,3.607644296902675851e+00
1.065014530203727554e+04,3.607644297106449294e+00
1.065014532332759882e+04,3.607644297310223624e+00
1.065014534461792209e+04,3.607644297513998843e+00
1.065014536590824537e+04,3.607644297717774950e+00
1.065014538719856864e+04,3.607644297921551058e+00
1.065014540848889192e+04,3.607644298125327609e+00
1.065014542977921519e+04,3.607644298329104604e+00
1.065014545106954029e+04,3.607644298532882043e+00
1.065014547235986356e+04,3.607644298736660371e+00
1.065014549365018684e+04,3.607644298940439143e+00
1.065014551494051011e+04,3.607644299144217914e+00
1.065014553623083339e+04,3.607644299347998018e+00
1.065014555752115666e+04,3.607644299551778122e+00
1.065014557881147994e+04,3.607644299755558670e+00
1.065014560010180321e+04,3.607644299959339662e+00
1.065014562139212649e+04,3.607644300163121986e+00
1.065014564268245158e+04,3.607644300366903867e+00
1.065014566397277486e+04,3.607644300570686635e+00
