Time (BJD_TBD - 2450000), L_h/L_star (ppm)
9.880042316482935348e+03,6.660422616027998011e+00
9.880042335042662671e+03,6.660497782177792203e+00
9.880042353602388175e+03,6.660572948615772759e+00
9.880042372162115498e+03,6.660648115356680776e+00
9.880042390721841002e+03,6.660723282385774269e+00
9.880042409281568325e+03,6.660798449717782788e+00
9.880042427841293829e+03,6.660873617337974117e+00
9.880042446401021152e+03,6.660948785261076921e+00
9.880042464960746656e+03,6.661023953472350989e+00
9.880042483520473979e+03,6.661099121986536531e+00
9.880042502080199483e+03,6.661174290788889785e+00
9.880042520639924987e+03,6.661249459886772861e+00
9.880042539199652310e+03,6.661324629287556753e+00
9.880042557759377814e+03,6.661399798976498587e+00
9.880042576319105137e+03,6.661474968968330579e+00
9.880042594878830641e+03,6.661550139248321400e+00
9.880042613438557964e+03,6.661625309831197939e+00
9.880042631998283468e+03,6.661700480702221761e+00
9.880042650558010791e+03,6.661775651876122417e+00
9.880042669117736295e+03,6.661850823338167693e+00
9.880042687677463618e+03,6.661925995103088916e+00
9.880042706237189122e+03,6.662001167156144987e+00
9.880042724796916445e+03,6.662076339512071677e+00
9.880042743356641950e+03,6.662151512156127886e+00
9.880042761916367454e+03,6.662226685095678391e+00
9.880042780476094777e+03,6.662301858338090632e+00
9.880042799035820281e+03,6.662377031868623511e+00
9.880042817595547604e+03,6.662452205702010133e+00
9.880042836155273108e+03,6.662527379823514728e+00
9.880042854715000431e+03,6.662602554247869513e+00
9.880042873274725935e+03,6.662677728960334278e+00
9.880042891834453258e+03,6.662752903975638574e+00
9.880042910394178762e+03,6.662828079279046634e+00
9.880042928953906085e+03,6.662903254885296001e+00
9.880042947513631589e+03,6.662978430779639361e+00
9.880042966073358912e+03,6.663053606976817811e+00
9.880042984633084416e+03,6.663128783462089366e+00
9.880043003192809920e+03,6.663203960242814361e+00
9.880043021752537243e+03,6.663279137326364676e+00
9.880043040312262747e+03,6.663354314698000103e+00
9.880043058871990070e+03,6.663429492372449303e+00
9.880043077431715574e+03,6.663504670334980950e+00
9.880043095991442897e+03,6.663579848600320155e+00
9.880043114551168401e+03,6.663655027153729371e+00
9.880043133110895724e+03,6.663730206009950585e+00
9.880043151670621228e+03,6.663805385154232042e+00
9.880043170230348551e+03,6.663880564601316614e+00
9.880043188790074055e+03,6.663955744336460540e+00
9.880043207349801378e+03,6.664030924374401366e+00
9.880043225909526882e+03,6.664106104700394440e+00
9.880043244469252386e+03,6.664181285321804538e+00
9.880043263028979709e+03,6.664256466246002653e+00
9.880043281588705213e+03,6.664331647458247687e+00
9.880043300148432536e+03,6.664406828973269192e+00
9.880043318708158040e+03,6.664482010776335841e+00
9.880043337267885363e+03,6.664557192882171854e+00
9.880043355827610867e+03,6.664632375276041465e+00
9.880043374387338190e+03,6.664707557972682217e+00
9.880043392947063694e+03,6.664782740957347684e+00
9.880043411506791017e+03,6.664857924244778076e+00
9.880043430066516521e+03,6.664933107820233182e+00
9.880043448626243844e+03,6.665008291698439891e+00
9.880043467185969348e+03,6.665083475864666873e+00
9.880043485745694852e+03,6.665158660326272688e+00
9.880043504305422175e+03,6.665233845090626552e+00
9.880043522865147679e+03,6.665309030142990032e+00
9.880043541424875002e+03,6.665384215498095344e+00
9.880043559984600506e+03,6.665459401141202278e+00
9.880043578544327829e+03,6.665534587087049267e+00
9.880043597104053333e+03,6.665609773320884557e+00
9.880043615663780656e+03,6.665684959857454572e+00
9.880043634223506160e+03,6.665760146682017329e+00
9.880043652783233483e+03,6.665835333809298824e+00
9.880043671342958987e+03,6.665910521224573948e+00
9.880043689902686310e+03,6.665985708942560706e+00
9.880043708462411814e+03,6.666060896948526882e+00
9.880043727022137318e+03,6.666136085249839027e+00
9.880043745581864641e+03,6.666211273853859254e+00
9.880043764141590145e+03,6.666286462745851793e+00
9.880043782701317468e+03,6.666361651940549748e+00
9.880043801261042972e+03,6.666436841423208470e+00
9.880043819820770295e+03,6.666512031208569944e+00
9.880043838380495799e+03,6.666587221281885078e+00
9.880043856940223122e+03,6.666662411657895859e+00
9.880043875499948626e+03,6.666737602321857636e+00
9.880043894059675949e+03,6.666812793288507066e+00
9.880043912619401453e+03,6.666887984543107493e+00
9.880043931179128776e+03,6.666963176100384914e+00
9.880043949738854280e+03,6.667038367945600896e+00
9.880043968298579784e+03,6.667113560086127322e+00
9.880043986858307107e+03,6.667188752529324525e+00
9.880044005418032611e+03,6.667263945260455849e+00
9.880044023977759934e+03,6.667339138294252621e+00
9.880044042537485439e+03,6.667414331615975520e+00
9.880044061097212762e+03,6.667489525240361203e+00
9.880044079656938266e+03,6.667564719152664132e+00
9.880044098216665589e+03,6.667639913367620963e+00
9.880044116776391093e+03,6.667715107870495928e+00
9.880044135336118416e+03,6.667790302676023906e+00
9.880044153895843920e+03,6.667865497769454031e+00
9.880044172455571243e+03,6.667940693165532728e+00
9.880044191015296747e+03,6.668015888849509132e+00
9.880044209575022251e+03,6.668091084828757786e+00
9.880044228134749574e+03,6.668166281110641691e+00
9.880044246694475078e+03,6.668241477680419749e+00
9.880044265254202401e+03,6.668316674552827727e+00
9.880044283813927905e+03,6.668391871713120977e+00
9.880044302373655228e+03,6.668467069176039708e+00
9.880044320933380732e+03,6.668542266926841044e+00
9.880044339493108055e+03,6.668617464980258092e+00
9.880044358052833559e+03,6.668692663321554193e+00
9.880044376612560882e+03,6.668767861965464228e+00
9.880044395172286386e+03,6.668843060897239994e+00
9.880044413732013709e+03,6.668918260131626141e+00
9.880044432291739213e+03,6.668993459653872691e+00
9.880044450851464717e+03,6.669068659471355076e+00
9.880044469411192040e+03,6.669143859591432744e+00
9.880044487970917544e+03,6.669219059999367261e+00
9.880044506530644867e+03,6.669294260709896172e+00
9.880044525090370371e+03,6.669369461708269498e+00
9.880044543650097694e+03,6.669444663009231888e+00
9.880044562209823198e+03,6.669519864598038694e+00
