Time (BJD_TBD - 2450000), F_star + F_g (mJy)
1.014846018518507481e+04,3.447695367551017132e+00
1.014846020605984813e+04,3.447695367578742065e+00
1.014846022693461964e+04,3.447695367606480765e+00
1.014846024780939297e+04,3.447695367634234120e+00
1.014846026868416629e+04,3.447695367662000798e+00
1.014846028955893780e+04,3.447695367689781687e+00
1.014846031043371113e+04,3.447695367717576787e+00
1.014846033130848264e+04,3.447695367745386097e+00
1.014846035218325596e+04,3.447695367773209618e+00
1.014846037305802929e+04,3.447695367801046906e+00
1.014846039393280080e+04,3.447695367828898849e+00
1.014846041480757413e+04,3.447695367856764559e+00
1.014846043568234745e+04,3.447695367884644924e+00
1.014846045655711896e+04,3.447695367912539055e+00
1.014846047743189229e+04,3.447695367940447841e+00
1.014846049830666561e+04,3.447695367968369951e+00
1.014846051918143712e+04,3.447695367996307159e+00
1.014846054005621045e+04,3.447695368024257689e+00
1.014846056093098196e+04,3.447695368052222431e+00
1.014846058180575528e+04,3.447695368080201384e+00
1.014846060268052861e+04,3.447695368108194991e+00
1.014846062355530012e+04,3.447695368136201477e+00
1.014846064443007344e+04,3.447695368164223506e+00
1.014846066530484677e+04,3.447695368192258858e+00
1.014846068617961828e+04,3.447695368220308421e+00
1.014846070705439161e+04,3.447695368248372638e+00
1.014846072792916493e+04,3.447695368276450179e+00
1.014846074880393644e+04,3.447695368304542818e+00
1.014846076967870977e+04,3.447695368332648780e+00
1.014846079055348127e+04,3.447695368360769397e+00
1.014846081142825460e+04,3.447695368388903780e+00
1.014846083230302793e+04,3.447695368417051931e+00
1.014846085317779944e+04,3.447695368445214736e+00
1.014846087405257276e+04,3.447695368473392197e+00
1.014846089492734609e+04,3.447695368501583424e+00
1.014846091580211760e+04,3.447695368529787974e+00
1.014846093667689092e+04,3.447695368558007623e+00
1.014846095755166243e+04,3.447695368586240594e+00
1.014846097842643576e+04,3.447695368614488665e+00
1.014846099930120909e+04,3.447695368642750946e+00
1.014846102017598059e+04,3.447695368671026106e+00
1.014846104105075392e+04,3.447695368699316809e+00
1.014846106192552725e+04,3.447695368727620391e+00
1.014846108280029875e+04,3.447695368755938627e+00
1.014846110367507208e+04,3.447695368784271075e+00
1.014846112454984541e+04,3.447695368812617733e+00
1.014846114542461692e+04,3.447695368840978603e+00
1.014846116629939024e+04,3.447695368869353683e+00
1.014846118717416175e+04,3.447695368897742085e+00
1.014846120804893508e+04,3.447695368926145143e+00
1.014846122892370840e+04,3.447695368954562856e+00
1.014846124979847991e+04,3.447695368982993447e+00
1.014846127067325324e+04,3.447695369011439581e+00
1.014846129154802657e+04,3.447695369039899482e+00
1.014846131242279807e+04,3.447695369068373150e+00
1.014846133329757140e+04,3.447695369096861029e+00
1.014846135417234473e+04,3.447695369125363118e+00
1.014846137504711623e+04,3.447695369153879419e+00
1.014846139592188956e+04,3.447695369182409930e+00
1.014846141679666107e+04,3.447695369210953764e+00
1.014846143767143440e+04,3.447695369239513141e+00
1.014846145854620772e+04,3.447695369268085397e+00
1.014846147942097923e+04,3.447695369296672308e+00
1.014846150029575256e+04,3.447695369325273873e+00
1.014846152117052588e+04,3.447695369353888761e+00
1.014846154204529739e+04,3.447695369382517860e+00
1.014846156292007072e+04,3.447695369411161170e+00
1.014846158379484405e+04,3.447695369439818691e+00
1.014846160466961555e+04,3.447695369468490423e+00
1.014846162554438888e+04,3.447695369497176365e+00
1.014846164641916039e+04,3.447695369525876519e+00
1.014846166729393371e+04,3.447695369554590439e+00
1.014846168816870704e+04,3.447695369583318570e+00
1.014846170904347855e+04,3.447695369612060912e+00
1.014846172991825188e+04,3.447695369640817908e+00
1.014846175079302520e+04,3.447695369669588672e+00
1.014846177166779671e+04,3.447695369698372758e+00
1.014846179254257004e+04,3.447695369727171943e+00
1.014846181341734336e+04,3.447695369755985340e+00
1.014846183429211487e+04,3.447695369784812502e+00
1.014846185516688820e+04,3.447695369813653432e+00
1.014846187604165971e+04,3.447695369842509017e+00
1.014846189691643303e+04,3.447695369871378368e+00
1.014846191779120636e+04,3.447695369900262374e+00
1.014846193866597787e+04,3.447695369929161036e+00
1.014846195954075120e+04,3.447695369958072131e+00
1.014846198041552452e+04,3.447695369986999214e+00
1.014846200129029603e+04,3.447695370015938732e+00
1.014846202216506936e+04,3.447695370044893348e+00
1.014846204303984086e+04,3.447695370073862176e+00
1.014846206391461419e+04,3.447695370102844770e+00
1.014846208478938752e+04,3.447695370131842019e+00
1.014846210566415903e+04,3.447695370160853034e+00
1.014846212653893235e+04,3.447695370189877817e+00
1.014846214741370568e+04,3.447695370218917255e+00
1.014846216828847719e+04,3.447695370247970015e+00
1.014846218916325051e+04,3.447695370277037874e+00
1.014846221003802384e+04,3.447695370306119944e+00
1.014846223091279535e+04,3.447695370335215337e+00
1.014846225178756868e+04,3.447695370364325829e+00
1.014846227266234018e+04,3.447695370393449199e+00
1.014846229353711351e+04,3.447695370422588113e+00
1.014846231441188684e+04,3.447695370451739905e+00
1.014846233528665834e+04,3.447695370480906796e+00
1.014846235616143167e+04,3.447695370510087010e+00
1.014846237703620500e+04,3.447695370539281878e+00
1.014846239791097651e+04,3.447695370568490958e+00
1.014846241878574983e+04,3.447695370597714248e+00
1.014846243966052316e+04,3.447695370626950861e+00
1.014846246053529467e+04,3.447695370656202574e+00
1.014846248141006799e+04,3.447695370685468497e+00
1.014846250228483950e+04,3.447695370714747298e+00
1.014846252315961283e+04,3.447695370744041643e+00
1.014846254403438616e+04,3.447695370773349310e+00
1.014846256490915766e+04,3.447695370802671189e+00
1.014846258578393099e+04,3.447695370832007722e+00
1.014846260665870432e+04,3.447695370861357578e+00
1.014846262753347582e+04,3.447695370890721644e+00
1.014846264840824915e+04,3.447695370920100810e+00
1.014846266928302248e+04,3.447695370949492855e+00
1.014846269015779399e+04,3.447695370978899998e+00
1.014846271103256731e+04,3.447695371008321352e+00
1.014846273190733882e+04,3.447695371037756029e+00
1.014846275278211215e+04,3.447695371067204917e+00
1.014846277365688547e+04,3.447695371096668460e+00
1.014846279453165698e+04,3.447695371126145769e+00
1.014846281540643031e+04,3.447695371155637289e+00
1.014846283628120364e+04,3.447695371185143909e+00
1.014846285715597514e+04,3.447695371214662963e+00
1.014846287803074847e+04,3.447695371244197560e+00
1.014846289890552180e+04,3.447695371273745479e+00
1.014846291978029330e+04,3.447695371303308054e+00
1.014846294065506663e+04,3.447695371332884395e+00
1.014846296152983814e+04,3.447695371362474503e+00
1.014846298240461147e+04,3.447695371392079711e+00
1.014846300327938479e+04,3.447695371421698685e+00
1.014846302415415630e+04,3.447695371451331869e+00
1.014846304502892963e+04,3.447695371480979265e+00
1.014846306590370295e+04,3.447695371510639983e+00
1.014846308677847446e+04,3.447695371540315357e+00
1.014846310765324779e+04,3.447695371570004941e+00
1.014846312852802112e+04,3.447695371599708736e+00
1.014846314940279262e+04,3.447695371629426297e+00
1.014846317027756595e+04,3.447695371659158070e+00
1.014846319115233746e+04,3.447695371688904054e+00
1.014846321202711079e+04,3.447695371718664692e+00
1.014846323290188411e+04,3.447695371748438653e+00
1.014846325377665562e+04,3.447695371778227713e+00
1.014846327465142895e+04,3.447695371808030096e+00
1.014846329552620227e+04,3.447695371837847134e+00
1.014846331640097378e+04,3.447695371867678382e+00
1.014846333727574711e+04,3.447695371897522953e+00
1.014846335815051862e+04,3.447695371927382180e+00
1.014846337902529194e+04,3.447695371957255617e+00
1.014846339990006527e+04,3.447695371987143265e+00
1.014846342077483678e+04,3.447695372017044679e+00
1.014846344164961010e+04,3.447695372046960305e+00
1.014846346252438343e+04,3.447695372076890141e+00
1.014846348339915494e+04,3.447695372106834188e+00
1.014846350427392827e+04,3.447695372136792447e+00
1.014846352514870159e+04,3.447695372166764916e+00
1.014846354602347310e+04,3.447695372196751151e+00
1.014846356689824643e+04,3.447695372226752042e+00
1.014846358777301793e+04,3.447695372256766699e+00
1.014846360864779126e+04,3.447695372286795124e+00
1.014846362952256459e+04,3.447695372316837759e+00
1.014846365039733610e+04,3.447695372346895493e+00
1.014846367127210942e+04,3.447695372376966549e+00
1.014846369214688275e+04,3.447695372407051817e+00
1.014846371302165426e+04,3.447695372437151295e+00
1.014846373389642758e+04,3.447695372467264541e+00
1.014846375477120091e+04,3.447695372497392441e+00
1.014846377564597242e+04,3.447695372527534108e+00
1.014846379652074575e+04,3.447695372557690430e+00
