Time (BJD_TBD - 2450000), F_d/F_star (ppm)
1.063802909220066977e+04,1.233209460095305587e+01
1.063802911403618600e+04,1.233077690875967747e+01
1.063802913587170406e+04,1.232945927978287592e+01
1.063802915770722029e+04,1.232814171424366556e+01
1.063802917954273653e+04,1.232682421203380052e+01
1.063802920137825458e+04,1.232550677304505093e+01
1.063802922321377082e+04,1.232418939749844355e+01
1.063802924504928706e+04,1.232287208528571654e+01
1.063802926688480511e+04,1.232155483629864712e+01
1.063802928872032135e+04,1.232023765075822475e+01
1.063802931055583758e+04,1.231892052855622133e+01
1.063802933239135564e+04,1.231760346958444963e+01
1.063802935422687187e+04,1.231628647406383692e+01
1.063802937606238811e+04,1.231496954188617110e+01
1.063802939789790616e+04,1.231365267294327737e+01
1.063802941973342240e+04,1.231233586745608477e+01
1.063802944156894046e+04,1.231101912520666986e+01
1.063802946340445669e+04,1.230970244641596167e+01
1.063802948523997293e+04,1.230838583097575523e+01
1.063802950707549098e+04,1.230706927877790591e+01
1.063802952891100722e+04,1.230575279004328237e+01
1.063802955074652346e+04,1.230443636466369561e+01
1.063802957258204151e+04,1.230312000253100102e+01
1.063802959441755775e+04,1.230180370386603528e+01
1.063802961625307398e+04,1.230048746856064845e+01
1.063802963808859204e+04,1.229917129650672614e+01
1.063802965992410827e+04,1.229785518792502863e+01
1.063802968175962451e+04,1.229653914270744508e+01
1.063802970359514256e+04,1.229522316074585220e+01
1.063802972543065880e+04,1.229390724226104403e+01
1.063802974726617686e+04,1.229259138703523924e+01
1.063802976910169309e+04,1.229127559528920877e+01
1.063802979093720933e+04,1.228995986691483644e+01
1.063802981277272738e+04,1.228864420180403449e+01
1.063802983460824362e+04,1.228732860017754014e+01
1.063802985644375985e+04,1.228601306192721054e+01
1.063802987827927791e+04,1.228469758694500591e+01
1.063802990011479415e+04,1.228338217545159949e+01
1.063802992195031038e+04,1.228206682733890531e+01
1.063802994378582844e+04,1.228075154249889600e+01
1.063802996562134467e+04,1.227943632115218797e+01
1.063802998745686091e+04,1.227812116319072011e+01
1.063803000929237896e+04,1.227680606850645439e+01
1.063803003112789520e+04,1.227549103732003921e+01
1.063803005296341325e+04,1.227417606941384065e+01
1.063803007479892949e+04,1.227286116500846802e+01
1.063803009663444573e+04,1.227154632399589929e+01
1.063803011846996378e+04,1.227023154626809998e+01
1.063803014030548002e+04,1.226891683204566519e+01
1.063803016214099625e+04,1.226760218122053558e+01
1.063803018397651431e+04,1.226628759368472821e+01
1.063803020581203054e+04,1.226497306965877065e+01
1.063803022764754678e+04,1.226365860903467997e+01
1.063803024948306484e+04,1.226234421170443412e+01
1.063803027131858107e+04,1.226102987788855359e+01
1.063803029315409731e+04,1.225971560747904832e+01
1.063803031498961536e+04,1.225840140036794779e+01
1.063803033682513160e+04,1.225708725677572986e+01
1.063803035866064965e+04,1.225577317648492937e+01
1.063803038049616589e+04,1.225445915971600996e+01
1.063803040233168213e+04,1.225314520636100646e+01
1.063803042416720018e+04,1.225183131631196964e+01
1.063803044600271642e+04,1.225051748978934008e+01
1.063803046783823265e+04,1.224920372668513124e+01
1.063803048967375071e+04,1.224789002689143302e+01
1.063803051150926694e+04,1.224657639062862913e+01
1.063803053334478318e+04,1.224526281778880410e+01
1.063803055518030123e+04,1.224394930826400696e+01
1.063803057701581747e+04,1.224263586227461964e+01
1.063803059885133371e+04,1.224132247971271426e+01
1.063803062068685176e+04,1.224000916047039311e+01
1.063803064252236800e+04,1.223869590476799196e+01
1.063803066435788605e+04,1.223738271238819131e+01
1.063803068619340229e+04,1.223606958355130736e+01
1.063803070802891853e+04,1.223475651814943888e+01
1.063803072986443658e+04,1.223344351607473257e+01
1.063803075169995282e+04,1.223213057754743360e+01
