Time (BJD_TBD - 2450000), L_f/L_star (ppm)
9.882460428240709007e+03,1.630356757867799899e+01
9.882460446256400246e+03,1.630394478497650823e+01
9.882460464272089666e+03,1.630432199436814145e+01
9.882460482287780906e+03,1.630469920692901198e+01
9.882460500303470326e+03,1.630507642258289636e+01
9.882460518319161565e+03,1.630545364140589726e+01
9.882460536334850985e+03,1.630583086332180187e+01
9.882460554350542225e+03,1.630620808840670932e+01
9.882460572366233464e+03,1.630658531662249189e+01
9.882460590381922884e+03,1.630696254793100053e+01
9.882460608397614124e+03,1.630733978240834503e+01
9.882460626413303544e+03,1.630771701997829481e+01
9.882460644428994783e+03,1.630809426071697743e+01
9.882460662444684203e+03,1.630847150454815520e+01
9.882460680460375443e+03,1.630884875154794500e+01
9.882460698476066682e+03,1.630922600167820846e+01
9.882460716491756102e+03,1.630960325490078588e+01
9.882460734507447341e+03,1.630998051129181192e+01
9.882460752523136762e+03,1.631035777077504889e+01
9.882460770538828001e+03,1.631073503342661013e+01
9.882460788554517421e+03,1.631111229917026506e+01
9.882460806570208661e+03,1.631148956808214123e+01
9.882460824585899900e+03,1.631186684012408250e+01
9.882460842601589320e+03,1.631224411525794693e+01
9.882460860617280559e+03,1.631262139355985852e+01
9.882460878632969980e+03,1.631299867495357603e+01
9.882460896648661219e+03,1.631337595951522701e+01
9.882460914664350639e+03,1.631375324716857378e+01
9.882460932680041878e+03,1.631413053798973678e+01
9.882460950695733118e+03,1.631450783194057408e+01
9.882460968711422538e+03,1.631488512898292953e+01
9.882460986727113777e+03,1.631526242919293068e+01
9.882461004742803198e+03,1.631563973249433275e+01
9.882461022758494437e+03,1.631601703896327749e+01
9.882461040774183857e+03,1.631639434852352011e+01
9.882461058789875096e+03,1.631677166125117040e+01
9.882461076805566336e+03,1.631714897710810419e+01
9.882461094821255756e+03,1.631752629605615468e+01
9.882461112836946995e+03,1.631790361817145296e+01
9.882461130852636416e+03,1.631828094337775426e+01
9.882461148868327655e+03,1.631865827175120032e+01
9.882461166884017075e+03,1.631903560321552504e+01
9.882461184899708314e+03,1.631941293784688085e+01
9.882461202915399554e+03,1.631979027560711515e+01
9.882461220931088974e+03,1.632016761645806469e+01
9.882461238946780213e+03,1.632054496047586412e+01
9.882461256962469633e+03,1.632092230758426510e+01
9.882461274978160873e+03,1.632129965785941295e+01
9.882461292993850293e+03,1.632167701122504866e+01
9.882461311009541532e+03,1.632205436775731400e+01
9.882461329025232772e+03,1.632243172741804571e+01
9.882461347040922192e+03,1.632280909016909476e+01
9.882461365056613431e+03,1.632318645608660290e+01
9.882461383072302851e+03,1.632356382509431114e+01
9.882461401087994091e+03,1.632394119726836479e+01
9.882461419103683511e+03,1.632431857253250840e+01
9.882461437119374750e+03,1.632469595096288373e+01
9.882461455135065989e+03,1.632507333252132753e+01
9.882461473150755410e+03,1.632545071716968010e+01
9.882461491166446649e+03,1.632582810498410097e+01
9.882461509182136069e+03,1.632620549588832404e+01
9.882461527197827309e+03,1.632658288995849105e+01
9.882461545213516729e+03,1.632696028711833591e+01
9.882461563229207968e+03,1.632733768744402525e+01
9.882461581244899207e+03,1.632771509089738515e+01
9.882461599260588628e+03,1.632809249744025948e+01
9.882461617276279867e+03,1.632846990714879709e+01
9.882461635291969287e+03,1.632884731994672833e+01
