Time (BJD_TBD - 2450000), L_d/L_star (ppm)
9.889739187412826141e+03,2.809421832059859270e+01
9.889739204291829083e+03,2.809614546088371512e+01
9.889739221170832025e+03,2.809807265762891859e+01
9.889739238049834967e+03,2.809999991083289572e+01
9.889739254928836090e+03,2.810192722028658352e+01
9.889739271807839032e+03,2.810385458640410761e+01
9.889739288686841974e+03,2.810578200897642276e+01
9.889739305565844916e+03,2.810770948800220737e+01
9.889739322444847858e+03,2.810963702348015048e+01
9.889739339323850800e+03,2.811156461540891982e+01
9.889739356202853742e+03,2.811349226378719024e+01
9.889739373081856684e+03,2.811541996861365433e+01
9.889739389960857807e+03,2.811734772967923135e+01
9.889739406839860749e+03,2.811927554739809310e+01
9.889739423718863691e+03,2.812120342156118014e+01
9.889739440597866633e+03,2.812313135216715665e+01
9.889739457476869575e+03,2.812505933921471168e+01
9.889739474355872517e+03,2.812698738270251297e+01
9.889739491234875459e+03,2.812891548262925667e+01
9.889739508113878401e+03,2.813084363899359275e+01
9.889739524992879524e+03,2.813277185158643690e+01
9.889739541871882466e+03,2.813470012082203198e+01
9.889739558750885408e+03,2.813662844649125461e+01
9.889739575629888350e+03,2.813855682859280449e+01
9.889739592508891292e+03,2.814048526712536713e+01
9.889739609387894234e+03,2.814241376208758538e+01
9.889739626266897176e+03,2.814434231347815896e+01
9.889739643145900118e+03,2.814627092129576269e+01
9.889739660024901241e+03,2.814819958533123057e+01
9.889739676903904183e+03,2.815012830599891203e+01
9.889739693782907125e+03,2.815205708308966948e+01
9.889739710661910067e+03,2.815398591660214578e+01
9.889739727540913009e+03,2.815591480653505840e+01
9.889739744419915951e+03,2.815784375288704666e+01
9.889739761298918893e+03,2.815977275565682447e+01
9.889739778177921835e+03,2.816170181484303114e+01
9.889739795056922958e+03,2.816363093023646869e+01
9.889739811935925900e+03,2.816556010225160733e+01
9.889739828814928842e+03,2.816748933067921712e+01
9.889739845693931784e+03,2.816941861551798709e+01
9.889739862572934726e+03,2.817134795676658143e+01
9.889739879451937668e+03,2.817327735442368919e+01
9.889739896330940610e+03,2.817520680848798165e+01
9.889739913209943552e+03,2.817713631895814430e+01
9.889739930088944675e+03,2.817906588562489745e+01
9.889739946967947617e+03,2.818099550890280014e+01
9.889739963846950559e+03,2.818292518858260465e+01
9.889739980725953501e+03,2.818485492466295739e+01
9.889739997604956443e+03,2.818678471714258649e+01
9.889740014483959385e+03,2.818871456602012771e+01
9.889740031362962327e+03,2.819064447129425233e+01
9.889740048241965269e+03,2.819257443296366006e+01
9.889740065120966392e+03,2.819450445081903212e+01
9.889740081999969334e+03,2.819643452527502703e+01
9.889740098878972276e+03,2.819836465612231891e+01
9.889740115757975218e+03,2.820029484335957903e+01
9.889740132636978160e+03,2.820222508698551422e+01
9.889740149515981102e+03,2.820415538699878510e+01
9.889740166394984044e+03,2.820608574339805941e+01
9.889740183273986986e+03,2.820801615618201552e+01
9.889740200152988109e+03,2.820994662514129558e+01
9.889740217031991051e+03,2.821187715069065050e+01
9.889740233910993993e+03,2.821380773262072239e+01
9.889740250789996935e+03,2.821573837093018255e+01
9.889740267668999877e+03,2.821766906561771293e+01
9.889740284548002819e+03,2.821959981668197415e+01
9.889740301427005761e+03,2.822153062412166591e+01
9.889740318306008703e+03,2.822346148793543819e+01
9.889740335185009826e+03,2.822539240791389759e+01
9.889740352064012768e+03,2.822732338447190159e+01
9.889740368943015710e+03,2.822925441740002128e+01
9.889740385822018652e+03,2.823118550669692439e+01
9.889740402701021594e+03,2.823311665236130708e+01
9.889740419580024536e+03,2.823504785439183706e+01
9.889740436459027478e+03,2.823697911278719630e+01
9.889740453338030420e+03,2.823891042754605607e+01
9.889740470217031543e+03,2.824084179845894127e+01
9.889740487096034485e+03,2.824277322594083017e+01
9.889740503975037427e+03,2.824470470978222636e+01
9.889740520854040369e+03,2.824663624998184019e+01
9.889740537733043311e+03,2.824856784653831454e+01
9.889740554612046253e+03,2.825049949945034555e+01
9.889740571491049195e+03,2.825243120871662228e+01
9.889740588370052137e+03,2.825436297433577693e+01
9.889740605249053260e+03,2.825629479609833794e+01
9.889740622128056202e+03,2.825822667441932623e+01
9.889740639007059144e+03,2.826015860908925603e+01
9.889740655886062086e+03,2.826209060010676311e+01
9.889740672765065028e+03,2.826402264747057558e+01
9.889740689644067970e+03,2.826595475117933631e+01
9.889740706523070912e+03,2.826788691123171304e+01
9.889740723402073854e+03,2.826981912762639837e+01
9.889740740281074977e+03,2.827175140015382482e+01
9.889740757160077919e+03,2.827368372922914830e+01
9.889740774039080861e+03,2.827561611464278357e+01
9.889740790918083803e+03,2.827754855639343035e+01
9.889740807797086745e+03,2.827948105447975991e+01
9.889740824676089687e+03,2.828141360890043998e+01
9.889740841555092629e+03,2.828334621965413831e+01
9.889740858434095571e+03,2.828527888673953328e+01
9.889740875313096694e+03,2.828721160994703965e+01
9.889740892192099636e+03,2.828914438969187373e+01
9.889740909071102578e+03,2.829107722576442896e+01
