Time (BJD_TBD - 2450000), F_h/L_star (ppm)
1.063802708333311602e+04,1.532560831417373137e+01
1.063802710516863226e+04,1.532559041009253775e+01
1.063802712700415032e+04,1.532557250561079520e+01
1.063802714883966655e+04,1.532555460073148801e+01
1.063802717067518279e+04,1.532553669545312225e+01
1.063802719251070084e+04,1.532551878977420934e+01
1.063802721434621708e+04,1.532550088369773356e+01
1.063802723618173331e+04,1.532548297722220454e+01
1.063802725801725137e+04,1.532546507034613548e+01
1.063802727985276761e+04,1.532544716307250354e+01
1.063802730168828566e+04,1.532542925539832801e+01
1.063802732352380190e+04,1.532541134732659494e+01
1.063802734535931813e+04,1.532539343885581395e+01
1.063802736719483619e+04,1.532537552998449648e+01
1.063802738903035242e+04,1.532535762071562147e+01
1.063802741086586866e+04,1.532533971104770032e+01
1.063802743270138672e+04,1.532532180097924446e+01
1.063802745453690295e+04,1.532530389051323461e+01
1.063802747637241919e+04,1.532528597964818218e+01
1.063802749820793724e+04,1.532526806838259859e+01
1.063802752004345348e+04,1.532525015671946278e+01
1.063802754187896971e+04,1.532523224465728795e+01
1.063802756371448777e+04,1.532521433219458018e+01
1.063802758555000401e+04,1.532519641933432908e+01
1.063802760738552206e+04,1.532517850607355037e+01
1.063802762922103830e+04,1.532516059241522477e+01
1.063802765105655453e+04,1.532514267835786548e+01
1.063802767289207259e+04,1.532512476389997680e+01
1.063802769472758882e+04,1.532510684904455012e+01
1.063802771656310506e+04,1.532508893379009152e+01
1.063802773839862311e+04,1.532507101813510886e+01
1.063802776023413935e+04,1.532505310208258642e+01
1.063802778206965559e+04,1.532503518563103384e+01
1.063802780390517364e+04,1.532501726877896076e+01
1.063802782574068988e+04,1.532499935152935322e+01
1.063802784757620611e+04,1.532498143388071909e+01
1.063802786941172417e+04,1.532496351583157157e+01
1.063802789124724040e+04,1.532494559738488782e+01
1.063802791308275846e+04,1.532492767853768534e+01
1.063802793491827470e+04,1.532490975929295374e+01
1.063802795675379093e+04,1.532489183964920265e+01
1.063802797858930899e+04,1.532487391960493817e+01
1.063802800042482522e+04,1.532485599916314811e+01
1.063802802226034146e+04,1.532483807832233325e+01
1.063802804409585951e+04,1.532482015708101208e+01
1.063802806593137575e+04,1.532480223544216358e+01
1.063802808776689199e+04,1.532478431340430447e+01
1.063802810960241004e+04,1.532476639096593374e+01
1.063802813143792628e+04,1.532474846813004277e+01
1.063802815327344251e+04,1.532473054489513764e+01
1.063802817510896057e+04,1.532471262125972444e+01
1.063802819694447680e+04,1.532469469722679634e+01
1.063802821877999486e+04,1.532467677279336904e+01
1.063802824061551109e+04,1.532465884796241973e+01
1.063802826245102733e+04,1.532464092273246337e+01
1.063802828428654539e+04,1.532462299710200604e+01
1.063802830612206162e+04,1.532460507107403380e+01
1.063802832795757786e+04,1.532458714464705984e+01
1.063802834979309591e+04,1.532456921781958847e+01
1.063802837162861215e+04,1.532455129059460397e+01
1.063802839346412838e+04,1.532453336297061774e+01
1.063802841529964644e+04,1.532451543494613411e+01
1.063802843713516268e+04,1.532449750652414799e+01
1.063802845897067891e+04,1.532447957770315838e+01
1.063802848080619697e+04,1.532446164848168024e+01
1.063802850264171320e+04,1.532444371886269607e+01
1.063802852447723126e+04,1.532442578884321804e+01
1.063802854631274749e+04,1.532440785842623932e+01
1.063802856814826373e+04,1.532438992761026952e+01
1.063802858998378179e+04,1.532437199639380765e+01
1.063802861181929802e+04,1.532435406477985040e+01
1.063802863365481426e+04,1.532433613276689854e+01
1.063802865549033231e+04,1.532431820035345993e+01
1.063802867732584855e+04,1.532430026754252772e+01
1.063802869916136478e+04,1.532428233433260445e+01
1.063802872099688284e+04,1.532426440072220331e+01
1.063802874283239908e+04,1.532424646671430324e+01
1.063802876466791531e+04,1.532422853230741921e+01
1.063802878650343337e+04,1.532421059750005554e+01
1.063802880833894960e+04,1.532419266229520183e+01
1.063802883017446766e+04,1.532417472668987379e+01
1.063802885200998389e+04,1.532415679068705217e+01
1.063802887384550013e+04,1.532413885428525191e+01
1.063802889568101818e+04,1.532412091748297378e+01
1.063802891751653442e+04,1.532410298028321094e+01
1.063802893935205066e+04,1.532408504268447480e+01
1.063802896118756871e+04,1.532406710468526434e+01
1.063802898302308495e+04,1.532404916628856917e+01
1.063802900485860118e+04,1.532403122749289892e+01
1.063802902669411924e+04,1.532401328829675613e+01
1.063802904852963547e+04,1.532399534870313929e+01
1.063802907036515171e+04,1.532397740871054737e+01
1.063802909220066977e+04,1.532395946831749001e+01
1.063802911403618600e+04,1.532394152752695504e+01
1.063802913587170406e+04,1.532392358633595464e+01
1.063802915770722029e+04,1.532390564474748196e+01
1.063802917954273653e+04,1.532388770276004131e+01
1.063802920137825458e+04,1.532386976037213699e+01
1.063802922321377082e+04,1.532385181758676218e+01
1.063802924504928706e+04,1.532383387440242117e+01
1.063802926688480511e+04,1.532381593081762006e+01
1.063802928872032135e+04,1.532379798683535377e+01
1.063802931055583758e+04,1.532378004245412306e+01
1.063802933239135564e+04,1.532376209767243580e+01
1.063802935422687187e+04,1.532374415249328514e+01
1.063802937606238811e+04,1.532372620691517184e+01
1.063802939789790616e+04,1.532370826093660554e+01
1.063802941973342240e+04,1.532369031456057584e+01
1.063802944156894046e+04,1.532367236778410025e+01
1.063802946340445669e+04,1.532365442061015948e+01
1.063802948523997293e+04,1.532363647303726495e+01
1.063802950707549098e+04,1.532361852506391919e+01
1.063802952891100722e+04,1.532360057669311892e+01
1.063802955074652346e+04,1.532358262792336667e+01
1.063802957258204151e+04,1.532356467875317030e+01
1.063802959441755775e+04,1.532354672918551586e+01
1.063802961625307398e+04,1.532352877921891121e+01
1.063802963808859204e+04,1.532351082885186422e+01
1.063802965992410827e+04,1.532349287808736982e+01
1.063802968175962451e+04,1.532347492692392521e+01
1.063802970359514256e+04,1.532345697536004359e+01
1.063802972543065880e+04,1.532343902339870745e+01
1.063802974726617686e+04,1.532342107103693785e+01
1.063802976910169309e+04,1.532340311827771728e+01
1.063802979093720933e+04,1.532338516511956072e+01
1.063802981277272738e+04,1.532336721156096537e+01
1.063802983460824362e+04,1.532334925760492617e+01
1.063802985644375985e+04,1.532333130324994741e+01
1.063802987827927791e+04,1.532331334849453697e+01
1.063802990011479415e+04,1.532329539334168622e+01
1.063802992195031038e+04,1.532327743778989770e+01
1.063802994378582844e+04,1.532325948183768105e+01
1.063802996562134467e+04,1.532324152548802765e+01
1.063802998745686091e+04,1.532322356873943825e+01
1.063803000929237896e+04,1.532320561159042605e+01
1.063803003112789520e+04,1.532318765404397354e+01
1.063803005296341325e+04,1.532316969609710178e+01
1.063803007479892949e+04,1.532315173775279149e+01
1.063803009663444573e+04,1.532313377900955409e+01
1.063803011846996378e+04,1.532311581986589566e+01
1.063803014030548002e+04,1.532309786032480581e+01
1.063803016214099625e+04,1.532307990038479417e+01
1.063803018397651431e+04,1.532306194004435973e+01
1.063803020581203054e+04,1.532304397930649742e+01
1.063803022764754678e+04,1.532302601816971510e+01
1.063803024948306484e+04,1.532300805663251175e+01
1.063803027131858107e+04,1.532299009469789119e+01
1.063803029315409731e+04,1.532297213236434708e+01
1.063803031498961536e+04,1.532295416963039081e+01
1.063803033682513160e+04,1.532293620649901200e+01
1.063803035866064965e+04,1.532291824296721749e+01
1.063803038049616589e+04,1.532290027903800755e+01
1.063803040233168213e+04,1.532288231470988471e+01
1.063803042416720018e+04,1.532286434998134972e+01
1.063803044600271642e+04,1.532284638485539929e+01
1.063803046783823265e+04,1.532282841933053597e+01
1.063803048967375071e+04,1.532281045340526582e+01
1.063803051150926694e+04,1.532279248708258557e+01
1.063803053334478318e+04,1.532277452036099241e+01
1.063803055518030123e+04,1.532275655323899954e+01
1.063803057701581747e+04,1.532273858571959302e+01
1.063803059885133371e+04,1.532272061780128070e+01
1.063803062068685176e+04,1.532270264948257044e+01
1.063803064252236800e+04,1.532268468076645007e+01
1.063803066435788605e+04,1.532266671164992999e+01
1.063803068619340229e+04,1.532264874213600692e+01
1.063803070802891853e+04,1.532263077222317982e+01
1.063803072986443658e+04,1.532261280190996011e+01
1.063803075169995282e+04,1.532259483119933385e+01
1.063803077353546905e+04,1.532257686008981423e+01
1.063803079537098711e+04,1.532255888857989667e+01
1.063803081720650334e+04,1.532254091667258145e+01
1.063803083904201958e+04,1.532252294436636930e+01
1.063803086087753763e+04,1.532250497165976810e+01
1.063803088271305387e+04,1.532248699855577101e+01
1.063803090454857011e+04,1.532246902505288055e+01
1.063803092638408816e+04,1.532245105114960104e+01
1.063803094821960440e+04,1.532243307684892741e+01
1.063803097005512245e+04,1.532241510214786828e+01
1.063803099189063869e+04,1.532239712704941681e+01
1.063803101372615492e+04,1.532237915155208086e+01
1.063803103556167298e+04,1.532236117565436118e+01
1.063803105739718922e+04,1.532234319935925093e+01
1.063803107923270545e+04,1.532232522266525621e+01
1.063803110106822351e+04,1.532230724557087775e+01
1.063803112290373974e+04,1.532228926807912117e+01
1.063803114473925598e+04,1.532227129018847833e+01
1.063803116657477403e+04,1.532225331189745710e+01
1.063803118841029027e+04,1.532223533320905418e+01
1.063803121024580651e+04,1.532221735412177210e+01
1.063803123208132456e+04,1.532219937463411519e+01
1.063803125391684080e+04,1.532218139474908014e+01
1.063803127575235885e+04,1.532216341446367025e+01
1.063803129758787509e+04,1.532214543378088223e+01
1.063803131942339132e+04,1.532212745269922038e+01
1.063803134125890938e+04,1.532210947121718725e+01
1.063803136309442561e+04,1.532209148933778131e+01
1.063803138492994185e+04,1.532207350705950510e+01
1.063803140676545991e+04,1.532205552438085938e+01
1.063803142860097614e+04,1.532203754130484086e+01
1.063803145043649238e+04,1.532201955782995384e+01
1.063803147227201043e+04,1.532200157395470441e+01
1.063803149410752667e+04,1.532198358968208396e+01
1.063803151594304290e+04,1.532196560501060212e+01
1.063803153777856096e+04,1.532194761993875254e+01
1.063803155961407720e+04,1.532192963446954082e+01
1.063803158144959525e+04,1.532191164859996668e+01
1.063803160328511149e+04,1.532189366233303218e+01
1.063803162512062772e+04,1.532187567566723629e+01
1.063803164695614578e+04,1.532185768860107977e+01
1.063803166879166201e+04,1.532183970113756288e+01
1.063803169062717825e+04,1.532182171327518994e+01
1.063803171246269631e+04,1.532180372501246346e+01
1.063803173429821254e+04,1.532178573635238017e+01
1.063803175613372878e+04,1.532176774729343727e+01
1.063803177796924683e+04,1.532174975783414439e+01
1.063803179980476307e+04,1.532173176797749647e+01
1.063803182164027930e+04,1.532171377772199783e+01
1.063803184347579736e+04,1.532169578706614921e+01
1.063803186531131360e+04,1.532167779601294910e+01
1.063803188714683165e+04,1.532165980455940257e+01
1.063803190898234789e+04,1.532164181270850456e+01
1.063803193081786412e+04,1.532162382045875937e+01
1.063803195265338218e+04,1.532160582780867131e+01
1.063803197448889841e+04,1.532158783476123531e+01
1.063803199632441465e+04,1.532156984131495570e+01
1.063803201815993270e+04,1.532155184746833498e+01
1.063803203999544894e+04,1.532153385322436989e+01
1.063803206183096518e+04,1.532151585858155940e+01
