Time (BJD_TBD - 2450000), F_star + F_d (mJy)
9.891595520833507180e+03,2.739724661263649441e+00
9.891595543725843527e+03,2.739724657109992467e+00
9.891595566618178054e+03,2.739724652956044171e+00
9.891595589510514401e+03,2.739724648801803664e+00
9.891595612402848928e+03,2.739724644647272278e+00
9.891595635295185275e+03,2.739724640492448238e+00
9.891595658187519803e+03,2.739724636337333763e+00
9.891595681079856149e+03,2.739724632181926633e+00
9.891595703972190677e+03,2.739724628026228626e+00
9.891595726864527023e+03,2.739724623870238851e+00
9.891595749756863370e+03,2.739724619713956866e+00
9.891595772649197897e+03,2.739724615557383558e+00
9.891595795541534244e+03,2.739724611400518484e+00
9.891595818433868772e+03,2.739724607243362975e+00
9.891595841326205118e+03,2.739724603085914811e+00
9.891595864218539646e+03,2.739724598928175325e+00
9.891595887110875992e+03,2.739724594770144073e+00
9.891595910003210520e+03,2.739724590611821498e+00
9.891595932895546866e+03,2.739724586453207156e+00
9.891595955787881394e+03,2.739724582294301491e+00
9.891595978680217740e+03,2.739724578135104505e+00
9.891596001572554087e+03,2.739724573975615307e+00
9.891596024464888615e+03,2.739724569815834787e+00
9.891596047357224961e+03,2.739724565655762500e+00
9.891596070249559489e+03,2.739724561495399779e+00
9.891596093141895835e+03,2.739724557334744404e+00
9.891596116034230363e+03,2.739724553173798149e+00
9.891596138926566709e+03,2.739724549012559685e+00
9.891596161818901237e+03,2.739724544851030341e+00
9.891596184711237584e+03,2.739724540689209231e+00
9.891596207603573930e+03,2.739724536527096355e+00
9.891596230495908458e+03,2.739724532364692600e+00
9.891596253388244804e+03,2.739724528201996190e+00
9.891596276280579332e+03,2.739724524039009790e+00
9.891596299172915678e+03,2.739724519875731179e+00
9.891596322065250206e+03,2.739724515712161246e+00
9.891596344957586552e+03,2.739724511548299546e+00
9.891596367849921080e+03,2.739724507384146523e+00
9.891596390742257427e+03,2.739724503219701734e+00
9.891596413634591954e+03,2.739724499054966067e+00
9.891596436526928301e+03,2.739724494889938633e+00
9.891596459419264647e+03,2.739724490724619432e+00
9.891596482311599175e+03,2.739724486559009797e+00
9.891596505203935521e+03,2.739724482393108396e+00
9.891596528096270049e+03,2.739724478226915227e+00
9.891596550988606396e+03,2.739724474060430293e+00
9.891596573880940923e+03,2.739724469893654923e+00
9.891596596773277270e+03,2.739724465726587344e+00
9.891596619665611797e+03,2.739724461559228885e+00
9.891596642557948144e+03,2.739724457391578660e+00
9.891596665450284490e+03,2.739724453223636669e+00
9.891596688342619018e+03,2.739724449055403799e+00
9.891596711234955364e+03,2.739724444886879606e+00
9.891596734127289892e+03,2.739724440718063647e+00
9.891596757019626239e+03,2.739724436548956366e+00
9.891596779911960766e+03,2.739724432379558650e+00
9.891596802804297113e+03,2.739724428209868279e+00
9.891596825696631640e+03,2.739724424039887030e+00
9.891596848588967987e+03,2.739724419869614902e+00
9.891596871481304333e+03,2.739724415699050564e+00
9.891596894373638861e+03,2.739724411528195347e+00
9.891596917265975208e+03,2.739724407357048364e+00
9.891596940158309735e+03,2.739724403185610502e+00
9.891596963050646082e+03,2.739724399013881317e+00
9.891596985942980609e+03,2.739724394841860811e+00
