Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.891598886006830071e+03,6.440183657270606545e+02
9.891598908899166418e+03,6.440407127291097140e+02
9.891598931791500945e+03,6.440630571985310553e+02
9.891598954683837292e+03,6.440853991386730968e+02
9.891598977576171819e+03,6.441077385457826949e+02
9.891599000468508166e+03,6.441300754232078134e+02
9.891599023360842693e+03,6.441524097671962181e+02
9.891599046253179040e+03,6.441747415810948496e+02
9.891599069145513567e+03,6.441970708611521559e+02
9.891599092037849914e+03,6.442193976107142817e+02
9.891599114930186261e+03,6.442417218278048949e+02
9.891599137822520788e+03,6.442640435104477774e+02
9.891599160714857135e+03,6.442863626619880506e+02
9.891599183607191662e+03,6.443086792786764363e+02
9.891599206499528009e+03,6.443309933638574876e+02
9.891599229391862536e+03,6.443533049137823809e+02
9.891599252284198883e+03,6.443756139317948737e+02
9.891599275176533411e+03,6.443979204141475066e+02
9.891599298068869757e+03,6.444202243641830137e+02
9.891599320961204285e+03,6.444425257781547316e+02
9.891599343853540631e+03,6.444648246594044849e+02
9.891599366745876978e+03,6.444871210059583291e+02
9.891599389638211505e+03,6.445094148158425469e+02
9.891599412530547852e+03,6.445317060923981671e+02
9.891599435422882379e+03,6.445539948318805727e+02
9.891599458315218726e+03,6.445762810376297693e+02
9.891599481207553254e+03,6.445985647059023904e+02
9.891599504099889600e+03,6.446208458400374184e+02
9.891599526992224128e+03,6.446431244362922826e+02
9.891599549884560474e+03,6.446654004980053969e+02
9.891599572776896821e+03,6.446876740232046359e+02
9.891599595669231348e+03,6.447099450099185560e+02
9.891599618561567695e+03,6.447322134614844344e+02
9.891599641453902223e+03,6.447544793741619742e+02
9.891599664346238569e+03,6.447767427512873155e+02
9.891599687238573097e+03,6.447990035891211846e+02
9.891599710130909443e+03,6.448212618909989260e+02
9.891599733023243971e+03,6.448435176531818342e+02
9.891599755915580317e+03,6.448657708790053675e+02
9.891599778807914845e+03,6.448880215647307068e+02
9.891599801700251192e+03,6.449102697136927418e+02
9.891599824592587538e+03,6.449325153239216206e+02
9.891599847484922066e+03,6.449547583934482873e+02
9.891599870377258412e+03,6.449769989256062672e+02
9.891599893269592940e+03,6.449992369166590152e+02
9.891599916161929286e+03,6.450214723699396018e+02
9.891599939054263814e+03,6.450437052817125050e+02
9.891599961946600160e+03,6.450659356553095449e+02
9.891599984838934688e+03,6.450881634869965637e+02
9.891600007731271035e+03,6.451103887801043584e+02
9.891600030623607381e+03,6.451326115326653508e+02
9.891600053515941909e+03,6.451548317427124175e+02
9.891600076408278255e+03,6.451770494135755598e+02
9.891600099300612783e+03,6.451992645415224388e+02
9.891600122192949129e+03,6.452214771298822598e+02
9.891600145085283657e+03,6.452436871749237071e+02
9.891600167977620004e+03,6.452658946799750765e+02
9.891600190869954531e+03,6.452880996413059620e+02
9.891600213762290878e+03,6.453103020622436361e+02
9.891600236654627224e+03,6.453325019408225671e+02
9.891600259546961752e+03,6.453546992750780191e+02
9.891600282439298098e+03,6.453768940683361279e+02
9.891600305331632626e+03,6.453990863168686474e+02
9.891600328223968972e+03,6.454212760240012585e+02
9.891600351116303500e+03,6.454434631860066247e+02
9.891600374008639847e+03,6.454656478062094038e+02
9.891600396900974374e+03,6.454878298808829413e+02
9.891600419793310721e+03,6.455100094133515540e+02
9.891600442685645248e+03,6.455321863998893832e+02
9.891600465577981595e+03,6.455543608438197225e+02
9.891600488470317941e+03,6.455765327431794276e+02
9.891600511362652469e+03,6.455987020960060363e+02
9.891600534254988816e+03,6.456208689056217054e+02
9.891600557147323343e+03,6.456430331683029635e+02
9.891600580039659690e+03,6.456651948873710580e+02
9.891600602931994217e+03,6.456873540591034271e+02
9.891600625824330564e+03,6.457095106868206358e+02
9.891600648716665091e+03,6.457316647668006908e+02
9.891600671609001438e+03,6.457538163023635889e+02
9.891600694501337784e+03,6.457759652915482320e+02
9.891600717393672312e+03,6.457981117323939770e+02
9.891600740286008659e+03,6.458202556282199112e+02
9.891600763178343186e+03,6.458423969753060874e+02
9.891600786070679533e+03,6.458645357769703423e+02
9.891600808963014060e+03,6.458866720294940933e+02
9.891600831855350407e+03,6.459088057361943811e+02
9.891600854747684934e+03,6.459309368933531914e+02
9.891600877640021281e+03,6.459530655042871103e+02
9.891600900532355809e+03,6.459751915652785783e+02
9.891600923424692155e+03,6.459973150796437267e+02
9.891600946317028502e+03,6.460194360454236175e+02
9.891600969209363029e+03,6.460415544606604499e+02
9.891600992101699376e+03,6.460636703286686497e+02
9.891601014994033903e+03,6.460857836457332724e+02
