Time (BJD_TBD - 2450000), F_star + F_g (mJy)
9.905193796296138316e+03,2.739451248630010660e+00
9.905193817625817246e+03,2.739451250204678168e+00
9.905193838955496176e+03,2.739451251779339458e+00
9.905193860285176925e+03,2.739451253353992755e+00
9.905193881614855854e+03,2.739451254928638946e+00
9.905193902944534784e+03,2.739451256503278920e+00
9.905193924274213714e+03,2.739451258077910900e+00
9.905193945603892644e+03,2.739451259652536219e+00
9.905193966933571573e+03,2.739451261227154433e+00
9.905193988263252322e+03,2.739451262801765985e+00
9.905194009592931252e+03,2.739451264376369544e+00
9.905194030922610182e+03,2.739451265950966885e+00
9.905194052252289111e+03,2.739451267525557121e+00
9.905194073581968041e+03,2.739451269100140252e+00
9.905194094911648790e+03,2.739451270674715833e+00
9.905194116241327720e+03,2.739451272249284752e+00
9.905194137571006650e+03,2.739451273823846567e+00
9.905194158900685579e+03,2.739451275398401719e+00
9.905194180230364509e+03,2.739451276972949323e+00
9.905194201560043439e+03,2.739451278547489821e+00
9.905194222889724188e+03,2.739451280122023658e+00
9.905194244219403117e+03,2.739451281696549945e+00
9.905194265549082047e+03,2.739451283271070015e+00
9.905194286878760977e+03,2.739451284845582535e+00
9.905194308208439907e+03,2.739451286420087506e+00
9.905194329538120655e+03,2.739451287994586259e+00
9.905194350867799585e+03,2.739451289569077908e+00
9.905194372197478515e+03,2.739451291143561562e+00
9.905194393527157445e+03,2.739451292718038999e+00
9.905194414856836374e+03,2.739451294292509331e+00
9.905194436186517123e+03,2.739451295866972558e+00
9.905194457516196053e+03,2.739451297441428679e+00
9.905194478845874983e+03,2.739451299015877694e+00
9.905194500175553912e+03,2.739451300590319605e+00
9.905194521505232842e+03,2.739451302164754409e+00
9.905194542834911772e+03,2.739451303739182109e+00
9.905194564164592521e+03,2.739451305313603591e+00
9.905194585494271450e+03,2.739451306888017523e+00
9.905194606823950380e+03,2.739451308462424350e+00
9.905194628153629310e+03,2.739451310036823628e+00
9.905194649483308240e+03,2.739451311611216244e+00
9.905194670812988988e+03,2.739451313185602199e+00
9.905194692142667918e+03,2.739451314759980161e+00
9.905194713472346848e+03,2.739451316334351461e+00
9.905194734802025778e+03,2.739451317908716099e+00
9.905194756131704708e+03,2.739451319483073632e+00
9.905194777461383637e+03,2.739451321057423616e+00
9.905194798791064386e+03,2.739451322631766939e+00
9.905194820120743316e+03,2.739451324206103155e+00
9.905194841450422246e+03,2.739451325780432711e+00
9.905194862780101175e+03,2.739451327354754717e+00
9.905194884109780105e+03,2.739451328929069618e+00
9.905194905439460854e+03,2.739451330503377413e+00
9.905194926769139784e+03,2.739451332077678547e+00
9.905194948098818713e+03,2.739451333651972575e+00
9.905194969428497643e+03,2.739451335226259499e+00
9.905194990758176573e+03,2.739451336800538872e+00
9.905195012087855503e+03,2.739451338374811584e+00
9.905195033417536251e+03,2.739451339949077191e+00
9.905195054747215181e+03,2.739451341523335692e+00
9.905195076076894111e+03,2.739451343097587088e+00
9.905195097406573041e+03,2.739451344671831823e+00
9.905195118736251970e+03,2.739451346246069008e+00
9.905195140065932719e+03,2.739451347820299532e+00
