Time (BJD_TBD - 2450000), F_g/F_star (ppm)
9.882462860358920807e+03,1.218282274274056505e+02
9.882462878374612046e+03,1.218283261235867059e+02
9.882462896390301466e+03,1.218284248146833733e+02
9.882462914405992706e+03,1.218285235007155620e+02
9.882462932421682126e+03,1.218286221816633059e+02
9.882462950437373365e+03,1.218287208575465712e+02
9.882462968453062786e+03,1.218288195283454058e+02
9.882462986468754025e+03,1.218289181940797192e+02
9.882463004484445264e+03,1.218290168547395353e+02
9.882463022500134684e+03,1.218291155103148924e+02
9.882463040515825924e+03,1.218292141608257282e+02
9.882463058531515344e+03,1.218293128062520765e+02
9.882463076547206583e+03,1.218294114466138609e+02
9.882463094562896003e+03,1.218295100818911578e+02
9.882463112578587243e+03,1.218296087121038767e+02
9.882463130594278482e+03,1.218297073372420556e+02
9.882463148609967902e+03,1.218298059572957044e+02
9.882463166625659142e+03,1.218299045722847751e+02
9.882463184641348562e+03,1.218300031821893015e+02
9.882463202657039801e+03,1.218301017870292071e+02
9.882463220672729221e+03,1.218302003867845826e+02
9.882463238688420461e+03,1.218302989814753090e+02
9.882463256704111700e+03,1.218303975710914386e+02
9.882463274719801120e+03,1.218304961556229813e+02
9.882463292735492359e+03,1.218305947350898748e+02
9.882463310751181780e+03,1.218306933094721813e+02
9.882463328766873019e+03,1.218307918787898103e+02
9.882463346782562439e+03,1.218308904430228381e+02
9.882463364798253679e+03,1.218309890021911457e+02
9.882463382813944918e+03,1.218310875562848281e+02
9.882463400829634338e+03,1.218311861052938667e+02
9.882463418845325577e+03,1.218312846492381851e+02
9.882463436861014998e+03,1.218313831880978739e+02
9.882463454876706237e+03,1.218314817218927999e+02
9.882463472892395657e+03,1.218315802506030678e+02
9.882463490908086897e+03,1.218316787742486014e+02
9.882463508923778136e+03,1.218317772928193961e+02
9.882463526939467556e+03,1.218318758063055185e+02
9.882463544955158795e+03,1.218319743147268497e+02
9.882463562970848216e+03,1.218320728180634944e+02
9.882463580986539455e+03,1.218321713163353337e+02
9.882463599002228875e+03,1.218322698095224723e+02
9.882463617017920114e+03,1.218323682976447913e+02
9.882463635033611354e+03,1.218324667806923145e+02
9.882463653049300774e+03,1.218325652586550945e+02
9.882463671064992013e+03,1.218326637315530547e+02
9.882463689080681434e+03,1.218327621993662717e+02
9.882463707096372673e+03,1.218328606621145980e+02
9.882463725112062093e+03,1.218329591197781809e+02
9.882463743127753332e+03,1.218330575723768590e+02
9.882463761143444572e+03,1.218331560199007271e+02
9.882463779159133992e+03,1.218332544623397951e+02
9.882463797174825231e+03,1.218333528997139439e+02
9.882463815190514651e+03,1.218334513320033068e+02
9.882463833206205891e+03,1.218335497592277363e+02
9.882463851221895311e+03,1.218336481813673657e+02
9.882463869237586550e+03,1.218337465984420334e+02
9.882463887253277790e+03,1.218338450104418058e+02
9.882463905268967210e+03,1.218339434173567355e+02
9.882463923284658449e+03,1.218340418192067034e+02
9.882463941300347869e+03,1.218341402159718143e+02
9.882463959316039109e+03,1.218342386076719350e+02
9.882463977331728529e+03,1.218343369942871988e+02
9.882463995347419768e+03,1.218344353758374154e+02
9.882464013363111007e+03,1.218345337523127085e+02
9.882464031378800428e+03,1.218346321237031162e+02
9.882464049394491667e+03,1.218347304900284769e+02
9.882464067410181087e+03,1.218348288512689379e+02
9.882464085425872327e+03,1.218349272074443377e+02
9.882464103441561747e+03,1.218350255585348094e+02
9.882464121457252986e+03,1.218351239045602341e+02
9.882464139472944225e+03,1.218352222455106357e+02
9.882464157488633646e+03,1.218353205813760951e+02
9.882464175504324885e+03,1.218354189121764364e+02
9.882464193520014305e+03,1.218355172378918354e+02
9.882464211535705545e+03,1.218356155585421305e+02
9.882464229551394965e+03,1.218357138741074266e+02
9.882464247567086204e+03,1.218358121846076045e+02
9.882464265582777443e+03,1.218359104900327026e+02
9.882464283598466864e+03,1.218360087903728157e+02
9.882464301614158103e+03,1.218361070856477681e+02
9.882464319629847523e+03,1.218362053758377073e+02
9.882464337645538762e+03,1.218363036609624572e+02
9.882464355661228183e+03,1.218364019410021939e+02
9.882464373676919422e+03,1.218365002159767130e+02
9.882464391692610661e+03,1.218365984858761237e+02
9.882464409708300082e+03,1.218366967506904643e+02
9.882464427723991321e+03,1.218367950104396300e+02
9.882464445739680741e+03,1.218368932651036687e+02
9.882464463755371980e+03,1.218369915147025182e+02
9.882464481771061401e+03,1.218370897592162407e+02
9.882464499786752640e+03,1.218371879986647457e+02
9.882464517802442060e+03,1.218372862330281379e+02
9.882464535818133299e+03,1.218373844623262414e+02
9.882464553833824539e+03,1.218374826865491656e+02
9.882464571849513959e+03,1.218375809056869485e+02
9.882464589865205198e+03,1.218376791197594429e+02
9.882464607880894619e+03,1.218377773287467960e+02
9.882464625896585858e+03,1.218378755326688463e+02
9.882464643912275278e+03,1.218379737315057270e+02
9.882464661927966517e+03,1.218380719252772764e+02
9.882464679943657757e+03,1.218381701139735753e+02
9.882464697959347177e+03,1.218382682975846905e+02
9.882464715975038416e+03,1.218383664761304601e+02
9.882464733990727836e+03,1.218384646495910175e+02
9.882464752006419076e+03,1.218385628179862010e+02
9.882464770022108496e+03,1.218386609812961865e+02
9.882464788037799735e+03,1.218387591395407696e+02
9.882464806053490975e+03,1.218388572927100171e+02
9.882464824069180395e+03,1.218389554407940665e+02
9.882464842084871634e+03,1.218390535838126709e+02
9.882464860100561054e+03,1.218391517217460631e+02
9.882464878116252294e+03,1.218392498546139819e+02
9.882464896131941714e+03,1.218393479823966459e+02
9.882464914147632953e+03,1.218394461051138506e+02
9.882464932163324193e+03,1.218395442227556913e+02
9.882464950179013613e+03,1.218396423353122344e+02
9.882464968194704852e+03,1.218397404428033184e+02
9.882464986210394272e+03,1.218398385452090764e+02
9.882465004226085512e+03,1.218399366425493611e+02
9.882465022241774932e+03,1.218400347348043056e+02
9.882465040257466171e+03,1.218401328219937483e+02
9.882465058273157410e+03,1.218402309041077558e+02
9.882465076288846831e+03,1.218403289811364090e+02
9.882465094304538070e+03,1.218404270530995319e+02
9.882465112320227490e+03,1.218405251199773005e+02
9.882465130335918730e+03,1.218406231817894962e+02
9.882465148351608150e+03,1.218407212385163376e+02
9.882465166367299389e+03,1.218408192901776061e+02
9.882465184382990628e+03,1.218409173367633684e+02
9.882465202398680049e+03,1.218410153782637195e+02
9.882465220414371288e+03,1.218411134146984978e+02
9.882465238430060708e+03,1.218412114460478648e+02
9.882465256445751947e+03,1.218413094723316021e+02
9.882465274461441368e+03,1.218414074935298999e+02
9.882465292477132607e+03,1.218415055096625821e+02
9.882465310492823846e+03,1.218416035207197154e+02
9.882465328508513267e+03,1.218417015266913808e+02
9.882465346524204506e+03,1.218417995275974022e+02
9.882465364539893926e+03,1.218418975234179555e+02
9.882465382555585165e+03,1.218419955141728224e+02
9.882465400571274586e+03,1.218420934998422069e+02
9.882465418586965825e+03,1.218421914804458908e+02
9.882465436602657064e+03,1.218422894559739689e+02
9.882465454618346484e+03,1.218423874264165505e+02
9.882465472634037724e+03,1.218424853917934030e+02
9.882465490649727144e+03,1.218425833520847448e+02
9.882465508665418383e+03,1.218426813073103290e+02
9.882465526681107804e+03,1.218427792574503883e+02
9.882465544696799043e+03,1.218428772025246900e+02
9.882465562712490282e+03,1.218429751425233150e+02
9.882465580728179702e+03,1.218430730774364150e+02
9.882465598743870942e+03,1.218431710072837006e+02
9.882465616759560362e+03,1.218432689320454188e+02
9.882465634775251601e+03,1.218433668517413366e+02
9.882465652790941022e+03,1.218434647663516728e+02
9.882465670806632261e+03,1.218435626758961661e+02
9.882465688822323500e+03,1.218436605803649542e+02
9.882465706838012920e+03,1.218437584797481321e+02
9.882465724853704160e+03,1.218438563740654672e+02
9.882465742869393580e+03,1.218439542632971637e+02
9.882465760885084819e+03,1.218440521474629890e+02
9.882465778900774239e+03,1.218441500265431898e+02
9.882465796916465479e+03,1.218442479005574910e+02
9.882465814932156718e+03,1.218443457694960443e+02
9.882465832947846138e+03,1.218444436333489023e+02
9.882465850963537378e+03,1.218445414921358605e+02
9.882465868979226798e+03,1.218446393458371517e+02
9.882465886994918037e+03,1.218447371944725006e+02
9.882465905010607457e+03,1.218448350380221541e+02
9.882465923026298697e+03,1.218449328765058652e+02
9.882465941041989936e+03,1.218450307099137291e+02
9.882465959057679356e+03,1.218451285382358975e+02
9.882465977073370595e+03,1.218452263614920952e+02
9.882465995089060016e+03,1.218453241796625406e+02
9.882466013104751255e+03,1.218454219927670152e+02
9.882466031120440675e+03,1.218455198007857376e+02
9.882466049136131915e+03,1.218456176037384466e+02
9.882466067151823154e+03,1.218457154016152657e+02
9.882466085167512574e+03,1.218458131944063041e+02
9.882466103183203813e+03,1.218459109821313291e+02
9.882466121198893234e+03,1.218460087647705592e+02
