Time (BJD_TBD - 2450000), F_star + F_e (mJy)
1.014846118717416175e+04,3.604109103064992325e+00
1.014846120804893508e+04,3.604109100822265432e+00
1.014846122892370840e+04,3.604109098579623360e+00
1.014846124979847991e+04,3.604109096337064333e+00
1.014846127067325324e+04,3.604109094094589683e+00
1.014846129154802657e+04,3.604109091852198077e+00
1.014846131242279807e+04,3.604109089609891292e+00
1.014846133329757140e+04,3.604109087367667552e+00
1.014846135417234473e+04,3.604109085125528189e+00
1.014846137504711623e+04,3.604109082883472759e+00
1.014846139592188956e+04,3.604109080641500373e+00
1.014846141679666107e+04,3.604109078399612365e+00
1.014846143767143440e+04,3.604109076157808289e+00
1.014846145854620772e+04,3.604109073916088146e+00
1.014846147942097923e+04,3.604109071674451048e+00
1.014846150029575256e+04,3.604109069432898327e+00
1.014846152117052588e+04,3.604109067191429538e+00
1.014846154204529739e+04,3.604109064950044683e+00
1.014846156292007072e+04,3.604109062708742872e+00
1.014846158379484405e+04,3.604109060467525438e+00
1.014846160466961555e+04,3.604109058226391937e+00
1.014846162554438888e+04,3.604109055985342369e+00
1.014846164641916039e+04,3.604109053744376734e+00
1.014846166729393371e+04,3.604109051503494587e+00
1.014846168816870704e+04,3.604109049262696374e+00
1.014846170904347855e+04,3.604109047021982093e+00
1.014846172991825188e+04,3.604109044781350857e+00
1.014846175079302520e+04,3.604109042540803998e+00
1.014846177166779671e+04,3.604109040300341071e+00
1.014846179254257004e+04,3.604109038059962078e+00
1.014846181341734336e+04,3.604109035819667461e+00
1.014846183429211487e+04,3.604109033579455890e+00
1.014846185516688820e+04,3.604109031339328251e+00
1.014846187604165971e+04,3.604109029099284545e+00
1.014846189691643303e+04,3.604109026859324771e+00
1.014846191779120636e+04,3.604109024619448487e+00
1.014846193866597787e+04,3.604109022379656135e+00
1.014846195954075120e+04,3.604109020139948161e+00
1.014846198041552452e+04,3.604109017900323675e+00
1.014846200129029603e+04,3.604109015660783566e+00
1.014846202216506936e+04,3.604109013421326502e+00
1.014846204303984086e+04,3.604109011181953814e+00
1.014846206391461419e+04,3.604109008942664616e+00
1.014846208478938752e+04,3.604109006703459794e+00
1.014846210566415903e+04,3.604109004464338017e+00
1.014846212653893235e+04,3.604109002225301062e+00
1.014846214741370568e+04,3.604108999986347595e+00
1.014846216828847719e+04,3.604108997747478060e+00
1.014846218916325051e+04,3.604108995508691571e+00
1.014846221003802384e+04,3.604108993269989902e+00
1.014846223091279535e+04,3.604108991031371723e+00
1.014846225178756868e+04,3.604108988792837476e+00
1.014846227266234018e+04,3.604108986554387162e+00
1.014846229353711351e+04,3.604108984316020337e+00
1.014846231441188684e+04,3.604108982077737888e+00
1.014846233528665834e+04,3.604108979839538929e+00
1.014846235616143167e+04,3.604108977601423902e+00
1.014846237703620500e+04,3.604108975363393252e+00
1.014846239791097651e+04,3.604108973125446092e+00
1.014846241878574983e+04,3.604108970887582419e+00
1.014846243966052316e+04,3.604108968649803124e+00
1.014846246053529467e+04,3.604108966412108206e+00
1.014846248141006799e+04,3.604108964174495888e+00
1.014846250228483950e+04,3.604108961936968392e+00
1.014846252315961283e+04,3.604108959699524828e+00
1.014846254403438616e+04,3.604108957462164309e+00
1.014846256490915766e+04,3.604108955224888167e+00
1.014846258578393099e+04,3.604108952987695957e+00
1.014846260665870432e+04,3.604108950750587681e+00
1.014846262753347582e+04,3.604108948513563337e+00
1.014846264840824915e+04,3.604108946276622483e+00
1.014846266928302248e+04,3.604108944039765561e+00
1.014846269015779399e+04,3.604108941802993460e+00
1.014846271103256731e+04,3.604108939566303960e+00
1.014846273190733882e+04,3.604108937329698836e+00
1.014846275278211215e+04,3.604108935093178090e+00
1.014846277365688547e+04,3.604108932856740388e+00
1.014846279453165698e+04,3.604108930620387952e+00
1.014846281540643031e+04,3.604108928384118116e+00
1.014846283628120364e+04,3.604108926147932213e+00
1.014846285715597514e+04,3.604108923911830686e+00
1.014846287803074847e+04,3.604108921675813093e+00
1.014846289890552180e+04,3.604108919439878989e+00
1.014846291978029330e+04,3.604108917204028817e+00
1.014846294065506663e+04,3.604108914968263466e+00
1.014846296152983814e+04,3.604108912732581160e+00
1.014846298240461147e+04,3.604108910496982343e+00
1.014846300327938479e+04,3.604108908261468347e+00
1.014846302415415630e+04,3.604108906026037396e+00
1.014846304502892963e+04,3.604108903790691265e+00
1.014846306590370295e+04,3.604108901555428623e+00
1.014846308677847446e+04,3.604108899320249915e+00
1.014846310765324779e+04,3.604108897085155139e+00
1.014846312852802112e+04,3.604108894850143407e+00
1.014846314940279262e+04,3.604108892615216941e+00
1.014846317027756595e+04,3.604108890380373520e+00
1.014846319115233746e+04,3.604108888145614920e+00
1.014846321202711079e+04,3.604108885910939364e+00
1.014846323290188411e+04,3.604108883676347741e+00
1.014846325377665562e+04,3.604108881441840495e+00
1.014846327465142895e+04,3.604108879207416294e+00
1.014846329552620227e+04,3.604108876973077358e+00
1.014846331640097378e+04,3.604108874738821910e+00
1.014846333727574711e+04,3.604108872504649952e+00
1.014846335815051862e+04,3.604108870270561926e+00
1.014846337902529194e+04,3.604108868036557833e+00
1.014846339990006527e+04,3.604108865802638118e+00
1.014846342077483678e+04,3.604108863568801890e+00
1.014846344164961010e+04,3.604108861335049152e+00
1.014846346252438343e+04,3.604108859101381679e+00
1.014846348339915494e+04,3.604108856867796806e+00
1.014846350427392827e+04,3.604108854634297199e+00
1.014846352514870159e+04,3.604108852400880636e+00
1.014846354602347310e+04,3.604108850167548006e+00
1.014846356689824643e+04,3.604108847934299309e+00
1.014846358777301793e+04,3.604108845701134989e+00
1.014846360864779126e+04,3.604108843468053713e+00
1.014846362952256459e+04,3.604108841235057259e+00
1.014846365039733610e+04,3.604108839002143849e+00
1.014846367127210942e+04,3.604108836769314816e+00
1.014846369214688275e+04,3.604108834536570605e+00
1.014846371302165426e+04,3.604108832303909438e+00
1.014846373389642758e+04,3.604108830071332203e+00
1.014846375477120091e+04,3.604108827838838458e+00
1.014846377564597242e+04,3.604108825606429090e+00
1.014846379652074575e+04,3.604108823374104098e+00
1.014846381739551725e+04,3.604108821141863039e+00
1.014846383827029058e+04,3.604108818909705469e+00
1.014846385914506391e+04,3.604108816677631832e+00
1.014846388001983541e+04,3.604108814445643016e+00
1.014846390089460874e+04,3.604108812213737245e+00
1.014846392176938207e+04,3.604108809981915407e+00
1.014846394264415358e+04,3.604108807750177945e+00
1.014846396351892690e+04,3.604108805518524417e+00
1.014846398439370023e+04,3.604108803286953933e+00
1.014846400526847174e+04,3.604108801055468270e+00
1.014846402614324506e+04,3.604108798824066984e+00
1.014846404701801657e+04,3.604108796592748742e+00
1.014846406789278990e+04,3.604108794361514434e+00
1.014846408876756323e+04,3.604108792130364947e+00
1.014846410964233473e+04,3.604108789899298948e+00
1.014846413051710806e+04,3.604108787668316438e+00
1.014846415139188139e+04,3.604108785437418305e+00
