Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.913949739244988450e+03,1.996932971816860629e+02
9.913949757348651474e+03,1.997166587145068206e+02
9.913949775452312679e+03,1.997400210453681950e+02
9.913949793555975702e+03,1.997633841788326095e+02
9.913949811659636907e+03,1.997867481100725797e+02
9.913949829763299931e+03,1.998101128436508702e+02
9.913949847866962955e+03,1.998334783770874594e+02
9.913949865970624160e+03,1.998568447079022690e+02
9.913949884074287183e+03,1.998802118406581485e+02
9.913949902177948388e+03,1.999035797705271023e+02
9.913949920281611412e+03,1.999269485020726052e+02
9.913949938385272617e+03,1.999503180304660077e+02
9.913949956488935641e+03,1.999736883602711828e+02
9.913949974592596845e+03,1.999970594866592535e+02
9.913949992696259869e+03,2.000204314141943200e+02
9.913950010799922893e+03,2.000438041403955651e+02
9.913950028903584098e+03,2.000671776627820577e+02
9.913950047007247122e+03,2.000905519859183812e+02
9.913950065110908326e+03,2.001139271049747776e+02
9.913950083214571350e+03,2.001373030245160862e+02
9.913950101318232555e+03,2.001606797397124353e+02
9.913950119421895579e+03,2.001840572551289199e+02
9.913950137525558603e+03,2.002074355682841826e+02
9.913950155629219807e+03,2.002308146766966104e+02
9.913950173732882831e+03,2.002541945849319802e+02
9.913950191836544036e+03,2.002775752881593405e+02
9.913950209940207060e+03,2.003009567909446105e+02
9.913950228043868265e+03,2.003243390884567532e+02
9.913950246147531288e+03,2.003477221852619152e+02
9.913950264251192493e+03,2.003711060765287186e+02
9.913950282354855517e+03,2.003944907668235942e+02
9.913950300458518541e+03,2.004178762536646161e+02
9.913950318562179746e+03,2.004412625345693186e+02
9.913950336665842769e+03,2.004646496141048146e+02
9.913950354769503974e+03,2.004880374874386177e+02
9.913950372873166998e+03,2.005114261591383240e+02
9.913950390976828203e+03,2.005348156243712481e+02
9.913950409080491227e+03,2.005582058877048155e+02
9.913950427184152431e+03,2.005815969443062841e+02
9.913950445287815455e+03,2.006049887987435625e+02
9.913950463391478479e+03,2.006283814485338439e+02
9.913950481495139684e+03,2.006517748911938384e+02
9.913950499598802708e+03,2.006751691312922787e+02
9.913950517702463912e+03,2.006985641639951723e+02
9.913950535806126936e+03,2.007219599938713088e+02
9.913950553909788141e+03,2.007453566160865250e+02
9.913950572013451165e+03,2.007687540352099234e+02
9.913950590117112370e+03,2.007921522464070847e+02
9.913950608220775393e+03,2.008155512542472820e+02
9.913950626324438417e+03,2.008389510562470264e+02
9.913950644428099622e+03,2.008623516499224024e+02
9.913950662531762646e+03,2.008857530398432232e+02
9.913950680635423851e+03,2.009091552211742453e+02
9.913950698739086874e+03,2.009325581984855091e+02
9.913950716842748079e+03,2.009559619669416293e+02
9.913950734946411103e+03,2.009793665311129303e+02
9.913950753050072308e+03,2.010027718861633730e+02
9.913950771153735332e+03,2.010261780366638789e+02
9.913950789257398355e+03,2.010495849801301063e+02
9.913950807361059560e+03,2.010729927140773441e+02
9.913950825464722584e+03,2.010964012430767411e+02
9.913950843568383789e+03,2.011198105622918320e+02
9.913950861672046813e+03,2.011432206762939074e+02
9.913950879775708017e+03,2.011666315802458485e+02
9.913950897879371041e+03,2.011900432787196848e+02
9.913950915983032246e+03,2.012134557668779848e+02
9.913950934086695270e+03,2.012368690492928351e+02
9.913950952190358294e+03,2.012602831234791267e+02
9.913950970294019498e+03,2.012836979869515517e+02
9.913950988397682522e+03,2.013071136442826514e+02
9.913951006501343727e+03,2.013305300906342552e+02
9.913951024605006751e+03,2.013539473305792171e+02
9.913951042708667956e+03,2.013773653592790254e+02
9.913951060812330979e+03,2.014007841813069888e+02
9.913951078915992184e+03,2.014242037918241408e+02
9.913951097019655208e+03,2.014476241954040461e+02
9.913951115123318232e+03,2.014710453895609135e+02
9.913951133226979437e+03,2.014944673718085824e+02
9.913951151330642460e+03,2.015178901467209300e+02
9.913951169434303665e+03,2.015413137094583647e+02
9.913951187537966689e+03,2.015647380645952751e+02
9.913951205641627894e+03,2.015881632072915011e+02
9.913951223745290918e+03,2.016115891421217157e+02
9.913951241848952122e+03,2.016350158642457018e+02
9.913951259952615146e+03,2.016584433782381609e+02
9.913951278056278170e+03,2.016818716816126766e+02
9.913951296159939375e+03,2.017053007718823210e+02
9.913951314263602399e+03,2.017287306536224492e+02
9.913951332367263603e+03,2.017521613219918493e+02
9.913951350470926627e+03,2.017755927815661892e+02
9.913951368574587832e+03,2.017990250275041717e+02
9.913951386678250856e+03,2.018224580643816921e+02
9.913951404781913880e+03,2.018458918897115666e+02
9.913951422885575084e+03,2.018693265010063556e+02
9.913951440989238108e+03,2.018927619028424090e+02
9.913951459092899313e+03,2.019161980903775486e+02
9.913951477196562337e+03,2.019396350681884371e+02
9.913951495300223542e+03,2.019630728314325552e+02
9.913951513403886565e+03,2.019865113846869633e+02
9.913951531507547770e+03,2.020099507231087443e+02
9.913951549611210794e+03,2.020333908512752430e+02
9.913951567714873818e+03,2.020568317666984797e+02
9.913951585818535023e+03,2.020802734668904179e+02
9.913951603922198046e+03,2.021037159564285446e+02
9.913951622025859251e+03,2.021271592304694025e+02
9.913951640129522275e+03,2.021506032935910468e+02
9.913951658233183480e+03,2.021740481409494521e+02
9.913951676336846504e+03,2.021974937771229577e+02
9.913951694440507708e+03,2.022209401972673959e+02
9.913951712544170732e+03,2.022443874059613051e+02
9.913951730647833756e+03,2.022678354007160237e+02
9.913951748751494961e+03,2.022912841790426342e+02
9.913951766855157985e+03,2.023147337455203854e+02
9.913951784958819189e+03,2.023381840953039728e+02
9.913951803062482213e+03,2.023616352329729864e+02
9.913951821166143418e+03,2.023850871536819227e+02
