Time (BJD_TBD - 2450000), L_b/L_star (ppm)
1.014846018518507481e+04,7.397679457759992374e+02
1.014846020605984813e+04,7.397894342089140309e+02
1.014846022693461964e+04,7.398109201644781479e+02
1.014846024780939297e+04,7.398324036462746562e+02
1.014846026868416629e+04,7.398538846522685617e+02
1.014846028955893780e+04,7.398753631804273709e+02
1.014846031043371113e+04,7.398968392343316509e+02
1.014846033130848264e+04,7.399183128100771683e+02
1.014846035218325596e+04,7.399397839112446036e+02
1.014846037305802929e+04,7.399612525358005541e+02
1.014846039393280080e+04,7.399827186817128677e+02
1.014846041480757413e+04,7.400041823525609743e+02
1.014846043568234745e+04,7.400256435463123807e+02
1.014846045655711896e+04,7.400471022609353895e+02
1.014846047743189229e+04,7.400685585000084075e+02
1.014846049830666561e+04,7.400900122614995098e+02
1.014846051918143712e+04,7.401114635433781359e+02
1.014846054005621045e+04,7.401329123492207600e+02
1.014846056093098196e+04,7.401543586751280372e+02
1.014846058180575528e+04,7.401758025246758734e+02
1.014846060268052861e+04,7.401972438958333669e+02
1.014846062355530012e+04,7.402186827865716623e+02
1.014846064443007344e+04,7.402401192004648465e+02
1.014846066530484677e+04,7.402615531354832683e+02
1.014846068617961828e+04,7.402829845895980725e+02
1.014846070705439161e+04,7.403044135663828911e+02
1.014846072792916493e+04,7.403258400638081866e+02
1.014846074880393644e+04,7.403472640798463544e+02
1.014846076967870977e+04,7.403686856180690938e+02
1.014846079055348127e+04,7.403901046745820622e+02
1.014846081142825460e+04,7.404115212529563905e+02
1.014846083230302793e+04,7.404329353511647014e+02
1.014846085317779944e+04,7.404543469671791627e+02
1.014846087405257276e+04,7.404757561045706780e+02
1.014846089492734609e+04,7.404971627613117562e+02
1.014846091580211760e+04,7.405185669353755884e+02
1.014846093667689092e+04,7.405399686303319413e+02
1.014846095755166243e+04,7.405613678422890871e+02
1.014846097842643576e+04,7.405827645748157693e+02
1.014846099930120909e+04,7.406041588258852926e+02
1.014846102017598059e+04,7.406255505934728944e+02
1.014846104105075392e+04,7.406469398811451583e+02
1.014846106192552725e+04,7.406683266868770943e+02
1.014846108280029875e+04,7.406897110086439397e+02
1.014846110367507208e+04,7.407110928500114824e+02
1.014846112454984541e+04,7.407324722089549596e+02
1.014846114542461692e+04,7.407538490834509730e+02
