Time (BJD_TBD - 2450000), F_f/F_star (ppm)
1.062595131810642306e+04,7.128489630726714488e+00
1.062595133678421735e+04,7.128170894395966961e+00
1.062595135546200981e+04,7.127852164643157629e+00
1.062595137413980410e+04,7.127533441406261439e+00
1.062595139281759839e+04,7.127214724716345984e+00
1.062595141149539086e+04,7.126896014604531260e+00
1.062595143017318514e+04,7.126577311008782445e+00
1.062595144885097943e+04,7.126258613960178678e+00
1.062595146752877190e+04,7.125939923489822192e+00
1.062595148620656619e+04,7.125621239535679052e+00
1.062595150488436047e+04,7.125302562128859485e+00
1.062595152356215294e+04,7.124983891300430194e+00
1.062595154223994723e+04,7.124665226988377675e+00
1.062595156091774152e+04,7.124346569223785508e+00
1.062595157959553399e+04,7.124027918037746154e+00
1.062595159827332827e+04,7.123709273368231010e+00
1.062595161695112256e+04,7.123390635246349412e+00
1.062595163562891503e+04,7.123072003703168953e+00
1.062595165430670932e+04,7.122753378676670799e+00
1.062595167298450360e+04,7.122434760197958958e+00
1.062595169166229607e+04,7.122116148298101024e+00
1.062595171034009036e+04,7.121797542915082602e+00
1.062595172901788465e+04,7.121478944080008588e+00
1.062595174769567893e+04,7.121160351792904741e+00
1.062595176637347140e+04,7.120841766084866187e+00
1.062595178505126569e+04,7.120523186893892742e+00
1.062595180372905998e+04,7.120204614251049335e+00
1.062595182240685244e+04,7.119886048187421324e+00
1.062595184108464673e+04,7.119567488641003195e+00
1.062595185976244102e+04,7.119248935642891851e+00
1.062595187844023349e+04,7.118930389224139788e+00
1.062595189711802777e+04,7.118611849322753926e+00
1.062595191579582206e+04,7.118293315969828505e+00
1.062595193447361453e+04,7.117974789196419572e+00
1.062595195315140882e+04,7.117656268940535824e+00
1.062595197182920310e+04,7.117337755233265284e+00
1.062595199050699557e+04,7.117019248105653340e+00
1.062595200918478986e+04,7.116700747495744217e+00
1.062595202786258415e+04,7.116382253434596628e+00
1.062595204654037661e+04,7.116063765953264841e+00
1.062595206521817090e+04,7.115745284989779762e+00
1.062595208389596519e+04,7.115426810575201877e+00
1.062595210257375766e+04,7.115108342740614766e+00
1.062595212125155194e+04,7.114789881424031570e+00
1.062595213992934623e+04,7.114471426656518993e+00
1.062595215860713870e+04,7.114152978469123312e+00
1.062595217728493299e+04,7.113834536799905628e+00
1.062595219596272727e+04,7.113516101679900672e+00
1.062595221464052156e+04,7.113197673109183050e+00
1.062595223331831403e+04,7.112879251118791935e+00
1.062595225199610832e+04,7.112560835646774215e+00
1.062595227067390260e+04,7.112242426724189492e+00
1.062595228935169507e+04,7.111924024382096476e+00
1.062595230802948936e+04,7.111605628558522518e+00
1.062595232670728365e+04,7.111287239284546757e+00
1.062595234538507611e+04,7.110968856591197707e+00
1.062595236406287040e+04,7.110650480416548014e+00
1.062595238274066469e+04,7.110332110791637739e+00
1.062595240141845716e+04,7.110013747747523816e+00
1.062595242009625144e+04,7.109695391222245142e+00
1.062595243877404573e+04,7.109377041246863982e+00
1.062595245745183820e+04,7.109058697852436381e+00
1.062595247612963249e+04,7.108740360977013673e+00
1.062595249480742677e+04,7.108422030651640355e+00
1.062595251348521924e+04,7.108103706907359154e+00
1.062595253216301353e+04,7.107785389682243604e+00
1.062595255084080782e+04,7.107467079007326660e+00
1.062595256951860028e+04,7.107148774913674139e+00
1.062595258819639457e+04,7.106830477339325824e+00
1.062595260687418886e+04,7.106512186315354640e+00
1.062595262555198133e+04,7.106193901872784657e+00
1.062595264422977561e+04,7.105875623949686748e+00
1.062595266290756990e+04,7.105557352577102748e+00
1.062595268158536419e+04,7.105239087755079730e+00
1.062595270026315666e+04,7.104920829514684399e+00
1.062595271894095094e+04,7.104602577793972529e+00
1.062595273761874523e+04,7.104284332623968190e+00
1.062595275629653770e+04,7.103966094035739864e+00
1.062595277497433199e+04,7.103647861967357535e+00
1.062595279365212627e+04,7.103329636449836393e+00
1.062595281232991874e+04,7.103011417514248471e+00
1.062595283100771303e+04,7.102693205098654872e+00
1.062595284968550732e+04,7.102374999234084996e+00
1.062595286836329979e+04,7.102056799951595778e+00
1.062595288704109407e+04,7.101738607189258090e+00
1.062595290571888836e+04,7.101420420978103110e+00
1.062595292439668083e+04,7.101102241349180666e+00
1.062595294307447512e+04,7.100784068240558078e+00
1.062595296175226940e+04,7.100465901683291392e+00
1.062595298043006187e+04,7.100147741708405569e+00
1.062595299910785616e+04,7.099829588253981250e+00
1.062595301778565045e+04,7.099511441351050500e+00
1.062595303646344291e+04,7.099193301030657821e+00
1.062595305514123720e+04,7.098875167230875860e+00
1.062595307381903149e+04,7.098557039982765104e+00
1.062595309249682396e+04,7.098238919317335416e+00
