Time (BJD_TBD - 2450000), F_star + F_d (mJy)
1.014846018518507481e+04,3.447695449719522909e+00
1.014846020605984813e+04,3.447695449958519287e+00
1.014846022693461964e+04,3.447695450197775013e+00
1.014846024780939297e+04,3.447695450437292308e+00
1.014846026868416629e+04,3.447695450677070284e+00
1.014846028955893780e+04,3.447695450917108939e+00
1.014846031043371113e+04,3.447695451157408719e+00
1.014846033130848264e+04,3.447695451397969624e+00
1.014846035218325596e+04,3.447695451638790765e+00
1.014846037305802929e+04,3.447695451879873030e+00
1.014846039393280080e+04,3.447695452121216420e+00
1.014846041480757413e+04,3.447695452362820490e+00
1.014846043568234745e+04,3.447695452604685240e+00
1.014846045655711896e+04,3.447695452846811115e+00
1.014846047743189229e+04,3.447695453089197670e+00
1.014846049830666561e+04,3.447695453331845350e+00
1.014846051918143712e+04,3.447695453574753710e+00
1.014846054005621045e+04,3.447695453817922751e+00
1.014846056093098196e+04,3.447695454061352915e+00
1.014846058180575528e+04,3.447695454305043317e+00
1.014846060268052861e+04,3.447695454548995286e+00
1.014846062355530012e+04,3.447695454793207936e+00
1.014846064443007344e+04,3.447695455037681711e+00
1.014846066530484677e+04,3.447695455282415278e+00
1.014846068617961828e+04,3.447695455527411301e+00
1.014846070705439161e+04,3.447695455772667117e+00
1.014846072792916493e+04,3.447695456018184057e+00
1.014846074880393644e+04,3.447695456263961677e+00
1.014846076967870977e+04,3.447695456509999978e+00
1.014846079055348127e+04,3.447695456756299404e+00
1.014846081142825460e+04,3.447695457002859509e+00
1.014846083230302793e+04,3.447695457249681183e+00
1.014846085317779944e+04,3.447695457496763094e+00
1.014846087405257276e+04,3.447695457744105685e+00
1.014846089492734609e+04,3.447695457991709844e+00
1.014846091580211760e+04,3.447695458239573796e+00
1.014846093667689092e+04,3.447695458487699760e+00
1.014846095755166243e+04,3.447695458736085961e+00
1.014846097842643576e+04,3.447695458984732841e+00
1.014846099930120909e+04,3.447695459233641291e+00
1.014846102017598059e+04,3.447695459482809976e+00
1.014846104105075392e+04,3.447695459732239343e+00
1.014846106192552725e+04,3.447695459981930277e+00
1.014846108280029875e+04,3.447695460231881448e+00
1.014846110367507208e+04,3.447695460482093299e+00
1.014846112454984541e+04,3.447695460732566719e+00
1.014846114542461692e+04,3.447695460983300819e+00
1.014846116629939024e+04,3.447695461234295156e+00
1.014846118717416175e+04,3.447695461485550616e+00
1.014846120804893508e+04,3.447695461737067202e+00
1.014846122892370840e+04,3.447695461988844912e+00
1.014846124979847991e+04,3.447695462240882858e+00
1.014846127067325324e+04,3.447695462493181928e+00
1.014846129154802657e+04,3.447695462745741679e+00
1.014846131242279807e+04,3.447695462998562999e+00
1.014846133329757140e+04,3.447695463251644110e+00
1.014846135417234473e+04,3.447695463504986790e+00
1.014846137504711623e+04,3.447695463758590151e+00
1.014846139592188956e+04,3.447695464012453748e+00
1.014846141679666107e+04,3.447695464266579357e+00
1.014846143767143440e+04,3.447695464520965203e+00
1.014846145854620772e+04,3.447695464775611285e+00
1.014846147942097923e+04,3.447695465030519379e+00
1.014846150029575256e+04,3.447695465285687266e+00
1.014846152117052588e+04,3.447695465541116722e+00
1.014846154204529739e+04,3.447695465796806413e+00
1.014846156292007072e+04,3.447695466052757673e+00
1.014846158379484405e+04,3.447695466308969170e+00
1.014846160466961555e+04,3.447695466565441791e+00
1.014846162554438888e+04,3.447695466822175092e+00
1.014846164641916039e+04,3.447695467079169074e+00
1.014846166729393371e+04,3.447695467336424180e+00
1.014846168816870704e+04,3.447695467593939966e+00
1.014846170904347855e+04,3.447695467851717321e+00
1.014846172991825188e+04,3.447695468109754913e+00
1.014846175079302520e+04,3.447695468368053184e+00
1.014846177166779671e+04,3.447695468626612136e+00
1.014846179254257004e+04,3.447695468885432657e+00
1.014846181341734336e+04,3.447695469144513414e+00
1.014846183429211487e+04,3.447695469403855739e+00
1.014846185516688820e+04,3.447695469663457857e+00
1.014846187604165971e+04,3.447695469923321987e+00
1.014846189691643303e+04,3.447695470183446353e+00
1.014846191779120636e+04,3.447695470443830956e+00
1.014846193866597787e+04,3.447695470704477128e+00
1.014846195954075120e+04,3.447695470965383979e+00
1.014846198041552452e+04,3.447695471226551511e+00
1.014846200129029603e+04,3.447695471487980612e+00
1.014846202216506936e+04,3.447695471749669505e+00
1.014846204303984086e+04,3.447695472011619966e+00
1.014846206391461419e+04,3.447695472273831108e+00
1.014846208478938752e+04,3.447695472536302486e+00
1.014846210566415903e+04,3.447695472799035876e+00
1.014846212653893235e+04,3.447695473062029503e+00
1.014846214741370568e+04,3.447695473325283366e+00
1.014846216828847719e+04,3.447695473588798798e+00
1.014846218916325051e+04,3.447695473852574910e+00
1.014846221003802384e+04,3.447695474116611702e+00
1.014846223091279535e+04,3.447695474380909175e+00
1.014846225178756868e+04,3.447695474645468217e+00
1.014846227266234018e+04,3.447695474910287494e+00
1.014846229353711351e+04,3.447695475175368340e+00
1.014846231441188684e+04,3.447695475440708979e+00
1.014846233528665834e+04,3.447695475706310742e+00
1.014846235616143167e+04,3.447695475972173629e+00
1.014846237703620500e+04,3.447695476238297196e+00
1.014846239791097651e+04,3.447695476504681444e+00
1.014846241878574983e+04,3.447695476771326817e+00
1.014846243966052316e+04,3.447695477038232870e+00
1.014846246053529467e+04,3.447695477305399603e+00
1.014846248141006799e+04,3.447695477572827905e+00
1.014846250228483950e+04,3.447695477840516443e+00
1.014846252315961283e+04,3.447695478108465661e+00
1.014846254403438616e+04,3.447695478376676448e+00
1.014846256490915766e+04,3.447695478645147471e+00
1.014846258578393099e+04,3.447695478913878731e+00
1.014846260665870432e+04,3.447695479182872003e+00
1.014846262753347582e+04,3.447695479452125067e+00
1.014846264840824915e+04,3.447695479721639700e+00
1.014846266928302248e+04,3.447695479991415457e+00
1.014846269015779399e+04,3.447695480261451006e+00
1.014846271103256731e+04,3.447695480531748125e+00
1.014846273190733882e+04,3.447695480802305923e+00
1.014846275278211215e+04,3.447695481073123958e+00
1.014846277365688547e+04,3.447695481344204005e+00
1.014846279453165698e+04,3.447695481615543400e+00
1.014846281540643031e+04,3.447695481887144808e+00
1.014846283628120364e+04,3.447695482159006453e+00
1.014846285715597514e+04,3.447695482431129221e+00
1.014846287803074847e+04,3.447695482703513115e+00
1.014846289890552180e+04,3.447695482976157688e+00
1.014846291978029330e+04,3.447695483249062942e+00
1.014846294065506663e+04,3.447695483522228876e+00
1.014846296152983814e+04,3.447695483795655047e+00
1.014846298240461147e+04,3.447695484069342786e+00
1.014846300327938479e+04,3.447695484343291206e+00
1.014846302415415630e+04,3.447695484617500750e+00
1.014846304502892963e+04,3.447695484891971418e+00
1.014846306590370295e+04,3.447695485166702323e+00
1.014846308677847446e+04,3.447695485441693464e+00
1.014846310765324779e+04,3.447695485716946173e+00
1.014846312852802112e+04,3.447695485992459563e+00
1.014846314940279262e+04,3.447695486268234077e+00
1.014846317027756595e+04,3.447695486544269272e+00
1.014846319115233746e+04,3.447695486820564703e+00
1.014846321202711079e+04,3.447695487097121703e+00
1.014846323290188411e+04,3.447695487373939383e+00
1.014846325377665562e+04,3.447695487651017299e+00
1.014846327465142895e+04,3.447695487928356339e+00
1.014846329552620227e+04,3.447695488205956504e+00
1.014846331640097378e+04,3.447695488483817794e+00
1.014846333727574711e+04,3.447695488761939320e+00
1.014846335815051862e+04,3.447695489040321526e+00
1.014846337902529194e+04,3.447695489318965301e+00
1.014846339990006527e+04,3.447695489597869312e+00
1.014846342077483678e+04,3.447695489877034003e+00
1.014846344164961010e+04,3.447695490156459819e+00
1.014846346252438343e+04,3.447695490436146315e+00
1.014846348339915494e+04,3.447695490716093492e+00
1.014846350427392827e+04,3.447695490996301793e+00
1.014846352514870159e+04,3.447695491276771218e+00
1.014846354602347310e+04,3.447695491557500880e+00
