Time (BJD_TBD - 2450000), F_f/F_star (ppm)
9.896130724895565436e+03,1.156390690818789864e+02
9.896130747752018578e+03,1.156382217573494415e+02
9.896130770608469902e+03,1.156373744219230417e+02
9.896130793464923045e+03,1.156365270754652244e+02
9.896130816321374368e+03,1.156356797181110494e+02
9.896130839177827511e+03,1.156348323497257837e+02
9.896130862034278834e+03,1.156339849704445868e+02
9.896130884890731977e+03,1.156331375801327397e+02
9.896130907747183301e+03,1.156322901789253592e+02
9.896130930603636443e+03,1.156314427666877833e+02
9.896130953460089586e+03,1.156305953434875846e+02
9.896130976316540909e+03,1.156297479093924494e+02
9.896130999172994052e+03,1.156289004642677725e+02
9.896131022029445376e+03,1.156280530082485143e+02
9.896131044885898518e+03,1.156272055412000839e+02
9.896131067742349842e+03,1.156263580632575554e+02
9.896131090598802984e+03,1.156255105742862241e+02
9.896131113455254308e+03,1.156246630744212212e+02
9.896131136311707451e+03,1.156238155635278844e+02
9.896131159168158774e+03,1.156229680417412169e+02
9.896131182024611917e+03,1.156221205089265993e+02
9.896131204881063240e+03,1.156212729652191484e+02
9.896131227737516383e+03,1.156204254104841169e+02
9.896131250593969526e+03,1.156195778447892195e+02
9.896131273450420849e+03,1.156187302682020857e+02
9.896131296306873992e+03,1.156178826805879680e+02
9.896131319163325315e+03,1.156170350820820545e+02
9.896131342019778458e+03,1.156161874725496261e+02
9.896131364876229782e+03,1.156153398521257714e+02
9.896131387732682924e+03,1.156144922206758281e+02
9.896131410589134248e+03,1.156136445783348563e+02
9.896131433445587390e+03,1.156127969249681939e+02
9.896131456302038714e+03,1.156119492607109862e+02
9.896131479158491857e+03,1.156111015854284432e+02
9.896131502014944999e+03,1.156102538991882653e+02
9.896131524871396323e+03,1.156094062020581674e+02
9.896131547727849465e+03,1.156085584939033595e+02
9.896131570584300789e+03,1.156077107748590151e+02
9.896131593440753932e+03,1.156068630447904440e+02
9.896131616297205255e+03,1.156060153038327059e+02
9.896131639153658398e+03,1.156051675518511104e+02
9.896131662010109721e+03,1.156043197889808170e+02
9.896131684866562864e+03,1.156034720150870498e+02
9.896131707723014188e+03,1.156026242303049969e+02
9.896131730579467330e+03,1.156017764344999250e+02
9.896131753435920473e+03,1.156009286277394636e+02
9.896131776292371796e+03,1.156000808100913702e+02
9.896131799148824939e+03,1.155992329814208119e+02
9.896131822005276263e+03,1.155983851418630053e+02
9.896131844861729405e+03,1.155975372912832171e+02
9.896131867718180729e+03,1.155966894298165357e+02
9.896131890574633871e+03,1.155958415573282707e+02
9.896131913431085195e+03,1.155949936739535957e+02
9.896131936287538338e+03,1.155941457795576923e+02
9.896131959143989661e+03,1.155932978742757911e+02
9.896131982000442804e+03,1.155924499579731304e+02
9.896132004856895946e+03,1.155916020307173540e+02
9.896132027713347270e+03,1.155907540925761765e+02
9.896132050569800413e+03,1.155899061434148507e+02
9.896132073426251736e+03,1.155890581833685360e+02
9.896132096282704879e+03,1.155882102123024708e+02
9.896132119139156202e+03,1.155873622303518857e+02
9.896132141995609345e+03,1.155865142373818912e+02
9.896132164852060669e+03,1.155856662335277605e+02
9.896132187708513811e+03,1.155848182186547177e+02
9.896132210564965135e+03,1.155839701928979224e+02
9.896132233421418277e+03,1.155831221561226272e+02
9.896132256277869601e+03,1.155822741084639773e+02
9.896132279134322744e+03,1.155814260497872397e+02
9.896132301990775886e+03,1.155805779801601147e+02
9.896132324847227210e+03,1.155797298996502462e+02
9.896132347703680352e+03,1.155788818081229010e+02
9.896132370560131676e+03,1.155780337057132954e+02
9.896132393416584819e+03,1.155771855922865825e+02
9.896132416273036142e+03,1.155763374679779645e+02
9.896132439129489285e+03,1.155754893326527508e+02
9.896132461985940608e+03,1.155746411864460157e+02
9.896132484842393751e+03,1.155737930292230402e+02
9.896132507698845075e+03,1.155729448611190406e+02
9.896132530555298217e+03,1.155720966819991844e+02
9.896132553411751360e+03,1.155712484919311720e+02
9.896132576268202683e+03,1.155704002909827466e+02
9.896132599124655826e+03,1.155695520790191040e+02
9.896132621981107150e+03,1.155687038561754321e+02
9.896132644837560292e+03,1.155678556223169551e+02
9.896132667694011616e+03,1.155670073775788893e+02
9.896132690550464758e+03,1.155661591218264164e+02
9.896132713406916082e+03,1.155653108551947383e+02
9.896132736263369225e+03,1.155644625775490795e+02
9.896132759119820548e+03,1.155636142890246560e+02
9.896132781976273691e+03,1.155627659894866497e+02
9.896132804832726833e+03,1.155619176790027751e+02
9.896132827689178157e+03,1.155610693576407471e+02
9.896132850545631300e+03,1.155602210252657613e+02
9.896132873402082623e+03,1.155593726820130200e+02
9.896132896258535766e+03,1.155585243277477616e+02
9.896132919114987089e+03,1.155576759626051739e+02
9.896132941971440232e+03,1.155568275864504386e+02
9.896132964827891556e+03,1.155559791994188004e+02
9.896132987684344698e+03,1.155551308013754266e+02
9.896133010540796022e+03,1.155542823924555478e+02
9.896133033397249164e+03,1.155534339725243740e+02
9.896133056253700488e+03,1.155525855417171357e+02
9.896133079110153631e+03,1.155517370998989577e+02
9.896133101966606773e+03,1.155508886471376115e+02
9.896133124823058097e+03,1.155500401835007978e+02
9.896133147679511239e+03,1.155491917088537122e+02
9.896133170535962563e+03,1.155483432233315568e+02
9.896133193392415706e+03,1.155474947267995418e+02
9.896133216248867029e+03,1.155466462193929118e+02
9.896133239105320172e+03,1.155457977009768058e+02
9.896133261961771495e+03,1.155449491716864969e+02
9.896133284818224638e+03,1.155441006313871100e+02
9.896133307674675962e+03,1.155432520802139322e+02
9.896133330531129104e+03,1.155424035180321169e+02
9.896133353387582247e+03,1.155415549449093646e+02
9.896133376244033570e+03,1.155407063609134894e+02
9.896133399100486713e+03,1.155398577659095309e+02
9.896133421956938037e+03,1.155390091600328333e+02
9.896133444813391179e+03,1.155381605431485497e+02
9.896133467669842503e+03,1.155373119153918822e+02
9.896133490526295645e+03,1.155364632766280266e+02
9.896133513382746969e+03,1.155356146269922277e+02
9.896133536239200112e+03,1.155347659663496245e+02
9.896133559095651435e+03,1.155339172948355326e+02
9.896133581952104578e+03,1.155330686123150628e+02
9.896133604808557720e+03,1.155322199188559154e+02
9.896133627665009044e+03,1.155313712145258904e+02
9.896133650521462187e+03,1.155305224991901127e+02
9.896133673377913510e+03,1.155296737729838554e+02
9.896133696234366653e+03,1.155288250357722148e+02
9.896133719090817976e+03,1.155279762876905352e+02
9.896133741947271119e+03,1.155271275286038843e+02
9.896133764803722443e+03,1.155262787586476207e+02
9.896133787660175585e+03,1.155254299776867981e+02
9.896133810516626909e+03,1.155245811858567606e+02
9.896133833373080051e+03,1.155237323830225904e+02
9.896133856229533194e+03,1.155228835692520306e+02
9.896133879085984518e+03,1.155220347446128812e+02
9.896133901942437660e+03,1.155211859089702386e+02
9.896133924798888984e+03,1.155203370624593617e+02
9.896133947655342126e+03,1.155194882049454321e+02
9.896133970511793450e+03,1.155186393365636945e+02
9.896133993368246593e+03,1.155177904571792880e+02
9.896134016224697916e+03,1.155169415669274855e+02
9.896134039081151059e+03,1.155160926656734546e+02
9.896134061937602382e+03,1.155152437535524399e+02
9.896134084794055525e+03,1.155143948304295805e+02
9.896134107650506849e+03,1.155135458964401920e+02
9.896134130506959991e+03,1.155126969514493425e+02
9.896134153363413134e+03,1.155118479955247892e+02
9.896134176219864457e+03,1.155109990287343464e+02
9.896134199076317600e+03,1.155101500509430537e+02
9.896134221932768924e+03,1.155093010622862835e+02
9.896134244789222066e+03,1.155084520626291038e+02
9.896134267645673390e+03,1.155076030521067878e+02
9.896134290502126532e+03,1.155067540305845029e+02
9.896134313358577856e+03,1.155059049981975505e+02
9.896134336215030999e+03,1.155050559548109561e+02
9.896134359071482322e+03,1.155042069005601633e+02
9.896134381927935465e+03,1.155033578353101547e+02
9.896134404784388607e+03,1.155025087591287303e+02
9.896134427640839931e+03,1.155016596720837043e+02
9.896134450497293074e+03,1.155008105740400737e+02
9.896134473353744397e+03,1.154999614651332251e+02
9.896134496210197540e+03,1.154991123452282551e+02
9.896134519066648863e+03,1.154982632144604509e+02
9.896134541923102006e+03,1.154974140726949088e+02
9.896134564779553330e+03,1.154965649200669873e+02
9.896134587636006472e+03,1.154957157564417116e+02
9.896134610492457796e+03,1.154948665819544686e+02
9.896134633348910938e+03,1.154940173964703263e+02
9.896134656205364081e+03,1.154931682000570135e+02
9.896134679061815405e+03,1.154923189927823586e+02
9.896134701918268547e+03,1.154914697745114012e+02
9.896134724774719871e+03,1.154906205453795138e+02
9.896134747631173013e+03,1.154897713052517503e+02
9.896134770487624337e+03,1.154889220542634547e+02
9.896134793344077480e+03,1.154880727922796382e+02
9.896134816200528803e+03,1.154872235194357586e+02
9.896134839056981946e+03,1.154863742355967844e+02
9.896134861913433269e+03,1.154855249408981166e+02
9.896134884769886412e+03,1.154846756352048232e+02
9.896134907626339555e+03,1.154838263185846188e+02
9.896134930482790878e+03,1.154829769911053887e+02
9.896134953339244021e+03,1.154821276526321157e+02
9.896134976195695344e+03,1.154812783033001296e+02
9.896134999052148487e+03,1.154804289429745836e+02
9.896135021908599811e+03,1.154795795717907794e+02
9.896135044765052953e+03,1.154787301896137421e+02
9.896135067621504277e+03,1.154778807965788872e+02
9.896135090477957419e+03,1.154770313925512539e+02
9.896135113334408743e+03,1.154761819776661440e+02
9.896135136190861886e+03,1.154753325517886964e+02
9.896135159047313209e+03,1.154744831150542552e+02
9.896135181903766352e+03,1.154736336673277890e+02
9.896135204760219494e+03,1.154727842086771830e+02
9.896135227616670818e+03,1.154719347391701945e+02
9.896135250473123961e+03,1.154710852586718346e+02
9.896135273329575284e+03,1.154702357673175470e+02
