Time (BJD_TBD - 2450000), L_b/L_star (ppm)
9.905194777461383637e+03,7.240715242576292212e+02
9.905194798791064386e+03,7.240952157525701978e+02
9.905194820120743316e+03,7.241189047844271727e+02
9.905194841450422246e+03,7.241425913550350515e+02
9.905194862780101175e+03,7.241662754642065920e+02
9.905194884109780105e+03,7.241899571117558025e+02
9.905194905439460854e+03,7.242136362995157697e+02
9.905194926769139784e+03,7.242373130232613221e+02
9.905194948098818713e+03,7.242609872848255463e+02
9.905194969428497643e+03,7.242846590840221097e+02
9.905194990758176573e+03,7.243083284206651342e+02
9.905195012087855503e+03,7.243319952945680598e+02
9.905195033417536251e+03,7.243556597075626087e+02
9.905195054747215181e+03,7.243793216554264518e+02
9.905195076076894111e+03,7.244029811399921073e+02
9.905195097406573041e+03,7.244266381610729013e+02
9.905195118736251970e+03,7.244502927184827286e+02
9.905195140065932719e+03,7.244739448140525155e+02
9.905195161395611649e+03,7.244975944435622068e+02
9.905195182725290579e+03,7.245212416088426153e+02
9.905195204054969508e+03,7.245448863097077492e+02
9.905195225384648438e+03,7.245685285459717306e+02
9.905195246714329187e+03,7.245921683194644629e+02
9.905195268044008117e+03,7.246158056259674822e+02
9.905195289373687046e+03,7.246394404673116014e+02
9.905195310703365976e+03,7.246630728433103741e+02
9.905195332033044906e+03,7.246867027537781496e+02
9.905195353362723836e+03,7.247103301985285952e+02
9.905195374692404584e+03,7.247339551793907049e+02
9.905195396022083514e+03,7.247575776921490842e+02
9.905195417351762444e+03,7.247811977386330682e+02
9.905195438681441374e+03,7.248048153186562104e+02
9.905195460011120304e+03,7.248284304320332012e+02
9.905195481340801052e+03,7.248520430805915566e+02
9.905195502670479982e+03,7.248756532601180425e+02
9.905195524000158912e+03,7.248992609724408567e+02
9.905195545329837842e+03,7.249228662173741213e+02
9.905195566659516771e+03,7.249464689947320721e+02
9.905195587989195701e+03,7.249700693043292858e+02
9.905195609318876450e+03,7.249936671479921415e+02
9.905195630648555380e+03,7.250172625215103608e+02
9.905195651978234309e+03,7.250408554267105501e+02
9.905195673307913239e+03,7.250644458634070588e+02
9.905195694637592169e+03,7.250880338314144637e+02
9.905195715967272918e+03,7.251116193325585755e+02
9.905195737296951847e+03,7.251352023626308210e+02
9.905195758626630777e+03,7.251587829234570108e+02
9.905195779956309707e+03,7.251823610148518355e+02
9.905195801285988637e+03,7.252059366366298718e+02
9.905195822615667566e+03,7.252295097886052417e+02
9.905195843945348315e+03,7.252530804726031874e+02
9.905195865275027245e+03,7.252766486844171823e+02
9.905195886604706175e+03,7.253002144258725821e+02
9.905195907934385104e+03,7.253237776967835089e+02
9.905195929264064034e+03,7.253473384969651079e+02
9.905195950593744783e+03,7.253708968282408023e+02
9.905195971923423713e+03,7.253944526864067939e+02
9.905195993253102642e+03,7.254180060732870743e+02
9.905196014582781572e+03,7.254415569886965613e+02
9.905196035912460502e+03,7.254651054324498318e+02
9.905196057242139432e+03,7.254886514043612351e+02
9.905196078571820181e+03,7.255121949062535123e+02
9.905196099901499110e+03,7.255357359339261620e+02
9.905196121231178040e+03,7.255592744892013570e+02
9.905196142560856970e+03,7.255828105718941288e+02
9.905196163890535900e+03,7.256063441818191677e+02
9.905196185220216648e+03,7.256298753207977370e+02
9.905196206549895578e+03,7.256534039846319502e+02
9.905196227879574508e+03,7.256769301751428429e+02
9.905196249209253438e+03,7.257004538921454468e+02
9.905196270538932367e+03,7.257239751354549071e+02
9.905196291868613116e+03,7.257474939068914637e+02
9.905196313198292046e+03,7.257710102022589354e+02
9.905196334527970976e+03,7.257945240233779032e+02
9.905196355857649905e+03,7.258180353700635123e+02
9.905196377187328835e+03,7.258415442421305670e+02
9.905196398517007765e+03,7.258650506393944397e+02
9.905196419846688514e+03,7.258885545636741199e+02
9.905196441176367443e+03,7.259120560107760411e+02
9.905196462506046373e+03,7.259355549825198750e+02
9.905196483835725303e+03,7.259590514787205393e+02
9.905196505165404233e+03,7.259825454991931792e+02
9.905196526495084981e+03,7.260060370457563295e+02
9.905196547824763911e+03,7.260295261142183563e+02
9.905196569154442841e+03,7.260530127063981354e+02
9.905196590484121771e+03,7.260764968221104709e+02
9.905196611813800700e+03,7.260999784611710766e+02
9.905196633143479630e+03,7.261234576233946427e+02
9.905196654473160379e+03,7.261469343105989083e+02
9.905196675802839309e+03,7.261704085185943995e+02
9.905196697132518239e+03,7.261938802491994238e+02
9.905196718462197168e+03,7.262173495022287852e+02
9.905196739791876098e+03,7.262408162774976290e+02
9.905196761121556847e+03,7.262642805768226708e+02
9.905196782451235777e+03,7.262877423960171654e+02
9.905196803780914706e+03,7.263112017368973738e+02
9.905196825110593636e+03,7.263346585992791233e+02
9.905196846440272566e+03,7.263581129829775591e+02
9.905196867769951496e+03,7.263815648878082811e+02
9.905196889099632244e+03,7.264050143155860724e+02
9.905196910429311174e+03,7.264284612621277120e+02
9.905196931758990104e+03,7.264519057292476418e+02
9.905196953088669034e+03,7.264753477167620304e+02
9.905196974418347963e+03,7.264987872244862501e+02
9.905196995748028712e+03,7.265222242542344020e+02
9.905197017077707642e+03,7.265456588018247430e+02
9.905197038407386572e+03,7.265690908690719425e+02
9.905197059737065501e+03,7.265925204557910320e+02
